osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access
"[145420330, 288350674, 237840500, 296482362, 188934810, 44696474]",False,2,L 582,"['Bahnhofstraße', 'Bofsheimer Straße']",secondary,50,False,352.82899999999995,"LINESTRING (9.4205963 49.4297584, 9.4208041 49.4297447, 9.4208672 49.4297386, 9.4209768 49.4297503, 9.4210315 49.4297561, 9.4211574 49.4297801, 9.421264 49.4298166, 9.4215082 49.4299219, 9.4216181 49.4299628, 9.42186 49.430062, 9.4219051 49.4300805, 9.4219874 49.4301134, 9.4220775 49.4301493, 9.4221755 49.430192, 9.4223106 49.4302508, 9.422408 49.4302892, 9.4224702 49.4303137, 9.4225457 49.4303449, 9.4225975 49.4303664, 9.4227226 49.4304182, 9.4231064 49.4305769, 9.4231592 49.4305987, 9.4231818 49.4306081, 9.4232328 49.4306292, 9.4233509 49.4306781, 9.4234014 49.430699, 9.423665 49.4308105, 9.4239007 49.4309176, 9.4241265 49.4310447, 9.4242068 49.4311251, 9.4242254 49.4311558, 9.4242356 49.4311877, 9.4242411 49.4312279, 9.4242489 49.4313489, 9.4242508 49.4314582, 9.4242519 49.4315173)",,
"[145420329, 1095123841, 18664153, 145420359]",False,"['2', '3']","['L 515', 'L 1095']","['Benefiziarierbrücke', 'Turmstraße', 'Adelsheimer Straße']",secondary,50,False,465.28799999999995,"LINESTRING (9.4205963 49.4297584, 9.4206664 49.4298617, 9.4207568 49.4299925, 9.4209061 49.4301866, 9.421053 49.4303234, 9.4211883 49.4304284, 9.4213849 49.4305505, 9.421609 49.4306521, 9.4218409 49.430726, 9.4220268 49.4307616, 9.4221851 49.4307875, 9.4223517 49.4307977, 9.4225018 49.4307967, 9.4226538 49.4307906, 9.4228005 49.4307758, 9.4228559 49.430767, 9.422945 49.4307512, 9.4238522 49.4305073, 9.424762 49.4302472, 9.4250357 49.4301718, 9.4252555 49.4301246, 9.4254163 49.4301064, 9.425578 49.4301018, 9.4257069 49.4301138, 9.4259385 49.4301638, 9.4260346 49.4301952)",yes,
"[18664153, 1095123841, 145420359, 145420329]",False,"['2', '3']","['L 515', 'L 1095']","['Benefiziarierbrücke', 'Turmstraße', 'Adelsheimer Straße']",secondary,50,True,465.28799999999995,"LINESTRING (9.4260346 49.4301952, 9.4259385 49.4301638, 9.4257069 49.4301138, 9.425578 49.4301018, 9.4254163 49.4301064, 9.4252555 49.4301246, 9.4250357 49.4301718, 9.424762 49.4302472, 9.4238522 49.4305073, 9.422945 49.4307512, 9.4228559 49.430767, 9.4228005 49.4307758, 9.4226538 49.4307906, 9.4225018 49.4307967, 9.4223517 49.4307977, 9.4221851 49.4307875, 9.4220268 49.4307616, 9.4218409 49.430726, 9.421609 49.4306521, 9.4213849 49.4305505, 9.4211883 49.4304284, 9.421053 49.4303234, 9.4209061 49.4301866, 9.4207568 49.4299925, 9.4206664 49.4298617, 9.4205963 49.4297584)",yes,
264334699,False,2,,Römerstraße,residential,50,False,22.766,"LINESTRING (9.4260346 49.4301952, 9.426118 49.4301064, 9.4261907 49.4300175)",,
"[463915507, 70782639]",False,2,L 515,Turmstraße,secondary,50,False,73.257,"LINESTRING (9.4260346 49.4301952, 9.4261826 49.4302725, 9.4263378 49.4303758, 9.4265066 49.430554, 9.4265838 49.4306354, 9.4266532 49.4307086)",,
32871164,False,2,,Friedrichstraße,living_street,,False,40.227000000000004,"LINESTRING (9.4250358 49.4309125, 9.4251034 49.4308978, 9.4254492 49.4308397, 9.4255755 49.4308269)",,
"[369953000, 32871147, 32871164]",False,2,,"['Alte Kirnaubrücke', 'Friedrichstraße']",living_street,,True,40.425,"LINESTRING (9.4250358 49.4309125, 9.4248895 49.430938, 9.4246386 49.4310168, 9.4245233 49.4310543)",yes,
"[1136095875, 37909686]",False,,,Kapellenstraße,living_street,,False,189.17,"LINESTRING (9.4250358 49.4309125, 9.425052 49.4309631, 9.425088 49.4310193, 9.4251406 49.4310799, 9.4251557 49.4310981, 9.4251966 49.4311447, 9.4253694 49.4313333, 9.425551 49.4315896, 9.4255745 49.4316133, 9.4256619 49.4316805, 9.4258192 49.4317872, 9.4260073 49.4318571, 9.4261307 49.4319189, 9.4261751 49.4319416, 9.4262128 49.4319608, 9.4262711 49.4319808, 9.4263566 49.4320373, 9.4264155 49.432088, 9.4265012 49.4321639, 9.4265379 49.4322109, 9.4265572 49.432245)",,
104394862,False,,,Kreuzstraße,living_street,,True,111.31400000000001,"LINESTRING (9.4250358 49.4309125, 9.4249857 49.4307174, 9.4248987 49.430532, 9.4248891 49.4305116, 9.4248361 49.4304409, 9.424807 49.4304022, 9.4247918 49.4303819, 9.4247765 49.4303615, 9.4247461 49.4303259, 9.4246509 49.4302144, 9.4246638 49.4301069, 9.4248085 49.4299966)",,
"[285714186, 264774204]",False,2,,Schlierstädter Straße,tertiary,50,True,132.93099999999998,"LINESTRING (9.4244723 49.4334586, 9.4243807 49.4334822, 9.4243052 49.4334536, 9.4242904 49.4334408, 9.4242743 49.4333986, 9.4242565 49.4333366, 9.4240983 49.4329649, 9.4239843 49.4327382, 9.4238507 49.4324221)",,
