osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,ref,maxspeed,junction,width,access
"[351867562, 351867563, 33913685]",2,Reidtmeisterstraße,residential,False,False,152.547,yes,"LINESTRING (6.4766239 50.5305384, 6.4767311 50.5305087, 6.4767948 50.5305006, 6.4769356 50.5304849, 6.4770159 50.5304655, 6.4770717 50.5304516, 6.4771346 50.5304238, 6.4775084 50.5302311, 6.4775781 50.530182, 6.4774854 50.5301085, 6.4774166 50.5300498, 6.4773355 50.5299782, 6.4773096 50.5299472, 6.4771659 50.5297521, 6.4770956 50.5296778, 6.4770433 50.529629)",,,,,
81400208,2,Gemünder Straße,primary,False,False,65.786,,"LINESTRING (6.4766239 50.5305384, 6.4765851 50.5302868, 6.4765637 50.5301598, 6.4765665 50.5300712, 6.4765729 50.5299488)",B 265,,,,
420621082,2,Blumenthaler Straße,primary,False,False,90.96,,"LINESTRING (6.4715071 50.5251892, 6.4707101 50.524547)",B 265,,,,
420621082,2,Blumenthaler Straße,primary,False,True,11.35,,"LINESTRING (6.4715071 50.5251892, 6.4716048 50.5252702)",B 265,,,,
75066661,,Im Auel,residential,False,True,66.859,,"LINESTRING (6.4715071 50.5251892, 6.4714426 50.5252206, 6.4707589 50.525557)",,,,,
24393863,2,Blankenheimer Straße,primary,False,False,25.474,,"LINESTRING (6.476957 50.529507, 6.4770587 50.5294965, 6.477314 50.5294759)",B 258,50,,,
514607721,1,,primary,True,False,24.879,,"LINESTRING (6.476957 50.529507, 6.4769516 50.5295441, 6.4769282 50.5295783, 6.4768893 50.5296062, 6.4768386 50.529625, 6.4767813 50.5296329, 6.4767229 50.529629)",,50,roundabout,,
"[33678400, 69329819]",,"['Kapellenweg', 'Ruppenberg']",residential,False,False,507.75200000000007,,"LINESTRING (6.4791225 50.5295028, 6.4791069 50.5294247, 6.4790522 50.5291518, 6.4790267 50.529029, 6.4789959 50.5289177, 6.4789235 50.5287153, 6.4787674 50.5283972, 6.478721 50.5282553, 6.4786813 50.5281164, 6.4786588 50.5279838, 6.4786451 50.5279031, 6.4786403 50.5276534, 6.4786249 50.5274816, 6.4785976 50.5274062, 6.4785589 50.5273211, 6.4784571 50.5271537, 6.4783724 50.5270511, 6.4783014 50.5269747, 6.4781688 50.5268532, 6.4780051 50.5266891, 6.4778239 50.5265199, 6.4777819 50.5264782, 6.4773817 50.5261592, 6.4773401 50.5261263, 6.4771849 50.5260317, 6.4770217 50.5259548, 6.4769763 50.5259421, 6.4769316 50.5259429, 6.4768877 50.5259573, 6.4768564 50.5259703, 6.4767643 50.5260084, 6.4765714 50.526043, 6.47637 50.526051, 6.4762135 50.5260608, 6.4760419 50.5260555)",,30,,,
40790550,2,Blankenheimer Straße,primary,False,True,31.102,,"LINESTRING (6.4791225 50.5295028, 6.4790173 50.5294989, 6.4788926 50.5294946, 6.478684 50.5294807)",B 258,50,,,
"[537288636, 537288637]","['2', '3']",Blankenheimer Straße,primary,False,False,48.159000000000006,,"LINESTRING (6.4791225 50.5295028, 6.4792876 50.5295098, 6.4796141 50.5295198, 6.4798029 50.5295145)",B 258,50,,,
"[48821141, 48821149]",,Monschauer Straße,primary,False,"[False, True]",300.17100000000005,,"LINESTRING (6.4691637 50.5309605, 6.4693573 50.530967, 6.4696263 50.5309467, 6.4699407 50.5309106, 6.4710908 50.5307907, 6.4712828 50.5307632, 6.4714757 50.5307251, 6.4722372 50.5305465, 6.4724587 50.5304923, 6.4726697 50.5304358, 6.4727813 50.5304043, 6.4730175 50.5303319, 6.4732189 50.5302538)",B 258,"['50', '70']",,,
69078615,,Scheurener Straße,tertiary,False,True,562.5719999999999,,"LINESTRING (6.4691637 50.5309605, 6.4691335 50.5310139, 6.469053 50.5310258, 6.4688544 50.5310245, 6.4687601 50.5310354, 6.4687154 50.5310661, 6.468707 50.5311036, 6.4687243 50.5311517, 6.4687654 50.531188, 6.4688549 50.5312115, 6.4689591 50.5312211, 6.4690814 50.5312151, 6.4692872 50.5311988, 6.4695927 50.5311792, 6.4697258 50.5311734, 6.4698573 50.5311676, 6.4704471 50.5311395, 6.4705529 50.531142, 6.4709605 50.5311593, 6.4713651 50.5311576, 6.47153 50.5311449, 6.4719036 50.5310967, 6.4727357 50.5309928, 6.4729671 50.530974, 6.4730863 50.5309552, 6.4731747 50.5309335, 6.4732826 50.5309059, 6.4733611 50.530898, 6.4734398 50.5309075, 6.473497 50.5309307, 6.473533 50.5309738, 6.473543 50.5310096, 6.4735293 50.531052, 6.4735047 50.531084, 6.4734607 50.5311296, 6.4734116 50.5311636, 6.4733228 50.5312281, 6.4732052 50.5312971, 6.4730508 50.5313586, 6.4728859 50.5314185, 6.4723171 50.5315943, 6.4720185 50.5316944, 6.4718866 50.5317254, 6.4717834 50.53174, 6.4716684 50.5317512)",K 66,50,,,
514607719,1,,primary,True,False,14.912999999999998,,"LINESTRING (6.4767229 50.529629, 6.4766529 50.529606, 6.4766042 50.5295667, 6.476588 50.5295343)",,50,roundabout,,
830409701,2,Gemünder Straße,primary,False,True,23.975,,"LINESTRING (6.4767229 50.529629, 6.4766878 50.5296963, 6.4766183 50.5298341)",B 265,,,,
24772545,,Arenbergstraße,tertiary,False,False,83.311,,"LINESTRING (6.4736214 50.5266579, 6.4735793 50.5266937, 6.4734769 50.5267806, 6.4733384 50.5268711, 6.4731864 50.5269569, 6.4731703 50.526966, 6.4731402 50.526983, 6.4729441 50.5270936, 6.4727811 50.5271794)",,,,,
"[767336707, 767336708, 767336709, 514607718, 767336710, 767336711, 514607700]","['2', '3']",Blumenthaler Straße,primary,False,False,210.816,,"LINESTRING (6.4736214 50.5266579, 6.47338 50.5265272, 6.473187 50.5264189, 6.4730908 50.526366, 6.473011 50.5263153, 6.4728825 50.5262437, 6.4728313 50.5262126, 6.4726826 50.5261222, 6.4725602 50.5260379, 6.4722694 50.5258042, 6.4720628 50.525641, 6.4719624 50.5255617, 6.4716048 50.5252702)",B 265,,,,
"[946520496, 946520498, 60881546, 767336712]","['2', '3']",Blumenthaler Straße,primary,False,True,94.956,,"LINESTRING (6.4736214 50.5266579, 6.4738504 50.5267743, 6.473859 50.5267787, 6.4739674 50.526835, 6.474079 50.5268915, 6.4744347 50.5270632, 6.4744798 50.5270837, 6.4746826 50.5271813)",B 265,,,,
