osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,lanes,bridge,access,width,tunnel
29058975,True,Bahnhofstraße,residential,20,False,58.021,"LINESTRING (8.3174929 50.160786, 8.317419 50.1607513, 8.3173613 50.1607155, 8.3172 50.1605952, 8.3170691 50.1604727, 8.3170025 50.1603772)",,,,,,
264335194,False,Wiesbadener Straße,secondary,50,False,152.931,"LINESTRING (8.3174929 50.160786, 8.3175301 50.1607574, 8.3175911 50.1607272, 8.3176675 50.1607043, 8.3177635 50.1606911, 8.318108 50.1606565, 8.3182007 50.1606413, 8.3182764 50.1606196, 8.3183671 50.1605913, 8.3184447 50.1605557, 8.3185166 50.1605146, 8.3186021 50.160456, 8.3186685 50.1603907, 8.3187101 50.1603135, 8.3187246 50.1602431, 8.318718 50.1601918, 8.318701 50.1601385, 8.3186747 50.1600942, 8.3186284 50.1600456, 8.3184877 50.1599584)",L 3027,,,,,
857435730,False,Wiesbadener Straße,secondary,50,True,29.293,"LINESTRING (8.3174929 50.160786, 8.3174805 50.1608029, 8.3174681 50.1608317, 8.3174666 50.1608724, 8.3174713 50.1609091, 8.3174922 50.1610458)",L 3027,,,,,
"[764000676, 264776284, 4086886, 947726975]",False,Frankfurter Straße,secondary,"['50', '60']",True,419.353,"LINESTRING (8.3214367 50.1582146, 8.3213705 50.1582892, 8.3208801 50.1588313, 8.3201386 50.1596935, 8.3198324 50.160033, 8.3196678 50.1601904, 8.3195154 50.1603379, 8.3193893 50.1604476, 8.319202 50.1605876, 8.3190614 50.1606921, 8.318889 50.1608012, 8.3186972 50.1609069, 8.3185271 50.1609871, 8.3183324 50.1610663, 8.3179807 50.1611902)",L 3026,"['2', '3']",,,,
9894602,False,Frankfurter Straße,secondary,60,False,19.93,"LINESTRING (8.3214367 50.1582146, 8.3215033 50.1581288, 8.3215566 50.1580527)",L 3026,2,,,,
395760803,False,Oberjosbacher Straße,unclassified,30,False,21.388,"LINESTRING (8.3214367 50.1582146, 8.3215431 50.1582557, 8.3216969 50.1583105)",,2,,,,
24574832,False,Kettelerstraße,residential,30,False,342.81899999999996,"LINESTRING (8.3184877 50.1599584, 8.319122 50.1595509, 8.319448 50.159286, 8.3197665 50.1589508, 8.3198114 50.1588571, 8.3197979 50.1588301, 8.3197869 50.1588082, 8.3197217 50.1587797, 8.3192367 50.1587226, 8.3191756 50.1587267, 8.3191307 50.1587511, 8.3189812 50.1589069, 8.3184234 50.1593817, 8.3180326 50.1597035)",,,,,,
"[264335194, 4086909]",False,Wiesbadener Straße,secondary,50,"[False, True]",43.064,"LINESTRING (8.3184877 50.1599584, 8.3182475 50.159825, 8.3180326 50.1597035)",L 3027,,,,,
264335194,False,Wiesbadener Straße,secondary,50,True,152.93099999999995,"LINESTRING (8.3184877 50.1599584, 8.3186284 50.1600456, 8.3186747 50.1600942, 8.318701 50.1601385, 8.318718 50.1601918, 8.3187246 50.1602431, 8.3187101 50.1603135, 8.3186685 50.1603907, 8.3186021 50.160456, 8.3185166 50.1605146, 8.3184447 50.1605557, 8.3183671 50.1605913, 8.3182764 50.1606196, 8.3182007 50.1606413, 8.318108 50.1606565, 8.3177635 50.1606911, 8.3176675 50.1607043, 8.3175911 50.1607272, 8.3175301 50.1607574, 8.3174929 50.160786)",L 3027,,,,,
29058975,True,Bahnhofstraße,residential,20,False,91.57900000000001,"LINESTRING (8.3170025 50.1603772, 8.316604 50.1602876, 8.3163103 50.1602473, 8.3157582 50.1601771)",,,,,,
