osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge,access,tunnel
26256853,True,Am Anger,residential,False,60.775,,,,"LINESTRING (7.2309334 50.5758598, 7.2313925 50.5753975)",,,,
"[443266176, 443266170, 443266180]",False,Am Güterbahnhof,primary,False,414.066,"['4', '2', '3']",B 9,50,"LINESTRING (7.2309334 50.5758598, 7.2304663 50.576116, 7.2298271 50.5765006, 7.229107 50.5769247, 7.2279746 50.5775678, 7.2275218 50.5778284, 7.2273003 50.57796, 7.2270433 50.5781171, 7.2266332 50.5783897)",,,,
19119290,False,Seelenstraße,residential,False,25.622,,,30,"LINESTRING (7.2320803 50.5768759, 7.2318833 50.5766824)",,,,
19119288,False,Johanniterstraße,residential,True,96.123,1,,30,"LINESTRING (7.2320803 50.5768759, 7.2324608 50.5767109, 7.2325918 50.5766501, 7.2327164 50.5765893, 7.2329109 50.5764938, 7.233102 50.5763969, 7.2331751 50.5763628)",,,,
19119290,False,Seelenstraße,residential,True,58.916,,,30,"LINESTRING (7.2320803 50.5768759, 7.2321944 50.5769857, 7.2323075 50.5770974, 7.2325261 50.5773237)",,,,
"[19119289, 23542558]",False,"['Rheinpromenade', 'Fährgasse']",residential,"[False, True]",309.45599999999996,1,,"['30', '10']","LINESTRING (7.2333072 50.5781107, 7.2333317 50.5781338, 7.2335845 50.5784431, 7.2337003 50.5785954, 7.2337487 50.5786589, 7.2338406 50.5787803, 7.2339344 50.5789033, 7.2339602 50.5789388, 7.234075 50.5790938, 7.234252 50.5793328, 7.2342535 50.579344, 7.234248 50.5793555, 7.2342348 50.5793657, 7.234212 50.5793747, 7.2341785 50.5793829, 7.2341412 50.5793902, 7.2339134 50.5794268, 7.2335739 50.579483, 7.23334 50.5795196, 7.2330185 50.5795704, 7.2327836 50.5796012, 7.23274 50.5796069, 7.2322028 50.5796899, 7.2321193 50.5796886)",,,,
19119290,False,Seelenstraße,residential,False,103.44900000000001,,,30,"LINESTRING (7.2333072 50.5781107, 7.2331176 50.5779172, 7.2330227 50.5778219, 7.2329141 50.5777194, 7.2327927 50.5775979, 7.2325261 50.5773237)",,,,
23542526,True,Marktstraße,residential,False,57.278999999999996,,,30,"LINESTRING (7.2333072 50.5781107, 7.2329382 50.5782051, 7.2326087 50.5782834, 7.2325516 50.578298)",,,,
55789668,False,Marktstraße,residential,False,93.445,2,,30,"LINESTRING (7.2333072 50.5781107, 7.2337262 50.578005, 7.2341918 50.5778939, 7.2345155 50.5778191, 7.2345451 50.577814)",,,,
443266184,False,Am Güterbahnhof,primary,True,8.506,3,B 9,50,"LINESTRING (7.2265552 50.578448, 7.2266332 50.5783897)",,,,
