osmid,oneway,name,highway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge,access,tunnel
23954933,True,Fritz-Lieb-Straße,residential,False,81.72,,,,"LINESTRING (9.7836537 48.0960082, 9.7845245 48.0964575)",,,,
"[769892359, 554930727]",False,Riedlinger Straße,primary,False,45.062,2,B 312,30,"LINESTRING (9.7836537 48.0960082, 9.7839338 48.0957436, 9.784004 48.0956773)",,,,
29153985,True,Riedlinger Straße,primary,False,24.916,1,B 312,30,"LINESTRING (9.784004 48.0956773, 9.7841234 48.0955136, 9.7841498 48.0954755)",,,,
"[554930727, 769892359]",False,Riedlinger Straße,primary,True,45.062,2,B 312,30,"LINESTRING (9.784004 48.0956773, 9.7839338 48.0957436, 9.7836537 48.0960082)",,,,
18380052,True,Felsengartenstraße,primary,False,49.972,1,B 312,30,"LINESTRING (9.7841498 48.0954755, 9.7843346 48.0952333, 9.7844588 48.0950763)",,,,
53185481,True,Felsengartenstraße,primary,False,71.828,2,B 312,30,"LINESTRING (9.7846841 48.0947951, 9.7850289 48.0943357, 9.7851379 48.0942255)",,,,
18380058,True,Saulgauer Straße,primary,False,20.24,1,B 312,30,"LINESTRING (9.7851379 48.0942255, 9.7852409 48.0942127, 9.7853134 48.094226, 9.7853935 48.094257)",,,,
18383353,True,,secondary_link,False,19.733,1,,50,"LINESTRING (9.7851379 48.0942255, 9.7851959 48.0941215, 9.7852239 48.0940577)",,,,
23950735,False,Karlstraße,residential,False,59.942,,,30,"LINESTRING (9.7863931 48.0947181, 9.7869989 48.0943619)",,,,
799750709,True,Saulgauer Straße,primary,False,49.172000000000004,2,B 312,30,"LINESTRING (9.7863931 48.0947181, 9.786484 48.0947722, 9.7868176 48.0950561)",,,,
18380055,True,Kolpingstraße,primary,False,20.083,1,B 312,50,"LINESTRING (9.7870142 48.0950904, 9.7868951 48.0951372, 9.7867807 48.0951815)",,,,
"[799750704, 799750703]",False,Kolpingstraße,primary,False,89.279,"['2', '3']",B 312,30,"LINESTRING (9.7870142 48.0950904, 9.7873133 48.0949675, 9.787485 48.094895, 9.7880327 48.0946639)",,,,
18380053,False,Kolpingstraße,primary,False,97.23700000000001,2,B 312,30,"LINESTRING (9.7880327 48.0946639, 9.7880774 48.0946447, 9.7881304 48.0946194, 9.7883676 48.094505, 9.788602 48.0943905, 9.7888845 48.0942407, 9.7890743 48.0941348)",,,,
23952688,False,Martin-Luther-Straße,tertiary,False,50.924,,,50,"LINESTRING (9.7880327 48.0946639, 9.7880845 48.0947041, 9.7881851 48.0947611, 9.7885816 48.094935)",,,,
"[799750704, 799750703]",False,Kolpingstraße,primary,True,89.279,"['2', '3']",B 312,30,"LINESTRING (9.7880327 48.0946639, 9.787485 48.094895, 9.7873133 48.0949675, 9.7870142 48.0950904)",,,,
7837373,False,Ehinger Straße,primary,False,73.136,2,B 465,50,"LINESTRING (9.7878889 48.1009019, 9.787855 48.1009462, 9.7877941 48.1010229, 9.7874284 48.1014833)",,,,
18383393,False,Bismarckring,secondary,False,129.4,2,,50,"LINESTRING (9.7878889 48.1009019, 9.7877475 48.1008496, 9.7874855 48.1007526, 9.7871262 48.1006397, 9.7867373 48.1005654, 9.7865007 48.1005392, 9.786264 48.100513)",,,,
23953357,False,Schwanenstraße,residential,False,52.502,2,,30,"LINESTRING (9.7878889 48.1009019, 9.7880004 48.1007708, 9.7883065 48.1005228)",,,,
"[1103813593, 1103646197]",False,Bismarckring,primary,True,74.084,4,B 465,50,"LINESTRING (9.7878889 48.1009019, 9.788053 48.1009578, 9.7883803 48.1010692, 9.7884592 48.1010924, 9.788626 48.1011214, 9.7888111 48.1011414)",,,,
18383381,False,Wielandstraße,residential,False,229.276,,,30,"LINESTRING (9.7866296 48.1026932, 9.7865572 48.1026853, 9.7856068 48.1025817, 9.7860035 48.1012377)",5,,,
"[210831706, 825919029, 825919030]",False,Ehinger Straße,primary,True,148.61,2,B 465,50,"LINESTRING (9.7866296 48.1026932, 9.7866314 48.1025829, 9.7866587 48.1024892, 9.7866863 48.1024308, 9.7867042 48.1024034, 9.7867268 48.1023688, 9.7868616 48.1021954, 9.7869123 48.1021285, 9.7869638 48.1020641, 9.7873053 48.1016372, 9.7874284 48.1014833)",,,,
319741712,True,Ulmer Straße,secondary,False,96.441,3,L 267,50,"LINESTRING (9.7966062 48.1020858, 9.7964304 48.1019608, 9.7963322 48.101856, 9.7962236 48.1016638, 9.7961972 48.1015613, 9.7961871 48.1014629, 9.7961838 48.1013303, 9.7961832 48.1012988)",,,,
18383396,False,Ulmer Straße,primary,True,22.117,2,B 465,50,"LINESTRING (9.7962422 48.1011654, 9.7965221 48.1012334)",,,,
"[826966010, 99091948]",False,Ulmer Straße,primary,False,16.246,3,B 465,50,"LINESTRING (9.7962422 48.1011654, 9.7961252 48.1011297, 9.7960826 48.1011167, 9.7960432 48.1011047)",,,,
18383396,False,Ulmer Straße,primary,False,22.117,2,B 465,50,"LINESTRING (9.7965221 48.1012334, 9.7962422 48.1011654)",,,,
856096335,False,Waldseer Straße,secondary,False,30.887,2,,50,"LINESTRING (9.7898534 48.0956898, 9.789946 48.095419)",,,,
18383371,True,Saudengasse,residential,False,140.26299999999998,1,,,"LINESTRING (9.7898534 48.0956898, 9.7899051 48.0957018, 9.7910433 48.0960019, 9.7914796 48.0961153, 9.7915955 48.0961702)",,,,
28841745,False,Waldseer Straße,secondary,True,24.988,2,,50,"LINESTRING (9.7898534 48.0956898, 9.7898125 48.0958188, 9.7897871 48.0959101)",,,,
"[18380056, 799750705]",True,Theaterstraße,primary,False,68.623,2,B 312,50,"LINESTRING (9.7851931 48.0959089, 9.7850622 48.0958247, 9.7849754 48.0957808, 9.7847376 48.0956604, 9.7844323 48.0955683)",,,,
"[18383352, 332718171, 28841748, 168221864]",False,"['Theaterstraße', 'Marktplatz']",residential,True,164.408,,,30,"LINESTRING (9.7851931 48.0959089, 9.7854276 48.0962184, 9.7855078 48.0963219, 9.7855995 48.0964334, 9.7856939 48.0965295, 9.7857563 48.0965868, 9.7859395 48.0967322, 9.7860755 48.0968194, 9.7861642 48.0968723, 9.7865397 48.097049)",,,,
18383386,False,Holzmarkt,residential,False,32.275000000000006,,,30,"LINESTRING (9.7865397 48.097049, 9.786619 48.0970188, 9.7867021 48.096938, 9.7868535 48.0968543)",,,,
"[168221864, 18383352, 332718171, 28841748]",False,"['Theaterstraße', 'Marktplatz']",residential,False,164.408,,,30,"LINESTRING (9.7865397 48.097049, 9.7861642 48.0968723, 9.7860755 48.0968194, 9.7859395 48.0967322, 9.7857563 48.0965868, 9.7856939 48.0965295, 9.7855995 48.0964334, 9.7855078 48.0963219, 9.7854276 48.0962184, 9.7851931 48.0959089)",,,,
320377159,False,Rollinstraße,tertiary,False,250.378,2,,50,"LINESTRING (9.7930014 48.0939757, 9.792938 48.0941479, 9.792921 48.0942046, 9.7928803 48.0943423, 9.7927066 48.0953058, 9.7926564 48.0956893, 9.7925886 48.0962081)",,,,
29058553,False,Rollinstraße,tertiary,True,11.268,,,,"LINESTRING (9.7925704 48.0963087, 9.7925886 48.0962081)",,,,
"[29058554, 40875915, 40875914]",False,Rollinstraße,tertiary,False,126.279,,,,"LINESTRING (9.7925704 48.0963087, 9.7925148 48.0964939, 9.7923776 48.0968329, 9.7923362 48.0969063, 9.7923031 48.0969569, 9.792169 48.0971622, 9.7920955 48.0972746, 9.7920505 48.0973278, 9.7919974 48.0973688)",,yes,,
"[142967186, 858527932]",False,Saudengasse,residential,True,74.31900000000002,,,,"LINESTRING (9.7925704 48.0963087, 9.7924605 48.0963055, 9.7923054 48.0962953, 9.792248 48.0962877, 9.7917638 48.0962089, 9.7916722 48.0961884, 9.7915955 48.0961702)",,,,
"[40875914, 40875915, 29058554]",False,Rollinstraße,tertiary,True,126.279,,,,"LINESTRING (9.7919974 48.0973688, 9.7920505 48.0973278, 9.7920955 48.0972746, 9.792169 48.0971622, 9.7923031 48.0969569, 9.7923362 48.0969063, 9.7923776 48.0968329, 9.7925148 48.0964939, 9.7925704 48.0963087)",,yes,,
"[168221872, 244500665, 244500668, 319827342]",False,Zeppelinring,secondary,True,93.28500000000001,,B 465,50,"LINESTRING (9.7919974 48.0973688, 9.7919065 48.097332, 9.7917333 48.0972777, 9.7916227 48.0972623, 9.7915716 48.0972468, 9.7914798 48.0972248, 9.7913192 48.0971876, 9.7912382 48.0971541, 9.7911862 48.0971125, 9.7911298 48.0970392, 9.7910946 48.0969699, 9.79106 48.0968984)",,,,
320262138,False,Zeppelinring,secondary,False,31.331,,B 465,50,"LINESTRING (9.7919974 48.0973688, 9.7921025 48.0974326, 9.7922829 48.0975755)",,,,
18383372,False,Zeppelinring,secondary,False,29.770000000000003,,B 465,50,"LINESTRING (9.7907058 48.096624, 9.7908887 48.0967341, 9.7909897 48.0968123)",,,,
18383372,False,Zeppelinring,secondary,True,89.178,,B 465,50,"LINESTRING (9.7907058 48.096624, 9.7900749 48.0963628, 9.7898294 48.0962558, 9.7897523 48.0962081, 9.7897198 48.0961742)",,,,
99014015,False,Museumstraße,residential,True,39.727000000000004,,,30,"LINESTRING (9.7907058 48.096624, 9.790632 48.0967183, 9.7904588 48.0969409)",,,,
323654405,False,Zeppelinring,secondary,True,10.905,,B 465,50,"LINESTRING (9.79106 48.0968984, 9.7909897 48.0968123)",,,,
"[168221872, 244500665, 244500668, 319827342]",False,Zeppelinring,secondary,False,93.28500000000001,,B 465,50,"LINESTRING (9.79106 48.0968984, 9.7910946 48.0969699, 9.7911298 48.0970392, 9.7911862 48.0971125, 9.7912382 48.0971541, 9.7913192 48.0971876, 9.7914798 48.0972248, 9.7915716 48.0972468, 9.7916227 48.0972623, 9.7917333 48.0972777, 9.7919065 48.097332, 9.7919974 48.0973688)",,,,
"[100221371, 100221366, 198612711]",False,Viehmarktplatz,residential,True,46.629,,,,"LINESTRING (9.79106 48.0968984, 9.790976 48.0969264, 9.7908705 48.0969582, 9.7907509 48.0969669, 9.7906141 48.0969682, 9.7905141 48.096955, 9.7904588 48.0969409)",,yes,,
23953358,False,Pfluggasse,residential,False,53.724,,,30,"LINESTRING (9.7922829 48.0975755, 9.7917445 48.0978982)",4,,,
320262138,False,Zeppelinring,secondary,False,85.951,,B 465,50,"LINESTRING (9.7922829 48.0975755, 9.7923606 48.0976461, 9.7924788 48.0977547, 9.7926089 48.0979201, 9.7927082 48.0981008, 9.7927857 48.0982646)",,,,
320262138,False,Zeppelinring,secondary,True,31.331,,B 465,50,"LINESTRING (9.7922829 48.0975755, 9.7921025 48.0974326, 9.7919974 48.0973688)",,,,
"[29228609, 23952419, 40875916, 40875917, 601395630, 29058551]",False,Breslaustraße,residential,False,480.436,,,30,"LINESTRING (9.7927857 48.0982646, 9.7928479 48.0982535, 9.7929306 48.0982387, 9.7934288 48.0980992, 9.7934782 48.0980848, 9.7935737 48.0980569, 9.7939756 48.0978965, 9.7941061 48.097829, 9.794174 48.0977992, 9.7942735 48.0977733, 9.7944505 48.0978201, 9.7946783 48.0978803, 9.7948196 48.0979177, 9.7949049 48.0979324, 9.7950444 48.0978936, 9.795166 48.0978111, 9.7952092 48.0977421, 9.7959462 48.0966035, 9.7959604 48.0965477, 9.7959513 48.096489, 9.7959293 48.0964393, 9.7959023 48.0963978, 9.795846 48.0963823, 9.7951713 48.0962462, 9.7945012 48.0960267)",4,yes,,
