osmid,lanes,name,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,bridge
1009867295,1,Friedensplatz,secondary,50,roundabout,True,False,17.533,"LINESTRING (13.7506662 52.4266159, 13.7507286 52.4266411, 13.7507757 52.4266766, 13.7508079 52.42674)",,
5057515,,Beuststraße,residential,30,,False,False,103.744,"LINESTRING (13.7518488 52.4249784, 13.7520343 52.4250319, 13.7521843 52.4250598, 13.752221 52.4250668, 13.7524138 52.425101, 13.7531377 52.4252308, 13.7533038 52.4252628)",,
"[860389744, 32395486]",2,Friedrichstraße,secondary,30,,False,False,194.418,"LINESTRING (13.7518488 52.4249784, 13.7520183 52.4248218, 13.7521178 52.4247111, 13.7522229 52.4245739, 13.7522821 52.4244644, 13.7523235 52.4243767, 13.7524061 52.4241844, 13.7524885 52.4239919, 13.7527137 52.4234456, 13.75274 52.4233813, 13.7527596 52.4233335)",L 30,
"[1178757324, 5057517, 5057518, 4068007]","['2', '3']",Friedrichstraße,secondary,30,,False,"[False, True]",151.382,"LINESTRING (13.7518488 52.4249784, 13.7516576 52.4251517, 13.7514598 52.4253361, 13.7511976 52.4255805, 13.7510084 52.4257581, 13.7507435 52.4260123, 13.7506355 52.4261211)",L 30,yes
"[5058257, 38375503]",,Julius-Rütgers-Straße,tertiary,50,,False,"[False, True]",123.705,"LINESTRING (13.7523171 52.4295737, 13.75254 52.4295983, 13.7525793 52.4296029, 13.7528863 52.4296392, 13.7530494 52.4296697, 13.753358 52.4297327, 13.7535928 52.4297933, 13.753921 52.4298949, 13.7540256 52.429938)",,
"[35666448, 27459457, 590950338]",2,Bahnhofstraße,secondary,50,,False,False,328.47700000000003,"LINESTRING (13.7523171 52.4295737, 13.7523333 52.4295212, 13.7523852 52.4293531, 13.7526194 52.4286293, 13.7526441 52.4285517, 13.7526849 52.4283803, 13.7527007 52.428285, 13.7526918 52.4282214, 13.7526654 52.4281614, 13.7526161 52.4281046, 13.7525116 52.4280144, 13.7524378 52.4279586, 13.7519215 52.4275693, 13.7514963 52.4272514, 13.7511264 52.4269701)",L 30,
"[24291257, 515511179]",2,Bahnhofstraße,secondary,50,,False,True,88.772,"LINESTRING (13.7523171 52.4295737, 13.7522587 52.4298235, 13.7522374 52.4299148, 13.7522187 52.4300453, 13.7522194 52.4301798, 13.7522471 52.4303082, 13.7522597 52.4303665)",L 30,
"[24291257, 515511179]",2,Bahnhofstraße,secondary,50,,False,False,88.77199999999999,"LINESTRING (13.7522597 52.4303665, 13.7522471 52.4303082, 13.7522194 52.4301798, 13.7522187 52.4300453, 13.7522374 52.4299148, 13.7522587 52.4298235, 13.7523171 52.4295737)",L 30,
886630605,,Julius-Rütgers-Straße,residential,30,,False,False,62.496,"LINESTRING (13.754425 52.4301463, 13.7551611 52.429808)",,
31427544,,Julius-Rütgers-Straße,residential,30,,False,True,35.667,"LINESTRING (13.754425 52.4301463, 13.7543322 52.4301035, 13.7541078 52.4299801, 13.7540501 52.4299484, 13.7540256 52.429938)",,
5057515,,Beuststraße,residential,30,,False,True,103.744,"LINESTRING (13.7533038 52.4252628, 13.7531377 52.4252308, 13.7524138 52.425101, 13.752221 52.4250668, 13.7521843 52.4250598, 13.7520343 52.4250319, 13.7518488 52.4249784)",,
