osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width,junction
163954299,2,B 277;L 3376,Hauptstraße,primary,50,False,False,14.91,"LINESTRING (8.4642437 50.5893643, 8.464279 50.5892321)",,,
13864822,,,Kirchberg,residential,30,False,False,133.26899999999998,"LINESTRING (8.4642437 50.5893643, 8.4642796 50.5893666, 8.464353 50.58937, 8.4644258 50.5894056, 8.4644344 50.5894722, 8.4643216 50.5896466, 8.4642474 50.5898701, 8.4642333 50.5899457, 8.4642199 50.5900233, 8.46422 50.5900893, 8.4642249 50.5901545, 8.4642548 50.5902213, 8.4643095 50.5902689, 8.4643592 50.5902981, 8.4644142 50.5903159, 8.4644798 50.5903334, 8.464546 50.5903511)",,,
"[163954299, 955609014]",2,B 277;L 3376,Hauptstraße,primary,50,False,True,99.86000000000001,"LINESTRING (8.4642437 50.5893643, 8.4641754 50.5895263, 8.4640865 50.5897148, 8.4639987 50.5898514, 8.4638604 50.5899887, 8.4636449 50.5901649)",,,
24418855,,,Hinterstraße,living_street,,False,False,89.167,"LINESTRING (8.4636449 50.5901649, 8.4633291 50.5900115, 8.4631319 50.5899208, 8.4630168 50.5898727, 8.4625597 50.5897714)",,,
"[527100729, 651472291]",2,"['B 277;L 3376', 'B 277']",Hauptstraße,primary,50,False,True,41.543,"LINESTRING (8.4636449 50.5901649, 8.4634408 50.5903221, 8.4632514 50.5904421)",,,
"[163954299, 955609014]",2,B 277;L 3376,Hauptstraße,primary,50,False,False,99.86,"LINESTRING (8.4636449 50.5901649, 8.4638604 50.5899887, 8.4639987 50.5898514, 8.4640865 50.5897148, 8.4641754 50.5895263, 8.4642437 50.5893643)",,,
83188909,,,Bachstraße,residential,30,False,True,1.871,"LINESTRING (8.4638993 50.5907852, 8.4638769 50.5907762)",,,
"[527100730, 192256364, 192256365]",,,Bachstraße,residential,30,False,False,224.03900000000004,"LINESTRING (8.4638993 50.5907852, 8.4640477 50.5908195, 8.4642022 50.590844, 8.4645612 50.5908753, 8.4646596 50.5908814, 8.4647079 50.5908871, 8.4647542 50.5908926, 8.4648684 50.5909107, 8.4649394 50.5909344, 8.4650109 50.590969, 8.4651314 50.5910471, 8.4651514 50.591062, 8.4651825 50.5910848, 8.4653132 50.5912011, 8.4654001 50.5912878, 8.4655099 50.5914063, 8.4655998 50.5915254, 8.4656324 50.5915853, 8.4656888 50.5917001, 8.4657063 50.5917778, 8.4657111 50.5918625, 8.4657069 50.5919495, 8.4657037 50.5920528, 8.4656997 50.592082, 8.4656947 50.5921179)",building_passage,,
192260201,,,Bachstraße,living_street,,False,True,47.849000000000004,"LINESTRING (8.4630717 50.5903041, 8.4628171 50.5901329, 8.4625876 50.5900035)",,,
713742391,,,Bachstraße,living_street,,True,False,20.088,"LINESTRING (8.4630717 50.5903041, 8.4632174 50.5903994, 8.4632514 50.5904421)",,,
