osmid,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,ref,bridge,lanes,junction,access
287739794,Landshuter Straße,secondary,50,False,False,52.968,"LINESTRING (12.5044203 48.3633637, 12.5049309 48.3630293)",,,,,,
60169421,,unclassified,,False,False,56.646,"LINESTRING (12.5044203 48.3633637, 12.5043541 48.3633173, 12.5042397 48.3632413, 12.5040756 48.3631568, 12.5038309 48.3630402)",,,,,,
287739794,Landshuter Straße,secondary,50,False,True,52.968,"LINESTRING (12.5049309 48.3630293, 12.5044203 48.3633637)",,,,,,
40427093,Landshuter Straße,secondary,50,False,False,111.26599999999999,"LINESTRING (12.5049309 48.3630293, 12.5051209 48.362926, 12.5052591 48.3628458, 12.5053301 48.3627852, 12.5054019 48.362726, 12.5054803 48.3626427, 12.5055521 48.362554, 12.5056466 48.3624311, 12.5057097 48.3623584, 12.5057553 48.3623099, 12.5057948 48.3622773, 12.5058398 48.3622466)",,,,,,
1057195838,Alte Teisinger Straße,unclassified,50,False,True,259.13599999999997,"LINESTRING (12.5049309 48.3630293, 12.5048634 48.3629806, 12.5047958 48.362923, 12.5045991 48.3626833, 12.5045412 48.3626371, 12.5044177 48.3625653, 12.5042345 48.3624833, 12.503349 48.3621206, 12.502581 48.3618687, 12.5021028 48.361742)",,,,,,
"[105578404, 541164281, 105578389, 35491577, 283552475]","['Bahnhofstraße', 'Stadtplatz']",tertiary,"['50', '30']",False,False,289.202,"LINESTRING (12.506562 48.3620011, 12.5066463 48.3620176, 12.506804 48.3620527, 12.5069899 48.3621109, 12.5073449 48.3622219, 12.507395 48.3622344, 12.5074335 48.3622391, 12.5074737 48.3622379, 12.507523 48.362232, 12.5075524 48.3622201, 12.5075811 48.3622076, 12.5076124 48.3621868, 12.5076517 48.3621535, 12.5076832 48.362125, 12.5077365 48.3620335, 12.507749 48.3619985, 12.5077632 48.3619599, 12.5077711 48.3619382, 12.5077868 48.3618738, 12.5078087 48.3618066, 12.5078501 48.3617272, 12.5079725 48.3615279, 12.5081981 48.3611615, 12.5086018 48.3604771)",building_passage,,,,,
35491577,Bahnhofstraße,tertiary,50,False,True,43.227000000000004,"LINESTRING (12.506562 48.3620011, 12.5064877 48.3619989, 12.5064026 48.3620033, 12.5063011 48.3620209, 12.5061912 48.3620565, 12.5060302 48.3621333)",,,,,,
232962702,Einmayrstraße,unclassified,,False,True,219.767,"LINESTRING (12.506562 48.3620011, 12.5066469 48.3617789, 12.5067348 48.3612602, 12.5069666 48.3607265, 12.5070006 48.3606182, 12.5072517 48.3600846)",,,,,,
60230431,Am Unteren Tor,tertiary,50,False,False,12.99,"LINESTRING (12.5094609 48.3597319, 12.5096272 48.359694)",,,,,,
"[105578404, 541164277, 541164278, 159042907, 60230431]","['Stadtplatz', 'Am Unteren Tor']",tertiary,"['50', '30']",False,True,74.49799999999999,"LINESTRING (12.5094609 48.3597319, 12.5092373 48.359814, 12.5091043 48.3598918, 12.50907 48.359916, 12.5090407 48.359941, 12.509031 48.3599493, 12.5089238 48.360053, 12.5088316 48.360149, 12.5087778 48.3602061)",building_passage,B 299,,,,
114656033,Birkenstraße,unclassified,,False,True,136.791,"LINESTRING (12.5094609 48.3597319, 12.5093454 48.3596741, 12.5089207 48.3595064, 12.5085862 48.3594207, 12.5082555 48.3593496, 12.5080068 48.3593209, 12.5077552 48.3593454)",,,,,,
"[28151133, 28151134, 60230431]","['Altöttinger Straße', 'Am Unteren Tor']",tertiary,50,False,True,62.239000000000004,"LINESTRING (12.5104415 48.3595516, 12.5103437 48.3595655, 12.5102249 48.3595836, 12.509702 48.3596771, 12.5096272 48.359694)",,,yes,,,
60169388,Badstraße,residential,30,False,True,140.457,"LINESTRING (12.5104415 48.3595516, 12.5103524 48.3594921, 12.5100996 48.3593632, 12.5097422 48.3592158, 12.5094449 48.3590899, 12.508881 48.358834)",,,,,,
184396668,Altöttinger Straße,tertiary,50,False,False,32.299,"LINESTRING (12.5104415 48.3595516, 12.5105349 48.3595413, 12.5106445 48.359522, 12.5107 48.3595045, 12.5107515 48.3594755, 12.5108162 48.3594247)",,,,,,
32885622,Badweg,residential,,False,True,35.936,"LINESTRING (12.5077552 48.3593454, 12.5078678 48.359031)",,,,,,
114656033,Birkenstraße,unclassified,,False,False,136.791,"LINESTRING (12.5077552 48.3593454, 12.5080068 48.3593209, 12.5082555 48.3593496, 12.5085862 48.3594207, 12.5089207 48.3595064, 12.5093454 48.3596741, 12.5094609 48.3597319)",,,,,,
114656035,Birkenstraße,unclassified,,False,True,145.93,"LINESTRING (12.5077552 48.3593454, 12.5075561 48.3593616, 12.5073035 48.359357, 12.5069929 48.3593025, 12.5068759 48.3592726, 12.5066401 48.3592122, 12.5064968 48.3591756, 12.5058783 48.3590062)",,,,,,
232962702,Einmayrstraße,unclassified,,False,False,90.673,"LINESTRING (12.5077552 48.3593454, 12.5076687 48.3594422, 12.5073821 48.3597994, 12.5072517 48.3600846)",,,,,,
29427954,,secondary,50,True,False,19.506,"LINESTRING (12.5058097 48.3621377, 12.5058328 48.3621179, 12.5058635 48.3621034, 12.5058993 48.3620954, 12.505937 48.3620946, 12.5059734 48.3621012, 12.5060054 48.3621144, 12.5060302 48.3621333)",,,,1,roundabout,
"[410060388, 159209101]",Bahnhofstraße,tertiary,50,False,False,86.904,"LINESTRING (12.5058097 48.3621377, 12.5056852 48.3620926, 12.5055191 48.3620494, 12.5053171 48.361986, 12.5050777 48.3618839, 12.5048756 48.3617993, 12.504787 48.3617567)",,St 2086,,,,
29427954,,secondary,50,True,False,12.93,"LINESTRING (12.5060302 48.3621333, 12.5060473 48.36216, 12.50605 48.3621891, 12.5060378 48.362217, 12.5060123 48.3622406)",,,,1,roundabout,
35491577,Bahnhofstraße,tertiary,50,False,False,43.227,"LINESTRING (12.5060302 48.3621333, 12.5061912 48.3620565, 12.5063011 48.3620209, 12.5064026 48.3620033, 12.5064877 48.3619989, 12.506562 48.3620011)",,,,,,
