osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
173341514,True,Spiekerstraße,residential,False,51.808,"LINESTRING (11.8522343 53.4278133, 11.8530161 53.427804)",,,,,
173341510,True,Auf dem Sassenhagen,residential,False,66.15,"LINESTRING (11.8522343 53.4278133, 11.8523301 53.4281062, 11.8523816 53.4284011)",,,,,
30286288,True,Waagestraße,residential,False,21.736,"LINESTRING (11.8482657 53.4262496, 11.8481522 53.426433)",,,,,
30286279,True,Baadestraße,residential,False,18.485,"LINESTRING (11.8482657 53.4262496, 11.8484344 53.426302, 11.8484894 53.4263435)",,,,,
173282599,False,Moltkeplatz,residential,True,36.343,"LINESTRING (11.8465334 53.4251855, 11.8460388 53.4253268)",,,,,
33580276,False,Flörkestraße,residential,False,251.351,"LINESTRING (11.8465334 53.4251855, 11.8460403 53.4248305, 11.8459055 53.4247379, 11.8440578 53.4234729)",,,,,
173282599,False,Moltkeplatz,residential,False,82.231,"LINESTRING (11.8465334 53.4251855, 11.847142 53.4250396, 11.8474252 53.4249937, 11.8475577 53.424981, 11.847616 53.4249836, 11.8477116 53.4249987)",,,,,
173282599,False,Moltkeplatz,residential,False,36.343,"LINESTRING (11.8460388 53.4253268, 11.8465334 53.4251855)",,,,,
33581333,False,Cordesiusstraße,residential,True,186.977,"LINESTRING (11.8460388 53.4253268, 11.8459121 53.4252684, 11.8457239 53.4251982, 11.8450434 53.4250113, 11.8441007 53.4247543, 11.8434893 53.4246164)",,,,,
385250935,False,Moltkeplatz,residential,True,35.699,"LINESTRING (11.8460388 53.4253268, 11.845969 53.4253666, 11.8457403 53.4255921)",,,,,
114523222,True,Mittelstraße,residential,False,75.8,"LINESTRING (11.8493465 53.4272227, 11.8502833 53.4268314)",,,,,
173341512,True,Hakenstraße,residential,False,55.142,"LINESTRING (11.8493465 53.4272227, 11.8499351 53.4275733)",,,,,
30049444,False,Wallallee,primary,False,246.573,"LINESTRING (11.8517494 53.4244842, 11.8514647 53.4244618, 11.8504178 53.4243796, 11.8493024 53.4243468, 11.8483938 53.4243642, 11.8480416 53.424371)",2,B 191,50,,
33793114,False,Wallallee,primary,False,447.2510000000001,"LINESTRING (11.8517494 53.4244842, 11.8517909 53.42459, 11.8518118 53.4246249, 11.8518445 53.4246795, 11.8519089 53.4247498, 11.8519802 53.4247992, 11.8522423 53.4249531, 11.8525848 53.4251974, 11.853368 53.4257582, 11.8535599 53.4259355, 11.8541707 53.42659, 11.8543587 53.4268455, 11.8544556 53.427054, 11.8545053 53.4272111, 11.8545184 53.427392, 11.8545089 53.4275682, 11.8544912 53.4278112, 11.8544774 53.4280015)",2,B 321,50,,
"[201039377, 1081232594, 33793116]",False,Friedhofsweg,residential,False,194.10399999999998,"LINESTRING (11.8517494 53.4244842, 11.8517757 53.4244197, 11.8517975 53.4243664, 11.8518354 53.4243158, 11.8518779 53.4242657, 11.8519411 53.4242182, 11.8520305 53.4241599, 11.8521534 53.4241042, 11.8530082 53.4237905, 11.8531981 53.4237215, 11.8532336 53.4237085, 11.8534134 53.4236426, 11.8537466 53.4235161, 11.8538647 53.4234728, 11.8539817 53.42343)",,,,,
4881605,True,Putlitzer Straße,primary,False,259.752,"LINESTRING (11.8480416 53.424371, 11.8478539 53.4243765, 11.8476415 53.4243709, 11.8475044 53.424347, 11.847402 53.4243025, 11.8452923 53.4228293)",2,B 191,,,
30049444,False,Wallallee,primary,True,246.573,"LINESTRING (11.8480416 53.424371, 11.8483938 53.4243642, 11.8493024 53.4243468, 11.8504178 53.4243796, 11.8514647 53.4244618, 11.8517494 53.4244842)",2,B 191,50,,
30286258,False,Moltkeplatz,residential,True,65.451,"LINESTRING (11.8480416 53.424371, 11.8480338 53.4244659, 11.8480002 53.4245486, 11.8479698 53.4246153, 11.8479581 53.4246877, 11.8479912 53.4248503, 11.8479782 53.4248985, 11.8479425 53.4249482)",,,,,
4857989,True,Lindenstraße,residential,False,5.137,"LINESTRING (11.8485243 53.4281807, 11.8485971 53.4281966)",,,,,
201039374,True,Alter Markt,residential,False,13.622,"LINESTRING (11.8485243 53.4281807, 11.8483187 53.4281807)",,,,,
30286158,True,Stiftstraße,residential,False,123.947,"LINESTRING (11.8468468 53.427993, 11.846813 53.4291075)",,,,,
33882829,True,Lange Straße,residential,False,103.841,"LINESTRING (11.8468468 53.427993, 11.8466051 53.4280065, 11.8462229 53.4280208, 11.8460267 53.4280339, 11.8458247 53.4280309, 11.8456479 53.4280137, 11.8455323 53.4280031, 11.84529 53.4279777)",,,,,
173303164,True,Neue Mauerstraße,residential,False,43.509,"LINESTRING (11.846813 53.4291075, 11.8474676 53.4291389)",,,,,
34569910,True,Neue Mauerstraße,residential,False,74.65,"LINESTRING (11.846813 53.4291075, 11.8461912 53.4291014, 11.8460631 53.429105, 11.8456872 53.4291191)",,,,,
33793114,False,Wallallee,primary,False,56.535,"LINESTRING (11.8544774 53.4280015, 11.8544684 53.4281827, 11.8544532 53.4283377, 11.8544379 53.4283906, 11.8544299 53.4284185, 11.8543925 53.4285056)",2,B 321,50,,
33793114,False,Wallallee,primary,True,447.25100000000003,"LINESTRING (11.8544774 53.4280015, 11.8544912 53.4278112, 11.8545089 53.4275682, 11.8545184 53.427392, 11.8545053 53.4272111, 11.8544556 53.427054, 11.8543587 53.4268455, 11.8541707 53.42659, 11.8535599 53.4259355, 11.853368 53.4257582, 11.8525848 53.4251974, 11.8522423 53.4249531, 11.8519802 53.4247992, 11.8519089 53.4247498, 11.8518445 53.4246795, 11.8518118 53.4246249, 11.8517909 53.42459, 11.8517494 53.4244842)",2,B 321,50,,
201039375,True,Alter Markt,residential,False,85.35,"LINESTRING (11.8482519 53.4274323, 11.8483226 53.4277238, 11.8484134 53.4279761, 11.8485243 53.4281807)",,,,,
"[30286288, 173510085]",True,"['Am Rathaus', 'Waagestraße']",residential,False,115.737,"LINESTRING (11.8481522 53.426433, 11.8478775 53.4268506, 11.8478798 53.4268735, 11.8479285 53.4269283, 11.8483142 53.4273066, 11.848325 53.427371)",,,,,
