osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,ref,access
804262251,Gerichtsstraße,residential,30,False,True,62.3,,"LINESTRING (14.338901 51.761054, 14.3380032 51.7609824)",,,
"[130268203, 117732533]",Straße der Jugend,secondary,50,False,False,40.64,2,"LINESTRING (14.3333467 51.7540464, 14.3332978 51.7543674, 14.3332888 51.7544101)",,,
"[48571793, 117732533]",Straße der Jugend,secondary,50,False,True,80.164,2,"LINESTRING (14.3333467 51.7540464, 14.3333489 51.7538996, 14.3333513 51.7537282, 14.3333535 51.7534883, 14.3333508 51.7533255)",,,
"[1030099425, 1030099426, 1221758556, 1030099423]",Bautzener Straße,residential,30,False,True,126.991,,"LINESTRING (14.3333467 51.7540464, 14.3334513 51.7540502, 14.3334994 51.7540457, 14.3335693 51.7540368, 14.3336344 51.7540152, 14.3337298 51.7539572, 14.3338854 51.7538417, 14.333992 51.7537627, 14.3341639 51.7536293, 14.3346175 51.7532771)",,,
"[127012922, 808052391]",Taubenstraße,residential,30,False,True,77.569,,"LINESTRING (14.3318884 51.7553229, 14.3319872 51.755509, 14.3320487 51.7556923, 14.3320437 51.7557976, 14.3319893 51.7559419, 14.3319442 51.7559961)",,,
808052392,Taubenstraße,residential,30,False,False,29.784,2,"LINESTRING (14.3318884 51.7553229, 14.3318423 51.7552761, 14.3316748 51.7551463, 14.3316274 51.7551097)",,,
"[862955907, 41846389]",Taubenstraße,residential,30,False,False,49.542,,"LINESTRING (14.3318884 51.7553229, 14.3319335 51.7552534, 14.3319086 51.7550857, 14.3318927 51.7550609, 14.3318529 51.7550545, 14.3316274 51.7551097)",,,
"[862955907, 41846389]",Taubenstraße,residential,30,False,True,49.542,,"LINESTRING (14.3316274 51.7551097, 14.3318529 51.7550545, 14.3318927 51.7550609, 14.3319086 51.7550857, 14.3319335 51.7552534, 14.3318884 51.7553229)",,,
808052392,Taubenstraße,residential,30,False,True,29.784,2,"LINESTRING (14.3316274 51.7551097, 14.3316748 51.7551463, 14.3318423 51.7552761, 14.3318884 51.7553229)",,,
127012921,Taubenstraße,residential,10,False,False,59.942,2,"LINESTRING (14.3316274 51.7551097, 14.3315623 51.7550651, 14.3314479 51.7549478, 14.3313117 51.7547974, 14.3311841 51.7546474)",,,
"[48893555, 130242021]",Straße der Jugend,secondary,50,False,True,79.188,"['4', '2']","LINESTRING (14.3332869 51.7567719, 14.3332601 51.7566737, 14.3332054 51.7565548, 14.333087 51.7563466, 14.3330084 51.7561545, 14.3329916 51.7561136, 14.3329806 51.7560866)",,,
"[130268209, 130268207]",Straße der Jugend,secondary,50,False,False,51.971,4,"LINESTRING (14.3332869 51.7567719, 14.3333039 51.7571413, 14.3333146 51.757174, 14.3333352 51.7572372)",,,
"[1029038955, 1144432116, 697961439]",Ostrower Straße,residential,50,False,True,64.64099999999999,,"LINESTRING (14.3332869 51.7567719, 14.3333842 51.7567483, 14.3334327 51.7567351, 14.3334458 51.7567305, 14.3335693 51.7566866, 14.3336663 51.7566491, 14.3337453 51.7565843, 14.3339324 51.7564307, 14.333974 51.7563975)",,,
130095968,Marienstraße,residential,30,False,True,84.716,,"LINESTRING (14.3307648 51.7536149, 14.3295371 51.7535616)",8.3,,
130095981,Taubenstraße,residential,30,False,False,54.737,,"LINESTRING (14.3307648 51.7536149, 14.3305748 51.7531369)",6.4,,
117589420,Marienstraße,residential,30,True,False,147.958,,"LINESTRING (14.3307648 51.7536149, 14.3309841 51.7535197, 14.3325874 51.7533589, 14.332844 51.7533463)",5.7,,
"[179220657, 1026412059, 179148054]",Taubenstraße,residential,30,False,True,105.329,,"LINESTRING (14.3307648 51.7536149, 14.3307945 51.7537195, 14.330878 51.7540131, 14.330932 51.7541845, 14.330946 51.7542213, 14.3310006 51.7543646, 14.331028 51.7544437, 14.331045 51.7544926, 14.3310654 51.7545434)",7.5,,
179220656,Taubenstraße,residential,30,False,True,14.437,,"LINESTRING (14.3310654 51.7545434, 14.3311265 51.7545756, 14.3311841 51.7546474)",,,
"[1026412060, 808073365, 862955879]",Adolph-Kolping-Straße,residential,30,False,True,112.79499999999999,2,"LINESTRING (14.3310654 51.7545434, 14.3308578 51.7545149, 14.3306799 51.7544897, 14.3297629 51.7543599, 14.3297346 51.754356, 14.3294673 51.7543191)",,,
"[179220657, 1026412059, 179148054]",Taubenstraße,residential,30,False,False,105.329,,"LINESTRING (14.3310654 51.7545434, 14.331045 51.7544926, 14.331028 51.7544437, 14.3310006 51.7543646, 14.330946 51.7542213, 14.330932 51.7541845, 14.330878 51.7540131, 14.3307945 51.7537195, 14.3307648 51.7536149)",7.5,,
117589419,Marienstraße,residential,,False,True,27.2,,"LINESTRING (14.3332379 51.7533269, 14.332844 51.7533463)",,,
