osmid,ref,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,tunnel,access
"[4682606, 624193316, 624193318]",L 200,Weißenseer Straße,secondary,50,False,False,142.578,2,"LINESTRING (13.583288 52.6748419, 13.5832154 52.6749925, 13.5831113 52.6752023, 13.5828969 52.6756843, 13.5828768 52.6757633, 13.5828721 52.6758471, 13.5828931 52.67609)",,,
"[4682631, 1208661551]",,Breitscheidstraße,unclassified,30,False,False,270.084,2,"LINESTRING (13.583288 52.6748419, 13.5834606 52.6748842, 13.5834879 52.6748909, 13.5835247 52.6748999, 13.5843892 52.6751114, 13.5847618 52.6752084, 13.5858402 52.6754726, 13.5865353 52.6756465, 13.5869958 52.6757612)",,,
"[6064243, 27566532]",,Weinbergstraße,residential,50,False,False,174.139,,"LINESTRING (13.5818936 52.6761147, 13.5818209 52.6761761, 13.5818074 52.6761882, 13.5815769 52.6765493, 13.5813459 52.6769053, 13.5809196 52.6775624)",6,,
707579265,L 314,Heinersdorfer Straße,secondary,50,False,False,31.426,3,"LINESTRING (13.5818936 52.6761147, 13.5822103 52.6762331, 13.5822904 52.676263)",,,
521774292,,Klementstraße,residential,30,False,False,96.862,,"LINESTRING (13.5863696 52.6765452, 13.5869958 52.6757612)",,,
521774292,,Klementstraße,residential,30,False,True,19.99,,"LINESTRING (13.5863696 52.6765452, 13.5862414 52.6767073)",,,
"[939780344, 43711337, 1208691203, 245324147]",,Breitscheidstraße,unclassified,30,False,False,104.18200000000002,2,"LINESTRING (13.5905491 52.6766162, 13.5906442 52.6766455, 13.5907909 52.6766815, 13.5908992 52.6767073, 13.5915904 52.6768717, 13.591632 52.6768814, 13.5916844 52.6768948, 13.5919809 52.6769679)",,,
1196866111,,Breitscheidstraße,unclassified,30,False,True,257.819,2,"LINESTRING (13.5905491 52.6766162, 13.590194 52.6765193, 13.588497 52.6760991, 13.5878892 52.6759537, 13.5877293 52.67592, 13.5874184 52.67585, 13.5871869 52.6758037, 13.5869958 52.6757612)",,,
"[1208691202, 122234412]",,Alte Goethestraße,residential,30,False,True,89.55,,"LINESTRING (13.5905491 52.6766162, 13.5905122 52.6766789, 13.5904986 52.6767022, 13.5904655 52.6767584, 13.5903165 52.6770326, 13.5901696 52.6772949, 13.5901263 52.6773796)",,,
"[776529898, 43711335]",,Bahnhofsplatz,residential,,False,True,70.127,,"LINESTRING (13.5928953 52.6771866, 13.5929196 52.6771493, 13.5930026 52.6770497, 13.5932023 52.6768167, 13.5932743 52.6767326, 13.5934078 52.6766418)",,,
