osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel,junction,bridge,access
24808247,2,Am Ziegelbrunn,residential,50,False,False,60.421,"LINESTRING (10.5126144 50.0315268, 10.5127088 50.0314441, 10.5128583 50.0313683, 10.5129093 50.0313497, 10.5130009 50.0313249, 10.5130737 50.0313038, 10.5132198 50.0312616, 10.5133073 50.0312337)",,,,,,
"[35045142, 680270903]","['2', '3']",Obere Vorstadt,tertiary,50,False,False,33.68899999999999,"LINESTRING (10.5126144 50.0315268, 10.512538 50.0314999, 10.5124718 50.0314861, 10.5124388 50.0314792, 10.5123315 50.0314637, 10.5122269 50.0314533, 10.5121625 50.0314539)",,,,,,
"[680270905, 27298148]","['2', '3']",Heideloffplatz,tertiary,50,False,True,36.089000000000006,"LINESTRING (10.5126144 50.0315268, 10.512713 50.0315726, 10.5127871 50.031625, 10.5128382 50.0316717, 10.5129345 50.0317728)",,,,,,
24715065,,Bahnhofstraße,tertiary,50,False,False,77.447,"LINESTRING (10.5100417 50.031539, 10.5100247 50.0315778, 10.5100142 50.0316357, 10.5099674 50.0319232, 10.5099368 50.0322314)",,,,,,
"[107444819, 35045142]",2,Obere Vorstadt,tertiary,50,False,True,29.073,"LINESTRING (10.5100417 50.031539, 10.5102148 50.0315522, 10.5103216 50.031557, 10.510375 50.0315569, 10.5104472 50.031555)",,,,,,
24715065,,Bahnhofstraße,tertiary,50,False,True,39.168,"LINESTRING (10.5099035 50.032583, 10.5099368 50.0322314)",,,,,,
37848406,,Promenade,residential,,False,True,100.854,"LINESTRING (10.5099035 50.032583, 10.5096924 50.0325951, 10.5095554 50.0326112, 10.5091519 50.0326965, 10.508563 50.0328508)",,,,,,
"[670524872, 672337642, 672337643, 672337644, 672337645]",2,Bahnhofstraße,tertiary,50,False,False,205.22000000000003,"LINESTRING (10.5099035 50.032583, 10.5098907 50.0326267, 10.5098652 50.0328027, 10.5098074 50.0328644, 10.5096717 50.0329516, 10.5095317 50.0330081, 10.5093378 50.0330666, 10.5092033 50.0331057, 10.5090316 50.0331394, 10.5075847 50.0334344)",7.1,,,,,
"[908802843, 28979054]",,Centstraße,residential,,False,True,102.236,"LINESTRING (10.5099035 50.032583, 10.5099979 50.032585, 10.5100698 50.0325865, 10.510108 50.0325741, 10.5101512 50.0325601, 10.5101985 50.0325176, 10.5102686 50.0324456, 10.5103461 50.032366, 10.5104212 50.0323057, 10.5104748 50.0322867, 10.5105338 50.0322747, 10.5106062 50.0322712, 10.5107082 50.0322695, 10.5108959 50.0322712, 10.5111043 50.0322712)",,,,,,
38148880,,Engelmeßgasse,residential,50,False,True,38.748999999999995,"LINESTRING (10.5075847 50.0334344, 10.5075274 50.0332596, 10.5074752 50.0330931)",7.3,,,,,
"[672337642, 28522604]",2,Bahnhofstraße,tertiary,"['50', '30']",False,False,144.488,"LINESTRING (10.5075847 50.0334344, 10.5070468 50.0335436, 10.5068874 50.0335718, 10.506572 50.0336218, 10.506385 50.0336483, 10.5061106 50.0336839, 10.5058236 50.0337213, 10.5056205 50.0337357)",,,,,,
"[670524872, 672337642, 672337643, 672337644, 672337645]",2,Bahnhofstraße,tertiary,50,False,True,205.21999999999997,"LINESTRING (10.5075847 50.0334344, 10.5090316 50.0331394, 10.5092033 50.0331057, 10.5093378 50.0330666, 10.5095317 50.0330081, 10.5096717 50.0329516, 10.5098074 50.0328644, 10.5098652 50.0328027, 10.5098907 50.0326267, 10.5099035 50.032583)",7.1,,,,,
27600878,,Schlesingerstraße,residential,,True,False,51.623,"LINESTRING (10.5072359 50.0325106, 10.5079498 50.0324382)",,,,,,
729842288,,Pfarrgasse,residential,20,False,True,28.118,"LINESTRING (10.5072359 50.0325106, 10.5068621 50.0325899)",3.8,,,,,
24967396,,Engelmeßgasse,residential,20,False,False,35.491,"LINESTRING (10.5072359 50.0325106, 10.5073161 50.0328, 10.5073248 50.0328246)",4.2,,,,,
"[27600891, 975438638]",,Lucengasse,residential,20,True,False,55.794,"LINESTRING (10.5072359 50.0325106, 10.5071534 50.0321493, 10.5071001 50.032142, 10.5069454 50.0321209)",3.2,,,,,
85208586,,Marktplatz,residential,20,True,False,17.537,"LINESTRING (10.5069454 50.0321209, 10.5067034 50.0321475)",3.8,,,,,
729842289,,Kaplaneigasse,residential,20,False,False,12.632,"LINESTRING (10.5064014 50.0321854, 10.5062278 50.0322071)",,,,,,
22763924,,Marktplatz,residential,20,True,False,78.876,"LINESTRING (10.5064014 50.0321854, 10.5063298 50.0321314, 10.5063236 50.031573, 10.5063227 50.031493)",5.2,,,,,
729842290,,Hauptstraße,secondary,30,False,False,30.396,"LINESTRING (10.5063227 50.031493, 10.506748 50.0315024)",,St 2275,,,,
"[680574701, 680574702]",,Hauptstraße,secondary,30,False,True,33.593,"LINESTRING (10.5063227 50.031493, 10.5061895 50.0314871, 10.5059948 50.0314813, 10.5058533 50.0314746)",,St 2275,,,,
