osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,bridge,width
73165761,Hauptwachstraße,living_street,False,True,27.024,,"LINESTRING (10.890601 49.8950305, 10.8907603 49.8952508)",,,,
"[46832137, 135243588]",Vorderer Graben,"['living_street', 'residential']",True,False,79.21600000000001,20,"LINESTRING (10.890601 49.8950305, 10.8903023 49.8951597, 10.8897723 49.8953876, 10.8896818 49.8954266)",,,,
"[37262373, 392094942]",Habergasse,residential,False,False,14.297,30,"LINESTRING (10.8886309 49.8917778, 10.888644 49.8917621, 10.8886642 49.8917452, 10.8886879 49.8917273, 10.8887051 49.8917159, 10.8887614 49.8916815)",,,,
"[34987897, 192219545, 192978069, 144695151]",Geyerswörthstraße,residential,False,False,95.981,50,"LINESTRING (10.8875934 49.8910648, 10.8876542 49.8910025, 10.8877487 49.8909056, 10.8877903 49.890863, 10.8878828 49.8907598, 10.8879679 49.8906649, 10.888039 49.89058, 10.8880414 49.8905771, 10.8880628 49.8905539, 10.8881612 49.8904366, 10.8882285 49.8903564, 10.8882616 49.890317)","['4', '2']",,,
"[19100201, 127853588, 127853590]",Markusstraße,tertiary,False,False,108.81099999999999,30,"LINESTRING (10.8815895 49.8937051, 10.8816407 49.8937157, 10.8817085 49.8937507, 10.8819083 49.8938686, 10.8822487 49.8940828, 10.8826078 49.8943081, 10.8827054 49.8943637)",2,BAs 36,yes,
127292907,Untere Sandstraße,unclassified,False,False,10.352,30,"LINESTRING (10.8815895 49.8937051, 10.8816158 49.8936662, 10.881668 49.8936283)",2,,,5 m
65452866,Hellerstraße,living_street,False,False,61.154,,"LINESTRING (10.8904937 49.8927941, 10.8904882 49.8927533, 10.8904265 49.8925894, 10.8902882 49.8922609)",,,,
"[120905704, 1182018649, 136697087]",Hellerstraße,living_street,False,True,48.184,,"LINESTRING (10.8904937 49.8927941, 10.8904207 49.8928275, 10.8903368 49.8928822, 10.8902346 49.8929623, 10.8902136 49.8929782, 10.8900379 49.8931106)",,,,
"[744843208, 124361761]","['An den Stadtmauern', 'Hellerstraße']",living_street,False,True,39.84,,"LINESTRING (10.8904937 49.8927941, 10.8905534 49.892761, 10.8908296 49.8926788, 10.8909889 49.8926351)",,,,
"[8107971, 772389355, 772389356, 67013517, 696856878, 24228433, 65272850, 67013523, 65272855, 61893753]","['Habergasse', 'Am Kanal']",residential,False,True,311.89,"['50', '30']","LINESTRING (10.8907202 49.8896201, 10.8905785 49.8896271, 10.8903655 49.8895857, 10.8902456 49.8895601, 10.8902007 49.8895611, 10.8901591 49.889572, 10.8901042 49.8896052, 10.8900767 49.8896473, 10.8900192 49.8898373, 10.8898376 49.8903014, 10.8896849 49.8906344, 10.8896095 49.8907709, 10.8894519 49.8910599, 10.8893695 49.8911374, 10.8892781 49.8912112, 10.8891488 49.8912871, 10.8890326 49.8913505, 10.8888863 49.8914122, 10.8887208 49.8914648, 10.8886906 49.8914764, 10.8886862 49.8914938, 10.8886884 49.891528, 10.8887009 49.8915657, 10.8887614 49.8916815)",,,,"['2.5', '5.7', '3.8', '2.2', '5']"
121270451,Nonnenbrücke,tertiary,False,True,38.493,30,"LINESTRING (10.8907202 49.8896201, 10.8908487 49.889674, 10.8910323 49.8897409, 10.8910706 49.8897549, 10.8911836 49.889795)",2,,,
"[948641191, 121270446, 455241199, 291349263, 121270450]",Nonnenbrücke,tertiary,False,"[False, True]",118.718,30,"LINESTRING (10.8907202 49.8896201, 10.8906318 49.8895915, 10.8905802 49.8895785, 10.8904698 49.8895559, 10.8902775 49.8895154, 10.8901653 49.8894888, 10.8896833 49.8893744, 10.8895812 49.8893482, 10.889311 49.889273, 10.8892498 49.8892569, 10.8892041 49.8892526, 10.88917 49.8892574)",2,,yes,
"[1184798081, 1232379866, 187204972, 187204973, 358510478, 358510476, 358510477, 120430808, 24228442, 117357371]","['Am Zwinger', 'Dr.-Haas-Straße']",residential,False,"[False, True]",306.312,30,"LINESTRING (10.8926018 49.887198, 10.8925619 49.8872818, 10.8924414 49.8875346, 10.892393 49.8876328, 10.8922368 49.8879494, 10.8921167 49.8881926, 10.8920408 49.8883421, 10.8920018 49.8884189, 10.8922812 49.8885207, 10.8925766 49.8886677, 10.8926978 49.8887492, 10.8927426 49.8887887, 10.892781 49.8888394, 10.892928 49.8890766, 10.8929569 49.8891167, 10.8929907 49.8891368, 10.8930451 49.8891563, 10.8932575 49.889203, 10.8935441 49.8892618, 10.8935837 49.8892699, 10.8936934 49.8892921)",2,,,
"[358506053, 536635269, 68340521, 537121899, 67654134, 67654136, 77117498]",Concordiastraße,living_street,False,True,147.067,,"LINESTRING (10.8883464 49.8881032, 10.8882337 49.8881654, 10.8880767 49.8882575, 10.8878383 49.8884014, 10.88771 49.8884766, 10.8874561 49.8886709, 10.8874126 49.8887042, 10.8872801 49.8887908, 10.8870995 49.8889008, 10.88689 49.8890327)",,,,
"[26263868, 67604734]",Am Leinritt,living_street,True,False,87.51,,"LINESTRING (10.8831481 49.8934507, 10.8830507 49.8934878, 10.8827673 49.893613, 10.8825792 49.8936961, 10.8823086 49.8938107, 10.8821306 49.893886)",,,,
67643800,Oberer Stephansberg,residential,False,False,25.477,30,"LINESTRING (10.8867633 49.8878919, 10.8870883 49.8877989)",,,,
67643800,Oberer Stephansberg,residential,False,True,25.477,30,"LINESTRING (10.8870883 49.8877989, 10.8867633 49.8878919)",,,,
27418735,Oberer Stephansberg,residential,False,True,25.570999999999998,30,"LINESTRING (10.8870883 49.8877989, 10.8870489 49.8879069, 10.8870257 49.8879822, 10.8870151 49.8880239)",,,,
77117503,Stephansplatz,living_street,False,True,4.981,,"LINESTRING (10.8862029 49.8886201, 10.8861379 49.8886042)",,,,
"[77117490, 77117524, 358506054]",Stephansplatz,living_street,False,False,83.562,,"LINESTRING (10.8862029 49.8886201, 10.886317 49.8886052, 10.8863922 49.8885899, 10.886532 49.8885431, 10.8867194 49.8884068, 10.8870677 49.8881486)",,,,
134382819,Stephansplatz,living_street,False,True,23.151,,"LINESTRING (10.8862029 49.8886201, 10.8864582 49.8887238, 10.8864763 49.8887311)",,,,
27418735,Oberer Stephansberg,residential,False,False,25.570999999999998,30,"LINESTRING (10.8870151 49.8880239, 10.8870257 49.8879822, 10.8870489 49.8879069, 10.8870883 49.8877989)",,,,
132721584,Oberer Stephansberg,residential,True,False,14.610999999999999,30,"LINESTRING (10.8870151 49.8880239, 10.8870153 49.8880613, 10.8870352 49.8881065, 10.8870677 49.8881486)",,,,
