osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,tunnel
25143593,Bonhoefferstraße,residential,30,False,False,160.323,"LINESTRING (7.5284503 52.1770911, 7.5279797 52.1773048, 7.5266811 52.1780384)",,,,,,
112065891,Elbersstraße,secondary,30,False,False,49.202,"LINESTRING (7.5284503 52.1770911, 7.5287479 52.1773758, 7.5288395 52.1774637)",2,L 590,,,,
"[1067853081, 8099277, 700141078, 1067853095]",Elbersstraße,secondary,30,False,True,148.818,"LINESTRING (7.5284503 52.1770911, 7.5282859 52.1769244, 7.5280294 52.1766636, 7.5279488 52.1765824, 7.5276614 52.1762782, 7.5275928 52.1762004, 7.5274411 52.1760301, 7.5273552 52.1759337)","['2', '3']",L 590,,,,
109980634,Rheiner Straße,residential,20,False,True,193.32600000000002,"LINESTRING (7.5273552 52.1759337, 7.5272088 52.1759923, 7.5263948 52.176318, 7.5253732 52.1769562, 7.5253035 52.1769993, 7.5252145 52.1770583)",,,,,,
185894350,Wilhelmstraße,secondary,30,False,True,41.95,"LINESTRING (7.5273552 52.1759337, 7.5272719 52.1758749, 7.5271489 52.1757879, 7.5269591 52.1756451)",3,L 590,,,,
"[1067853081, 8099277, 700141078, 1067853095]",Elbersstraße,secondary,30,False,False,148.81799999999998,"LINESTRING (7.5273552 52.1759337, 7.5274411 52.1760301, 7.5275928 52.1762004, 7.5276614 52.1762782, 7.5279488 52.1765824, 7.5280294 52.1766636, 7.5282859 52.1769244, 7.5284503 52.1770911)","['2', '3']",L 590,,,,
261427642,Borghorster Straße,secondary,50,False,True,50.581,"LINESTRING (7.5239849 52.1728921, 7.5238337 52.1728752, 7.5232593 52.172798)",2,L 590,,,,
1027136734,,secondary,,True,False,31.639,"LINESTRING (7.5239849 52.1728921, 7.5240119 52.1728549, 7.5240569 52.1728251, 7.5241152 52.1728058, 7.5241805 52.172799, 7.524246 52.1728054, 7.5243045 52.1728244, 7.52435 52.172854)",1,L 590,roundabout,,,
24877827,Buckhoffstraße,tertiary,50,False,False,14.099,"LINESTRING (7.52435 52.172854, 7.5244663 52.1728246, 7.5245411 52.1728056)",2,L 592,,,,
1027136734,,secondary,,True,False,22.363999999999997,"LINESTRING (7.52435 52.172854, 7.5243773 52.1728906, 7.5243843 52.1729306, 7.52437 52.1729698, 7.5243361 52.1730043, 7.5242861 52.1730303)",1,L 590,roundabout,,,
25516955,Kolpingstraße,residential,30,False,True,119.60799999999999,"LINESTRING (7.5240508 52.1730189, 7.5239785 52.1730899, 7.5238707 52.1732129, 7.5237533 52.1734049, 7.5235893 52.1737662, 7.5235404 52.1739235, 7.5235061 52.1740336)",,,,,,
1027136734,,secondary,,True,False,15.521999999999998,"LINESTRING (7.5240508 52.1730189, 7.5240028 52.1729829, 7.5239798 52.1729385, 7.5239849 52.1728921)",1,L 590,roundabout,,,
259323023,Borghorster Straße,living_street,,False,False,63.43600000000001,"LINESTRING (7.5232593 52.172798, 7.5233294 52.1726428, 7.5234241 52.1724947, 7.5235175 52.1724276, 7.5237482 52.1725068)",,,,,,
261427642,Borghorster Straße,secondary,50,False,False,50.581,"LINESTRING (7.5232593 52.172798, 7.5238337 52.1728752, 7.5239849 52.1728921)",2,L 590,,,,
"[48852051, 700141084]",Buckhoffstraße,tertiary,,False,True,88.488,"LINESTRING (7.527573 52.1723091, 7.5268444 52.1723505, 7.5266684 52.172363, 7.5262878 52.1724114)",3,L 592,,,,
"[700141085, 24878055]",Nordwalder Straße,secondary,50,False,False,67.871,"LINESTRING (7.527573 52.1723091, 7.5274949 52.1719804, 7.5274262 52.1717054)","['2', '3']",L 592,,,,
"[26493322, 700141086]",Nordwalder Straße,residential,20,False,False,77.205,"LINESTRING (7.527573 52.1723091, 7.5276719 52.1726647, 7.527675 52.1727544, 7.5276178 52.1729086, 7.5275525 52.1729844)",3,,,,,
"[700141089, 48852050, 700141090, 700141087]",Mühlenstraße,tertiary,50,False,True,280.754,"LINESTRING (7.527573 52.1723091, 7.5277837 52.1723045, 7.5278429 52.1723032, 7.528455 52.1723285, 7.5286362 52.1723377, 7.5288387 52.1723501, 7.5289078 52.1723582, 7.5289887 52.1723678, 7.5290311 52.1723727, 7.5290901 52.1723826, 7.529244 52.1724089, 7.5295731 52.1724858, 7.5298323 52.1725538, 7.5298945 52.1725749, 7.5301596 52.1726647, 7.5303019 52.1727227, 7.5303825 52.1727555, 7.5304305 52.172778, 7.5306164 52.1728652, 7.5307031 52.1729122, 7.5308733 52.1730046, 7.5310968 52.1731421, 7.5312199 52.17324)","['2', '3']",,,,,
"[25143592, 1103255791]",Eisenbahnstraße,residential,,False,True,71.162,"LINESTRING (7.5313898 52.1791572, 7.5319724 52.1790562, 7.5320424 52.1790345, 7.5322301 52.178975, 7.5323411 52.1789145)",,,,,,
25143593,Bonhoefferstraße,residential,30,False,True,160.323,"LINESTRING (7.5266811 52.1780384, 7.5279797 52.1773048, 7.5284503 52.1770911)",,,,,,
25672311,Delpstraße,residential,30,False,False,71.195,"LINESTRING (7.5266811 52.1780384, 7.526559 52.1779716, 7.5259435 52.1775855)",,,,,,
25672311,Delpstraße,residential,30,False,True,72.752,"LINESTRING (7.5266811 52.1780384, 7.5267112 52.1780586, 7.5268885 52.1781775, 7.5272916 52.1784479, 7.527401 52.1785213)",,,,,,
25672312,Wannenmacherstraße,residential,30,False,True,8.686,"LINESTRING (7.5258513 52.1776394, 7.5259435 52.1775855)",,,,,,
262100727,Delpstraße,residential,30,False,False,76.086,"LINESTRING (7.5258513 52.1776394, 7.5251832 52.1772083, 7.5250676 52.1771536)",,,,,,
35272238,Moorbrückenkreisel,tertiary,50,True,False,31.552,"LINESTRING (7.5322492 52.1746523, 7.5322018 52.174632, 7.5321654 52.1746045, 7.5321428 52.1745718, 7.5321359 52.1745366, 7.5321451 52.1745016, 7.5321698 52.1744695, 7.532208 52.1744428, 7.5322567 52.1744237)",,,roundabout,,,
"[700141096, 1124721370, 345054980]",In der Lauge,tertiary,50,False,True,176.42399999999998,"LINESTRING (7.5322492 52.1746523, 7.5321838 52.1747503, 7.5321305 52.1748275, 7.5315195 52.1756489, 7.5312938 52.1759363, 7.5311698 52.176094)","['2', '3']",,,,,
25516949,Lange Straße,residential,30,False,False,49.248000000000005,"LINESTRING (7.5235822 52.1768959, 7.5240458 52.1768715, 7.5243012 52.1768887)",,,,,,
25516955,Kolpingstraße,residential,30,False,False,152.965,"LINESTRING (7.5235822 52.1768959, 7.523434 52.1759558, 7.5233951 52.1755253)",,,,,,
25516955,Kolpingstraße,residential,30,False,True,129.016,"LINESTRING (7.5235822 52.1768959, 7.5233516 52.1779772, 7.5233894 52.178043)",,,,,,
25516949,Lange Straße,residential,30,False,False,12.418,"LINESTRING (7.5250708 52.1769897, 7.5252145 52.1770583)",,,,,,
25516949,Lange Straße,residential,30,False,True,53.762,"LINESTRING (7.5250708 52.1769897, 7.5248306 52.1769718, 7.5244777 52.1769174, 7.5243012 52.1768887)",,,,,,
25516956,Karlstraße,residential,20,False,True,173.806,"LINESTRING (7.5250708 52.1769897, 7.5248377 52.175812, 7.5247756 52.1755139, 7.524776 52.1754377)",,,,,,
24654638,Rheiner Straße,unclassified,30,False,True,14.582,"LINESTRING (7.5252145 52.1770583, 7.5250676 52.1771536)",2,,,,,
25516949,Lange Straße,residential,30,False,True,12.418,"LINESTRING (7.5252145 52.1770583, 7.5250708 52.1769897)",,,,,,
109980634,Rheiner Straße,residential,20,False,False,193.32599999999996,"LINESTRING (7.5252145 52.1770583, 7.5253035 52.1769993, 7.5253732 52.1769562, 7.5263948 52.176318, 7.5272088 52.1759923, 7.5273552 52.1759337)",,,,,,
24654638,Rheiner Straße,unclassified,30,False,False,153.017,"LINESTRING (7.5235228 52.1781488, 7.5241148 52.1778207, 7.5250676 52.1771536)",2,,,,,
25516955,Kolpingstraße,residential,30,False,False,15.109,"LINESTRING (7.5235228 52.1781488, 7.5234304 52.1780949, 7.5233894 52.178043)",,,,,,
550924787,Weststraße,residential,30,False,False,51.568,"LINESTRING (7.524776 52.1754377, 7.5240256 52.1754952)",,,,,,
25516956,Karlstraße,residential,20,False,False,173.80599999999998,"LINESTRING (7.524776 52.1754377, 7.5247756 52.1755139, 7.5248377 52.175812, 7.5250708 52.1769897)",,,,,,
25516956,Karlstraße,residential,20,False,True,112.35300000000001,"LINESTRING (7.524776 52.1754377, 7.524816 52.175372, 7.5255752 52.1746841, 7.5256136 52.1746493, 7.5256754 52.1745933)",,,,,,
25516955,Kolpingstraße,residential,30,False,True,55.626,"LINESTRING (7.5235061 52.1740336, 7.5234752 52.1745335)",,,,,,
