osmid,highway,oneway,reversed,length,bridge,geometry,lanes,ref,maxspeed,name
"[281270936, 19795797, 281270933]",unclassified,False,True,73.845,yes,"LINESTRING (10.3116157 47.506405, 10.311695 47.5064779, 10.311761 47.5065534, 10.3118182 47.5066636, 10.3118331 47.5067514, 10.3117892 47.5068223, 10.3116701 47.5069514, 10.3116339 47.5069971)",,,,
"[19795790, 1153334950, 1153333718, 1153334951]",tertiary,False,False,895.5120000000001,,"LINESTRING (10.3116157 47.506405, 10.3113882 47.5062246, 10.3112884 47.5061779, 10.3111834 47.5061437, 10.3109807 47.5061338, 10.3107973 47.5061317, 10.3106716 47.5061188, 10.3105177 47.5060762, 10.3101678 47.5059448, 10.3098027 47.5058139, 10.3094312 47.5057265, 10.3091795 47.5056787, 10.3088731 47.5056487, 10.3085084 47.5056256, 10.3083951 47.5056087, 10.3083127 47.5055746, 10.3082857 47.505542, 10.3082845 47.5055069, 10.3083027 47.5054764, 10.3083932 47.5054258, 10.3087648 47.5053154, 10.3091084 47.5052282, 10.3094605 47.5051918, 10.309842 47.5051883, 10.3100607 47.5051569, 10.3105098 47.5050104, 10.3112865 47.5047713, 10.3118595 47.504595, 10.311975 47.5045233, 10.3120057 47.5044132, 10.311926 47.5042963, 10.3117775 47.5042514, 10.3116153 47.5042725, 10.3107781 47.5045685, 10.3105611 47.5045962, 10.3104798 47.5045891, 10.3103797 47.5045804, 10.31021 47.504533, 10.3100601 47.5044423, 10.3099063 47.5042806, 10.3098466 47.5041684, 10.3095789 47.5036652, 10.3095257 47.5035873, 10.3093878 47.5033685)",,,,
"[36974311, 1201487311, 1201487312, 281270908, 281270909]",primary,False,False,789.6539999999999,yes,"LINESTRING (10.3116157 47.506405, 10.3111987 47.5066053, 10.3109923 47.5067057, 10.3107742 47.5068074, 10.3101252 47.5070888, 10.3096172 47.5072934, 10.3091379 47.5074494, 10.3088036 47.5075561, 10.3073341 47.5079239, 10.3040636 47.5086553, 10.3034671 47.5087877, 10.3029454 47.5089038, 10.3019604 47.5091033)","['2', '3']",B 308,"['50', '100']",
19726550,living_street,False,True,84.261,,"LINESTRING (10.3017554 47.5085173, 10.3014634 47.5085296, 10.3010265 47.5085667, 10.3006406 47.5085994)",,,,Imberger Straße
23992792,residential,False,False,57.75,,"LINESTRING (10.3017554 47.5085173, 10.3022595 47.508565, 10.3025191 47.5085727)",,,,Imberger Straße
23994377,residential,False,False,67.868,,"LINESTRING (10.3017554 47.5085173, 10.3017581 47.5086412, 10.3017845 47.5088136, 10.3019604 47.5091033)",,,,Imberger Straße
23994377,residential,False,True,67.868,,"LINESTRING (10.3019604 47.5091033, 10.3017845 47.5088136, 10.3017581 47.5086412, 10.3017554 47.5085173)",,,,Imberger Straße
"[36974311, 1201487311, 1201487312, 281270908, 281270909]",primary,False,True,789.654,yes,"LINESTRING (10.3019604 47.5091033, 10.3029454 47.5089038, 10.3034671 47.5087877, 10.3040636 47.5086553, 10.3073341 47.5079239, 10.3088036 47.5075561, 10.3091379 47.5074494, 10.3096172 47.5072934, 10.3101252 47.5070888, 10.3107742 47.5068074, 10.3109923 47.5067057, 10.3111987 47.5066053, 10.3116157 47.506405)","['2', '3']",B 308,"['50', '100']",
"[281270936, 19795797, 281270933]",unclassified,False,False,73.845,yes,"LINESTRING (10.3116339 47.5069971, 10.3116701 47.5069514, 10.3117892 47.5068223, 10.3118331 47.5067514, 10.3118182 47.5066636, 10.311761 47.5065534, 10.311695 47.5064779, 10.3116157 47.506405)",,,,
20448749,living_street,False,False,100.68799999999999,,"LINESTRING (10.3005881 47.5076979, 10.3005765 47.5077457, 10.3006119 47.5079228, 10.3005923 47.5081981, 10.3006027 47.5083449, 10.3006406 47.5085994)",,,,Am Höldersberg
19726550,living_street,False,True,28.132,,"LINESTRING (10.3006406 47.5085994, 10.3002714 47.508642)",,,,Imberger Straße
19726550,living_street,False,False,84.261,,"LINESTRING (10.3006406 47.5085994, 10.3010265 47.5085667, 10.3014634 47.5085296, 10.3017554 47.5085173)",,,,Imberger Straße
20448749,living_street,False,True,100.68799999999999,,"LINESTRING (10.3006406 47.5085994, 10.3006027 47.5083449, 10.3005923 47.5081981, 10.3006119 47.5079228, 10.3005765 47.5077457, 10.3005881 47.5076979)",,,,Am Höldersberg
23992791,living_street,False,False,48.839,,"LINESTRING (10.3002132 47.5090546, 10.3001625 47.5090161, 10.3001516 47.5089785, 10.3001455 47.5089574, 10.3002663 47.5086943, 10.3002714 47.508642)",,,,
19726550,living_street,False,False,28.132,,"LINESTRING (10.3002714 47.508642, 10.3006406 47.5085994)",,,,Imberger Straße
23992791,living_street,False,True,48.839,,"LINESTRING (10.3002714 47.508642, 10.3002663 47.5086943, 10.3001455 47.5089574, 10.3001516 47.5089785, 10.3001625 47.5090161, 10.3002132 47.5090546)",,,,
23992792,residential,False,True,57.75,,"LINESTRING (10.3025191 47.5085727, 10.3022595 47.508565, 10.3017554 47.5085173)",,,,Imberger Straße
231810684,residential,False,False,210.26000000000002,,"LINESTRING (10.3119316 47.5026257, 10.311195 47.5029022, 10.3109391 47.5029916, 10.3105935 47.5031336, 10.3102668 47.5032331, 10.3099869 47.5033032, 10.3096904 47.5033326, 10.309495 47.503356, 10.3093878 47.5033685)",,,,
