osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,ref,tunnel
26748068,An der Gärtnerei,residential,False,False,28.353,"LINESTRING (11.8995251 51.6384454, 11.8996713 51.6384646, 11.8999194 51.6385157)",,,,,
64161704,Mühlenstraße,tertiary,False,False,57.042,"LINESTRING (11.8995251 51.6384454, 11.8995773 51.6382888, 11.8996035 51.6379361)",2,50,6,,
"[24424027, 1232545990]",Mühlenstraße,tertiary,False,True,187.01500000000001,"LINESTRING (11.8995251 51.6384454, 11.8993641 51.6386734, 11.899069 51.6390038, 11.8988218 51.6392637, 11.8986901 51.6394023, 11.8985506 51.6395984, 11.8984075 51.6398873, 11.8983716 51.6399598)",2,,,,
"[27156496, 529275815]",Mühlentor,secondary,False,True,73.491,"LINESTRING (11.8996511 51.6368301, 11.8999161 51.636815, 11.9000404 51.636805, 11.9005872 51.636721, 11.9006876 51.6366929)",1,30,"['4', '5']",L 147,
"[1088821484, 529275813]",Mühlenstraße,tertiary,False,True,75.094,"LINESTRING (11.8996511 51.6368301, 11.8996844 51.63695, 11.8996887 51.6371228, 11.8996643 51.6372643, 11.8996268 51.6375017)",2,50,6,,
"[1232545840, 27222942]",An der Stadtmauer,secondary,False,False,79.40700000000001,"LINESTRING (11.8996511 51.6368301, 11.89956 51.6366275, 11.8993459 51.6362815, 11.899269 51.6361572)",2,50,7,L 147,
26748078,Karl-Heyer-Straße,residential,False,False,21.573,"LINESTRING (11.900824 51.6330151, 11.9008894 51.6330476, 11.9010682 51.6331362)",1,30,,,
27222942,An der Stadtmauer,secondary,False,True,286.02000000000004,"LINESTRING (11.900824 51.6330151, 11.9007335 51.6331377, 11.9006173 51.6332387, 11.9004648 51.6333234, 11.9000033 51.6335315, 11.8996428 51.633718, 11.8993596 51.6339311, 11.8992028 51.6341113, 11.8991278 51.6341975, 11.8989304 51.6344745, 11.8987583 51.6347703, 11.8987139 51.6349279, 11.8987117 51.6350189, 11.8987095 51.6351124)",2,50,7,L 147,
26748084,Kämnitz,residential,False,True,61.568,"LINESTRING (11.9019485 51.6376693, 11.9015796 51.6376322, 11.9013798 51.6375773, 11.9010855 51.6375414)",1,30,4,,
27156495,Lange Straße,secondary,False,True,44.729,"LINESTRING (11.9019485 51.6376693, 11.9023378 51.6377437, 11.9025755 51.6377676)",1,,6,L 147,
529275821,Lange Straße,secondary,False,False,154.071,"LINESTRING (11.9019485 51.6376693, 11.9017863 51.6375664, 11.9016169 51.6373293, 11.9014517 51.6369756, 11.9013065 51.6366353, 11.9011885 51.6364564, 11.9010936 51.6364211)",1,,6,L 147,
529275816,Mühlentor,secondary,False,False,41.218999999999994,"LINESTRING (11.9010936 51.6364211, 11.9009064 51.6365417, 11.9006876 51.6366929)",1,30,5,L 147,
529275821,Lange Straße,secondary,False,True,154.071,"LINESTRING (11.9010936 51.6364211, 11.9011885 51.6364564, 11.9013065 51.6366353, 11.9014517 51.6369756, 11.9016169 51.6373293, 11.9017863 51.6375664, 11.9019485 51.6376693)",1,,6,L 147,
"[61008980, 529275822]",Schillerstraße,residential,False,True,222.09299999999996,"LINESTRING (11.9010936 51.6364211, 11.9010741 51.6363379, 11.9009897 51.6360011, 11.9009652 51.6358786, 11.9007153 51.6353685, 11.9006948 51.6350224, 11.9006105 51.6346146, 11.9006064 51.6344563)",1,"['50', '30']",,,
27156495,Lange Straße,secondary,False,False,99.37299999999999,"LINESTRING (11.9048162 51.6388313, 11.9046655 51.6386884, 11.9040569 51.6382678, 11.9038559 51.6381715)",1,,6,L 147,
61417444,Berggasse,residential,False,False,121.577,"LINESTRING (11.9048162 51.6388313, 11.9049984 51.6386394, 11.9052833 51.6381006, 11.9053515 51.6378)",,,,,
26748083,Kämnitz,residential,False,False,61.917,"LINESTRING (11.9006876 51.6366929, 11.9006903 51.6368562, 11.9006043 51.637115, 11.9006116 51.6372442)",1,30,4,,
"[27156496, 529275815]",Mühlentor,secondary,False,False,73.491,"LINESTRING (11.9006876 51.6366929, 11.9005872 51.636721, 11.9000404 51.636805, 11.8999161 51.636815, 11.8996511 51.6368301)",1,30,"['4', '5']",L 147,
529275816,Mühlentor,secondary,False,True,41.218999999999994,"LINESTRING (11.9006876 51.6366929, 11.9009064 51.6365417, 11.9010936 51.6364211)",1,30,5,L 147,
26731232,Am Stadtgut,residential,False,False,73.577,"LINESTRING (11.8996035 51.6379361, 11.8995525 51.6379464, 11.8992233 51.6380125, 11.8987538 51.6381408, 11.898609 51.6381725)",,,,,
64161704,Mühlenstraße,tertiary,False,True,57.042,"LINESTRING (11.8996035 51.6379361, 11.8995773 51.6382888, 11.8995251 51.6384454)",2,50,6,,
1232546029,Mühlenstraße,tertiary,False,False,48.361999999999995,"LINESTRING (11.8996035 51.6379361, 11.8996036 51.6376965, 11.8996268 51.6375017)",2,50,6,,
27156495,Lange Straße,secondary,False,False,18.008,"LINESTRING (11.9038559 51.6381715, 11.9036176 51.6381055)",1,,6,L 147,
26748067,Torstraße,residential,False,True,252.42,"LINESTRING (11.9038559 51.6381715, 11.9038537 51.6380208, 11.9038416 51.6377041, 11.9038305 51.6372036, 11.9038348 51.6369347, 11.9039055 51.6367468, 11.9039188 51.6367267, 11.9041818 51.6363273, 11.9043298 51.6359514)",1,30,3,,
26901553,Kochstor,residential,False,False,111.71900000000001,"LINESTRING (11.9038559 51.6381715, 11.9040007 51.6381257, 11.9043442 51.6380334, 11.9048557 51.6378748, 11.9053515 51.6378)",1,,,,
27156495,Lange Straße,secondary,False,True,99.373,"LINESTRING (11.9038559 51.6381715, 11.9040569 51.6382678, 11.9046655 51.6386884, 11.9048162 51.6388313)",1,,6,L 147,
