osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,tunnel
"[806943602, 39246516]",Südstraße,residential,30,False,False,132.435,"LINESTRING (12.374077 51.2778365, 12.3741929 51.2776209, 12.3746819 51.2767072)",,,
"[4292930, 1207968727]",Gartenstraße,residential,30,True,False,83.33500000000001,"LINESTRING (12.374077 51.2778365, 12.3741802 51.2778578, 12.3750452 51.2780366, 12.3750727 51.2780423, 12.3752146 51.2780716)",,,
253308545,Hauptstraße,secondary,50,False,False,137.556,"LINESTRING (12.3752146 51.2780716, 12.3752812 51.2779991, 12.3755044 51.2778155, 12.3758197 51.277556, 12.3759904 51.2774156, 12.3763164 51.2771474, 12.3763972 51.2770809)",2,,
253308546,Gartenstraße,residential,30,True,False,136.261,"LINESTRING (12.3752146 51.2780716, 12.3753496 51.2781017, 12.3754666 51.2781278, 12.3763144 51.2783168, 12.3764695 51.2783514, 12.3767944 51.2784238, 12.3768249 51.2784306, 12.3770599 51.278483)",,,
304246963,Hauptstraße,secondary,50,False,True,66.52199999999999,"LINESTRING (12.3752146 51.2780716, 12.3751675 51.2781394, 12.3749299 51.2785705, 12.374912 51.2786379)",2,,
37735686,Hauptstraße,secondary,50,False,True,73.196,"LINESTRING (12.3746243 51.2791892, 12.3745701 51.2792824, 12.3743871 51.279603, 12.3743277 51.2797069, 12.3743113 51.2797356, 12.3742694 51.2798089)",2,,
226910391,Schulstraße,residential,30,False,True,92.705,"LINESTRING (12.3746243 51.2791892, 12.3747399 51.2792146, 12.3747769 51.2792227, 12.3751961 51.2793148, 12.3753768 51.2793545, 12.3754254 51.2793652, 12.3758818 51.2794655)",,,
304246963,Hauptstraße,secondary,50,False,False,64.511,"LINESTRING (12.3746243 51.2791892, 12.3746589 51.279123, 12.3748364 51.2787873, 12.3748909 51.2786927, 12.374912 51.2786379)",2,,
304246964,Schulstraße,residential,,True,False,84.524,"LINESTRING (12.3746243 51.2791892, 12.3745325 51.27917, 12.3736063 51.2789763, 12.3734718 51.2789482)",,,
"[806943603, 806943598]",Südstraße,residential,30,True,False,130.587,"LINESTRING (12.3734718 51.2789482, 12.3739667 51.2780391, 12.374077 51.2778365)",,,
253308545,Hauptstraße,secondary,50,False,False,5.07,"LINESTRING (12.3763972 51.2770809, 12.3764398 51.2770439)",2,,
19744229,Waldstraße,residential,30,False,True,126.34299999999999,"LINESTRING (12.3763972 51.2770809, 12.3762914 51.2770578, 12.3762499 51.2770488, 12.3748107 51.2767353, 12.3746819 51.2767072)",,,
253308545,Hauptstraße,secondary,50,False,True,137.556,"LINESTRING (12.3763972 51.2770809, 12.3763164 51.2771474, 12.3759904 51.2774156, 12.3758197 51.277556, 12.3755044 51.2778155, 12.3752812 51.2779991, 12.3752146 51.2780716)",2,,
4248109,Ring,residential,,False,False,307.27199999999993,"LINESTRING (12.3664333 51.2815628, 12.3664937 51.2814756, 12.3665876 51.2813401, 12.3670892 51.2806158, 12.3674107 51.2803198, 12.3674535 51.2802803, 12.3674901 51.2802465, 12.367529 51.2802105, 12.368532 51.2792839, 12.3685509 51.2792483, 12.3685469 51.2791634)",,,
"[834812874, 4248109]",Ring,residential,,False,True,142.854,"LINESTRING (12.3664333 51.2815628, 12.3663945 51.2816191, 12.3663802 51.2816398, 12.3663575 51.2816737, 12.3662454 51.2818333, 12.3661165 51.282017, 12.3661054 51.2820329, 12.3659825 51.2822105, 12.3658706 51.2823711, 12.3656134 51.2824763, 12.3653312 51.2825917)",,,
"[4875712, 1201683937]",Robert-Havemann-Straße,residential,30,False,False,35.257999999999996,"LINESTRING (12.3653238 51.2807914, 12.3654386 51.2807724, 12.3655504 51.2807539, 12.3656882 51.2807264, 12.3657781 51.2806695)",,,
386539316,Sebastian-Bach-Straße,residential,30,False,True,116.256,"LINESTRING (12.3649158 51.2760804, 12.3649596 51.2761146, 12.3649971 51.2761567, 12.3649897 51.2764885, 12.3649757 51.2771101)",,,
"[806970033, 825472746, 806970035]",Städtelner Straße,tertiary,50,False,True,199.21699999999998,"LINESTRING (12.3649158 51.2760804, 12.3658113 51.2756394, 12.3659125 51.2755895, 12.3659843 51.2755542, 12.3662088 51.2754468, 12.3663193 51.275394, 12.3666514 51.2752288, 12.3671371 51.274951)",,6,
4875942,Wasserturmstraße,residential,50,False,False,40.459,"LINESTRING (12.3671371 51.274951, 12.3672118 51.2750031, 12.3674771 51.2751448, 12.3675784 51.2751861)",,,
"[806970033, 825472746, 806970035]",Städtelner Straße,tertiary,50,False,False,199.21699999999998,"LINESTRING (12.3671371 51.274951, 12.3666514 51.2752288, 12.3663193 51.275394, 12.3662088 51.2754468, 12.3659843 51.2755542, 12.3659125 51.2755895, 12.3658113 51.2756394, 12.3649158 51.2760804)",,6,
834812853,Städtelner Straße,tertiary,50,False,True,63.306,"LINESTRING (12.3671371 51.274951, 12.3673147 51.2748249, 12.367655 51.2745353, 12.3676935 51.2745011)",,6,
"[806970016, 806970036, 4875942]",Wasserturmstraße,residential,50,False,False,220.78900000000002,"LINESTRING (12.3675784 51.2751861, 12.3676978 51.2752183, 12.3678268 51.2752416, 12.3684384 51.2753073, 12.3690155 51.2753723, 12.3690853 51.2753513, 12.3691192 51.2752368, 12.3691493 51.275135, 12.3692043 51.2749491, 12.3692585 51.2747662, 12.3693126 51.2745835, 12.3693549 51.2744403, 12.3693643 51.2743992, 12.3693752 51.2743509)",,,
4875942,Wasserturmstraße,residential,50,False,True,40.459,"LINESTRING (12.3675784 51.2751861, 12.3674771 51.2751448, 12.3672118 51.2750031, 12.3671371 51.274951)",,,
8154257,Wasserturmstraße,residential,50,False,False,14.474,"LINESTRING (12.3693752 51.2743509, 12.3693957 51.2743142, 12.3694464 51.2742286)",,,
"[806970016, 806970036, 4875942]",Wasserturmstraße,residential,50,False,True,220.789,"LINESTRING (12.3693752 51.2743509, 12.3693643 51.2743992, 12.3693549 51.2744403, 12.3693126 51.2745835, 12.3692585 51.2747662, 12.3692043 51.2749491, 12.3691493 51.275135, 12.3691192 51.2752368, 12.3690853 51.2753513, 12.3690155 51.2753723, 12.3684384 51.2753073, 12.3678268 51.2752416, 12.3676978 51.2752183, 12.3675784 51.2751861)",,,
8154257,Wasserturmstraße,residential,50,False,True,14.474,"LINESTRING (12.3694464 51.2742286, 12.3693957 51.2743142, 12.3693752 51.2743509)",,,
834812853,Städtelner Straße,tertiary,50,False,False,52.323,"LINESTRING (12.3681037 51.2741067, 12.3678865 51.2743131, 12.3676935 51.2745011)",,6,
834812853,Städtelner Straße,tertiary,50,False,False,63.306,"LINESTRING (12.3676935 51.2745011, 12.367655 51.2745353, 12.3673147 51.2748249, 12.3671371 51.274951)",,6,
834812853,Städtelner Straße,tertiary,50,False,True,52.323,"LINESTRING (12.3676935 51.2745011, 12.3678865 51.2743131, 12.3681037 51.2741067)",,6,
386539316,Sebastian-Bach-Straße,residential,30,False,False,116.256,"LINESTRING (12.3649757 51.2771101, 12.3649897 51.2764885, 12.3649971 51.2761567, 12.3649596 51.2761146, 12.3649158 51.2760804)",,,
"[807275402, 1211571899]",Sebastian-Bach-Straße,residential,30,False,True,78.60499999999999,"LINESTRING (12.3649757 51.2771101, 12.3649753 51.2771604, 12.3649747 51.2772341, 12.3649698 51.277817)",,6,
"[1213055617, 1213055813]",August-Bebel-Straße,tertiary,50,False,False,154.552,"LINESTRING (12.3649757 51.2771101, 12.3651104 51.2771052, 12.3658648 51.2770798, 12.3671941 51.2770322)",,9,
"[1211571872, 806970014, 462399118, 24000255]",Ring,tertiary,50,False,False,239.27700000000004,"LINESTRING (12.3686624 51.2770112, 12.368688 51.2770251, 12.3687042 51.2770373, 12.3687163 51.2770525, 12.3687235 51.2770645, 12.3687284 51.2770804, 12.3687308 51.2771242, 12.36873 51.2771892, 12.3687249 51.2773503, 12.3687173 51.2775093, 12.3686982 51.2779058, 12.3686949 51.2779936, 12.3686909 51.2780903, 12.3686824 51.2782047, 12.3686723 51.2784519, 12.3686695 51.2785216, 12.3686668 51.27864, 12.3686593 51.2788278, 12.3686587 51.2789429, 12.3686596 51.2789752, 12.3686615 51.2789988, 12.3686652 51.2790237, 12.368689 51.2791475)",,"['9', '10']",
579508164,August-Bebel-Straße,tertiary,50,False,True,76.24,"LINESTRING (12.3686624 51.2770112, 12.3686403 51.2770032, 12.3686182 51.276999, 12.3685895 51.2769957, 12.3685379 51.2769927, 12.3684786 51.276991, 12.3683275 51.2769932, 12.3681699 51.2769966, 12.3675727 51.2770184)",,9,
"[802056795, 23761763]",Ring,residential,50,False,True,215.824,"LINESTRING (12.3686624 51.2770112, 12.3687037 51.27698, 12.3687279 51.2769559, 12.3687425 51.2769377, 12.3687568 51.2769161, 12.3687678 51.2768924, 12.3687724 51.2768691, 12.3687752 51.276844, 12.3687788 51.2767761, 12.3687866 51.2765801, 12.3687946 51.2764774, 12.3688081 51.2763812, 12.3688183 51.2762883, 12.3689855 51.2762006, 12.3701634 51.2762054, 12.3701775 51.2762049, 12.3706829 51.2761987)",,6,
18838021,Werner-Rummelt-Straße,residential,30,False,False,96.423,"LINESTRING (12.3765458 51.2816106, 12.3764199 51.2816042, 12.3759922 51.2815825, 12.3755724 51.2815612, 12.375287 51.2815467, 12.375164 51.2815404)",,,
806943586,Raschwitzer Straße,residential,50,False,False,58.209,"LINESTRING (12.3765458 51.2816106, 12.3766664 51.2811672, 12.3766868 51.2810946)",2,,
806943586,Raschwitzer Straße,residential,50,False,False,9.013,"LINESTRING (12.3766868 51.2810946, 12.3767005 51.281014)",2,,
806943586,Raschwitzer Straße,residential,50,False,True,58.209,"LINESTRING (12.3766868 51.2810946, 12.3766664 51.2811672, 12.3765458 51.2816106)",2,,
"[462399091, 850510429, 23972878, 850510431]",Alt-Oetzsch,residential,30,False,True,283.44199999999995,"LINESTRING (12.3766868 51.2810946, 12.3768689 51.2811342, 12.3768998 51.2811409, 12.3773089 51.2812298, 12.3773719 51.2812443, 12.3780091 51.2814045, 12.3785498 51.2813423, 12.3787518 51.2812688, 12.378833 51.2812065, 12.3788908 51.2810681, 12.3788908 51.2810416, 12.3788928 51.2809431, 12.378704 51.2806015, 12.3786926 51.2805807, 12.3785743 51.2804407, 12.3784196 51.280308, 12.3783854 51.2802882, 12.3782755 51.2802272)",,,
