osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,lanes
93743589,False,St 2127,Herrenstraße,secondary,50,False,35.573,"LINESTRING (13.3798583 48.7291608, 13.379932 48.7290981, 13.37998 48.7289781, 13.3800003 48.7288624)",,,
128954615,False,,Herrenstraße,residential,,False,205.595,"LINESTRING (13.3798583 48.7291608, 13.3799105 48.7292559, 13.3799119 48.7293169, 13.3799135 48.7293874, 13.3797987 48.7296464, 13.379792 48.7296616, 13.3797602 48.7297334, 13.3791281 48.730918)",,,
365196772,False,St 2127,Dreiburgenstraße,secondary,,True,199.33100000000002,"LINESTRING (13.3798583 48.7291608, 13.3796375 48.7292721, 13.3794267 48.7294005, 13.3791989 48.7295392, 13.3790087 48.7296484, 13.3779781 48.7300612, 13.377791 48.7301117, 13.3776149 48.7301441)",,,
47927780,False,PA 19,Kaltenecker Straße,secondary,,False,84.986,"LINESTRING (13.3827144 48.7250151, 13.3830706 48.7248065, 13.3833138 48.7246736, 13.3834354 48.7246174, 13.3836321 48.7245554)",,,
1163113282,False,PA 19,Passauer Straße,secondary,,True,70.712,"LINESTRING (13.3827144 48.7250151, 13.382733 48.7251629, 13.3827483 48.725283, 13.382795 48.7256488)",,,
47927780,False,PA 19,Kaltenecker Straße,secondary,,False,56.493,"LINESTRING (13.3836321 48.7245554, 13.3839758 48.724502, 13.384125 48.7244788, 13.3842151 48.7244681, 13.3843135 48.7244745, 13.3843837 48.7244885)",,,
47927780,False,PA 19,Kaltenecker Straße,secondary,,True,84.98599999999999,"LINESTRING (13.3836321 48.7245554, 13.3834354 48.7246174, 13.3833138 48.7246736, 13.3830706 48.7248065, 13.3827144 48.7250151)",,,
"[47927780, 101476638, 101476639]",False,PA 19,Kaltenecker Straße,secondary,,False,47.091,"LINESTRING (13.3843837 48.7244885, 13.384497 48.7245193, 13.3847134 48.724593, 13.3847759 48.7246132, 13.3848427 48.7246231, 13.3849019 48.7246256, 13.3849803 48.7246227)",yes,,
47927780,False,PA 19,Kaltenecker Straße,secondary,,True,56.492999999999995,"LINESTRING (13.3843837 48.7244885, 13.3843135 48.7244745, 13.3842151 48.7244681, 13.384125 48.7244788, 13.3839758 48.724502, 13.3836321 48.7245554)",,,
49034861,False,,Posthalterstraße,residential,,False,92.872,"LINESTRING (13.3843837 48.7244885, 13.3847895 48.7242006, 13.385112 48.7238686, 13.3851426 48.7238253)",,,
