osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,tunnel,width,access,bridge
137078272,Zum Pfeifer,residential,False,False,43.078,"LINESTRING (11.3784631 48.0644492, 11.3787466 48.0643434, 11.3789275 48.0642233)",,,,,,,
1232056668,Starnberger Straße,secondary,False,False,59.299,"LINESTRING (11.3784631 48.0644492, 11.3784095 48.0643763, 11.3782221 48.0641687, 11.3781465 48.0641056, 11.378026 48.0640051)",St 2063,50,,,,,
1232056668,Starnberger Straße,secondary,False,True,44.973,"LINESTRING (11.3784631 48.0644492, 11.3785255 48.0646121, 11.3786109 48.0648414)",St 2063,50,,,,,
362301478,Hauptplatz,secondary,False,True,21.399,"LINESTRING (11.380285 48.066609, 11.3804121 48.0667024, 11.3804578 48.0667195, 11.3805037 48.0667252)",St 2063,50,3,,,,
440607282,Starnberger Straße,secondary,False,False,111.74,"LINESTRING (11.380285 48.066609, 11.3800614 48.06639, 11.3798401 48.066196, 11.3797237 48.0661087, 11.3795116 48.0659656, 11.3793327 48.0658344)",St 2063,50,,,,,
"[1232056669, 1017584215]",Bahnhofstraße,secondary,False,False,76.07900000000001,"LINESTRING (11.380285 48.066609, 11.38017 48.0666503, 11.3800281 48.0667001, 11.3798668 48.0667732, 11.3798428 48.0667795, 11.3794965 48.0669656, 11.3794459 48.0669959)",St 2349,50,2,,,,
38660461,Ledererstraße,residential,False,True,76.883,"LINESTRING (11.3832373 48.0661863, 11.3831874 48.0662572, 11.383166 48.0663164, 11.3831767 48.0663791, 11.3831634 48.0664614, 11.3831421 48.0665211, 11.3830838 48.0666843, 11.3830054 48.0668535)",,,,,,,
293556310,Münchener Straße,secondary,False,False,44.019999999999996,"LINESTRING (11.3832373 48.0661863, 11.3831435 48.0661253, 11.3830134 48.0660253, 11.3829225 48.0659467, 11.3828274 48.065904)",St 2063,50,,,,,
293556310,Münchener Straße,secondary,False,True,170.26999999999998,"LINESTRING (11.3832373 48.0661863, 11.3833226 48.0662078, 11.38341 48.0662149, 11.3835028 48.0662182, 11.3839724 48.0662352, 11.3842703 48.0662361, 11.3844757 48.0662446, 11.3846585 48.06627, 11.3847573 48.06629, 11.3849795 48.0663386, 11.3851517 48.0663866, 11.385188 48.0663993, 11.3854484 48.0664905)",St 2063,50,,,,,
15735286,Bahnhofstraße,tertiary,False,False,17.386,"LINESTRING (11.3774825 48.0691879, 11.3774175 48.0693381)",,50,2,,,,
809170944,Bahnhofstraße,secondary,False,True,92.892,"LINESTRING (11.3774825 48.0691879, 11.3776403 48.068916, 11.3777979 48.0687044, 11.3779284 48.0685653, 11.3780387 48.0684425)",St 2349,50,2,,,,
"[1017584216, 1017584217, 18635035]",Ammerseestraße,secondary,False,False,269.947,"LINESTRING (11.3774825 48.0691879, 11.377104 48.0691223, 11.3769955 48.0690376, 11.3769593 48.0689876, 11.3767391 48.068725, 11.3766357 48.068595, 11.3766003 48.0685463, 11.3764743 48.0683651, 11.3763116 48.0681722, 11.3760822 48.0678834, 11.3757239 48.067409, 11.3755057 48.0672478)",St 2349,50,2,,,,
"[375507522, 5140131, 375507523, 15948631]","['Pippinplatz', 'Bahnhofplatz']",tertiary,False,False,75.742,"LINESTRING (11.3773758 48.0711685, 11.3773399 48.0712386, 11.3772037 48.0713411, 11.3770567 48.0714032, 11.3767371 48.0715214, 11.3766054 48.0715869)",,"['50', '30']",2,yes,,,
"[376680165, 1230720894, 10597343]",Bahnhofplatz,tertiary,False,True,115.215,"LINESTRING (11.3773758 48.0711685, 11.3773775 48.0710885, 11.3773445 48.0710108, 11.3771109 48.0707009, 11.3769358 48.0704504, 11.3769195 48.0704207, 11.3768807 48.0703136, 11.3768717 48.0702037)",,50,2,,,,
"[376680166, 16386511]",Hubertusstraße,residential,False,True,15.789000000000001,"LINESTRING (11.3773758 48.0711685, 11.3774761 48.0711856, 11.3775844 48.0711938)",,30,,,,,
"[1021674066, 5140133]",Pippinplatz,tertiary,True,False,91.741,"LINESTRING (11.3766054 48.0715869, 11.3765797 48.071702, 11.3765127 48.0717546, 11.3760163 48.0719226, 11.3759072 48.0719602, 11.3756601 48.0720453)",,50,,,,,
"[375507522, 375507523, 5140131, 15948631]","['Bahnhofplatz', 'Pippinplatz']",tertiary,False,True,75.742,"LINESTRING (11.3766054 48.0715869, 11.3767371 48.0715214, 11.3770567 48.0714032, 11.3772037 48.0713411, 11.3773399 48.0712386, 11.3773758 48.0711685)",,"['50', '30']",2,yes,,,
