osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,ref,lanes
782212053,Schillerstraße,residential,50,8,False,True,97.271,"LINESTRING (12.9685429 50.6472505, 12.9688878 50.6480975)",,
28579440,Schillerstraße,residential,50,8,False,False,127.82400000000001,"LINESTRING (12.9685429 50.6472505, 12.9683946 50.6469698, 12.9682293 50.6467193, 12.9680454 50.6464512, 12.9678633 50.6461856)",,
60500346,Wettinstraße,secondary,50,,False,False,20.353,"LINESTRING (12.9703254 50.6467089, 12.9702405 50.6467113, 12.9701359 50.6467151, 12.9700434 50.6467373)",S 229,
60500346,Wettinstraße,secondary,50,,False,True,52.498,"LINESTRING (12.9703254 50.6467089, 12.9704292 50.6467827, 12.9705162 50.6469292, 12.9706767 50.6471205)",S 229,
1185692063,Markt,residential,,,False,False,28.995,"LINESTRING (12.9703254 50.6467089, 12.9703128 50.6466554, 12.9701996 50.6464616)",,
121657433,Annaberger Straße,primary,50,,False,True,33.784,"LINESTRING (12.9681572 50.6448268, 12.9684304 50.6450764)",B 95,2
"[638600832, 161552547]",Neumarkt,primary,50,,False,False,57.736999999999995,"LINESTRING (12.9681572 50.6448268, 12.9678796 50.6445763, 12.9677431 50.6443816)",B 95,"['2', '3']"
782212057,Greifensteinstraße,tertiary,50,,False,False,105.04599999999999,"LINESTRING (12.9681572 50.6448268, 12.9679846 50.6449422, 12.9672328 50.6454912, 12.9671611 50.6455281)",K 7170,
561921441,Chemnitzer Straße,primary,50,,False,True,8.174,"LINESTRING (12.9700434 50.6467373, 12.9700497 50.6468107)",B 95,2
60500346,Wettinstraße,secondary,50,,False,True,20.353,"LINESTRING (12.9700434 50.6467373, 12.9701359 50.6467151, 12.9702405 50.6467113, 12.9703254 50.6467089)",S 229,
"[782212059, 121657422]",Markt,primary,50,,False,False,140.466,"LINESTRING (12.9700434 50.6467373, 12.9699733 50.6465954, 12.9698614 50.6464439, 12.9696355 50.6461702, 12.9696047 50.6461395, 12.9690363 50.6456574)",B 95,2
25810893,Schulstraße,residential,50,,True,False,101.441,"LINESTRING (12.9678633 50.6461856, 12.968605 50.6458516, 12.9686374 50.645837, 12.9690363 50.6456574)",,
28579440,Schillerstraße,residential,50,8,False,False,88.298,"LINESTRING (12.9678633 50.6461856, 12.9676536 50.6459893, 12.9675445 50.6458871, 12.9671611 50.6455281)",,
28579440,Schillerstraße,residential,50,8,False,True,127.824,"LINESTRING (12.9678633 50.6461856, 12.9680454 50.6464512, 12.9682293 50.6467193, 12.9683946 50.6469698, 12.9685429 50.6472505)",,
25848293,Markt,residential,,,False,False,26.061,"LINESTRING (12.9690363 50.6456574, 12.9693454 50.6455289)",,
121657433,Annaberger Straße,primary,50,,False,False,77.453,"LINESTRING (12.9690363 50.6456574, 12.9688408 50.64547, 12.9684304 50.6450764)",B 95,2
"[782212059, 121657422]",Markt,primary,50,,False,True,140.466,"LINESTRING (12.9690363 50.6456574, 12.9696047 50.6461395, 12.9696355 50.6461702, 12.9698614 50.6464439, 12.9699733 50.6465954, 12.9700434 50.6467373)",B 95,2
25814310,Albertstraße,residential,,8,True,False,43.856,"LINESTRING (12.9698252 50.6480584, 12.970407 50.6479189)",,
