osmid,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes,width
73356200,L 184,secondary,roundabout,True,False,28.715,"LINESTRING (6.9029822 50.8320042, 6.9029556 50.8319703, 6.9029521 50.8319359, 6.9029607 50.8319142, 6.9029944 50.8318818, 6.9030385 50.8318629, 6.9030811 50.8318558, 6.9031318 50.8318581, 6.903177 50.8318707)",,,,,
10714447,,residential,,True,False,207.096,"LINESTRING (6.8999783 50.8314519, 6.9007472 50.831374, 6.9023018 50.8312472, 6.9023479 50.831227, 6.9023666 50.8312025, 6.9022838 50.8308889)",Kentenichstraße,30,,,
29121825,,residential,,False,False,125.899,"LINESTRING (6.8999783 50.8314519, 6.8998372 50.8311037, 6.899827 50.8310785, 6.8997317 50.8307902, 6.8996508 50.8304925, 6.8996146 50.8304175, 6.8995649 50.8303529)",Josefstraße,30,,,
"[29121825, 29121945, 100466670]",,residential,,False,True,229.421,"LINESTRING (6.8999783 50.8314519, 6.9001527 50.8317164, 6.9004192 50.8320775, 6.9005173 50.8322234, 6.9005622 50.8322889, 6.9011916 50.833206, 6.9012853 50.8333426)","['Josefstraße', 'Hubertusstraße']",30,yes,,
24659229,L 184,secondary,,False,False,3.265,"LINESTRING (6.9084656 50.8310375, 6.9085062 50.8310232)",Comesstraße,50,,2,
24659229,L 184,secondary,,False,True,59.974999999999994,"LINESTRING (6.9084656 50.8310375, 6.9079358 50.8312277, 6.9077116 50.8312894)",Comesstraße,50,,2,
943521977,,residential,,False,False,65.286,"LINESTRING (6.9084656 50.8310375, 6.9083934 50.8309414, 6.9083414 50.8308391, 6.9082816 50.8304677)",Mayersweg,30,,,
24658267,,residential,,False,True,105.201,"LINESTRING (6.9059854 50.8315331, 6.9059503 50.8313166, 6.9058283 50.8310034, 6.9056369 50.8306159)",Kölnstraße,10,,,
24659224,L 184,secondary,roundabout,True,False,19.847,"LINESTRING (6.9059854 50.8315331, 6.9060595 50.8315294, 6.9061139 50.8315408, 6.9061454 50.8315546, 6.9061822 50.8315841, 6.9061983 50.8316161)",Kölnstraße,,,,
24641237,,residential,,False,True,24.366,"LINESTRING (6.9086071 50.8334577, 6.9083952 50.8334172, 6.9082715 50.8334036)",Schildgesstraße,30,,2,
28938448,,residential,,False,True,37.44,"LINESTRING (6.9086071 50.8334577, 6.9087304 50.8334201, 6.9088537 50.8334133, 6.9089825 50.8334269, 6.9091121 50.8334633)",Schildgesstraße,30,,,
29121854,,residential,,False,True,33.436,"LINESTRING (6.9025739 50.8331575, 6.9021018 50.8331964)",Hermann-Löns-Straße,30,,,
29121854,,residential,,False,False,33.436,"LINESTRING (6.9021018 50.8331964, 6.9025739 50.8331575)",Hermann-Löns-Straße,30,,,
29121854,,residential,,False,True,60.187,"LINESTRING (6.9021018 50.8331964, 6.9017934 50.8332244, 6.9015209 50.8332657, 6.9012853 50.8333426)",Hermann-Löns-Straße,30,,,
"[71190815, 29121855]",,residential,,False,"[False, True]",88.33500000000001,"LINESTRING (6.9021018 50.8331964, 6.9019873 50.8325368, 6.9021869 50.8325017)",Hermann-Löns-Straße,,,,
29121854,,residential,,False,False,60.187,"LINESTRING (6.9012853 50.8333426, 6.9015209 50.8332657, 6.9017934 50.8332244, 6.9021018 50.8331964)",Hermann-Löns-Straße,30,,,
"[29121945, 100466670, 29121825]",,residential,,False,False,229.421,"LINESTRING (6.9012853 50.8333426, 6.9011916 50.833206, 6.9005622 50.8322889, 6.9005173 50.8322234, 6.9004192 50.8320775, 6.9001527 50.8317164, 6.8999783 50.8314519)","['Josefstraße', 'Hubertusstraße']",30,yes,,
24659224,L 184,secondary,roundabout,True,False,20.069,"LINESTRING (6.9061983 50.8316161, 6.9061978 50.8316555, 6.9061667 50.8316977, 6.9061205 50.8317235, 6.9060917 50.8317321, 6.9060364 50.8317383)",Kölnstraße,,,,
24659229,L 184,secondary,,False,False,112.386,"LINESTRING (6.9061983 50.8316161, 6.906308 50.8315963, 6.9067993 50.8314949, 6.907285 50.8313977, 6.9077116 50.8312894)",Comesstraße,50,,2,
24659224,L 184,secondary,roundabout,True,False,16.150000000000002,"LINESTRING (6.9060364 50.8317383, 6.9059785 50.831732, 6.9059514 50.831724, 6.9059085 50.8317012, 6.9058801 50.8316709, 6.905872 50.831653)",Kölnstraße,,,,
45966168,L 194,secondary,,False,True,174.939,"LINESTRING (6.9060364 50.8317383, 6.9060403 50.831832, 6.9060498 50.8321551, 6.9060482 50.8322772, 6.9060458 50.8324555, 6.9060431 50.8326578, 6.906086 50.8329265, 6.9063145 50.8332819)",Kölnstraße,,,2,
24658280,,residential,,False,False,191.591,"LINESTRING (6.9053658 50.8279446, 6.9056743 50.8279169, 6.9058268 50.8279114, 6.9059964 50.8279084, 6.9061815 50.8279141, 6.9063747 50.8279254, 6.9064482 50.8279343, 6.9065176 50.8279431, 6.9065844 50.8279582, 6.9066234 50.8279716, 6.9066443 50.8279832, 6.9066619 50.8279979, 6.9066706 50.8280114, 6.906686 50.8280419, 6.9066864 50.8280987, 6.9066651 50.8281647, 6.9066232 50.828259, 6.9065483 50.8284333, 6.9064968 50.8285613, 6.9064785 50.8286105, 6.906458 50.8286659, 6.9064377 50.8286977, 6.9064104 50.8287225, 6.906355 50.8287457, 6.9062314 50.8287836)",Schloßstraße,10,,,
28938448,,residential,,False,False,37.44,"LINESTRING (6.9091121 50.8334633, 6.9089825 50.8334269, 6.9088537 50.8334133, 6.9087304 50.8334201, 6.9086071 50.8334577)",Schildgesstraße,30,,,
28938454,,residential,,False,True,80.80899999999998,"LINESTRING (6.9091121 50.8334633, 6.9092811 50.8332803, 6.9093848 50.8330643, 6.9094275 50.8328688, 6.9094286 50.8328547, 6.9094347 50.8327771)",Will-Küpper-Straße,30,,,
24659224,L 184,secondary,roundabout,True,False,16.88,"LINESTRING (6.905872 50.831653, 6.905875 50.8316055, 6.9059076 50.8315661, 6.9059445 50.8315453, 6.9059854 50.8315331)",Kölnstraße,,,,
30701576,L 184,secondary,,False,True,177.003,"LINESTRING (6.905872 50.831653, 6.90573 50.8316733, 6.9045275 50.8318458, 6.904372 50.8318673, 6.9034085 50.8319885)",Heinrich-Esser-Straße,30,,2,
30701576,L 184,secondary,,False,False,12.433,"LINESTRING (6.9032319 50.831981, 6.9033011 50.8319829, 6.9034085 50.8319885)",Heinrich-Esser-Straße,30,,2,
73356200,L 184,secondary,roundabout,True,False,21.345,"LINESTRING (6.9032319 50.831981, 6.9032076 50.8320066, 6.9031826 50.8320214, 6.9031393 50.8320351, 6.9031092 50.8320388, 6.9030459 50.8320335, 6.9030011 50.8320167, 6.9029822 50.8320042)",,,,,
24641333,,residential,,True,False,189.453,"LINESTRING (6.9021645 50.8298981, 6.8995649 50.8303529)",Hermannstraße,30,,,
"[24658810, 28840734]",,residential,,True,False,112.06099999999999,"LINESTRING (6.9021645 50.8298981, 6.9021425 50.8296149, 6.9021293 50.8294605, 6.9030298 50.8294296)","['Mühlenstraße', 'An der Bleiche']",30,,,
24658426,,residential,,False,False,87.107,"LINESTRING (6.8995649 50.8303529, 6.899527 50.8302996, 6.8994905 50.8302045, 6.8994851 50.8301113, 6.8993989 50.8297606, 6.8993585 50.8295835)",Josefstraße,10,,,
