osmid,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,lanes,bridge
136571497,Weitzgrunder Straße,living_street,7,False,True,68.509,"LINESTRING (12.5898293 52.1440993, 12.5898626 52.1441695, 12.5899679 52.144314, 12.5900203 52.1443825, 12.5901116 52.1445008, 12.5901628 52.144563, 12.590224 52.1446077, 12.5903023 52.1446218)",,,,
259492992,Straße der Einheit,tertiary,30,True,False,91.48700000000001,"LINESTRING (12.5877879 52.1404593, 12.5877454 52.1403189, 12.5877023 52.1402203, 12.587613 52.1400735, 12.5874324 52.139844, 12.5873127 52.1396948)",,,,
24877103,Wiesenburger Straße,tertiary,30,True,False,24.441,"LINESTRING (12.5873127 52.1396948, 12.5870806 52.1398622)",,,,
24877106,Baderstraße,residential,30,True,False,75.433,"LINESTRING (12.5870806 52.1398622, 12.5862285 52.1394301)",,,,
"[1086758220, 160908621]",Wiesenburger Straße,tertiary,30,True,False,139.063,"LINESTRING (12.5870806 52.1398622, 12.5869804 52.1399343, 12.5867754 52.1400561, 12.5866489 52.1401189, 12.5864305 52.1402188, 12.5860853 52.1403625, 12.5858396 52.1404673, 12.5854964 52.140611, 12.5854702 52.1406213)",,,,
24877110,Wallstraße,residential,30,True,False,117.906,"LINESTRING (12.5862285 52.1394301, 12.5860904 52.1395169, 12.5858527 52.1396197, 12.5847943 52.1400153)",,,,
24877366,Schloßtor,residential,30,True,False,93.33299999999998,"LINESTRING (12.5862285 52.1394301, 12.5858422 52.1393094, 12.5856955 52.139245, 12.5855451 52.139118, 12.5853277 52.1389614, 12.5852307 52.1388812)",,,,
"[24877553, 1018216481]",Schloßtor,residential,30,False,"[False, True]",72.743,"LINESTRING (12.5852307 52.1388812, 12.5848923 52.1387609, 12.5846315 52.138647, 12.584582 52.1386203, 12.5845205 52.1385626, 12.5844069 52.1384797)",,,,
24877554,Schloßstraße,residential,30,True,False,82.743,"LINESTRING (12.5852307 52.1388812, 12.5856253 52.1383065, 12.5856857 52.1382531, 12.5857434 52.1382104)",3,,,
142915676,Lübnitzer Straße,secondary,50,False,True,30.386,"LINESTRING (12.5826086 52.1420699, 12.5822788 52.1422535)",,L 95,,
39910331,Lübnitzer Straße,tertiary,30,False,False,120.858,"LINESTRING (12.5826086 52.1420699, 12.5833971 52.1416812, 12.5839809 52.1413829)",,,,
"[24877627, 246870805]",Steinstraße,primary,50,False,True,176.996,"LINESTRING (12.5826086 52.1420699, 12.5828907 52.1422998, 12.5830382 52.1424209, 12.5830911 52.1424644, 12.5836826 52.142945, 12.5841615 52.1433448)",,B 246,"['2', '3']",
"[259461021, 246870807]",Gliener Straße,primary,50,False,True,178.144,"LINESTRING (12.5826086 52.1420699, 12.5823027 52.1418249, 12.5819591 52.141609, 12.5817676 52.1415174, 12.5815222 52.1414347, 12.5810609 52.1412829, 12.5805698 52.1411058)",,B 246,"['2', '3']",
24876222,Steinstraße,primary,50,False,False,169.60100000000003,"LINESTRING (12.5849008 52.1447807, 12.5848671 52.1447514, 12.5848455 52.1447062, 12.5848267 52.1446247, 12.5848079 52.1445131, 12.584617 52.1440106, 12.5844879 52.1436857, 12.58443 52.1435973, 12.5843434 52.1434992, 12.5841615 52.1433448)",,B 246,2,
