osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,ref,maxspeed,width,access
"[601747528, 492313024, 25700487]","['4', '3']",Würzburger Straße,tertiary,False,False,37.125,yes,"LINESTRING (9.6677095 49.6235773, 9.6675114 49.6235513, 9.6674644 49.6235451, 9.6672793 49.623517, 9.6672061 49.6235059)",,,,
492313022,3,Mergentheimer Straße,secondary,False,True,22.975,,"LINESTRING (9.6677095 49.6235773, 9.667737 49.6234807, 9.6677515 49.6234508, 9.6677835 49.6233766)",L 506,50,,
838647049,4,Wertheimer Straße,secondary,False,False,23.753,,"LINESTRING (9.6677095 49.6235773, 9.667699 49.6237032, 9.6676964 49.6237347, 9.6676918 49.6237906)",L 506,50,,
"[541532905, 8166303]",2,Schmiederstraße,tertiary,False,True,134.999,,"LINESTRING (9.6645871 49.6242252, 9.6646892 49.6241904, 9.664847 49.624118, 9.6650048 49.62403, 9.6653199 49.6237926, 9.6656424 49.623414, 9.6656717 49.6233814, 9.6657811 49.6233167)",K 2815,,,
36768914,,Am Wört,residential,False,True,57.291999999999994,,"LINESTRING (9.6645871 49.6242252, 9.6647027 49.624308, 9.6648273 49.6243634, 9.6649868 49.6244009, 9.6651658 49.6244426, 9.6652684 49.6244717)",,,,
232098082,2,Schmiederstraße,tertiary,False,False,99.816,,"LINESTRING (9.6645871 49.6242252, 9.6644262 49.6242671, 9.6643855 49.6242825, 9.6641985 49.6242916, 9.6639027 49.6242964, 9.663631 49.6242866, 9.6632273 49.6242416)",K 2815,,,
28401958,,Schmiederstraße,residential,False,True,68.106,,"LINESTRING (9.6632273 49.6242416, 9.6630919 49.6242201, 9.6629232 49.6241989, 9.662335 49.6240452)",,,,
232098082,2,Schmiederstraße,tertiary,False,True,99.81599999999999,,"LINESTRING (9.6632273 49.6242416, 9.663631 49.6242866, 9.6639027 49.6242964, 9.6641985 49.6242916, 9.6643855 49.6242825, 9.6644262 49.6242671, 9.6645871 49.6242252)",K 2815,,,
"[953223765, 541532910, 418308119]",2,Wertheimer Straße,secondary,False,False,80.941,,"LINESTRING (9.6669872 49.6254182, 9.6669188 49.6255293, 9.666839 49.6257566, 9.6667953 49.6259317, 9.6667447 49.6261268)",L 506,50,,
"[888751929, 541532911]","['4', '2']",Wertheimer Straße,secondary,False,True,188.57700000000003,,"LINESTRING (9.6669872 49.6254182, 9.6671599 49.62511, 9.6675031 49.6244727, 9.6675985 49.6241581, 9.6676299 49.6240448, 9.6676918 49.6237906)",L 506,50,,
