osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width,access
356403817,2,B 42,Rheinstraße,primary,50,False,False,13.469,"LINESTRING (7.7211233 50.1518586, 7.7209707 50.1519301)",,,
"[23763000, 356403816]",1,L 338,Marktplatz,secondary,50,True,False,15.747,"LINESTRING (7.7211233 50.1518586, 7.7212013 50.1519161, 7.721275 50.1519614)",,,
128405402,,,Luisenpfad,residential,,False,False,129.01799999999997,"LINESTRING (7.7200449 50.1589573, 7.7201495 50.1588858, 7.7201823 50.1588475, 7.7201796 50.1587996, 7.7201655 50.1587707, 7.7201385 50.1587413, 7.7200923 50.1586941, 7.7200459 50.1586535, 7.7199649 50.1585835, 7.7198953 50.1585147, 7.7198273 50.158438, 7.7197796 50.158386, 7.7197256 50.1583424, 7.7196681 50.1583013, 7.7195792 50.158248, 7.7191763 50.1581078)",,,
"[131405260, 135574548]",2,B 274,Nastätter Straße,primary,50,False,False,149.111,"LINESTRING (7.7200449 50.1589573, 7.7203179 50.1590493, 7.7205179 50.1590915, 7.7206441 50.1591116, 7.7207187 50.1591175, 7.7207677 50.159119, 7.7210249 50.1591138, 7.7212903 50.1591034, 7.721382 50.1590991, 7.7215505 50.1590911, 7.7217759 50.1590828, 7.7220041 50.1590807, 7.7220858 50.1590811)",,,
354318669,,B 274,Nastätter Straße,primary,,False,True,339.093,"LINESTRING (7.7200449 50.1589573, 7.7199362 50.1589139, 7.719847 50.1588648, 7.7197287 50.1587804, 7.7196205 50.1586952, 7.7195917 50.158672, 7.7194838 50.1585853, 7.7194069 50.1585235, 7.7192692 50.1584221, 7.7191871 50.158375, 7.7191102 50.1583308, 7.7190214 50.1583039, 7.7188357 50.158256, 7.7185222 50.1582167, 7.7182645 50.1581811, 7.7182519 50.1581796, 7.7181193 50.1581619, 7.7179719 50.1581361, 7.7178562 50.1581147, 7.7177417 50.1580832, 7.7174481 50.1579791, 7.7170404 50.1578271, 7.7164405 50.1575899, 7.7162496 50.1575251, 7.7161566 50.1575023, 7.7160211 50.1574705)",,,
"[974294820, 974294821, 146337915, 143810586, 143810587]",2,B 274,Nastätter Straße,primary,,False,True,317.022,"LINESTRING (7.7160211 50.1574705, 7.715266 50.1573561, 7.7150756 50.1573265, 7.7148729 50.1572948, 7.7146916 50.1572618, 7.7145268 50.1572175, 7.714386 50.1571689, 7.714256 50.1571036, 7.7141131 50.1570098, 7.7140049 50.1569133, 7.7139342 50.1568468, 7.7138656 50.1567724, 7.7137755 50.156647, 7.7136491 50.1564859, 7.7136455 50.1564815, 7.7136014 50.156427, 7.713564 50.1563807, 7.7134753 50.1562849, 7.7133731 50.1561812, 7.7132488 50.1560897, 7.7131085 50.1560081, 7.7129438 50.1559255, 7.7128112 50.1558845, 7.7126746 50.1558546)",yes,,
"[120221046, 169041455]",,,Nastätter Straße,residential,,False,False,239.57599999999996,"LINESTRING (7.7160211 50.1574705, 7.716033 50.1573046, 7.7159976 50.1572306, 7.7159605 50.1571787, 7.7158688 50.1571535, 7.715734 50.1571502, 7.7156484 50.1571557, 7.715555 50.1571723, 7.7152831 50.1572378, 7.7150931 50.157241, 7.7149617 50.1572305, 7.7148203 50.1572132, 7.714616 50.157169, 7.7144602 50.1571168, 7.7143645 50.1570743, 7.71429 50.157029, 7.7142193 50.1569804, 7.7141373 50.1569148, 7.7140517 50.1568344, 7.7139848 50.1567594, 7.7138883 50.156621, 7.7137923 50.1564468, 7.7137719 50.1564092)",,,
354318669,,B 274,Nastätter Straße,primary,,False,False,339.0930000000001,"LINESTRING (7.7160211 50.1574705, 7.7161566 50.1575023, 7.7162496 50.1575251, 7.7164405 50.1575899, 7.7170404 50.1578271, 7.7174481 50.1579791, 7.7177417 50.1580832, 7.7178562 50.1581147, 7.7179719 50.1581361, 7.7181193 50.1581619, 7.7182519 50.1581796, 7.7182645 50.1581811, 7.7185222 50.1582167, 7.7188357 50.158256, 7.7190214 50.1583039, 7.7191102 50.1583308, 7.7191871 50.158375, 7.7192692 50.1584221, 7.7194069 50.1585235, 7.7194838 50.1585853, 7.7195917 50.158672, 7.7196205 50.1586952, 7.7197287 50.1587804, 7.719847 50.1588648, 7.7199362 50.1589139, 7.7200449 50.1589573)",,,
"[26233568, 360061369]",,,,primary_link,10,False,False,33.285000000000004,"LINESTRING (7.717472 50.1532559, 7.7175827 50.1532519, 7.717931 50.1532038)",,,
229857050,1,,,primary_link,10,True,False,20.838,"LINESTRING (7.717931 50.1532038, 7.7181108 50.1531745, 7.7182146 50.153158)",,,
"[26233568, 360061369]",,,,primary_link,10,False,True,33.285000000000004,"LINESTRING (7.717931 50.1532038, 7.7175827 50.1532519, 7.717472 50.1532559)",,,
194772296,,,Kirchgasse,residential,,False,False,26.846,"LINESTRING (7.7185493 50.1535452, 7.7182833 50.1533742)",,2.5,
"[359635993, 323696350]",,,Dolkstraße,residential,,False,True,53.004999999999995,"LINESTRING (7.7185493 50.1535452, 7.718723 50.1534257, 7.7187691 50.1533926, 7.7188045 50.1533672, 7.7190404 50.1531873)",,"['2.5', '2']",
"[348415195, 359635999]",,,Kirchgasse,residential,,False,True,108.343,"LINESTRING (7.7185493 50.1535452, 7.7186327 50.1536122, 7.7186418 50.1536505, 7.7186042 50.1536843, 7.7185656 50.1537092, 7.7185164 50.1537465, 7.7184792 50.1537755, 7.7184209 50.1538243, 7.7183259 50.1539085, 7.7181266 50.1540789, 7.7180397 50.1541377, 7.7177913 50.1543005)",,"['2.5', '2']",
"[859454225, 128405402, 229857058, 229857052]",,,"['Nastätter Straße', 'Luisenpfad']",residential,,False,"[False, True]",466.62199999999984,"LINESTRING (7.7191763 50.1581078, 7.7188613 50.158058, 7.7183886 50.1579507, 7.7179108 50.1577322, 7.7176701 50.157632, 7.7171324 50.157433, 7.7162688 50.1571374, 7.7161176 50.1570874, 7.7160038 50.1570535, 7.7158402 50.1570388, 7.715559 50.1570556, 7.7153326 50.1570409, 7.7151985 50.1570206, 7.7151472 50.1570052, 7.7150567 50.156978, 7.7149196 50.1569142, 7.7148774 50.1568876, 7.714753 50.1568093, 7.7145995 50.1566971, 7.7144662 50.1565986, 7.7143668 50.156508, 7.7142361 50.1563707, 7.7141319 50.1562497, 7.714111 50.1562258, 7.7139332 50.1562923, 7.7138547 50.1563217, 7.7137883 50.156364, 7.7137719 50.1564092)",,,
128405402,,,Luisenpfad,residential,,False,True,129.018,"LINESTRING (7.7191763 50.1581078, 7.7195792 50.158248, 7.7196681 50.1583013, 7.7197256 50.1583424, 7.7197796 50.158386, 7.7198273 50.158438, 7.7198953 50.1585147, 7.7199649 50.1585835, 7.7200459 50.1586535, 7.7200923 50.1586941, 7.7201385 50.1587413, 7.7201655 50.1587707, 7.7201796 50.1587996, 7.7201823 50.1588475, 7.7201495 50.1588858, 7.7200449 50.1589573)",,,
137807250,,,Luisenpfad,residential,,False,False,122.11500000000001,"LINESTRING (7.7191763 50.1581078, 7.7192124 50.1580808, 7.7192633 50.158066, 7.719316 50.1580658, 7.7193757 50.1580907, 7.7194504 50.1581397, 7.7195649 50.1581787, 7.7198673 50.1582666, 7.7201422 50.1583415, 7.7202862 50.1583959, 7.7204312 50.1584699, 7.720519 50.1585225, 7.7206112 50.1585889)",,,
