osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,tunnel
38047198,L 333,Loretostraße,secondary,50,False,True,128.47799999999998,"LINESTRING (9.5881571 47.6678825, 9.5881118 47.6678922, 9.5880816 47.667905, 9.5880451 47.6679265, 9.5880062 47.6679668, 9.5879774 47.6680237, 9.5879534 47.6680901, 9.5879362 47.6681506, 9.5878968 47.6682642, 9.5878547 47.6683808, 9.5877697 47.6685962, 9.5877466 47.6686345, 9.5877037 47.6686938, 9.5875735 47.6688255, 9.5874676 47.6689006)",,,,
170581773,,Loretostraße,residential,30,False,True,35.657000000000004,"LINESTRING (9.5881571 47.6678825, 9.5881384 47.6678251, 9.5881407 47.6677472, 9.5881476 47.66772, 9.5881804 47.6676761, 9.5882228 47.6676236, 9.5882606 47.6675835)",,,,
"[587886336, 5199856]",L 333,Martin-Luther-Straße,secondary,50,False,False,167.999,"LINESTRING (9.5881571 47.6678825, 9.5882094 47.6678806, 9.5882764 47.6678876, 9.5883662 47.6679075, 9.588566 47.6679599, 9.5888323 47.6680477, 9.5889743 47.6681023, 9.5891693 47.6681841, 9.5892873 47.66824, 9.589407 47.6683063, 9.5896033 47.6684353, 9.5900363 47.6686649)",2,,,
541943765,L 333,,secondary,50,True,False,5.797,"LINESTRING (9.5873062 47.6689937, 9.5873375 47.6690117, 9.5873565 47.6690325)",1,roundabout,,
776850941,L 333,Loretostraße,secondary,50,True,False,15.959,"LINESTRING (9.5873062 47.6689937, 9.587374 47.6689475, 9.5874676 47.6689006)",1,,,
36726688,L 329,Lindauer Straße,secondary,50,False,True,180.558,"LINESTRING (9.5924598 47.6678211, 9.5921704 47.6680245, 9.5920091 47.6681379, 9.5917226 47.6683434, 9.5913634 47.6685735, 9.5912695 47.6686354, 9.5911041 47.6687523, 9.5909567 47.6688716, 9.5909362 47.6688955, 9.5908727 47.6689554, 9.5908226 47.6690086)",,,,
10040629,,Kalchenstraße,residential,30,False,True,47.777,"LINESTRING (9.5882008 47.6747838, 9.5882893 47.6748136, 9.5887192 47.6750327)",,,,
200722978,,Wilhelmstraße,residential,30,False,False,119.944,"LINESTRING (9.5882008 47.6747838, 9.5883871 47.6746339, 9.5886219 47.6744518, 9.5889656 47.6741757, 9.5890378 47.6740938, 9.5891084 47.674021, 9.5891586 47.6739962, 9.5892057 47.6739833, 9.5892404 47.6739814)",,,,
"[200722979, 10040628]",,Wilhelmstraße,residential,50,False,True,80.372,"LINESTRING (9.5882008 47.6747838, 9.587777 47.6751021, 9.587607 47.6752221, 9.5875114 47.6752539, 9.587482 47.675256, 9.5874262 47.67526)",,,,
17099307,K 7723,Moosstraße,tertiary,50,False,True,81.422,"LINESTRING (9.5855646 47.6744573, 9.5866475 47.6743902)",2,,,
9837455,,Drosteweg,residential,30,False,False,115.083,"LINESTRING (9.5855646 47.6744573, 9.5855658 47.6745405, 9.5849887 47.6750033, 9.584671 47.6752771)",,,,
17099307,K 7723,Moosstraße,tertiary,50,False,False,171.692,"LINESTRING (9.5855646 47.6744573, 9.5850451 47.6744867, 9.583967 47.6745443, 9.5839049 47.6745477, 9.5838156 47.674553, 9.5837733 47.6745549, 9.5835873 47.6745604, 9.5832781 47.6745475)",2,,,
17099307,K 7723,Moosstraße,tertiary,50,False,True,171.692,"LINESTRING (9.5832781 47.6745475, 9.5835873 47.6745604, 9.5837733 47.6745549, 9.5838156 47.674553, 9.5839049 47.6745477, 9.583967 47.6745443, 9.5850451 47.6744867, 9.5855646 47.6744573)",2,,,
17099307,K 7723,Moosstraße,tertiary,50,False,False,19.046,"LINESTRING (9.5872957 47.6743669, 9.5871782 47.6743536, 9.5870434 47.6743609)",2,,,
"[953198841, 34111391]",,Kalchenstraße,residential,50,True,False,82.70400000000001,"LINESTRING (9.5872957 47.6743669, 9.587368 47.6744177, 9.5874774 47.6744946, 9.5877262 47.6746008, 9.5879396 47.6746919, 9.5882008 47.6747838)",,,,
200722977,L 329,Ravensburger Straße,tertiary,50,False,True,100.04299999999999,"LINESTRING (9.5872957 47.6743669, 9.5872875 47.6745392, 9.5873023 47.6746939, 9.5873135 47.6747662, 9.5873414 47.6748852, 9.5873663 47.6749908, 9.5873757 47.6750305, 9.5874262 47.67526)",,,,
"[783704881, 783665459, 9923196, 783920781]",L 329,Kirchstraße,tertiary,50,False,False,122.801,"LINESTRING (9.5872957 47.6743669, 9.5873176 47.6742607, 9.5873658 47.6741347, 9.5874341 47.6740281, 9.5874656 47.6739833, 9.5875528 47.6738594, 9.5876312 47.6737691, 9.5877422 47.6736244, 9.5878299 47.6735446, 9.5878716 47.673502, 9.5879223 47.67345, 9.5879914 47.6733797)",,,,
9837455,,Drosteweg,residential,30,False,True,115.08299999999998,"LINESTRING (9.584671 47.6752771, 9.5849887 47.6750033, 9.5855658 47.6745405, 9.5855646 47.6744573)",,,,
17099307,K 7723,Moosstraße,tertiary,50,False,False,81.422,"LINESTRING (9.5866475 47.6743902, 9.5855646 47.6744573)",2,,,
17099307,K 7723,Moosstraße,tertiary,50,False,True,29.820999999999998,"LINESTRING (9.5866475 47.6743902, 9.5869055 47.6743714, 9.5870434 47.6743609)",2,,,
23208944,,Friedhofstraße,residential,30,False,True,278.88,"LINESTRING (9.5866475 47.6743902, 9.586609 47.6742481, 9.585877 47.6739463, 9.5852231 47.6737014, 9.5848719 47.6735403, 9.5845322 47.6733844, 9.5843316 47.673297, 9.5836245 47.6730061)",,,,
23073204,,Montfortstraße,living_street,30,True,False,167.49,"LINESTRING (9.5884649 47.6719139, 9.5884322 47.6719356, 9.5883993 47.6719574, 9.5883543 47.6719771, 9.5882971 47.6719868, 9.5882606 47.6719895, 9.5881915 47.671983, 9.5881187 47.6719586, 9.5879738 47.6718996, 9.5877825 47.6717994, 9.5875344 47.6716465, 9.5873966 47.6715608, 9.5872278 47.6714484, 9.5870044 47.6712748, 9.5868383 47.6710826)",,,,
255531926,L 329,Ravensburger Straße,tertiary,50,False,True,7.876,"LINESTRING (9.5874262 47.67526, 9.5874363 47.6753305)",,,,
"[200722979, 10040628]",,Wilhelmstraße,residential,50,False,False,80.372,"LINESTRING (9.5874262 47.67526, 9.587482 47.675256, 9.5875114 47.6752539, 9.587607 47.6752221, 9.587777 47.6751021, 9.5882008 47.6747838)",,,,
200722977,L 329,Ravensburger Straße,tertiary,50,False,False,100.04299999999999,"LINESTRING (9.5874262 47.67526, 9.5873757 47.6750305, 9.5873663 47.6749908, 9.5873414 47.6748852, 9.5873135 47.6747662, 9.5873023 47.6746939, 9.5872875 47.6745392, 9.5872957 47.6743669)",,,,
10040839,,Schillerstraße,residential,30,True,False,169.615,"LINESTRING (9.5907385 47.6734007, 9.5906903 47.6733359, 9.5905486 47.6731768, 9.5905137 47.6731376, 9.5903836 47.6730121, 9.5900836 47.6728268, 9.5898634 47.6726868, 9.5891679 47.672327)",,,,
35172829,,Bahnhofstraße,secondary,50,False,False,104.991,"LINESTRING (9.5907385 47.6734007, 9.590848 47.6733375, 9.5908949 47.6733026, 9.5909322 47.6732747, 9.591019 47.6731697, 9.591349 47.67277, 9.5914825 47.6726083)",,,,
35172829,,Bahnhofstraße,secondary,50,False,True,23.529,"LINESTRING (9.5907385 47.6734007, 9.590687 47.6734268, 9.5906243 47.6734587, 9.5905691 47.6734936, 9.5905374 47.6735216, 9.5905158 47.6735468)",,,,
9923196,L 329,Kirchstraße,tertiary,50,False,False,47.978,"LINESTRING (9.5887759 47.6726683, 9.5888807 47.6725755, 9.5891679 47.672327)",,,,
