osmid,oneway,lanes,highway,reversed,length,maxspeed,geometry,ref,name,bridge,tunnel,width
"[33749285, 687144279]",True,1,trunk_link,False,175.025,80,"LINESTRING (8.0190631 50.8781372, 8.0194831 50.8783507, 8.0203454 50.8787891, 8.0205654 50.8789143, 8.020692 50.8790017, 8.0208868 50.8791957)",,,,,
32445161,False,4,primary,False,159.563,50,"LINESTRING (8.0171084 50.8714747, 8.0173337 50.8714642, 8.0182016 50.8714236, 8.0185765 50.8714061, 8.0193761 50.8713688)",B 54,Spandauer Straße,,,
32445162,False,6,primary,True,25.356,50,"LINESTRING (8.0171084 50.8714747, 8.0169053 50.8714851, 8.0167481 50.8714919)",B 54,Spandauer Straße,,,
571473488,False,2,residential,True,114.573,50,"LINESTRING (8.0171084 50.8714747, 8.0170419 50.871308, 8.016888 50.8711204, 8.0166756 50.8708988, 8.0164171 50.8706654, 8.0163813 50.8706272, 8.0163429 50.8705733)",,Sankt-Johann-Straße,,,
"[24271138, 186693700, 160106603, 23805163, 688039289, 639018587, 639018588, 639018590]",False,"['2', '1']",tertiary,"[False, True]",349.937,30,"LINESTRING (8.0166846 50.876778, 8.0167401 50.8767593, 8.0167952 50.8767456, 8.0168595 50.8767402, 8.0169409 50.8767498, 8.0170002 50.8767673, 8.0170513 50.8767842, 8.0171638 50.8768411, 8.0173366 50.8769429, 8.0179266 50.8772997, 8.0179936 50.8773402, 8.0180493 50.8773623, 8.0181519 50.87739, 8.0181967 50.8773928, 8.0182831 50.8773979, 8.0183694 50.8773951, 8.0184474 50.8773833, 8.0185048 50.8773675, 8.0185542 50.8773447, 8.0186016 50.8773127, 8.018638 50.8772741, 8.0186621 50.8772287, 8.0186652 50.8771626, 8.0186545 50.8770907, 8.0186341 50.8770503, 8.0185769 50.8769921, 8.0184956 50.8769338, 8.0176934 50.8764383, 8.017639 50.8763932, 8.0175835 50.8763285, 8.0175596 50.8762734, 8.0175717 50.8762202, 8.0175945 50.8761747, 8.0176277 50.8761422, 8.0176526 50.8761177, 8.0177144 50.8761051, 8.0177776 50.8761066, 8.0179093 50.8761568)",K 10,"['Freudenberger Straße', 'Europastraße']",yes,,
"[445467892, 23805162, 399901995, 399901996]",False,3,tertiary,True,85.51499999999999,30,"LINESTRING (8.0166846 50.876778, 8.0162924 50.8769975, 8.0161875 50.8770582, 8.0159683 50.8771852, 8.0158888 50.8772385, 8.0157978 50.8773045)",K 10,Freudenberger Straße,,,
"[32470528, 32470530, 32490563, 24830623]",False,"['2', '3']",tertiary,"[False, True]",79.09100000000001,,"LINESTRING (8.0202915 50.8762835, 8.0204082 50.8762722, 8.0208202 50.8762323, 8.0208424 50.8762304, 8.0209895 50.8762162, 8.0212085 50.8761629, 8.0213692 50.8761033)",K 10,Europastraße,yes,,
24830634,False,2,tertiary,False,149.42999999999998,30,"LINESTRING (8.0202915 50.8762835, 8.0199387 50.876323, 8.0196756 50.8763522, 8.0195763 50.8763612, 8.0192565 50.87639, 8.0192132 50.8763939, 8.0188318 50.876419, 8.0186827 50.8764096, 8.0185708 50.8763948, 8.0184755 50.8763815, 8.0183888 50.8763575, 8.0183575 50.8763444, 8.0182244 50.8762887)",K 10,Europastraße,,,
"[229927337, 554556922, 33751855]",False,2,residential,True,116.95800000000003,50,"LINESTRING (8.0202915 50.8762835, 8.0203323 50.8763804, 8.0203652 50.8764587, 8.0203845 50.8765044, 8.0204185 50.8765853, 8.0204373 50.87663, 8.0204525 50.8766661, 8.0204905 50.8767563, 8.0205191 50.8768242, 8.0205437 50.8768828, 8.0205681 50.8769407, 8.020678 50.877202, 8.0207193 50.8773001)",,Heeserstraße,,,
"[399902000, 23880343]",True,2,tertiary,False,26.544999999999998,30,"LINESTRING (8.0182244 50.8762887, 8.0181289 50.8762457, 8.0180831 50.876225, 8.0180694 50.8762196, 8.0179093 50.8761568)",K 10,Europastraße,,,
"[23880344, 171764762]",False,,residential,False,152.22899999999998,20,"LINESTRING (8.0182244 50.8762887, 8.0184834 50.8760247, 8.0187567 50.8757298, 8.0189263 50.8755539, 8.0191407 50.8753501, 8.0192033 50.8752702, 8.0192729 50.875237, 8.0193943 50.8751882, 8.0194362 50.8751713)",,Fürst-Johann-Moritz-Straße,,,
24830634,False,2,tertiary,True,149.43,30,"LINESTRING (8.0182244 50.8762887, 8.0183575 50.8763444, 8.0183888 50.8763575, 8.0184755 50.8763815, 8.0185708 50.8763948, 8.0186827 50.8764096, 8.0188318 50.876419, 8.0192132 50.8763939, 8.0192565 50.87639, 8.0195763 50.8763612, 8.0196756 50.8763522, 8.0199387 50.876323, 8.0202915 50.8762835)",K 10,Europastraße,,,
"[463318323, 550708572, 24839862]",True,,"['living_street', 'residential']",False,55.841,20,"LINESTRING (8.0199532 50.8758806, 8.0200139 50.8758768, 8.0200524 50.8758863, 8.0200903 50.8758991, 8.0201271 50.8759163, 8.0202248 50.876132, 8.0202608 50.8762094, 8.0202915 50.8762835)",,"['Herrengarten', 'Brüder-Busch-Straße']",,,
24440820,False,,residential,False,28.088,30,"LINESTRING (8.0278487 50.8761971, 8.0279859 50.8759598)",,Lämmergasse,,,
24297911,True,,residential,False,182.676,30,"LINESTRING (8.0278487 50.8761971, 8.0278176 50.8762437, 8.027782 50.8762612, 8.0277413 50.8762728, 8.0276504 50.8762818, 8.027545 50.8762865, 8.0274489 50.8762702, 8.0272724 50.8762206, 8.0267853 50.8760941, 8.0261016 50.8759279, 8.0255144 50.8757637, 8.0254764 50.8757531)",,Hinterstraße,,,
"[24770603, 649599814]",False,2,residential,False,76.926,30,"LINESTRING (8.0278487 50.8761971, 8.027938 50.8762329, 8.0283093 50.8763409, 8.0288561 50.8764662)",,Marburger Tor,,,
"[229927336, 606026572, 26604116, 602222102, 602222103]",False,,residential,True,217.097,30,"LINESTRING (8.0208318 50.8776855, 8.0208939 50.877807, 8.02114 50.8779581, 8.0213416 50.8780819, 8.0218269 50.8783799, 8.0227679 50.8789577, 8.0228412 50.8790027, 8.0228961 50.8790364, 8.0229665 50.8790796)",,Heeserstraße,,,
"[37656102, 24297366, 37656103]",False,"['2', '3']",residential,False,75.722,50,"LINESTRING (8.0229665 50.8790796, 8.023007 50.8790333, 8.0230826 50.8789755, 8.0232054 50.8789158, 8.0236536 50.8787635, 8.0238408 50.8786999)",,Heeserstraße,yes,,
