osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,ref,geometry,junction,access
25877417,Schloßstraße,residential,30,4,False,True,21.286,,,"LINESTRING (9.02016 48.2545723, 9.0202208 48.2543852)",,
23571418,Neuweilerstraße,secondary,50,,False,True,54.245000000000005,2,L 442,"LINESTRING (9.02016 48.2545723, 9.019826 48.2544981, 9.0194539 48.2544449)",,
25877004,Steiler Weg,residential,50,,False,False,105.169,,,"LINESTRING (9.02016 48.2545723, 9.0201931 48.2546963, 9.0206163 48.2549809, 9.0211052 48.2552453)",,
244276976,Goethestraße,secondary,50,,False,False,5.633,,L 360,"LINESTRING (9.0179307 48.2539429, 9.0179462 48.2539925)",,
619760571,Goethestraße,secondary,50,,False,False,80.164,,L 360,"LINESTRING (9.0179307 48.2539429, 9.0177788 48.2532291)",,
38959583,Lange Straße,residential,,,True,False,68.15899999999999,,,"LINESTRING (9.0179307 48.2539429, 9.017305 48.2538947, 9.0170162 48.2538724)",,
619720718,Lange Straße,residential,,,True,False,40.619,,,"LINESTRING (9.0148572 48.2536603, 9.0143157 48.2536016)",,
619720720,Erich-Kästner-Straße,residential,50,,False,False,81.952,,,"LINESTRING (9.0148572 48.2536603, 9.0150017 48.2529296)",,
619760569,Erich-Kästner-Straße,residential,50,,False,True,52.529,,,"LINESTRING (9.0148572 48.2536603, 9.0146983 48.2541207)",,
619720723,Adlerstraße,secondary,50,,True,False,48.287,,L 442,"LINESTRING (9.0135546 48.2553264, 9.0132555 48.2549405)",,
23571367,Ludwigstraße,secondary,50,,True,False,34.433,,L 442,"LINESTRING (9.0125535 48.2542885, 9.0130127 48.2542394)",,
23571526,Pfeffinger Straße,secondary,50,,False,False,1.957,1,L 442,"LINESTRING (9.0125535 48.2542885, 9.0125276 48.254285)",,
22996558,Staufenbühlstraße,residential,30,,False,True,205.247,,,"LINESTRING (9.0194383 48.2551758, 9.0193724 48.2551399, 9.0190524 48.2552024, 9.0187477 48.2553387, 9.0182907 48.2556234, 9.0179579 48.2559161, 9.0176244 48.2564071)",,
23600240,Lammerbergstraße,residential,30,,False,False,481.46999999999997,,,"LINESTRING (9.0194383 48.2551758, 9.0193927 48.2552458, 9.0191954 48.2552818, 9.0190257 48.255337, 9.0188483 48.2554388, 9.0186167 48.2556238, 9.0183398 48.2561319, 9.0180809 48.2568137, 9.0180324 48.2569226, 9.0176614 48.2581654, 9.0175902 48.2585659, 9.0176049 48.259133)",,
22996558,Staufenbühlstraße,residential,30,,False,False,205.24699999999999,,,"LINESTRING (9.0176244 48.2564071, 9.0179579 48.2559161, 9.0182907 48.2556234, 9.0187477 48.2553387, 9.0190524 48.2552024, 9.0193724 48.2551399, 9.0194383 48.2551758)",,
22996559,Landhausstraße,residential,30,,False,False,267.46000000000004,,,"LINESTRING (9.0176244 48.2564071, 9.0175008 48.256708, 9.0174519 48.2568373, 9.0168708 48.2584979, 9.0167735 48.2587445)",,
22996559,Landhausstraße,residential,30,,False,True,252.065,,,"LINESTRING (9.0176244 48.2564071, 9.0176525 48.2562328, 9.0177452 48.255986, 9.0177477 48.255829, 9.0177299 48.2557563, 9.0177257 48.2557058, 9.0177455 48.2555812, 9.017999 48.2552417, 9.0183453 48.2548855, 9.018793 48.254626, 9.0188394 48.254513, 9.0188401 48.2543982)",,
