osmid,lanes,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge,ref,junction,tunnel
155990869,2,Zeppelinstraße,residential,30,yes,False,False,155.553,"LINESTRING (10.7181271 48.0328451, 10.7187621 48.033072, 10.7190788 48.0331928, 10.7192381 48.033257, 10.7195684 48.0333792, 10.719851 48.0334781, 10.7199617 48.0335169)",,,,
4945035,2,Hindenburgstraße,residential,30,yes,False,False,108.013,"LINESTRING (10.7245699 48.0351709, 10.7240236 48.0359624, 10.7239387 48.0360443)",,,,
"[41222587, 155990869, 886480862, 886480863]",2,"['Mühlenweg', 'Zeppelinstraße']",residential,30,yes,False,False,208.905,"LINESTRING (10.7245699 48.0351709, 10.7247522 48.0352354, 10.7249464 48.0353005, 10.7252393 48.0354002, 10.7254252 48.0354694, 10.7255839 48.0355257, 10.725644 48.0356103, 10.7256611 48.0357018, 10.7255186 48.0365474, 10.7254935 48.0366221)",yes,,,
155990869,2,Zeppelinstraße,residential,30,yes,False,True,35.336,"LINESTRING (10.7245699 48.0351709, 10.7244283 48.0351217, 10.724225 48.0350445, 10.7241536 48.0350177)",,,,
622587524,2,Bahnhofstraße,tertiary,50,,False,False,12.743,"LINESTRING (10.7239387 48.0360443, 10.7237727 48.0360158)",,St 2035,,
4945035,2,Hindenburgstraße,residential,30,yes,False,True,108.013,"LINESTRING (10.7239387 48.0360443, 10.7240236 48.0359624, 10.7245699 48.0351709)",,,,
"[622587524, 26378038]",2,Bahnhofstraße,tertiary,50,,False,True,132.325,"LINESTRING (10.7239387 48.0360443, 10.7244147 48.0362189, 10.7248427 48.0363877, 10.7254232 48.0366041, 10.7254935 48.0366221)",,St 2035,,
26590925,2,Alexander-Moksel-Straße,residential,30,,False,True,6.834,"LINESTRING (10.7261037 48.0398034, 10.7260697 48.0398605)",,,,
75116967,,Am Weiher,residential,30,,False,True,34.548,"LINESTRING (10.7261037 48.0398034, 10.726563 48.0398506)",,,,
41222585,,Bachstraße,residential,,,False,False,59.187999999999995,"LINESTRING (10.7261037 48.0398034, 10.7258758 48.0396686, 10.7257698 48.0395511, 10.7256153 48.0393897)",,,,
622320503,2,Alexander-Moksel-Straße,residential,30,,False,False,161.92,"LINESTRING (10.7261037 48.0398034, 10.7264395 48.0394176, 10.726559 48.039289, 10.7266403 48.0391966, 10.7266556 48.0391792, 10.7267199 48.0391174, 10.7270426 48.0388108, 10.7272686 48.0385741)",,,,
75235694,2,Mindelheimer Straße,tertiary,50,,False,True,27.576,"LINESTRING (10.7232036 48.0361478, 10.7235441 48.0360495)",,OAL 18,,
17506254,,Ludwigstraße,residential,,,False,False,59.613,"LINESTRING (10.7232036 48.0361478, 10.7232398 48.0362157, 10.7232162 48.0362882, 10.7230469 48.0365758, 10.7230249 48.0366552)",,,,
621757513,2,Mindelheimer Straße,tertiary,50,,False,False,252.15800000000002,"LINESTRING (10.7232036 48.0361478, 10.7226874 48.0362801, 10.7219841 48.0364624, 10.7217815 48.0365149, 10.7213117 48.0366381, 10.720987 48.0367223, 10.7206321 48.0368148, 10.7204156 48.0368782, 10.7202342 48.0369511, 10.7200818 48.0370215)",,OAL 18,,
17506254,,Ludwigstraße,residential,,,False,True,59.613,"LINESTRING (10.7230249 48.0366552, 10.7230469 48.0365758, 10.7232162 48.0362882, 10.7232398 48.0362157, 10.7232036 48.0361478)",,,,
"[623586264, 27845393, 41222586]",,"['Sudetenstraße', 'Hintere Gasse']",living_street,,,False,False,327.957,"LINESTRING (10.7230249 48.0366552, 10.7228552 48.0366608, 10.7227091 48.0366636, 10.722473 48.0366763, 10.7222873 48.0366926, 10.7219382 48.0367694, 10.7213389 48.0369338, 10.7210847 48.0370094, 10.7207384 48.0371114, 10.72043 48.0372134, 10.7200977 48.0373194, 10.71992 48.037381, 10.7197723 48.0374353, 10.719902 48.0376227, 10.7201718 48.0379878)",,,,
621757540,,Ludwigstraße,residential,,,False,False,65.36999999999999,"LINESTRING (10.7230249 48.0366552, 10.7231261 48.0367683, 10.7231741 48.0368245, 10.7233138 48.036976, 10.723432 48.0370731, 10.7235351 48.0371281)",,,,
622320504,,Ludwigstraße,residential,,,False,True,14.45,"LINESTRING (10.7260225 48.0383608, 10.7262131 48.0383354)",,,,
