osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width,access
44334099,Hinrich-Wichern-Straße,unclassified,50,False,False,226.18099999999998,"LINESTRING (12.7021789 50.8039926, 12.7022139 50.8039406, 12.7022534 50.8038972, 12.7023038 50.8038646, 12.7035651 50.8036747, 12.703719 50.8036485, 12.70444 50.8034804, 12.704715 50.803394, 12.7049919 50.8033058, 12.7050945 50.8032747, 12.7051145 50.8032684)",,,,
"[5080763, 44964678]",Bernhard-Anger-Straße,tertiary,50,False,True,127.624,"LINESTRING (12.7021789 50.8039926, 12.7022565 50.8040074, 12.7025888 50.8040773, 12.7035224 50.8042092, 12.7038366 50.8042778, 12.7039277 50.8042965)",K 7317,,,
114298699,Hinrich-Wichern-Straße,tertiary,50,False,True,91.24000000000001,"LINESTRING (12.7021789 50.8039926, 12.7019362 50.8039748, 12.7018161 50.8039847, 12.701461 50.8040612, 12.7013408 50.8040769, 12.7009058 50.8040743)",K 7317,2,,
32913576,Lichtensteiner Straße,residential,,False,True,24.519,"LINESTRING (12.7077278 50.8031386, 12.7076291 50.8029271)",,,4,
235741075,Altmarkt,unclassified,50,False,True,34.112,"LINESTRING (12.7077278 50.8031386, 12.7072897 50.8030065)",,1,,yes
"[115129992, 154533871]",Karlstraße,unclassified,30,True,False,210.86599999999999,"LINESTRING (12.7077278 50.8031386, 12.7080181 50.803241, 12.7086813 50.8035484, 12.7087335 50.8035684, 12.7087856 50.8035857, 12.7088527 50.8036019, 12.7089044 50.8036112, 12.7089663 50.803616, 12.7090209 50.8036171, 12.7090431 50.8036178, 12.7091125 50.8036062, 12.7091521 50.8035905, 12.709508 50.8034019, 12.7096236 50.8033422, 12.709779 50.8033224, 12.7101186 50.8033068, 12.7103483 50.8033089)",,,,yes
23269939,Ebersbachweg,residential,30,False,True,114.80199999999999,"LINESTRING (12.7123524 50.8035767, 12.7114968 50.8038858, 12.7114841 50.8039004, 12.7113229 50.8040844, 12.7112198 50.804255)",,,,
115129990,Ebersbachweg,unclassified,,False,False,65.889,"LINESTRING (12.7123524 50.8035767, 12.7126026 50.8035132, 12.7130575 50.8033781, 12.7131861 50.8033124)",,2,,
272288740,Karlstraße,unclassified,30,False,True,144.019,"LINESTRING (12.7123524 50.8035767, 12.7119611 50.8035351, 12.7115272 50.8034834, 12.7108612 50.8033775, 12.7104892 50.8033297, 12.7103483 50.8033089)",,,,yes
23270046,Dresdner Straße,secondary,50,False,True,8.118,"LINESTRING (12.7132938 50.8033388, 12.7131861 50.8033124)",S 245,2,,
"[23270953, 23271137]","['An der Insel', 'Lungwitzer Straße']",residential,50,False,"[False, True]",257.69700000000006,"LINESTRING (12.7132938 50.8033388, 12.7133762 50.8032041, 12.7133979 50.8031679, 12.7134501 50.8029704, 12.7135311 50.8026643, 12.7136188 50.8019916, 12.7135799 50.8016087, 12.7135072 50.801431, 12.7134866 50.8014012, 12.7134335 50.8013838, 12.7133151 50.8013605, 12.713029 50.8013043, 12.712977 50.8012757)",,,,
133496146,Paul-Greifzu-Straße,secondary,50,False,False,24.714,"LINESTRING (12.7023679 50.8015268, 12.7024057 50.8014605, 12.7023926 50.8013779, 12.70234 50.8013177)",S 245,2,,
145170002,Paul-Greifzu-Straße,secondary,50,False,True,51.141,"LINESTRING (12.7023679 50.8015268, 12.7020951 50.8017634, 12.7020739 50.8017786, 12.7019202 50.8018888)",S 245,2,,
133496145,Friedrich-Engels-Straße,secondary,50,False,True,36.375,"LINESTRING (12.70234 50.8013177, 12.7024991 50.8013474, 12.7025616 50.8013669, 12.7028143 50.801446)",S 245,2,,
133496146,Paul-Greifzu-Straße,secondary,50,False,True,24.714,"LINESTRING (12.70234 50.8013177, 12.7023926 50.8013779, 12.7024057 50.8014605, 12.7023679 50.8015268)",S 245,2,,
727170718,Friedrich-Engels-Straße,secondary,50,False,False,81.29400000000001,"LINESTRING (12.70234 50.8013177, 12.7022587 50.8012725, 12.7021117 50.8012259, 12.7020056 50.8011989, 12.7019068 50.8011684, 12.7012863 50.8010268)",S 245,2,,
727170718,Friedrich-Engels-Straße,secondary,50,False,True,81.294,"LINESTRING (12.7012863 50.8010268, 12.7019068 50.8011684, 12.7020056 50.8011989, 12.7021117 50.8012259, 12.7022587 50.8012725, 12.70234 50.8013177)",S 245,2,,
"[23271133, 23271134]","['Zillplatz', 'Herrmannstraße']",residential,20,False,"[False, True]",213.666,"LINESTRING (12.7132951 50.8009502, 12.7132263 50.800922, 12.7125836 50.800773, 12.7115937 50.8005635, 12.7111825 50.8004866, 12.7111313 50.8004874, 12.7104089 50.8003605)",,,,
26129370,Lungwitzer Straße,secondary,50,False,True,92.95599999999999,"LINESTRING (12.7132951 50.8009502, 12.7137358 50.8002909, 12.7138034 50.8001785)",S 252,,,
128468393,Lungwitzer Straße,tertiary,50,False,False,42.803,"LINESTRING (12.7132951 50.8009502, 12.713151 50.8011029, 12.7130182 50.8012556, 12.712977 50.8012757)",,,,
26129370,Lungwitzer Straße,secondary,50,False,False,92.95599999999999,"LINESTRING (12.7138034 50.8001785, 12.7137358 50.8002909, 12.7132951 50.8009502)",S 252,,,
26129371,Lungwitzer Straße,secondary,50,False,True,39.865,"LINESTRING (12.7138034 50.8001785, 12.7139061 50.7999821, 12.7139244 50.7999471, 12.7139814 50.7998381)",S 252,,,
"[23255392, 1113594341]",Zeißigstraße,secondary,50,False,False,120.09599999999999,"LINESTRING (12.700913 50.7984784, 12.7010928 50.7983884, 12.7012983 50.7983094, 12.7015758 50.7982066, 12.7016397 50.7981809, 12.7018958 50.7980831, 12.7021052 50.7979858, 12.7021948 50.7978818, 12.7022239 50.7978246)",S 245,"['2', '3']",,
23255392,Zeißigstraße,secondary,50,False,True,89.73100000000001,"LINESTRING (12.700913 50.7984784, 12.7008622 50.798544, 12.7007793 50.7986557, 12.7004044 50.7992184)",S 245,2,,
