osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,width,tunnel,junction,est_width
"[639325033, 446516667]",True,L 1143,Bahnhofstraße,residential,20,False,57.178000000000004,1,"LINESTRING (9.181809 48.8645805, 9.1812558 48.8646367, 9.1811366 48.8646383, 9.1810375 48.8646206)",,,,
"[22678624, 638761426]",True,,Weimarstraße,residential,30,False,139.09699999999998,,"LINESTRING (9.1842577 48.8643493, 9.1842407 48.8641462, 9.1841327 48.8632301, 9.1841201 48.8631017)",,,,
638858194,True,L 1143,Bahnhofstraße,residential,20,False,100.443,,"LINESTRING (9.1842577 48.8643493, 9.184112 48.8643632, 9.1837338 48.8644069, 9.1828969 48.8644673)",,,,
638785584,False,,Stuttgarter Straße,secondary,50,True,10.318,3,"LINESTRING (9.1855996 48.8642322, 9.1856108 48.8641397)",,,,
"[481203885, 141826743]",False,L 1143,Stuttgarter Straße,secondary,50,False,98.12700000000001,"['2', '3']","LINESTRING (9.1855996 48.8642322, 9.1855878 48.8643353, 9.1855817 48.8643892, 9.1855729 48.8644663, 9.1855706 48.8644864, 9.1855589 48.8645901, 9.1855594 48.8646687, 9.1855738 48.8647518, 9.1856109 48.86485, 9.1856378 48.8649053, 9.1856539 48.8649398, 9.1857075 48.8650271, 9.1857414 48.8650954)",,,,
"[638858193, 638858194, 153225951]",True,L 1143,Bahnhofstraße,residential,20,False,99.05100000000002,1,"LINESTRING (9.1855996 48.8642322, 9.1853575 48.8642445, 9.1852704 48.8642525, 9.1851191 48.8642672, 9.184932 48.864285, 9.1848919 48.8642889, 9.1847373 48.8643036, 9.1842577 48.8643493)",,,,
"[11015577, 481203887]",False,K 1691,Lange Straße,secondary,"['50', '30']",False,86.496,"['2', '3']","LINESTRING (9.1857414 48.8650954, 9.1858645 48.8651382, 9.1859147 48.8651549, 9.1859718 48.8651762, 9.1860585 48.8652113, 9.1862236 48.8652681, 9.1863577 48.8652978, 9.1864935 48.8653087, 9.1866271 48.8653054, 9.1868481 48.8652989)",,,,
"[481203885, 141826743]",False,L 1143,Stuttgarter Straße,secondary,50,True,98.127,"['2', '3']","LINESTRING (9.1857414 48.8650954, 9.1857075 48.8650271, 9.1856539 48.8649398, 9.1856378 48.8649053, 9.1856109 48.86485, 9.1855738 48.8647518, 9.1855594 48.8646687, 9.1855589 48.8645901, 9.1855706 48.8644864, 9.1855729 48.8644663, 9.1855817 48.8643892, 9.1855878 48.8643353, 9.1855996 48.8642322)",,,,
"[22870431, 481224491, 481224487]",False,,Jakobstraße,secondary,50,"[False, True]",142.351,3,"LINESTRING (9.1857414 48.8650954, 9.1856035 48.8650733, 9.1854766 48.8650696, 9.1853567 48.8650651, 9.1849259 48.8650709, 9.1845749 48.8650779, 9.1844527 48.8650815, 9.1840374 48.8650876, 9.1838005 48.8650956)",,,,
419047992,False,K 1691,Lange Straße,secondary,30,False,11.065,2,"LINESTRING (9.1879241 48.8652823, 9.1880751 48.8652883)",,,,
