osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,ref,lanes
23842519,Weiderodaer Weg,residential,30,False,False,78.88399999999999,"LINESTRING (12.2553304 51.1703088, 12.2554188 51.1704025, 12.2556749 51.1706111, 12.2559431 51.1709035)",,,
23842519,Weiderodaer Weg,residential,30,False,True,42.17,"LINESTRING (12.2553304 51.1703088, 12.2552934 51.1702543, 12.2550937 51.1699598)",,,
"[25221712, 28186085, 25221711]","['Probsteiweg', 'Probsteisiedlung']","['residential', 'living_street']",,False,True,218.976,"LINESTRING (12.2553304 51.1703088, 12.2556435 51.1703224, 12.2564791 51.1702909, 12.2571429 51.1702502, 12.2580166 51.1701985, 12.2581962 51.170204, 12.2583879 51.1702221, 12.2584352 51.1702558)",yes,,
23842519,Weiderodaer Weg,residential,30,False,False,42.17,"LINESTRING (12.2550937 51.1699598, 12.2552934 51.1702543, 12.2553304 51.1703088)",,,
23842523,Ernst-Reinsdorf-Straße,residential,30,False,True,154.24599999999998,"LINESTRING (12.2550937 51.1699598, 12.2550402 51.1692583, 12.255038 51.1692296, 12.2550258 51.1689111, 12.2550412 51.1685737)",,,
23848373,Mühlweg,residential,30,False,True,321.504,"LINESTRING (12.2550937 51.1699598, 12.2542871 51.1699852, 12.2541775 51.1699886, 12.253856 51.1699987, 12.2509889 51.1700889, 12.2506894 51.1701108, 12.2504972 51.1701451)",,,
23842523,Ernst-Reinsdorf-Straße,residential,30,False,False,154.24599999999998,"LINESTRING (12.2550412 51.1685737, 12.2550258 51.1689111, 12.255038 51.1692296, 12.2550402 51.1692583, 12.2550937 51.1699598)",,,
28200342,Ernst-Reinsdorf-Straße,residential,30,False,False,62.434,"LINESTRING (12.2550412 51.1685737, 12.2550931 51.1684626, 12.2551628 51.1683267, 12.2551961 51.1682573, 12.2553541 51.1680492)",,,
23842531,Mühlgasse,residential,30,False,False,3.096,"LINESTRING (12.2572941 51.1668593, 12.2572966 51.1668315)",,,
23842531,Mühlgasse,residential,30,False,True,53.302,"LINESTRING (12.2572941 51.1668593, 12.2572393 51.167227, 12.257209 51.1673354)",,,
28177857,Topfmarkt,residential,,False,True,74.625,"LINESTRING (12.2572941 51.1668593, 12.2566062 51.166896, 12.2562295 51.1669268)",,,
23842540,Martin-Luther-Platz,secondary,,False,False,47.562,"LINESTRING (12.2567027 51.1660645, 12.2569506 51.1659941, 12.257147 51.1659324, 12.2573186 51.1658808)",,S 68,
23848094,Helbigstraße,secondary,,False,False,44.066,"LINESTRING (12.2567027 51.1660645, 12.2565059 51.1661116, 12.2563336 51.1661457, 12.256101 51.1661844)",,S 68,
28177868,Martin-Luther-Platz,residential,,False,True,98.702,"LINESTRING (12.2567027 51.1660645, 12.256617 51.1658056, 12.2567831 51.1657864, 12.2570482 51.1658052, 12.257477 51.1657757, 12.2575472 51.1657792, 12.2575806 51.1658077)",,,
23842534,Markt,secondary,,True,False,43.531,"LINESTRING (12.2548986 51.1666873, 12.2548813 51.1667344, 12.2548691 51.1669525, 12.2548718 51.1670774)",,S 68,
41498366,Hellmuthsgasse,secondary,,True,False,46.162,"LINESTRING (12.2542758 51.1673139, 12.2536297 51.1672233)",,S 68,
23842529,An der Schule,residential,30,False,False,64.34400000000001,"LINESTRING (12.2542758 51.1673139, 12.2542094 51.1678626, 12.254206 51.1678909)",,,2
23842529,An der Schule,residential,30,False,True,64.34400000000001,"LINESTRING (12.254206 51.1678909, 12.2542094 51.1678626, 12.2542758 51.1673139)",,,2
28166536,Vorwerk,residential,30,False,False,181.161,"LINESTRING (12.254206 51.1678909, 12.2537717 51.1678794, 12.2536161 51.1678644, 12.253293 51.1678331, 12.2526216 51.1678218, 12.2516184 51.1678807)",,,
954168275,An der Schule,residential,30,True,False,117.636,"LINESTRING (12.254206 51.1678909, 12.2542211 51.1680848, 12.2542123 51.1682149, 12.2542095 51.1682566, 12.2542444 51.1683851, 12.2542913 51.1684492, 12.2543203 51.1684655, 12.2546518 51.1685336, 12.2548706 51.1685631, 12.2550412 51.1685737)",,,1
23842532,Kirchplatz,secondary,,True,False,8.908,"LINESTRING (12.2536297 51.1672233, 12.2535624 51.1671552)",,S 68,
28224708,,secondary,,True,False,13.56,"LINESTRING (12.2536297 51.1672233, 12.2534367 51.1672083)",,S 68,
817897501,Kirchplatz,secondary,,True,False,66.555,"LINESTRING (12.2535624 51.1671552, 12.2535969 51.1669294, 12.2536116 51.1668302, 12.253634 51.1666286, 12.2536547 51.1665881, 12.2536577 51.1665607)",,S 68,
23842535,Helbigstraße,secondary,,False,True,6.747,"LINESTRING (12.2550029 51.1665506, 12.2550915 51.1665262)",,S 68,
891243061,Markt,secondary,,True,False,16.85,"LINESTRING (12.2550029 51.1665506, 12.2548986 51.1666873)",,S 68,
23842535,Helbigstraße,secondary,,False,False,6.747,"LINESTRING (12.2550915 51.1665262, 12.2550029 51.1665506)",,S 68,
23842533,Markt,residential,,True,False,94.331,"LINESTRING (12.2550915 51.1665262, 12.2552919 51.1669825, 12.2552848 51.1670977, 12.2548718 51.1670774)",,,
"[23848093, 23848094, 23842535]",Helbigstraße,secondary,,False,True,70.822,"LINESTRING (12.2550915 51.1665262, 12.2553732 51.166409, 12.2554878 51.1663576, 12.2556806 51.16628, 12.2558856 51.1662227, 12.2559647 51.1662065)",yes,S 68,
"[23842539, 23842534]","['Markt', 'Hellmuthsgasse']",secondary,,True,False,61.894999999999996,"LINESTRING (12.2548718 51.1670774, 12.2548717 51.1671836, 12.2548538 51.1672303, 12.2548121 51.1672703, 12.2547572 51.1673001, 12.2546867 51.167325, 12.254579 51.1673288, 12.2542758 51.1673139)",,S 68,
23842536,Kirchplatz,secondary,50,False,False,49.903000000000006,"LINESTRING (12.2527371 51.1672846, 12.2530247 51.1672285, 12.2532033 51.1672117, 12.2532506 51.1672073, 12.2534367 51.1672083)",,S 68,2
"[28186088, 450397113]",Kirchplatz,residential,,True,False,91.49000000000001,"LINESTRING (12.2527371 51.1672846, 12.252697 51.1670954, 12.2526887 51.166975, 12.2526819 51.1667544, 12.252685 51.1666062, 12.2527228 51.1665304, 12.2527865 51.1664815)",,,
347093120,Breitstraße,secondary,50,False,True,86.382,"LINESTRING (12.2527371 51.1672846, 12.25221 51.1673841, 12.2515354 51.1674702)",,S 68,2
450397117,Kirchplatz,residential,,True,False,62.42700000000001,"LINESTRING (12.2527865 51.1664815, 12.2528741 51.1665213, 12.2530565 51.1665412, 12.2536577 51.1665607)",,,
23842544,Kirchplatz,residential,,False,True,54.295,"LINESTRING (12.2538025 51.1665582, 12.2538142 51.1665212, 12.2539211 51.1661984, 12.254018 51.1660939)",,,
23842546,Schlossergasse,secondary,,True,False,68.532,"LINESTRING (12.2538025 51.1665582, 12.2544895 51.1665921, 12.2547831 51.1665862)",,S 68,
347093120,Breitstraße,secondary,50,False,False,93.751,"LINESTRING (12.2501938 51.1675214, 12.2510047 51.1675019, 12.2515354 51.1674702)",,S 68,2
347093120,Breitstraße,secondary,50,False,True,130.238,"LINESTRING (12.2501938 51.1675214, 12.2495021 51.1675274, 12.2486711 51.1675413, 12.2483475 51.167616)",,S 68,2
347093120,Breitstraße,secondary,50,False,False,130.238,"LINESTRING (12.2483475 51.167616, 12.2486711 51.1675413, 12.2495021 51.1675274, 12.2501938 51.1675214)",,S 68,2
25221713,Am Fasanenwinkel,residential,,False,True,28.229,"LINESTRING (12.2559431 51.1709035, 12.255558 51.1709819)",,,
23842519,Weiderodaer Weg,residential,30,False,True,78.884,"LINESTRING (12.2559431 51.1709035, 12.2556749 51.1706111, 12.2554188 51.1704025, 12.2553304 51.1703088)",,,
28231124,Gerberplatz,residential,,False,False,48.476,"LINESTRING (12.257209 51.1673354, 12.2565292 51.167244)",,,
23842531,Mühlgasse,residential,30,False,False,53.302,"LINESTRING (12.257209 51.1673354, 12.2572393 51.167227, 12.2572941 51.1668593)",,,
"[23842524, 28177860, 23842525, 28200342]","['Gerberplatz', 'Ernst-Reinsdorf-Straße']",residential,30,False,True,171.31,"LINESTRING (12.257209 51.1673354, 12.2571794 51.1674044, 12.2571215 51.1674912, 12.2570175 51.16753, 12.2569135 51.16755, 12.2566646 51.1675509, 12.2563816 51.1675518, 12.2559004 51.1675731, 12.2557802 51.1676214, 12.2557089 51.167672, 12.2556617 51.1677236, 12.2555813 51.1678114, 12.2554082 51.1679925, 12.2553541 51.1680492)",yes,,
23842538,,secondary,,True,False,13.829,"LINESTRING (12.2547831 51.1665862, 12.2548986 51.1666873)",,S 68,
891243062,Schlossergasse,secondary,,True,False,15.829,"LINESTRING (12.2547831 51.1665862, 12.2550029 51.1665506)",,S 68,
23842544,Kirchplatz,residential,,False,False,54.295,"LINESTRING (12.254018 51.1660939, 12.2539211 51.1661984, 12.2538142 51.1665212, 12.2538025 51.1665582)",,,
23842545,,secondary,,True,False,10.568,"LINESTRING (12.2534367 51.1672083, 12.2535624 51.1671552)",,S 68,
23842536,Kirchplatz,secondary,50,False,True,49.903000000000006,"LINESTRING (12.2534367 51.1672083, 12.2532506 51.1672073, 12.2532033 51.1672117, 12.2530247 51.1672285, 12.2527371 51.1672846)",,S 68,2
28224707,Leipziger Straße,secondary,,False,False,30.382,"LINESTRING (12.2592957 51.1653992, 12.2597081 51.165311)",,S 68,
"[28224707, 23842540]","['Martin-Luther-Platz', 'Leipziger Straße']",secondary,,False,True,127.97899999999998,"LINESTRING (12.2592957 51.1653992, 12.2586048 51.1655469, 12.25803 51.1656899, 12.2576338 51.1657929, 12.2575806 51.1658077)",,S 68,
784755644,Ottomarsplatz,residential,,False,True,61.05199999999999,"LINESTRING (12.2592957 51.1653992, 12.2593362 51.1654741, 12.2594038 51.165568, 12.2594867 51.1656315, 12.2595188 51.165667, 12.2596372 51.1658995)",,,
"[23848376, 23848375]","['Klostergasse', 'Schloßplatz']",residential,,False,False,101.179,"LINESTRING (12.2485845 51.1661992, 12.2486562 51.1660655, 12.248675 51.1659317, 12.2487292 51.165849, 12.2488395 51.1658045, 12.2491109 51.1657902, 12.2495739 51.1657581)",,,
23848375,Schloßplatz,residential,,False,False,27.672,"LINESTRING (12.2495739 51.1657581, 12.2499411 51.1656637)",,,
28203827,Kreuzgasse,residential,,False,True,138.564,"LINESTRING (12.2495739 51.1657581, 12.2496373 51.1645126)",,,
"[23848376, 23848375]","['Klostergasse', 'Schloßplatz']",residential,,False,True,101.179,"LINESTRING (12.2495739 51.1657581, 12.2491109 51.1657902, 12.2488395 51.1658045, 12.2487292 51.165849, 12.248675 51.1659317, 12.2486562 51.1660655, 12.2485845 51.1661992)",,,
23848375,Schloßplatz,residential,,False,True,27.672,"LINESTRING (12.2499411 51.1656637, 12.2495739 51.1657581)",,,
"[845895498, 23848374]","['Schloßplatz', 'Schloßstraße']",residential,,True,False,113.488,"LINESTRING (12.2499411 51.1656637, 12.2505094 51.1654921, 12.2507073 51.1654964, 12.2508582 51.1655382, 12.251043 51.1656427, 12.2513189 51.1658111)",,,
28166534,Neugasse,residential,,True,False,207.552,"LINESTRING (12.2499411 51.1656637, 12.2499895 51.1658122, 12.2501805 51.1670656, 12.2501938 51.1675214)",,,
28203826,Grünes Tal,residential,,False,False,76.706,"LINESTRING (12.2526238 51.1663699, 12.2526916 51.1660156, 12.2526879 51.1659637, 12.2526859 51.1659355, 12.2525798 51.1656916)",,,
"[845895498, 1238687429]",Schloßstraße,residential,,True,False,16.889,"LINESTRING (12.2526238 51.1663699, 12.2526928 51.1664069, 12.2527865 51.1664815)",,,
23848373,Mühlweg,residential,30,False,False,321.50399999999996,"LINESTRING (12.2504972 51.1701451, 12.2506894 51.1701108, 12.2509889 51.1700889, 12.253856 51.1699987, 12.2541775 51.1699886, 12.2542871 51.1699852, 12.2550937 51.1699598)",,,
785100072,Stöntzscher Straße,residential,30,False,True,121.622,"LINESTRING (12.2504972 51.1701451, 12.2498692 51.170317, 12.2498476 51.1703231, 12.2496071 51.1703914, 12.2494749 51.170429, 12.2493113 51.1704552, 12.2491353 51.1704422, 12.2490131 51.1703954, 12.2489491 51.1703563, 12.2489229 51.1703313)",,,
705016731,,residential,,False,False,15.447,"LINESTRING (12.2584352 51.1702558, 12.2586555 51.170241)",,,
