osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,bridge,access,junction
"[9817816, 945694644]","['4', '3']",L 136,Römerstraße,secondary,50,False,False,42.661,"LINESTRING (6.3637631 50.923849, 6.3640038 50.923863, 6.364027 50.9238644, 6.3641783 50.9238709, 6.3643698 50.9238791)",,,,,
"[945694648, 37257439]","['2', '3']",L 136,Große Rurstraße,secondary,50,False,True,93.86099999999999,"LINESTRING (6.3637631 50.923849, 6.3637066 50.9237565, 6.3636731 50.9237017, 6.3636445 50.9235864, 6.3636056 50.923389, 6.363533 50.9230212)",,,,,
945694646,3,L 241,Neusser Straße,secondary,50,False,False,39.862,"LINESTRING (6.3637631 50.923849, 6.3638697 50.9239665, 6.3640454 50.9241602)",,,,,
"[5548578, 945694647]",3,,Römerstraße,residential,50,False,True,93.164,"LINESTRING (6.3637631 50.923849, 6.3635088 50.9238357, 6.3631104 50.9238149, 6.3628612 50.9238018, 6.3624385 50.9237797)",,,,,
"[5548578, 945694647]",3,,Römerstraße,residential,50,False,False,93.16399999999999,"LINESTRING (6.3624385 50.9237797, 6.3628612 50.9238018, 6.3631104 50.9238149, 6.3635088 50.9238357, 6.3637631 50.923849)",,,,,
"[38082512, 5985297, 37593613, 242803463]",,,"['Kurfürstenstraße', 'Kölnstraße']",residential,30,True,False,250.565,"LINESTRING (6.3624385 50.9237797, 6.3623587 50.9229566, 6.3623528 50.9228494, 6.3611763 50.9226387, 6.3603363 50.9224881)","['4.5', '6']",,,,
4576287,,,Schützenstraße,residential,30,False,False,27.063,"LINESTRING (6.3560935 50.9205839, 6.3559717 50.9206606, 6.3558493 50.9207712)",,,,,
37253657,,,Am Aachener Tor,residential,30,False,True,52.583,"LINESTRING (6.3560935 50.9205839, 6.3562123 50.9205213, 6.356264 50.9204941, 6.356651 50.9202677)",,,,,
"[943304641, 37257427, 945685788]","['2', '3']",L 136,Große Rurstraße,secondary,50,False,False,150.16400000000002,"LINESTRING (6.3560935 50.9205839, 6.3562017 50.9205965, 6.3563369 50.9206076, 6.3564793 50.920617, 6.3570139 50.9206522, 6.3571427 50.9206607, 6.3573912 50.920677, 6.3575687 50.9206887, 6.3580574 50.9207209, 6.3582225 50.9207318)",,,,,
"[945690920, 945690921, 589449052, 69115550]",5,L 136,Große Rurstraße,secondary,50,False,True,94.41499999999999,"LINESTRING (6.3560935 50.9205839, 6.3559285 50.9205449, 6.3557878 50.9204945, 6.3554083 50.9203515, 6.355338 50.9203257, 6.3549077 50.9201841)",,,,,
8031266,,,Schirmerstraße,residential,30,False,False,56.291,"LINESTRING (6.3550989 50.923963, 6.3558798 50.9240812)",,,,,
37593608,,,Schützenstraße,residential,30,False,True,165.81199999999998,"LINESTRING (6.3550989 50.923963, 6.3550916 50.9237435, 6.3550594 50.9229623, 6.3550392 50.9224723)",,,,,
"[37253945, 11803623, 37253687]",,,"['Düsseldorfer Straße', 'Propst-Bechte-Platz']",residential,30,False,False,236.18200000000002,"LINESTRING (6.3569642 50.9242535, 6.3567551 50.924678, 6.3565229 50.9250781, 6.3565064 50.9251057, 6.3564733 50.9251611, 6.3563971 50.9252889, 6.3562603 50.9254711, 6.3562374 50.9254963, 6.3561392 50.9256044, 6.356094 50.9256491, 6.3559793 50.9257524, 6.3558196 50.9259001, 6.3556658 50.9260425, 6.3556079 50.9260922, 6.3555307 50.9261574)",,,,,
"[8031257, 37253947]",2,,Düsseldorfer Straße,residential,,False,True,67.126,"LINESTRING (6.3569642 50.9242535, 6.357031 50.924112, 6.3570445 50.9240835, 6.3570572 50.9240565, 6.3572374 50.9236749)",,,,,
863609753,2,,Schirmerstraße,residential,30,False,True,78.385,"LINESTRING (6.3569642 50.9242535, 6.3568207 50.9242307, 6.3558798 50.9240812)",,,,,
"[8031256, 374865230]",,,Schloßstraße,residential,,False,False,95.72000000000001,"LINESTRING (6.3572374 50.9236749, 6.3577633 50.923774, 6.3579036 50.92379, 6.3580244 50.9237896, 6.3584716 50.9237882, 6.3585038 50.9237849, 6.3585764 50.9237776)",,,,,
"[8031257, 37253947]",2,,Düsseldorfer Straße,residential,,False,False,67.126,"LINESTRING (6.3572374 50.9236749, 6.3570572 50.9240565, 6.3570445 50.9240835, 6.357031 50.924112, 6.3569642 50.9242535)",,,,,
34567827,,,Poststraße,residential,30,False,True,18.250999999999998,"LINESTRING (6.3613242 50.9210944, 6.3612439 50.9211681, 6.3611768 50.9212297)",,,,,
