osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,access,width
130440599,2,B 42,primary,60,False,False,27.459,"LINESTRING (7.9732869 49.9840275, 7.9729766 49.983882)",,,,
27289668,1,,secondary_link,,True,False,32.415,"LINESTRING (7.9732869 49.9840275, 7.9729971 49.9840259, 7.9728402 49.9840556)",,,,
290662911,,,residential,30,False,False,80.548,"LINESTRING (7.9702597 49.9854401, 7.9694043 49.9849687)",Winkeler Straße,,,
274750630,,,residential,30,False,True,168.106,"LINESTRING (7.9702597 49.9854401, 7.969667 49.9859885, 7.9694151 49.9858835, 7.9691695 49.9857857, 7.9685587 49.9855363)",Berliner Straße,,,
290662911,,,residential,30,False,True,175.73499999999999,"LINESTRING (7.9702597 49.9854401, 7.9705469 49.985592, 7.9721581 49.986444)",Winkeler Straße,,,
24218967,,,residential,,True,False,74.36999999999999,"LINESTRING (7.9747611 49.9876295, 7.9749695 49.9874576, 7.9750924 49.9873561, 7.9752424 49.9872324, 7.975361 49.9871345, 7.9753992 49.9871013)",Mauerackerweg,,,
124849341,,,residential,30,False,False,230.52000000000004,"LINESTRING (7.9747611 49.9876295, 7.974483 49.9875756, 7.974373 49.9875465, 7.9741278 49.9874774, 7.9739689 49.9874239, 7.973916 49.9874013, 7.973869 49.9873782, 7.9737123 49.9873033, 7.9736612 49.9872762, 7.9734013 49.987135, 7.9731058 49.9869744, 7.9729198 49.9868734, 7.9721581 49.986444)",Winkeler Straße,,,
24218968,,B 42a,secondary,50,False,False,260.108,"LINESTRING (7.9753992 49.9871013, 7.9744828 49.9861999, 7.9742366 49.9859681, 7.974076 49.9858168, 7.9738783 49.9856306, 7.9733758 49.9851574)",Chauvignystraße,,,
30135169,,,residential,,False,True,46.915,"LINESTRING (7.9638017 49.9819821, 7.9644005 49.9821546)",Rüdesheimer Straße,,,
24218976,,,residential,,False,False,105.84100000000001,"LINESTRING (7.9638017 49.9819821, 7.9638175 49.982042, 7.9638166 49.982075, 7.9638051 49.9821009, 7.9636531 49.9823988, 7.9636265 49.9824458, 7.9634891 49.9827017, 7.9633891 49.9828878)",Freybergstraße,,,
