osmid,name,highway,oneway,reversed,length,maxspeed,geometry,bridge,lanes,ref
60207509,Weststraße,residential,False,False,75.221,,"LINESTRING (12.7278493 50.7854623, 12.7287897 50.785785)",,,
32808065,Abteistraße,residential,False,False,77.313,50,"LINESTRING (12.7287879 50.7872741, 12.729506 50.7874656, 12.7296594 50.7874932, 12.7298142 50.787521)",,,
32808065,Abteistraße,residential,False,True,76.90100000000001,50,"LINESTRING (12.7287879 50.7872741, 12.728671 50.7872211, 12.7280178 50.7869252, 12.7278969 50.7868729)",,,
512055919,Abteistraße,residential,False,True,29.687,50,"LINESTRING (12.7347168 50.7878345, 12.7342949 50.7878228)",,,
32808271,Abteiberg,residential,False,False,140.978,30,"LINESTRING (12.7347168 50.7878345, 12.7344928 50.7883218, 12.7344618 50.7885498, 12.7344377 50.7889144, 12.7344213 50.7890807)",,,
32808356,Südbauernweg,residential,False,False,345.812,30,"LINESTRING (12.7347168 50.7878345, 12.7356204 50.7878999, 12.7370683 50.788161, 12.7378839 50.7883405, 12.7385578 50.7884101, 12.7389468 50.7885521, 12.7394198 50.7886702)",,,
32808356,Südbauernweg,residential,False,True,86.691,30,"LINESTRING (12.740598 50.7888919, 12.7402347 50.7888492, 12.7398768 50.7887845, 12.7394198 50.7886702)",,,
32808371,Goethestraße,residential,False,False,127.176,,"LINESTRING (12.740598 50.7888919, 12.7405526 50.7890183, 12.7403454 50.78949, 12.7402051 50.7897948, 12.740166 50.7898617, 12.7401254 50.7899255, 12.7400662 50.7899811)",,,
"[34118096, 33408201, 32808371]",Goethestraße,residential,False,False,43.902,,"LINESTRING (12.7400662 50.7899811, 12.7399566 50.7900364, 12.7398289 50.7901876, 12.7398138 50.7902066, 12.7397633 50.7902701, 12.7397331 50.790308)",yes,,
32808371,Goethestraße,residential,False,True,127.176,,"LINESTRING (12.7400662 50.7899811, 12.7401254 50.7899255, 12.740166 50.7898617, 12.7402051 50.7897948, 12.7403454 50.78949, 12.7405526 50.7890183, 12.740598 50.7888919)",,,
33408397,Am Bach,residential,False,False,80.084,,"LINESTRING (12.7400662 50.7899811, 12.7405249 50.790202, 12.7410442 50.7903389)",,,
33408397,Am Bach,residential,False,True,428.8140000000001,,"LINESTRING (12.7400662 50.7899811, 12.7398833 50.7899225, 12.739654 50.7898649, 12.7394718 50.7898081, 12.7391776 50.789724, 12.7388795 50.7895512, 12.738638 50.7894564, 12.7384187 50.7894314, 12.7381105 50.7893736, 12.7375281 50.7893243, 12.7372796 50.789295, 12.7369761 50.7892451, 12.7366815 50.7890675, 12.7364513 50.7889968, 12.7362515 50.788954, 12.7358621 50.7889198, 12.7354489 50.788999, 12.734941 50.7890525, 12.7344213 50.7890807)",,,
33408397,Am Bach,residential,False,True,80.084,,"LINESTRING (12.7410442 50.7903389, 12.7405249 50.790202, 12.7400662 50.7899811)",,,
32808271,Abteiberg,residential,False,True,140.978,30,"LINESTRING (12.7344213 50.7890807, 12.7344377 50.7889144, 12.7344618 50.7885498, 12.7344928 50.7883218, 12.7347168 50.7878345)",,,
"[34118092, 33408188]",Abteiberg,residential,False,False,15.552999999999999,,"LINESTRING (12.7344213 50.7890807, 12.7344054 50.7891686, 12.7343835 50.7892181)",yes,,
33408397,Am Bach,residential,False,False,428.81399999999996,,"LINESTRING (12.7344213 50.7890807, 12.734941 50.7890525, 12.7354489 50.788999, 12.7358621 50.7889198, 12.7362515 50.788954, 12.7364513 50.7889968, 12.7366815 50.7890675, 12.7369761 50.7892451, 12.7372796 50.789295, 12.7375281 50.7893243, 12.7381105 50.7893736, 12.7384187 50.7894314, 12.738638 50.7894564, 12.7388795 50.7895512, 12.7391776 50.789724, 12.7394718 50.7898081, 12.739654 50.7898649, 12.7398833 50.7899225, 12.7400662 50.7899811)",,,
"[33408188, 34118092]",Abteiberg,residential,False,True,15.552999999999999,,"LINESTRING (12.7343835 50.7892181, 12.7344054 50.7891686, 12.7344213 50.7890807)",yes,,
"[164499920, 164499922, 44025971]",Hofer Straße,primary,False,False,308.14500000000004,50,"LINESTRING (12.7343835 50.7892181, 12.7336635 50.7891577, 12.7334608 50.7891518, 12.733445 50.7891505, 12.7333165 50.7891485, 12.7329102 50.7891799, 12.7325192 50.7892294, 12.7320472 50.7893037, 12.7318218 50.7893223, 12.731593 50.7893221, 12.7312831 50.7892821, 12.7311504 50.7892556, 12.7308422 50.7891956, 12.7305066 50.789109, 12.7301286 50.7889949)",,2,B 173
44025971,Hofer Straße,primary,False,True,326.623,50,"LINESTRING (12.7343835 50.7892181, 12.7345735 50.7892328, 12.7352696 50.7892866, 12.7356573 50.7893052, 12.7360874 50.7893409, 12.7366805 50.7894035, 12.7369198 50.7894492, 12.7371731 50.7895161, 12.7387901 50.7900237)",,2,B 173
44025971,Hofer Straße,primary,False,False,61.526,50,"LINESTRING (12.7395811 50.7902606, 12.7387901 50.7900237)",,2,B 173
44025971,Hofer Straße,primary,False,True,11.914,50,"LINESTRING (12.7395811 50.7902606, 12.7397331 50.790308)",,2,B 173
99235589,Hofer Straße,residential,False,False,66.986,,"LINESTRING (12.7395811 50.7902606, 12.7394743 50.7904599, 12.7395104 50.7905146, 12.73955 50.7905874, 12.7395608 50.790674, 12.7395248 50.7907719, 12.7394599 50.7908266)",,,
44025971,Hofer Straße,primary,False,False,11.914,50,"LINESTRING (12.7397331 50.790308, 12.7395811 50.7902606)",,2,B 173
"[34118096, 33408201, 32808371]",Goethestraße,residential,False,True,43.902,,"LINESTRING (12.7397331 50.790308, 12.7397633 50.7902701, 12.7398138 50.7902066, 12.7398289 50.7901876, 12.7399566 50.7900364, 12.7400662 50.7899811)",yes,,
32808065,Abteistraße,residential,False,True,77.31299999999999,50,"LINESTRING (12.7298142 50.787521, 12.7296594 50.7874932, 12.729506 50.7874656, 12.7287879 50.7872741)",,,
512055919,Abteistraße,residential,False,False,152.086,50,"LINESTRING (12.7298142 50.787521, 12.7300349 50.7875461, 12.7303898 50.7876162, 12.7304192 50.7876255, 12.7309354 50.7877707, 12.7311757 50.7878301, 12.7318751 50.7879128)",,,
"[512055920, 60995585, 60995586, 164499918]",Hirschgrundstraße,residential,False,False,131.485,,"LINESTRING (12.7298142 50.787521, 12.7296887 50.7877653, 12.7291808 50.7883896, 12.7291411 50.7884501, 12.7290751 50.7885192, 12.7290145 50.7885864)",yes,,
"[512055920, 60995585, 60995586, 164499918]",Hirschgrundstraße,residential,False,True,131.485,,"LINESTRING (12.7290145 50.7885864, 12.7290751 50.7885192, 12.7291411 50.7884501, 12.7291808 50.7883896, 12.7296887 50.7877653, 12.7298142 50.787521)",yes,,
164499922,Hofer Straße,primary,False,True,90.538,50,"LINESTRING (12.7290145 50.7885864, 12.7298191 50.7888847, 12.7301286 50.7889949)",,2,B 173
60207508,Vater-Jahn-Straße,residential,False,False,136.282,30,"LINESTRING (12.7287897 50.785785, 12.7278969 50.7868729)",,,
60207509,Weststraße,residential,False,True,75.221,,"LINESTRING (12.7287897 50.785785, 12.7278493 50.7854623)",,,
60207508,Vater-Jahn-Straße,residential,False,True,136.282,30,"LINESTRING (12.7278969 50.7868729, 12.7287897 50.785785)",,,
32808065,Abteistraße,residential,False,False,76.901,50,"LINESTRING (12.7278969 50.7868729, 12.7280178 50.7869252, 12.728671 50.7872211, 12.7287879 50.7872741)",,,
99235590,Abteiblick,living_street,False,False,51.501,,"LINESTRING (12.7324743 50.7861541, 12.7331759 50.7862874)",,,
99235593,Abteisiedlung,living_street,False,False,74.176,,"LINESTRING (12.7324743 50.7861541, 12.7329119 50.7855471)",,,
99235593,Abteisiedlung,living_street,False,True,203.18499999999997,,"LINESTRING (12.7324743 50.7861541, 12.7321062 50.7867806, 12.7318414 50.7873446, 12.7318382 50.787533, 12.731889 50.7877707, 12.7318751 50.7879128)",,,
99235588,Am Kaiserhof,residential,False,True,117.018,,"LINESTRING (12.7383142 50.7910179, 12.7383642 50.7908106, 12.7384319 50.7905297, 12.7384547 50.7904349, 12.7387901 50.7900237)",,,
99235593,Abteisiedlung,living_street,False,False,203.185,,"LINESTRING (12.7318751 50.7879128, 12.731889 50.7877707, 12.7318382 50.787533, 12.7318414 50.7873446, 12.7321062 50.7867806, 12.7324743 50.7861541)",,,
512055919,Abteistraße,residential,False,False,79.389,50,"LINESTRING (12.7318751 50.7879128, 12.7319522 50.7879294, 12.7322698 50.7879181, 12.7329101 50.7878477, 12.7329898 50.7878445)",,,
512055919,Abteistraße,residential,False,True,152.086,50,"LINESTRING (12.7318751 50.7879128, 12.7311757 50.7878301, 12.7309354 50.7877707, 12.7304192 50.7876255, 12.7303898 50.7876162, 12.7300349 50.7875461, 12.7298142 50.787521)",,,
99235593,Abteisiedlung,living_street,False,True,74.176,,"LINESTRING (12.7329119 50.7855471, 12.7324743 50.7861541)",,,
99235589,Hofer Straße,residential,False,True,66.986,,"LINESTRING (12.7394599 50.7908266, 12.7395248 50.7907719, 12.7395608 50.790674, 12.73955 50.7905874, 12.7395104 50.7905146, 12.7394743 50.7904599, 12.7395811 50.7902606)",,,
99235590,Abteiblick,living_street,False,False,19.069,,"LINESTRING (12.7331759 50.7862874, 12.7334357 50.7863367)",,,
99235590,Abteiblick,living_street,False,True,51.501,,"LINESTRING (12.7331759 50.7862874, 12.7324743 50.7861541)",,,
"[99235584, 102833828]",Abteiblick,"['living_street', 'residential']",False,False,314.96500000000003,,"LINESTRING (12.7331759 50.7862874, 12.7333954 50.7859656, 12.7334932 50.7859146, 12.7336141 50.7859146, 12.734017 50.7861184, 12.7340803 50.7861948, 12.7340976 50.7862712, 12.7337454 50.7871127, 12.7337445 50.7872796, 12.7342056 50.7874032, 12.734407 50.7875266, 12.7342949 50.7878228)",,,
44025971,Hofer Straße,primary,False,True,61.526,50,"LINESTRING (12.7387901 50.7900237, 12.7395811 50.7902606)",,2,B 173
44025971,Hofer Straße,primary,False,False,326.62300000000005,50,"LINESTRING (12.7387901 50.7900237, 12.7371731 50.7895161, 12.7369198 50.7894492, 12.7366805 50.7894035, 12.7360874 50.7893409, 12.7356573 50.7893052, 12.7352696 50.7892866, 12.7345735 50.7892328, 12.7343835 50.7892181)",,2,B 173
99235588,Am Kaiserhof,residential,False,False,117.018,,"LINESTRING (12.7387901 50.7900237, 12.7384547 50.7904349, 12.7384319 50.7905297, 12.7383642 50.7908106, 12.7383142 50.7910179)",,,
99235590,Abteiblick,living_street,False,True,19.069,,"LINESTRING (12.7334357 50.7863367, 12.7331759 50.7862874)",,,
102833827,Schillersiedlung,residential,False,True,94.92,,"LINESTRING (12.7398524 50.7878617, 12.7396742 50.788218, 12.7394198 50.7886702)",,,
32808356,Südbauernweg,residential,False,False,86.691,30,"LINESTRING (12.7394198 50.7886702, 12.7398768 50.7887845, 12.7402347 50.7888492, 12.740598 50.7888919)",,,
