osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,access
43363659,Lutherstraße,residential,30,False,False,158.454,,"LINESTRING (10.4211456 53.0287676, 10.4211378 53.0301926)",,
270582477,Allmelingstraße,tertiary,50,False,True,8.292,K 11,"LINESTRING (10.4211456 53.0287676, 10.4210228 53.0287573)",,
270582477,Allmelingstraße,tertiary,50,False,False,231.90600000000003,K 11,"LINESTRING (10.4211456 53.0287676, 10.4235599 53.0289623, 10.4236507 53.0289649, 10.4238247 53.02897, 10.4240644 53.0289675, 10.4244467 53.0289478, 10.4245882 53.028934)",,
10437079,Bahnhofstraße,secondary,50,False,False,66.41,L 233,"LINESTRING (10.4176882 53.0307104, 10.4176113 53.0307537, 10.4174997 53.0307867, 10.417182 53.0308337, 10.4170082 53.030878, 10.4169312 53.0309422, 10.4169211 53.0310116)",2,
10437079,Bahnhofstraße,secondary,50,False,True,92.659,L 233,"LINESTRING (10.4176882 53.0307104, 10.4177482 53.0306634, 10.4177991 53.0305894, 10.4178875 53.0304331, 10.4180431 53.030177, 10.4180852 53.0301146, 10.4181995 53.0299387)",2,
307029914,Fischerstraße,residential,30,False,True,176.916,,"LINESTRING (10.4176882 53.0307104, 10.4178045 53.0307363, 10.4178775 53.0307525, 10.4180123 53.0307561, 10.4181706 53.0307465, 10.4188324 53.0306852, 10.4190456 53.0306539, 10.4197935 53.030521, 10.4202558 53.0304415)",,
10437079,Bahnhofstraße,secondary,50,False,True,66.41,L 233,"LINESTRING (10.4169211 53.0310116, 10.4169312 53.0309422, 10.4170082 53.030878, 10.417182 53.0308337, 10.4174997 53.0307867, 10.4176113 53.0307537, 10.4176882 53.0307104)",2,
229209975,Lüneburger Straße,residential,30,False,True,81.093,,"LINESTRING (10.4169211 53.0310116, 10.4167718 53.0309707, 10.4162215 53.0306947, 10.41608 53.0306266, 10.4159607 53.0305711)",,
193000022,Hauptstraße,secondary,50,False,False,166.85399999999998,L 250,"LINESTRING (10.4125453 53.0288734, 10.4128686 53.0289061, 10.4129784 53.0289125, 10.4131378 53.028916, 10.4133292 53.0289115, 10.4137522 53.028875, 10.4145008 53.0288105, 10.4150221 53.0287913)",2,
964681888,Celler Straße,residential,50,False,True,53.752,,"LINESTRING (10.4125453 53.0288734, 10.4124983 53.0287672, 10.4124715 53.0285944, 10.4124638 53.0285475, 10.412439 53.0283954)",,
