osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge,width
837897925,Am Höhenblick,residential,False,False,124.54499999999999,"LINESTRING (9.6486181 48.2374627, 9.6486394 48.2375, 9.6488362 48.2378162, 9.6488666 48.237868, 9.6488879 48.2379142, 9.6489116 48.2379769, 9.6489312 48.238139, 9.6489209 48.2382913, 9.6489076 48.2383774, 9.6488784 48.238461, 9.6488423 48.2385392)",,,,,
837897926,Ehinger Straße,tertiary,False,True,363.38200000000006,"LINESTRING (9.6486181 48.2374627, 9.6481863 48.2375537, 9.64642 48.2379312, 9.6458123 48.2380645, 9.6452713 48.2381832, 9.6448263 48.2382788, 9.6439518 48.2384727)",,,,,
13700731,Am Höhenblick,residential,False,True,8.122,"LINESTRING (9.6478853 48.2403128, 9.6478987 48.2402403)",,,,,
13700731,Am Höhenblick,residential,False,False,66.929,"LINESTRING (9.6488423 48.2385392, 9.6488089 48.2385906, 9.6485571 48.2389451, 9.6485359 48.2389762, 9.6484621 48.2390852)",,,,,
168655494,Neudorfer Straße,residential,False,True,98.106,"LINESTRING (9.6488423 48.2385392, 9.6489114 48.238557, 9.6489921 48.2385935, 9.6492273 48.2387496, 9.6494456 48.2389133, 9.6497766 48.239156)",,,,,
837897925,Am Höhenblick,residential,False,True,124.545,"LINESTRING (9.6488423 48.2385392, 9.6488784 48.238461, 9.6489076 48.2383774, 9.6489209 48.2382913, 9.6489312 48.238139, 9.6489116 48.2379769, 9.6488879 48.2379142, 9.6488666 48.237868, 9.6488362 48.2378162, 9.6486394 48.2375, 9.6486181 48.2374627)",,,,,
125361605,Rottenackerstraße,secondary,False,False,189.133,"LINESTRING (9.6502212 48.2359257, 9.6499304 48.236, 9.6496827 48.2360716, 9.6495055 48.2361371, 9.6492103 48.236258, 9.648063 48.2368187)",L 257,50,,,
27765062,Bahnhofstraße,secondary,False,True,48.371,"LINESTRING (9.6436001 48.2384814, 9.6436193 48.2383588, 9.6436295 48.2382917, 9.6436594 48.2381613, 9.6436961 48.2381104, 9.6437443 48.2380646)",L 257,50,2,,
"[11086083, 781132727]",Brunnenbergstraße,secondary,False,False,202.137,"LINESTRING (9.6436001 48.2384814, 9.6435309 48.238636, 9.6435152 48.2386732, 9.643481 48.2387107, 9.6434467 48.2387481, 9.6433791 48.2388171, 9.6432465 48.2389322, 9.6430537 48.2390464, 9.6428629 48.2391457, 9.6425437 48.2392671, 9.6422008 48.2393912, 9.6418707 48.2394991, 9.6417193 48.2395457, 9.6415657 48.239583)",L 257,50,"['2', '3']",,
837897926,Ehinger Straße,tertiary,False,False,26.068,"LINESTRING (9.6436001 48.2384814, 9.6436827 48.2384782, 9.6437969 48.2384765, 9.6439518 48.2384727)",,,,,
27765062,Bahnhofstraße,secondary,False,False,48.370999999999995,"LINESTRING (9.6437443 48.2380646, 9.6436961 48.2381104, 9.6436594 48.2381613, 9.6436295 48.2382917, 9.6436193 48.2383588, 9.6436001 48.2384814)",L 257,50,2,,
