osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction,tunnel,access,bridge
4628221,Bogenstraße,residential,30,False,True,147.768,"LINESTRING (11.2170021 49.371618, 11.2164678 49.371419, 11.2161899 49.3713307, 11.2159045 49.3712757, 11.2156314 49.3712362, 11.2150949 49.3712044)",,,,,,
4628250,Buchenstraße,residential,30,False,False,186.097,"LINESTRING (11.2170021 49.371618, 11.2174286 49.3718206, 11.2176566 49.3718617, 11.217839 49.3718582, 11.2194201 49.3716189)",,,,,,
45192469,Regensburger Straße,secondary,50,False,False,81.741,"LINESTRING (11.2170021 49.371618, 11.2171999 49.3714265, 11.217334 49.3713183, 11.2174412 49.3712485, 11.2176199 49.3711497, 11.2177606 49.371082)",,,,,,
45192469,Regensburger Straße,secondary,50,False,True,124.52199999999999,"LINESTRING (11.2170021 49.371618, 11.2169074 49.3717176, 11.216783 49.3718484, 11.2166842 49.371973, 11.2165209 49.3722297, 11.2163064 49.3726372)",,,,,,
4628221,Bogenstraße,residential,30,False,True,112.832,"LINESTRING (11.2150949 49.3712044, 11.2135407 49.3712783)",,,,,,
4619903,Birkenstraße,residential,30,False,True,147.754,"LINESTRING (11.2150949 49.3712044, 11.2151608 49.3717253, 11.2151862 49.3719999, 11.2151898 49.3722782, 11.2152187 49.3725302)",,,,,,
4628221,Bogenstraße,residential,30,False,False,147.768,"LINESTRING (11.2150949 49.3712044, 11.2156314 49.3712362, 11.2159045 49.3712757, 11.2161899 49.3713307, 11.2164678 49.371419, 11.2170021 49.371618)",,,,,,
4628227,Schwabacher Straße,secondary,50,False,True,51.688,"LINESTRING (11.2136404 49.3732527, 11.2137154 49.373426, 11.2138244 49.3737018)",St 2239,,,,,
1238328047,Schwabacher Straße,secondary,50,False,True,25.884,"LINESTRING (11.2136404 49.3732527, 11.2135523 49.3731093, 11.2134945 49.3730406)",St 2239,,,,,
1238328055,Lohweg,residential,30,False,True,34.230000000000004,"LINESTRING (11.2136404 49.3732527, 11.2137316 49.3732177, 11.2137311 49.3729788)",,,,,,
25374205,Schloßweg,residential,30,False,False,201.761,"LINESTRING (11.2094262 49.3758418, 11.2099161 49.3757409, 11.210148 49.3756932, 11.2102255 49.3756514, 11.2102376 49.3755755, 11.2100281 49.3752022, 11.2094055 49.3745331)",,,,,,
56883681,Friedrich-Ebert-Straße,residential,30,False,False,73.626,"LINESTRING (11.2094262 49.3758418, 11.2095293 49.3760425, 11.2095939 49.3761684, 11.2096623 49.3764078, 11.2096832 49.3764808)",,,,,,
4628232,Obere Kellerstraße,residential,30,False,True,149.37900000000002,"LINESTRING (11.209869 49.377176, 11.2116558 49.3768187, 11.2117465 49.3768185, 11.2118473 49.3768337)",,,,,,
56883681,Friedrich-Ebert-Straße,residential,30,False,False,101.395,"LINESTRING (11.209869 49.377176, 11.2099548 49.3774441, 11.2101625 49.3778769, 11.210232 49.3779821, 11.2102835 49.3780436)",,,,,,
56883681,Friedrich-Ebert-Straße,residential,30,False,True,78.464,"LINESTRING (11.209869 49.377176, 11.2098394 49.3770651, 11.2096832 49.3764808)",,,,,,
770706028,Birkenstraße,residential,30,False,True,81.903,"LINESTRING (11.2152187 49.3725302, 11.2151783 49.3732663)",,,,,,
4619903,Birkenstraße,residential,30,False,False,147.754,"LINESTRING (11.2152187 49.3725302, 11.2151898 49.3722782, 11.2151862 49.3719999, 11.2151608 49.3717253, 11.2150949 49.3712044)",,,,,,
4628231,Kiefernweg,residential,30,False,True,80.08500000000001,"LINESTRING (11.2152187 49.3725302, 11.2157753 49.3725469, 11.2163064 49.3726372)",,,,,,
"[1264162137, 69382130, 29388181, 69382070]",Hauptstraße,secondary,50,False,True,178.89600000000002,"LINESTRING (11.2143565 49.3752679, 11.2143291 49.3752204, 11.214307 49.3751612, 11.2142956 49.3751213, 11.2142824 49.3750751, 11.2142681 49.3750003, 11.2142527 49.3749381, 11.2142339 49.3748752, 11.2142032 49.3747992, 11.2141096 49.374607, 11.2140253 49.3744336, 11.2139618 49.3743032, 11.2138934 49.3740615, 11.2138906 49.3740451, 11.2138244 49.3737018)",,"['2', '3']",,,,
"[69382089, 144504394, 69382133, 69382140, 204663487]",Hauptstraße,tertiary,30,False,False,176.947,"LINESTRING (11.2143565 49.3752679, 11.2142568 49.3753122, 11.2141605 49.3753543, 11.2140793 49.3753799, 11.2139484 49.3754174, 11.2137638 49.3754587, 11.2136236 49.375488, 11.2135479 49.3755034, 11.2133089 49.3755517, 11.2132336 49.3755685, 11.2131768 49.375594, 11.213121 49.3756392, 11.213062 49.3757134, 11.213003 49.3758184, 11.212941 49.3759287, 11.2128939 49.3759772, 11.2128221 49.3760274, 11.2127353 49.3760793, 11.2125203 49.3761885)",,"['2', '3']",,,,
1133898197,Altdorfer Straße,secondary,50,False,False,55.113,"LINESTRING (11.2143565 49.3752679, 11.2144189 49.3753513, 11.2144403 49.3753799, 11.2146901 49.3757134)",St 2239,2,,,,
