osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access
"[365664337, 188706059]",True,1,L 163;L 172,Querfurter Straße,secondary,30,False,190.09099999999995,"LINESTRING (11.863709 51.3882487, 11.8637575 51.3881267, 11.8638593 51.3878714, 11.8638906 51.3878184, 11.8640386 51.3877035, 11.8647743 51.3875067, 11.8649416 51.3874619, 11.8651216 51.3874138, 11.8654984 51.3873386, 11.8656389 51.3873143, 11.8657063 51.3873026)",,
128919654,True,1,L 163;L 172,Merseburger Landstraße,secondary,30,False,210.921,"LINESTRING (11.8688292 51.3873584, 11.8694257 51.3872658, 11.8699323 51.3872009, 11.8705339 51.3871423, 11.8713224 51.3869397, 11.8717684 51.3869339)",,
"[227660506, 27361613]",False,2,,Markt,secondary,30,True,76.011,"LINESTRING (11.8688292 51.3873584, 11.8688335 51.3875349, 11.8688865 51.3876877, 11.8689275 51.3878143, 11.869012 51.3880295)",,
"[130695986, 37215990, 37215991]",False,,,Strohhof,residential,30,True,95.458,"LINESTRING (11.8728896 51.3867536, 11.8728424 51.386717, 11.8727378 51.3866615, 11.8721929 51.3864607, 11.8721273 51.3864377, 11.8720148 51.386398, 11.8717227 51.386308)",yes,
128616114,False,2,L 163;L 172,Merseburger Landstraße,secondary,50,False,39.86,"LINESTRING (11.8728896 51.3867536, 11.8731621 51.386683, 11.8734272 51.386628)",,
22913031,True,1,L 163;L 172,Am Bahnhof,secondary,50,False,323.837,"LINESTRING (11.8734272 51.386628, 11.8737378 51.387194, 11.8737995 51.3874367, 11.8738269 51.3877203, 11.87388 51.3882066, 11.8738877 51.3883993, 11.8738538 51.3884461, 11.8737785 51.3884683, 11.8735154 51.388544, 11.8731429 51.3886464, 11.8723161 51.3888788)",,
128616114,False,2,L 163;L 172,Merseburger Landstraße,secondary,50,True,39.86,"LINESTRING (11.8734272 51.386628, 11.8731621 51.386683, 11.8728896 51.3867536)",,
42050262,False,2,L 163;L 172,Hallesche Straße,secondary,30,False,180.51500000000001,"LINESTRING (11.8698296 51.3895674, 11.8697181 51.3894464, 11.869012 51.3880295)",,
895418394,False,2,K 2155,Hallesche Straße,tertiary,50,False,98.60499999999999,"LINESTRING (11.8698296 51.3895674, 11.8699466 51.389704, 11.8701552 51.389916, 11.870195 51.3899558, 11.8705748 51.390322)",,
"[227660506, 27361613]",False,2,,Markt,secondary,30,False,76.011,"LINESTRING (11.869012 51.3880295, 11.8689275 51.3878143, 11.8688865 51.3876877, 11.8688335 51.3875349, 11.8688292 51.3873584)",,
42050262,False,2,L 163;L 172,Hallesche Straße,secondary,30,True,180.51500000000001,"LINESTRING (11.869012 51.3880295, 11.8697181 51.3894464, 11.8698296 51.3895674)",,
104551011,False,,,Poetenweg,residential,,False,243.95299999999997,"LINESTRING (11.869012 51.3880295, 11.8694516 51.3878188, 11.8696599 51.3877717, 11.8700408 51.3877549, 11.870663 51.3876779, 11.87086 51.3876304, 11.8709323 51.3876008, 11.8710339 51.3875591, 11.8711885 51.3875095, 11.8714813 51.3873692, 11.871595 51.3872667, 11.8716501 51.3871311, 11.8717684 51.3869339)",,yes
126544420,False,2,L 163;L 172,Lindenstraße,secondary,30,False,253.084,"LINESTRING (11.869012 51.3880295, 11.8688106 51.3880607, 11.868689 51.3880795, 11.8682733 51.388144, 11.8681043 51.3881873, 11.867898 51.3882461, 11.8677789 51.3882901, 11.8676562 51.3883335, 11.8675286 51.3883824, 11.8668824 51.3886097, 11.8666647 51.3886691, 11.8662312 51.3887635, 11.8660984 51.388787, 11.8657648 51.3888158, 11.8656319 51.3888045)",,
126544420,False,2,L 163;L 172,Lindenstraße,secondary,30,True,253.084,"LINESTRING (11.8656319 51.3888045, 11.8657648 51.3888158, 11.8660984 51.388787, 11.8662312 51.3887635, 11.8666647 51.3886691, 11.8668824 51.3886097, 11.8675286 51.3883824, 11.8676562 51.3883335, 11.8677789 51.3882901, 11.867898 51.3882461, 11.8681043 51.3881873, 11.8682733 51.388144, 11.868689 51.3880795, 11.8688106 51.3880607, 11.869012 51.3880295)",,
365664336,False,2,L 163;L 172,Lindenstraße,secondary,30,False,103.65200000000002,"LINESTRING (11.8656319 51.3888045, 11.8654392 51.3887688, 11.8645818 51.3885751, 11.8645139 51.3885593, 11.8642186 51.3885037)",,
"[895418397, 128919501]",False,2,L 163,Jahnstraße,secondary,50,True,181.813,"LINESTRING (11.8647445 51.3847822, 11.864017 51.3841121, 11.863239 51.3834443)",,
193311655,False,2,L 163,Naumburger Straße,secondary,50,False,26.342,"LINESTRING (11.8647445 51.3847822, 11.8647809 51.3848887, 11.8648196 51.3850144)",,
435829061,False,,,Naumburger Straße,residential,,True,74.03,"LINESTRING (11.8647445 51.3847822, 11.8649573 51.3845826, 11.8652448 51.3841962)",,
193311655,False,2,L 163,Naumburger Straße,secondary,50,True,35.926,"LINESTRING (11.8656575 51.3858692, 11.8653093 51.3856301)",,
27162561,False,2,L 163,Naumburger Straße,secondary,50,False,83.48400000000001,"LINESTRING (11.8656575 51.3858692, 11.8657975 51.3859524, 11.8659324 51.3860026, 11.8662738 51.3861207, 11.8665542 51.3862147, 11.866674 51.3862646)",,
100529179,False,2,,Rudolf-Breitscheid-Straße,residential,30,False,10.477,"LINESTRING (11.872542 51.3834629, 11.8724958 51.3835526)",,yes
27162582,False,,,Ludwigshafener Straße,residential,,True,118.469,"LINESTRING (11.872542 51.3834629, 11.8721699 51.383387, 11.8709951 51.3832112, 11.8709124 51.3832541)",,
27162583,False,,,Gottschedstraße,residential,,False,114.849,"LINESTRING (11.8723717 51.384252, 11.8719091 51.3842141, 11.8714624 51.3841598, 11.8707375 51.3840907)",,
100529179,False,2,,Rudolf-Breitscheid-Straße,residential,30,False,97.487,"LINESTRING (11.8723717 51.384252, 11.8724996 51.3845961, 11.8725813 51.3848036, 11.8726841 51.3851067)",,yes
100529179,False,2,,Rudolf-Breitscheid-Straße,residential,30,True,79.197,"LINESTRING (11.8723717 51.384252, 11.8723373 51.3840837, 11.8723802 51.3838025, 11.8724958 51.3835526)",,yes
100529179,False,2,,Rudolf-Breitscheid-Straße,residential,30,True,18.082,"LINESTRING (11.872726 51.3852672, 11.8726841 51.3851067)",,yes
27162580,False,,,Friedrich-Engels-Straße,residential,,False,110.382,"LINESTRING (11.872726 51.3852672, 11.8731617 51.3852399, 11.8736813 51.3851758, 11.874266 51.3850414)",,
