osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,width,tunnel,junction
21849681,Professor-Stock-Straße,residential,30,False,True,24.991,"LINESTRING (11.5133891 48.5285407, 11.5132331 48.5285804, 11.5130709 48.5286188)",,,,,,
"[975299953, 957183466, 824521475]",Joseph-Fraunhofer-Straße,primary,50,False,False,157.29,"LINESTRING (11.5133891 48.5285407, 11.5131699 48.5282377, 11.5130104 48.528061, 11.5125798 48.5276716, 11.5124583 48.5275567, 11.512372 48.5274778, 11.512341 48.5274495, 11.5122369 48.5273545)","['2', '3']",B 13,,,,
"[975299953, 416917285]",Joseph-Fraunhofer-Straße,primary,50,False,True,387.2650000000001,"LINESTRING (11.5133891 48.5285407, 11.5134477 48.528624, 11.5138359 48.5291519, 11.5138593 48.529185, 11.5139009 48.5292437, 11.5143565 48.5299074, 11.5144444 48.530065, 11.5145173 48.5302192, 11.5145843 48.5303771, 11.5146245 48.530505, 11.5146536 48.530633, 11.5146705 48.5307412, 11.5146739 48.5307698, 11.5146795 48.5308174, 11.5146815 48.5308731, 11.5146776 48.5309503, 11.5146696 48.5310361, 11.5146568 48.5311133, 11.5146417 48.5311833, 11.5146269 48.5312383, 11.5146081 48.5312985, 11.5145906 48.5313536, 11.5145688 48.5314099, 11.5145481 48.5314596, 11.5145283 48.5315067, 11.5145055 48.5315526, 11.5144789 48.531603, 11.5144502 48.5316521, 11.5144146 48.5317071, 11.5143395 48.531817)",2,B 13,,,,
"[944180337, 32862010, 957183469, 944180335]",Moosburger Straße,tertiary,"['50', '30']",False,False,116.97399999999999,"LINESTRING (11.5122369 48.5273545, 11.5124008 48.5272957, 11.5124521 48.5272762, 11.5128637 48.5271197, 11.5129551 48.527086, 11.5131532 48.5270134, 11.5132833 48.5269708, 11.5134178 48.5269331, 11.5135604 48.5268992, 11.5136517 48.5268829)","['2', '3']",,,,,
"[975299953, 957183466, 824521475]",Joseph-Fraunhofer-Straße,primary,50,False,True,157.29,"LINESTRING (11.5122369 48.5273545, 11.512341 48.5274495, 11.512372 48.5274778, 11.5124583 48.5275567, 11.5125798 48.5276716, 11.5130104 48.528061, 11.5131699 48.5282377, 11.5133891 48.5285407)","['2', '3']",B 13,,,,
"[957183468, 824521477, 4246383]",Moosburger Straße,tertiary,50,False,True,130.179,"LINESTRING (11.5122369 48.5273545, 11.5120577 48.527416, 11.5120109 48.5274326, 11.5115822 48.5275848, 11.5112605 48.5276886, 11.5112142 48.5277035, 11.5111942 48.5277101, 11.510749 48.5278607, 11.510661 48.5278841)","['2', '3']",,,,,
"[957183465, 824521474, 32862004]",Joseph-Fraunhofer-Straße,primary,50,False,False,158.635,"LINESTRING (11.5122369 48.5273545, 11.5121552 48.5272686, 11.5121251 48.5272332, 11.5120734 48.5271654, 11.5120171 48.5270845, 11.5118415 48.5268155, 11.5116173 48.5265001, 11.5115073 48.5263616, 11.5112715 48.5260808)","['2', '3']",B 13,,,,
961567324,Moosburger Straße,tertiary,30,False,True,102.92,"LINESTRING (11.5150413 48.526801, 11.5149925 48.5268036, 11.5148757 48.5268099, 11.5148396 48.5268118, 11.5146317 48.5268209, 11.5140309 48.5268399, 11.5139627 48.5268426, 11.5138389 48.5268557, 11.5137338 48.5268693, 11.5136517 48.5268829)",,,,,,
70669932,Scheyerer Straße,tertiary,50,False,False,146.358,"LINESTRING (11.5021044 48.5278576, 11.5021956 48.5279064, 11.5024212 48.5280284, 11.5026271 48.528139, 11.5029688 48.5283013, 11.5031489 48.5283855, 11.5033715 48.528475, 11.5035833 48.528551, 11.5037372 48.5286013)",,,,,,
1117522430,Scheyerer Straße,tertiary,50,False,False,14.806,"LINESTRING (11.5037372 48.5286013, 11.5039223 48.5286533)",,,,,,
70669932,Scheyerer Straße,tertiary,50,False,True,146.358,"LINESTRING (11.5037372 48.5286013, 11.5035833 48.528551, 11.5033715 48.528475, 11.5031489 48.5283855, 11.5029688 48.5283013, 11.5026271 48.528139, 11.5024212 48.5280284, 11.5021956 48.5279064, 11.5021044 48.5278576)",,,,,,
1117522430,Scheyerer Straße,tertiary,50,False,True,14.806,"LINESTRING (11.5039223 48.5286533, 11.5037372 48.5286013)",,,,,,
"[4246401, 80438653]",Draht,residential,30,False,True,209.652,"LINESTRING (11.5039223 48.5286533, 11.5039565 48.528603, 11.5039674 48.5285777, 11.5039709 48.5285345, 11.5039657 48.5285017, 11.5039529 48.5284784, 11.5039337 48.5284538, 11.5039127 48.5284335, 11.5038827 48.5284093, 11.5040638 48.5281642, 11.5040888 48.5281275, 11.504285 48.5278294, 11.5043958 48.5276612, 11.5044867 48.5275131, 11.5045375 48.5274123, 11.5045828 48.5273461, 11.5046338 48.5272847, 11.5046843 48.5272369, 11.5047416 48.5271845, 11.5047732 48.5271629, 11.5050439 48.5270102)",,,,,,
