osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge,lanes,junction
1082058442,L 415,Vorstadtstraße,secondary,30,False,False,20.103,"LINESTRING (8.817539 48.2877585, 8.8172673 48.2877576)",,,,
37253821,K 7124,Ostdorfer Straße,tertiary,50,False,False,101.265,"LINESTRING (8.817539 48.2877585, 8.8175771 48.2878798, 8.8176746 48.2879656, 8.8181836 48.2882588, 8.8182151 48.288297, 8.8183506 48.2884616)",,,,
"[1097657624, 311870721]",L 415,Vorstadtstraße,secondary,"['50', '30']",False,True,184.15000000000003,"LINESTRING (8.817539 48.2877585, 8.8177939 48.2877604, 8.8181043 48.2877627, 8.8188922 48.2878065, 8.8190815 48.287817, 8.8192035 48.2878301, 8.8192948 48.2878399, 8.8193584 48.2878468, 8.8196997 48.2878838, 8.8199634 48.2879115, 8.820013 48.2879138)",,,,
40881705,,Schloßstraße,residential,30,False,False,48.05,"LINESTRING (8.8121811 48.2877434, 8.812338 48.2874884, 8.8124272 48.2873435)",,,,
43363975,,Dammstraße,residential,,False,True,142.458,"LINESTRING (8.8121811 48.2877434, 8.8121843 48.2879277, 8.8121151 48.2881194, 8.8121725 48.2884642, 8.8124237 48.2889911)",,,,
1082058441,L 415,Vorstadtstraße,secondary,30,False,True,215.60700000000003,"LINESTRING (8.8121811 48.2877434, 8.8123754 48.2877924, 8.8131058 48.2879405, 8.8133436 48.2879662, 8.8135564 48.2879683, 8.813898 48.2879716, 8.8140182 48.2879728, 8.8150445 48.2879449)",,,,
1206549135,L 415,Brückenstraße,secondary,30,False,False,32.533,"LINESTRING (8.8121811 48.2877434, 8.8119518 48.2877535, 8.8119286 48.2877601, 8.8117581 48.2878073)",,,,
41078342,L 415,Brückenstraße,secondary,30,False,False,5.422,"LINESTRING (8.8100152 48.2890801, 8.8100297 48.2891279)",,,,
36925779,,Schäferstraße,residential,,False,False,85.95,"LINESTRING (8.8100152 48.2890801, 8.8097203 48.289059, 8.8094895 48.2889961, 8.809244 48.2889237, 8.8089511 48.2887997)",,,,
41078342,L 415,Brückenstraße,secondary,30,False,True,45.823,"LINESTRING (8.8100152 48.2890801, 8.81 48.2889612, 8.8100343 48.2888377, 8.8101642 48.2886946)",,,,
25860573,,Untere Bachstraße,residential,,False,True,133.277,"LINESTRING (8.8115581 48.2879232, 8.812219 48.2890382)",,,,
41078342,L 415,Brückenstraße,secondary,30,False,True,19.623,"LINESTRING (8.8115581 48.2879232, 8.8117581 48.2878073)",,,,
26214144,K 7128,Bachstraße,tertiary,50,False,False,170.608,"LINESTRING (8.8115581 48.2879232, 8.8111782 48.2876335, 8.8107998 48.2873462, 8.8099159 48.2868526)",,,,
41078342,L 415,Brückenstraße,secondary,30,False,False,134.187,"LINESTRING (8.8115581 48.2879232, 8.8110781 48.2882088, 8.8101642 48.2886946)",,,,
26214144,K 7128,Bachstraße,tertiary,50,False,False,67.083,"LINESTRING (8.8092 48.2864669, 8.8087891 48.2862932, 8.8084033 48.286183)",,,,
26214144,K 7128,Bachstraße,tertiary,50,False,True,68.237,"LINESTRING (8.8092 48.2864669, 8.8095598 48.2866414, 8.8099159 48.2868526)",,,,
"[353152090, 40881685, 353152094]",,,residential,,False,True,14.192,"LINESTRING (8.8092 48.2864669, 8.8092254 48.2864352, 8.8092689 48.2863809, 8.8092903 48.2863543)",no,yes,,
40881688,,Schaalstraße,residential,30,False,False,177.80800000000002,"LINESTRING (8.8093574 48.2842175, 8.8098867 48.2845781, 8.8104278 48.2851061, 8.8105065 48.2852477, 8.8105407 48.285381, 8.8105411 48.2855507)",,,,
