osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,junction,ref,tunnel,width
627031899,Am oberen Tor,residential,False,True,32.187,,"LINESTRING (9.258982 47.9260023, 9.2586431 47.9258228)",,,,,
"[627031896, 221594574]","['Friedhofstraße', 'Martin-Schneller-Straße']",tertiary,False,False,101.468,2,"LINESTRING (9.258982 47.9260023, 9.2590504 47.925997, 9.2591239 47.9259938, 9.2592874 47.9260423, 9.2602425 47.9263189)",,,,,
627031898,Martin-Schneller-Straße,tertiary,False,True,19.904,,"LINESTRING (9.258982 47.9260023, 9.2587619 47.9260598, 9.2587375 47.9260725)",,,,,
221594574,Friedhofstraße,tertiary,False,True,15.684,2,"LINESTRING (9.2604362 47.9263741, 9.2602425 47.9263189)",,,,,
26938586,Zum Eichberg,residential,False,True,194.992,,"LINESTRING (9.2604362 47.9263741, 9.2605002 47.9263156, 9.2615774 47.9261364, 9.2618331 47.9260744, 9.2620108 47.9260226, 9.2621351 47.9259784, 9.2623131 47.925872, 9.2623548 47.9258346, 9.262418 47.9257779, 9.2624843 47.9257009, 9.2624935 47.9256256, 9.2624681 47.925538)",,,,,
462965952,Friedhofstraße,tertiary,False,False,41.099000000000004,2,"LINESTRING (9.2604362 47.9263741, 9.2606673 47.9264668, 9.2608992 47.9265746)",,,,,
9805330,Martin-Schneller-Straße,tertiary,True,False,40.983000000000004,,"LINESTRING (9.2582006 47.9263626, 9.2581253 47.92646, 9.2578935 47.9266671)",,,,,
10372267,Martin-Schneller-Straße,tertiary,False,False,49.353,,"LINESTRING (9.2582006 47.9263626, 9.2583695 47.9262819, 9.258492 47.9262, 9.2587148 47.9260843)",,,,,
26558655,Adolf-Kolping-Straße,tertiary,False,False,29.953000000000003,,"LINESTRING (9.2582006 47.9263626, 9.2580471 47.9264118, 9.257933 47.926435, 9.2578283 47.9264628)",50,,,,
27807242,Am Schützenbühl,residential,False,False,44.946,,"LINESTRING (9.2551056 47.9264287, 9.2551925 47.9263939, 9.2552431 47.926345, 9.2553556 47.9260786)",,,,,
627031895,Adolf-Kolping-Straße,tertiary,False,False,95.88300000000001,,"LINESTRING (9.2551056 47.9264287, 9.2550232 47.9263471, 9.254924 47.9262708, 9.2547737 47.9261953, 9.2546222 47.926136, 9.2544219 47.9260687, 9.2542531 47.9260157, 9.2541418 47.9259728, 9.2540715 47.9259389)",50,,,,
627031895,Adolf-Kolping-Straße,tertiary,False,True,138.25799999999998,,"LINESTRING (9.2551056 47.9264287, 9.255166 47.926501, 9.2552106 47.9265796, 9.2552533 47.9266796, 9.2552798 47.9267856, 9.2552912 47.9268716, 9.2553024 47.9270077, 9.2552193 47.9274662, 9.2551867 47.9276453)",50,,,,
1247801574,Bahnhofstraße,tertiary,False,True,19.603,,"LINESTRING (9.2512781 47.9243846, 9.2513765 47.9245481)",50,,,,
10372377,,secondary,True,False,35.642999999999994,1,"LINESTRING (9.2512781 47.9243846, 9.2512278 47.9244023, 9.2511722 47.9244101, 9.2511155 47.9244076, 9.251062 47.9243949, 9.2510112 47.9243702, 9.2509737 47.9243365, 9.2509529 47.9242968, 9.2509508 47.9242547)",50,roundabout,,,
10372377,,secondary,True,False,33.68300000000001,1,"LINESTRING (9.2509508 47.9242547, 9.2509682 47.924213, 9.2510038 47.9241769, 9.2510542 47.9241499, 9.2511146 47.9241345, 9.2511791 47.9241323, 9.2512415 47.9241434, 9.2512958 47.9241668)",50,roundabout,,,
616267640,Am alten Spital,residential,False,True,30.335,,"LINESTRING (9.255434 47.9241412, 9.2553871 47.9241157, 9.2552439 47.9239041)",,,,,
"[1250509466, 33155882]",Roßmarktgasse,residential,False,False,58.547999999999995,,"LINESTRING (9.2558276 47.9243104, 9.2559217 47.9243052, 9.2558686 47.9241889, 9.2558652 47.9240749, 9.255886 47.9239767, 9.2559953 47.9238712)",,,,,
10372377,,secondary,True,False,27.747,1,"LINESTRING (9.2512958 47.9241668, 9.2513355 47.9241988, 9.2513594 47.9242372, 9.2513653 47.9242786, 9.2513527 47.9243193, 9.2513228 47.9243557, 9.2512781 47.9243846)",50,roundabout,,,
26944016,Franz-Xaver-Heilig-Straße,secondary,False,False,30.914,,"LINESTRING (9.2512958 47.9241668, 9.2514266 47.9240811, 9.2516203 47.9239956)",50,,L 268,,
29343538,Kellerweg,residential,False,False,52.84,,"LINESTRING (9.2511715 47.9269905, 9.2513078 47.927234, 9.2514375 47.9274308)",30,,,,
29391366,Weißochsengasse,residential,True,False,91.725,,"LINESTRING (9.2511715 47.9269905, 9.2509982 47.9265284, 9.2508768 47.9261896)",30,,,,
"[1212055169, 9705932]",Überlinger Straße,residential,False,True,203.39,,"LINESTRING (9.2511715 47.9269905, 9.2517983 47.9268885, 9.252438 47.926746, 9.2528364 47.9266172, 9.2531792 47.9264952, 9.2534501 47.9263711, 9.2536442 47.9262635)",50,,,,
9705932,Überlinger Straße,residential,False,False,48.293,,"LINESTRING (9.2540715 47.9259389, 9.2539552 47.9260459, 9.2539034 47.9260893, 9.253845 47.9261369, 9.2536442 47.9262635)",50,,,,
26558654,Bahnhofstraße,tertiary,False,False,9.293,,"LINESTRING (9.2540715 47.9259389, 9.2540255 47.9259099, 9.2539902 47.9258761)",,,,,
627031895,Adolf-Kolping-Straße,tertiary,False,True,95.883,,"LINESTRING (9.2540715 47.9259389, 9.2541418 47.9259728, 9.2542531 47.9260157, 9.2544219 47.9260687, 9.2546222 47.926136, 9.2547737 47.9261953, 9.254924 47.9262708, 9.2550232 47.9263471, 9.2551056 47.9264287)",50,,,,
33155925,Kasernenstraße,unclassified,False,False,34.422,,"LINESTRING (9.2596352 47.9200781, 9.2594924 47.9203725)",50,,,,
33155925,Kasernenstraße,unclassified,False,True,20.782,,"LINESTRING (9.2593833 47.9205445, 9.2594924 47.9203725)",50,,,,
