osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,width,access
88893312,2,Westring,primary,50,False,True,14.852,,"LINESTRING (7.2133383 51.4804416, 7.2135482 51.480469)",,
"[221640231, 298323911]","['2', '3']",Westring,primary,50,True,False,153.927,B 226,"LINESTRING (7.2133383 51.4804416, 7.2134193 51.4802826, 7.2137189 51.4797521, 7.2137669 51.4796607, 7.2139826 51.4792742, 7.2139962 51.4792498, 7.2140736 51.4791356)",,
221639351,4,Viktoriastraße,primary,50,True,False,23.834,L 551,"LINESTRING (7.215522 51.4774869, 7.2155506 51.4777005)",,
"[170541120, 119213179]",2,Marienplatz,residential,30,False,False,87.758,,"LINESTRING (7.2154505 51.4777981, 7.2153204 51.4778056, 7.2152288 51.477809, 7.215195 51.4778107, 7.2151772 51.4778116, 7.2141875 51.477862)",,
"[170541120, 119213179]",2,Marienplatz,residential,30,False,True,87.758,,"LINESTRING (7.2141875 51.477862, 7.2151772 51.4778116, 7.215195 51.4778107, 7.2152288 51.477809, 7.2153204 51.4778056, 7.2154505 51.4777981)",,
448918837,2,Humboldtstraße,residential,30,False,False,39.18300000000001,,"LINESTRING (7.2141875 51.477862, 7.2141761 51.4777255, 7.2141704 51.4776572, 7.2141582 51.4775101)",,
93486919,1,Westring,secondary,50,True,False,15.849,L 654,"LINESTRING (7.2129929 51.4814781, 7.2128572 51.4814771, 7.2127641 51.481475)",,
"[916758240, 222337746, 1149747838]",,Willy-Brandt-Platz,unclassified,20,False,False,212.62400000000005,,"LINESTRING (7.2129929 51.4814781, 7.2131635 51.4815131, 7.2132209 51.4815249, 7.2134226 51.4815663, 7.2137446 51.4816325, 7.2139581 51.4816582, 7.2141723 51.481684, 7.2147161 51.4817553, 7.2149681 51.4817852, 7.2151399 51.4818068, 7.2154305 51.4818331, 7.215767 51.4818613, 7.2159576 51.4818781, 7.2159874 51.4818807)",6,
"[298328693, 80164709, 298328694]","['2', '3']",Ostring,primary,50,True,False,113.66399999999999,B 226,"LINESTRING (7.224254 51.4802499, 7.2244524 51.4805874, 7.2244661 51.4806144, 7.2245308 51.4807424, 7.2245862 51.4808541, 7.2246819 51.4810782, 7.2246924 51.4811028, 7.22474 51.4812253)",,
"[6274560, 375603945]",1,"['Wittener Straße', 'Ostring']",primary,50,True,False,54.448,B 226,"LINESTRING (7.2243849 51.4797728, 7.2243773 51.4798227, 7.2243499 51.4798558, 7.224321 51.4798955, 7.224299 51.4799405, 7.2242768 51.4799925, 7.2242604 51.4801301, 7.224254 51.4802499)",,
485559081,2,Wittener Straße,primary,50,True,False,45.699,B 226,"LINESTRING (7.2243849 51.4797728, 7.2242332 51.4798342, 7.2241613 51.4798573, 7.2240538 51.4798868, 7.2240035 51.4799007, 7.2237863 51.4799386)",,
"[25695048, 162356197, 162356198]",2,Maximilian-Kolbe-Straße,residential,30,False,True,115.548,,"LINESTRING (7.2141582 51.4775101, 7.2140339 51.4775169, 7.2133018 51.477557, 7.2132259 51.4775611, 7.2131237 51.4775672, 7.213026 51.4775724, 7.2125082 51.477648)",,
448918837,2,Humboldtstraße,residential,30,False,True,39.183,,"LINESTRING (7.2141582 51.4775101, 7.2141704 51.4776572, 7.2141761 51.4777255, 7.2141875 51.477862)",,
221639343,3,Südring,primary,50,True,False,31.543999999999997,B 226,"LINESTRING (7.2203929 51.4786756, 7.2201338 51.4786487, 7.2199424 51.4786342)",,
221639352,3,Viktoriastraße,primary,50,True,False,16.173,L 551,"LINESTRING (7.2156927 51.4786617, 7.2157267 51.4788056)",,
"[375608690, 82462269, 221639341]","['2', '3']",Südring,primary,50,True,False,187.176,B 226,"LINESTRING (7.2156927 51.4786617, 7.2159517 51.478645, 7.2163255 51.4786305, 7.2167623 51.4786137, 7.2168837 51.478609, 7.2176409 51.4785797, 7.2183894 51.4785507)",,
217436923,2,Kurt-Schumacher-Platz,primary,50,True,False,11.333,B 226,"LINESTRING (7.2236401 51.4798928, 7.223715 51.479916, 7.2237863 51.4799386)",,
"[485885702, 375603943, 221849836, 464502445, 79971894, 353668536, 30654142]","['2', '3']",Wittener Straße,primary,50,True,False,269.784,B 226,"LINESTRING (7.2236401 51.4798928, 7.2239148 51.4798263, 7.2240973 51.4797732, 7.2241974 51.4797426, 7.2243643 51.479682, 7.2245111 51.4796224, 7.2247036 51.479523, 7.2250468 51.4793303, 7.2255928 51.479049, 7.2257396 51.478961, 7.2262254 51.4786771, 7.2262557 51.4786589, 7.2263613 51.4785953, 7.2264078 51.4785673, 7.2266882 51.478412)",,
129014383,2,Ostring,primary,50,True,False,6.364,B 226,"LINESTRING (7.2227944 51.4829499, 7.2228823 51.4829332)",,
221629000,1,Bleichstraße,residential,30,True,False,31.801000000000002,,"LINESTRING (7.2227944 51.4829499, 7.2226906 51.4828746, 7.2225527 51.4827799, 7.2225307 51.4827226)",,
221630511,1,Weilenbrink,residential,30,True,False,88.003,,"LINESTRING (7.2249053 51.4819739, 7.223676 51.4821746)",,
"[221630508, 271998159]","['2', '3']",Ostring,primary,50,True,False,83.602,B 226,"LINESTRING (7.2249053 51.4819739, 7.2247891 51.4816818, 7.2246797 51.4814064, 7.2246721 51.4813872, 7.2246078 51.4812453)",,
"[4430194, 375605243]",2,Ostring,primary,50,True,False,51.679,B 226,"LINESTRING (7.2240232 51.4802696, 7.2237699 51.4801759, 7.2236094 51.4801178, 7.2235619 51.4801006, 7.223441 51.4800258, 7.2234115 51.4800084)",,
529791899,2,Ostring,primary,50,True,False,44.607000000000006,B 226,"LINESTRING (7.2240232 51.4802696, 7.223953 51.4801766, 7.2237811 51.4801103, 7.2237325 51.4800794, 7.2237037 51.4800557, 7.2236724 51.4800204, 7.2236611 51.4799904, 7.223655 51.4799623)",,
