osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction,width
8819263,An der Burg,residential,False,False,129.529,"LINESTRING (6.6656644 50.2208068, 6.6652785 50.2206755, 6.6650848 50.2204236, 6.6650463 50.2201435, 6.665118 50.2199552, 6.6652204 50.2198435)",,,,,,
"[794705934, 794705935]",Raderstraße,secondary,False,False,33.234,"LINESTRING (6.659577 50.2223496, 6.6595817 50.2223931, 6.6595796 50.2224403, 6.6595736 50.2224772, 6.6595515 50.2225196, 6.6595314 50.2225668, 6.6595206 50.2226123, 6.6595095 50.2226428)",3,L 29,50,,,
"[794705936, 8819269]",Hauptstraße,"['residential', 'living_street']",True,False,215.905,"LINESTRING (6.659577 50.2223496, 6.6597513 50.2222995, 6.6598638 50.2222345, 6.6600644 50.2221126, 6.6600805 50.2221018, 6.6602487 50.2220552, 6.6604855 50.2220033, 6.6606512 50.2219769, 6.6607464 50.2219756, 6.6608846 50.2219819, 6.6610455 50.2219956, 6.6613496 50.222036, 6.6617563 50.2221051, 6.6621052 50.2221604, 6.662398 50.2222046)",1,,,,,
9779675,Raderstraße,secondary,False,True,26.929,"LINESTRING (6.6595954 50.2228783, 6.6595609 50.2228021, 6.6595463 50.2227697, 6.6595253 50.222708, 6.6595095 50.2226428)",2,L 29,50,,,
"[1169732264, 11773577, 10420236, 25317584]",Brunnenstraße,primary,False,True,172.369,"LINESTRING (6.6595954 50.2228783, 6.6595315 50.2228936, 6.6594697 50.2229148, 6.6594134 50.2229461, 6.6593597 50.2229834, 6.6593094 50.2230332, 6.6592719 50.2230795, 6.6592461 50.2231276, 6.6590615 50.2237194, 6.6589203 50.2241718, 6.6589056 50.2242157, 6.6588947 50.2242364, 6.6588779 50.2242578, 6.6588518 50.2242808, 6.658834 50.2242934)",2,B 410,50,yes,,
"[210054074, 25317541]",Brunnenstraße,primary,False,False,77.543,"LINESTRING (6.6595954 50.2228783, 6.6596688 50.2228723, 6.6597299 50.222874, 6.6597835 50.2228805, 6.6598432 50.222889, 6.6599283 50.2229023, 6.6600209 50.2229186, 6.6601514 50.2229445, 6.6605092 50.2230212, 6.6606456 50.2230452)",3,B 410,50,,,
"[210054074, 25317541]",Brunnenstraße,primary,False,True,77.54299999999999,"LINESTRING (6.6606456 50.2230452, 6.6605092 50.2230212, 6.6601514 50.2229445, 6.6600209 50.2229186, 6.6599283 50.2229023, 6.6598432 50.222889, 6.6597835 50.2228805, 6.6597299 50.222874, 6.6596688 50.2228723, 6.6595954 50.2228783)",3,B 410,50,,,
794733247,Brunnenstraße,primary,True,False,28.122999999999998,"LINESTRING (6.6606456 50.2230452, 6.6607565 50.2230439, 6.6608289 50.2230482, 6.6609013 50.2230503, 6.6609335 50.2230499, 6.6609845 50.2230461, 6.6610385 50.2230375)",1,B 410,50,,,
794733252,Brunnenstraße,primary,True,False,57.74,"LINESTRING (6.6620972 50.2230687, 6.6619494 50.2231143, 6.661773 50.2231293, 6.6616718 50.2231327, 6.661531 50.2231366, 6.6614545 50.223134, 6.6614009 50.2231327, 6.661366 50.2231336, 6.6613046 50.2231396)",1,B 410,50,,,
"[794733254, 794733256, 794733257, 794733258, 689013869, 794733262, 689013870, 10420638]",Brunnenstraße,primary,False,False,453.441,"LINESTRING (6.6620972 50.2230687, 6.6626378 50.2229929, 6.6629887 50.222945, 6.6634389 50.2228836, 6.6637481 50.2228414, 6.6640314 50.2228027, 6.6649885 50.2226749, 6.6651789 50.2226542, 6.6653009 50.222642, 6.665506 50.222623, 6.6656642 50.2226106, 6.6657876 50.2226022, 6.6659296 50.2225972, 6.6662215 50.2225917, 6.6666458 50.2225952, 6.6667522 50.2225987, 6.6669269 50.2226089, 6.6670945 50.2226222, 6.6672454 50.2226376, 6.6674392 50.2226612, 6.6676189 50.22269, 6.6678315 50.2227273, 6.6681119 50.2227881, 6.6683402 50.2228516)","['2', '3']",B 410,50,,,
