osmid,name,highway,maxspeed,oneway,reversed,length,tunnel,bridge,geometry,lanes,ref
982209011,Deutschherrnstraße,residential,30,False,True,36.258,,,"LINESTRING (10.1964379 50.2492333, 10.1964006 50.2495585)",,
"[204175712, 183267360, 5052227, 810730877, 102311592, 29081241, 1077034170, 204175709]","['Friedhofstraße', 'Jörgentorgasse']","['residential', 'tertiary']",30,False,False,290.57500000000005,building_passage,yes,"LINESTRING (10.1964379 50.2492333, 10.1966471 50.2492103, 10.1969998 50.24918, 10.1972267 50.2490951, 10.1973064 50.2490581, 10.19738 50.2490215, 10.1974448 50.2489915, 10.1976751 50.2489258, 10.1977019 50.2489192, 10.1982064 50.2488223, 10.1988265 50.2486441, 10.1989369 50.248621, 10.1993148 50.2485659, 10.1994153 50.2485451, 10.199511 50.2485259, 10.1997096 50.248464, 10.1998154 50.2484281, 10.1999329 50.2483681, 10.2001347 50.24823)",,
"[5096193, 874636566, 479078934]",Hafenmarkt,residential,30,False,False,53.485,,,"LINESTRING (10.1964379 50.2492333, 10.1963812 50.249188, 10.1962337 50.2490762, 10.19593 50.2488791)",,
32935730,Karlsbergstraße,tertiary,,False,False,53.974,,,"LINESTRING (10.2001347 50.24823, 10.2001719 50.2481387, 10.2002808 50.2477539)",,
"[183267360, 204175712, 5052227, 102311592, 29081241, 1077034170, 204175709, 810730877]","['Friedhofstraße', 'Jörgentorgasse']","['residential', 'tertiary']",30,False,True,290.57500000000005,building_passage,yes,"LINESTRING (10.2001347 50.24823, 10.1999329 50.2483681, 10.1998154 50.2484281, 10.1997096 50.248464, 10.199511 50.2485259, 10.1994153 50.2485451, 10.1993148 50.2485659, 10.1989369 50.248621, 10.1988265 50.2486441, 10.1982064 50.2488223, 10.1977019 50.2489192, 10.1976751 50.2489258, 10.1974448 50.2489915, 10.19738 50.2490215, 10.1973064 50.2490581, 10.1972267 50.2490951, 10.1969998 50.24918, 10.1966471 50.2492103, 10.1964379 50.2492333)",,
982209011,Deutschherrnstraße,residential,30,False,False,36.258,,,"LINESTRING (10.1964006 50.2495585, 10.1964379 50.2492333)",,
5052226,Deutschherrnstraße,residential,30,False,True,235.761,,,"LINESTRING (10.1964006 50.2495585, 10.1965233 50.2496619, 10.1965684 50.2497832, 10.1965435 50.2498446, 10.1965306 50.2498663, 10.196504 50.2499767, 10.1965618 50.2501129, 10.1967389 50.2504257, 10.1968526 50.2507408, 10.1968022 50.2508053, 10.1967267 50.2508376, 10.1965863 50.2508392, 10.1961502 50.2508419, 10.1955715 50.2508738)",,
32854992,Schwesterngasse,residential,,False,True,66.495,,,"LINESTRING (10.1964006 50.2495585, 10.1963585 50.2495675, 10.1959708 50.2496112, 10.1958715 50.2496403, 10.1956031 50.2497092, 10.1955153 50.249738)",,
5052226,Deutschherrnstraße,residential,30,False,False,235.76099999999997,,,"LINESTRING (10.1955715 50.2508738, 10.1961502 50.2508419, 10.1965863 50.2508392, 10.1967267 50.2508376, 10.1968022 50.2508053, 10.1968526 50.2507408, 10.1967389 50.2504257, 10.1965618 50.2501129, 10.196504 50.2499767, 10.1965306 50.2498663, 10.1965435 50.2498446, 10.1965684 50.2497832, 10.1965233 50.2496619, 10.1964006 50.2495585)",,
32858873,Manggasse,residential,30,False,True,184.24499999999998,,,"LINESTRING (10.1955715 50.2508738, 10.1953025 50.2509113, 10.1950129 50.250951, 10.1947608 50.2509611, 10.1944134 50.2509465, 10.1943154 50.2509267, 10.1942674 50.2508686, 10.1942568 50.2508069, 10.1943049 50.2506115, 10.1942722 50.2504756, 10.1941204 50.2502582, 10.1940308 50.2501299)",,
479078923,Riemenschneiderstraße,tertiary,30,False,False,59.542,,,"LINESTRING (10.1955715 50.2508738, 10.1958357 50.2512191, 10.1959395 50.2513548)",,
479078923,Riemenschneiderstraße,tertiary,30,False,True,120.322,,,"LINESTRING (10.1955715 50.2508738, 10.1952477 50.250417, 10.1948706 50.2498889)",,
5096196,Am dicken Turm,residential,30,False,True,412.10200000000003,,,"LINESTRING (10.1959395 50.2513548, 10.1957018 50.2513926, 10.1953738 50.2514298, 10.1943108 50.2513212, 10.1936911 50.251248, 10.193642 50.2512422, 10.1932883 50.2511789, 10.192674 50.2509559, 10.1923763 50.2508027, 10.1920718 50.2504118, 10.1917027 50.2497482, 10.1916192 50.2496173)",,
479078923,Riemenschneiderstraße,tertiary,30,False,True,59.542,,,"LINESTRING (10.1959395 50.2513548, 10.1958357 50.2512191, 10.1955715 50.2508738)",,
"[211098849, 297244157, 875267650, 371264413]",Riemenschneiderstraße,tertiary,50,False,"[False, True]",107.162,,yes,"LINESTRING (10.1959395 50.2513548, 10.1959821 50.2514007, 10.1960566 50.2515015, 10.1962994 50.251972, 10.1963902 50.2521625, 10.1964389 50.252262)","['4', '3']",
203907626,,primary,50,False,True,35.897,,,"LINESTRING (10.1930235 50.246284, 10.1931676 50.2459746)",2,B 287
875232820,Veit-Stoß-Straße,tertiary,,False,True,21.45,,,"LINESTRING (10.1930235 50.246284, 10.1932964 50.2463662)",2,
"[203907624, 870769705, 1193565210, 1193565211]",,primary,"['50', '60']",False,False,338.197,,,"LINESTRING (10.1930235 50.246284, 10.1928558 50.2465567, 10.1926164 50.2469568, 10.1923917 50.2473322, 10.1922427 50.2475505, 10.1920845 50.2477641, 10.1917349 50.2481852, 10.1915058 50.2484214, 10.1912528 50.2486492, 10.1908693 50.2489771)","['2', '3']",B 287
873094611,,primary,60,False,False,22.243,,,"LINESTRING (10.1891542 50.2508384, 10.1891391 50.2510382)",2,B 287
873094612,Reichenbacher Straße,tertiary,50,True,False,21.516,,,"LINESTRING (10.1891542 50.2508384, 10.1888519 50.2508296)",,KG 1
982209015,,primary,60,False,True,10.48,,,"LINESTRING (10.1891542 50.2508384, 10.1891685 50.2507446)",3,B 287
204809677,,primary,50,False,False,32.2,,,"LINESTRING (10.1956475 50.252671, 10.1960968 50.2526346)",3,B 287
"[5096224, 5096225, 8159906, 202456213]",Zentstraße,tertiary,,False,False,241.29600000000002,,yes,"LINESTRING (10.1956475 50.252671, 10.1956741 50.2528737, 10.1956986 50.2529861, 10.1957286 50.2530407, 10.1957828 50.2530876, 10.1958585 50.2531407, 10.1959422 50.2531834, 10.1960346 50.2532089, 10.1961371 50.2532268, 10.1962396 50.2532293, 10.1963914 50.2532135, 10.1965149 50.2531796, 10.1967156 50.2531065, 10.1969565 50.2530572, 10.1971888 50.2530817, 10.1974129 50.2531633, 10.1974788 50.2531878, 10.1976604 50.2532926, 10.1977308 50.2533332, 10.1981721 50.2534922)",,KG 14
"[32853732, 32853733, 110138215, 875159401, 29081227, 741019565, 873094614]",,primary,"['50', '60']",False,True,544.3209999999999,,yes,"LINESTRING (10.1956475 50.252671, 10.1955278 50.2526761, 10.1951631 50.2526943, 10.1944935 50.2527005, 10.1941987 50.2526967, 10.1937354 50.2526738, 10.1933661 50.2526527, 10.1922548 50.2525401, 10.1913105 50.2524029, 10.1905914 50.2522392, 10.1901299 50.2521058, 10.1897367 50.2518962, 10.1895211 50.2517082, 10.1893699 50.2515544, 10.1892709 50.2514167, 10.1892041 50.2512825, 10.1891527 50.2511496, 10.1891391 50.2510382)","['2', '3']",B 287
875232820,Veit-Stoß-Straße,tertiary,,False,False,21.45,,,"LINESTRING (10.1932964 50.2463662, 10.1930235 50.246284)",2,
"[1077034172, 875232821, 875232822]",Veit-Stoß-Straße,tertiary,,False,True,28.68,,,"LINESTRING (10.1932964 50.2463662, 10.1933746 50.2464139, 10.1934631 50.2464678, 10.1935786 50.2465502)",,
"[5052225, 875232822]",Veit-Stoß-Straße,tertiary,,False,False,32.349,,,"LINESTRING (10.1938584 50.2467786, 10.1936623 50.2466034, 10.1935786 50.2465502)",,
5052225,Veit-Stoß-Straße,tertiary,,False,True,122.761,,,"LINESTRING (10.1938584 50.2467786, 10.1940144 50.2472931, 10.1941857 50.2478626)",,
5096194,Streitgasse,residential,,False,True,62.266999999999996,,,"LINESTRING (10.1938584 50.2467786, 10.193911 50.246774, 10.1943554 50.2467356, 10.1944669 50.2467505, 10.1946922 50.2468338)",,
5096207,Marktplatz,residential,30,True,False,21.749,,,"LINESTRING (10.1943866 50.2487887, 10.194312 50.2488043, 10.1941684 50.2488002, 10.1940848 50.2488017)",,
32854254,Marktplatz,tertiary,30,False,False,45.083,,,"LINESTRING (10.1943866 50.2487887, 10.1944747 50.2490764, 10.1945491 50.2491781)",,
"[5052225, 982209019, 982209020]",Veit-Stoß-Straße,tertiary,,False,False,104.407,,,"LINESTRING (10.1943866 50.2487887, 10.1943675 50.2486869, 10.1943495 50.2484729, 10.1943073 50.2481417, 10.194238 50.2479694, 10.1941857 50.2478626)",,
5052205,Meininger Straße,primary,DE:urban,False,False,39.972,,,"LINESTRING (10.1965484 50.25255, 10.1966773 50.2528999)",3,B 287
"[107314533, 183444822]",Riemenschneiderstraße,tertiary,50,False,"[False, True]",32.959,,yes,"LINESTRING (10.1965484 50.25255, 10.1964546 50.2522987, 10.1964389 50.252262)",3,
202456208,Coburger Straße,secondary,50,False,True,33.25,,,"LINESTRING (10.1965484 50.25255, 10.1968379 50.2524753, 10.1969851 50.2524433)",3,St 2282
211098841,,primary,50,False,True,33.578,,,"LINESTRING (10.1965484 50.25255, 10.196376 50.2525922, 10.1962464 50.2526185, 10.1960968 50.2526346)",3,B 287
32935730,Karlsbergstraße,tertiary,,False,True,53.974,,,"LINESTRING (10.2002808 50.2477539, 10.2001719 50.2481387, 10.2001347 50.24823)",,
97437717,Schwimmbadweg,residential,,False,False,268.225,,,"LINESTRING (10.2002808 50.2477539, 10.1998812 50.2470853, 10.199673 50.2467377, 10.1992639 50.245965, 10.1990972 50.2456693, 10.1989689 50.2454934)",,
97437761,Karlsbergstraße,tertiary,50,False,False,39.885999999999996,,,"LINESTRING (10.2002808 50.2477539, 10.2004071 50.2475876, 10.2005825 50.2474548)",,
97437717,Schwimmbadweg,residential,,False,True,268.225,,,"LINESTRING (10.1989689 50.2454934, 10.1990972 50.2456693, 10.1992639 50.245965, 10.199673 50.2467377, 10.1998812 50.2470853, 10.2002808 50.2477539)",,
38194225,Gymnasiumstraße,residential,,False,True,48.943,,,"LINESTRING (10.1916192 50.2496173, 10.190931 50.2496084)",,
181655523,Gymnasiumstraße,residential,,False,False,55.754,,,"LINESTRING (10.1916192 50.2496173, 10.1923946 50.2496919)",,
5096196,Am dicken Turm,residential,30,False,False,412.10200000000003,,,"LINESTRING (10.1916192 50.2496173, 10.1917027 50.2497482, 10.1920718 50.2504118, 10.1923763 50.2508027, 10.192674 50.2509559, 10.1932883 50.2511789, 10.193642 50.2512422, 10.1936911 50.251248, 10.1943108 50.2513212, 10.1953738 50.2514298, 10.1957018 50.2513926, 10.1959395 50.2513548)",,
"[32858872, 32859650, 32859652]","['Dr.-Engelhard-Weg', 'Stadtmauerweg', 'Dr-Engelhardt-Weg']",residential,,False,False,245.44299999999998,,,"LINESTRING (10.1916192 50.2496173, 10.1916073 50.249238, 10.1917943 50.2489914, 10.1924915 50.2480819, 10.1927582 50.2477068, 10.1928398 50.2475889)",,
104480668,Gymnasiumstraße,residential,,False,False,11.368,,,"LINESTRING (10.1930202 50.2497702, 10.1931784 50.249785)",,
181655523,Gymnasiumstraße,residential,,False,True,24.001,,,"LINESTRING (10.1930202 50.2497702, 10.1926902 50.2497248)",,
"[104480668, 5096198]","['Klostergasse', 'Gymnasiumstraße']",residential,,False,True,84.836,,,"LINESTRING (10.1940308 50.2501299, 10.1940366 50.2499362, 10.1931784 50.249785)",,
32858873,Manggasse,residential,30,False,False,184.245,,,"LINESTRING (10.1940308 50.2501299, 10.1941204 50.2502582, 10.1942722 50.2504756, 10.1943049 50.2506115, 10.1942568 50.2508069, 10.1942674 50.2508686, 10.1943154 50.2509267, 10.1944134 50.2509465, 10.1947608 50.2509611, 10.1950129 50.250951, 10.1953025 50.2509113, 10.1955715 50.2508738)",,
101107024,Klostergasse,residential,,False,False,68.541,,,"LINESTRING (10.1940308 50.2501299, 10.1939748 50.2501307, 10.1937234 50.2501342, 10.1931015 50.2499997)",,
32859649,Bauerngasse,residential,,False,True,36.793,,,"LINESTRING (10.1933732 50.2468539, 10.1935786 50.2465502)",,
32859649,Bauerngasse,residential,,False,False,101.267,,,"LINESTRING (10.1933732 50.2468539, 10.1934551 50.2470641, 10.1934539 50.247395, 10.1934858 50.2474922, 10.1935084 50.2475913, 10.1934579 50.2477518)",,
32859652,Dr-Engelhardt-Weg,residential,,False,True,90.259,,,"LINESTRING (10.1933732 50.2468539, 10.1932177 50.2471007, 10.193029 50.2473094, 10.1928398 50.2475889)",,
32859649,Bauerngasse,residential,,False,False,24.266,,,"LINESTRING (10.1934579 50.2477518, 10.1933673 50.2479622)",,
32859946,Schäfergasse,residential,,False,False,47.537,,,"LINESTRING (10.1934579 50.2477518, 10.1928398 50.2475889)",,
32859649,Bauerngasse,residential,,False,True,101.267,,,"LINESTRING (10.1934579 50.2477518, 10.1935084 50.2475913, 10.1934858 50.2474922, 10.1934539 50.247395, 10.1934551 50.2470641, 10.1933732 50.2468539)",,
5096203,Sudhausgasse,residential,,False,False,31.633,,,"LINESTRING (10.1933673 50.2479622, 10.1937918 50.2480473)",,
32859649,Bauerngasse,residential,,False,False,34.031,,,"LINESTRING (10.1933673 50.2479622, 10.1931399 50.2482315)",,
32859649,Bauerngasse,residential,,False,True,24.266,,,"LINESTRING (10.1933673 50.2479622, 10.1934579 50.2477518)",,
5096202,Schlossergasse,residential,,False,False,37.089,,,"LINESTRING (10.1929892 50.2483879, 10.1934754 50.2485087)",,
32859649,Bauerngasse,residential,,False,False,17.662,,,"LINESTRING (10.1929892 50.2483879, 10.1928126 50.2484996)",,
32859649,Bauerngasse,residential,,False,True,20.427,,,"LINESTRING (10.1929892 50.2483879, 10.1931399 50.2482315)",,
32859649,Bauerngasse,residential,,False,True,17.662,,,"LINESTRING (10.1928126 50.2484996, 10.1929892 50.2483879)",,
32859649,Bauerngasse,residential,,False,False,138.14499999999998,,,"LINESTRING (10.1928126 50.2484996, 10.1926048 50.2487642, 10.192492 50.2489408, 10.1924539 50.2490536, 10.1924073 50.249311, 10.1923946 50.2496919)",,
"[584829236, 32860077]","['Bauerngasse', 'Uhlsgasse']",residential,,False,False,65.694,,,"LINESTRING (10.1928126 50.2484996, 10.1927975 50.2483544, 10.1927951 50.2481637, 10.1928391 50.2481463, 10.1929245 50.2481528, 10.1930659 50.2481756, 10.1931399 50.2482315)",,
