osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,width
26803972,True,K 7706,Große Kirchgasse,tertiary,50,False,38.581,,"LINESTRING (13.1666427 50.8617819, 13.1669295 50.8614859)",,
4013311,False,B 173,Markt,primary,50,False,26.436999999999998,2,"LINESTRING (13.1666427 50.8617819, 13.1666843 50.8617857, 13.1667033 50.861784, 13.1667497 50.8617808, 13.1667794 50.8617829, 13.1668041 50.8617882, 13.1669955 50.8618469)",,
4407757,True,K 7706,Frankenberger Straße,tertiary,,False,92.294,,"LINESTRING (13.1666427 50.8617819, 13.1661563 50.8623991, 13.1660426 50.8625201)",,
32511049,False,B 173,Chemnitzer Straße,primary,50,True,204.43,2,"LINESTRING (13.1666427 50.8617819, 13.1657104 50.8616097, 13.1652572 50.8615548, 13.1649145 50.8614895, 13.1644865 50.8613738, 13.1644168 50.8613546, 13.1638761 50.8612218)",,
4687571,False,B 173,Freiberger Straße,primary,50,False,15.594,2,"LINESTRING (13.1690963 50.8626686, 13.1691449 50.8626726, 13.1692107 50.8626712, 13.1692641 50.862663, 13.1693073 50.8626443)",,
54259111,False,B 173,Freiberger Straße,primary,50,True,22.551000000000002,2,"LINESTRING (13.1690963 50.8626686, 13.1690462 50.8626566, 13.1689962 50.8626428, 13.1688119 50.8625752)",,
8311447,False,S 207,Gerichtsstraße,secondary,50,False,7.15,,"LINESTRING (13.1709049 50.8619904, 13.1709197 50.8619599, 13.1709447 50.8619316)",,
"[546148969, 50124106]",False,B 173,Freiberger Straße,primary,,True,127.80600000000001,2,"LINESTRING (13.1709049 50.8619904, 13.1707145 50.861973, 13.1705963 50.8619759, 13.1704309 50.8620152, 13.1702816 50.8620636, 13.1702595 50.8620745, 13.1700469 50.8621915, 13.1698885 50.8622936, 13.1694303 50.8625658)",,
"[627106305, 771364014]",False,B 173,Freiberger Straße,primary,50,False,214.10399999999998,2,"LINESTRING (13.1709049 50.8619904, 13.1710875 50.8620276, 13.1712493 50.8620557, 13.1718227 50.86215, 13.1727764 50.8622911, 13.1728351 50.8623134, 13.1730301 50.8623876, 13.1733283 50.8625172, 13.173684 50.8627018)",,
4013307,False,,Talstraße,residential,50,False,42.268,,"LINESTRING (13.1723115 50.8606702, 13.1717558 50.8605237)",,
73887684,False,S 207,Gerichtsstraße,secondary,50,False,7.668,2,"LINESTRING (13.1723115 50.8606702, 13.1723515 50.8606437, 13.1723909 50.860623)",,
"[73887684, 290315436, 32492819, 26161012, 73887667, 627106297]",False,S 207,Gerichtsstraße,secondary,50,True,114.90299999999999,2,"LINESTRING (13.1723115 50.8606702, 13.1721227 50.8608405, 13.1721101 50.8608527, 13.1720795 50.8608822, 13.1720679 50.8608932, 13.1720494 50.8609097, 13.1718438 50.8610929, 13.171577 50.8613542, 13.1713928 50.8615253)",yes,
73887684,False,S 207,Gerichtsstraße,secondary,50,True,28.332,2,"LINESTRING (13.1753121 50.8607372, 13.1751313 50.8607772, 13.1749202 50.86079)",,
290315440,False,S 207,Gerichtsstraße,secondary,50,False,78.484,2,"LINESTRING (13.1753121 50.8607372, 13.1755232 50.860657, 13.1756697 50.8605439, 13.1758042 50.8604183, 13.1758516 50.8603501, 13.1758696 50.860281, 13.175899 50.8601745)",,
922748494,False,S 207,Gerichtsstraße,secondary,50,False,13.852,2,"LINESTRING (13.1746684 50.8590017, 13.17454 50.8589071)",,
290315440,False,S 207,Gerichtsstraße,secondary,50,True,159.16899999999998,2,"LINESTRING (13.1746684 50.8590017, 13.1748294 50.8591184, 13.1753893 50.8595243, 13.1754939 50.8596191, 13.1757388 50.859841, 13.1758707 50.860025, 13.175899 50.8601745)",,
"[1036444331, 1036444332, 4013309]",False,,Lange Straße,tertiary,,False,45.863,,"LINESTRING (13.1687582 50.858546, 13.1686195 50.8585161, 13.168461 50.8585172, 13.168427 50.8585253, 13.1682635 50.8585726, 13.1681937 50.8586035, 13.1681654 50.8586271)",yes,
8311451,False,,Bahnhofstraße,tertiary,,True,109.55,,"LINESTRING (13.1687582 50.858546, 13.1698509 50.8588719, 13.1701776 50.858955)",,
247455344,False,,Talstraße,residential,,True,127.946,,"LINESTRING (13.1687582 50.858546, 13.1688234 50.8586607, 13.1688885 50.858746, 13.1695699 50.8592314, 13.1697614 50.8593598, 13.1699026 50.8594229)",,
"[24614050, 1036444329, 1036444330, 8663615]",False,,"['Mühlgasse', 'Straße des Friedens']",residential,,False,192.121,1,"LINESTRING (13.1681654 50.8586271, 13.1675546 50.8584139, 13.1675263 50.8583914, 13.1674469 50.8583283, 13.1673714 50.8582684, 13.1672386 50.8581764, 13.1671507 50.8581142, 13.1670326 50.858083, 13.166827 50.858061, 13.1665988 50.8580448, 13.1663774 50.8580149, 13.166063 50.8579526, 13.165894 50.8578868, 13.1658229 50.8578472)",yes,4
627106286,False,,Lange Straße,tertiary,,False,121.144,,"LINESTRING (13.1681654 50.8586271, 13.1676528 50.8591179, 13.1673122 50.8595711)",,
"[1036444331, 1036444332, 4013309]",False,,Lange Straße,tertiary,,True,45.863,,"LINESTRING (13.1681654 50.8586271, 13.1681937 50.8586035, 13.1682635 50.8585726, 13.168427 50.8585253, 13.168461 50.8585172, 13.1686195 50.8585161, 13.1687582 50.858546)",yes,
"[80589113, 4013308, 173920981]",False,,Pfarrgasse,residential,,False,142.79500000000002,,"LINESTRING (13.167041 50.8599968, 13.1674654 50.8600809, 13.1678632 50.860238, 13.1681365 50.8603304, 13.1682271 50.8603605, 13.168379 50.8604146, 13.1684794 50.8604291, 13.1685929 50.8604488, 13.1687571 50.8604499, 13.1688831 50.8604997)",,
50124104,False,K 7706,Lange Straße,tertiary,50,True,51.044000000000004,,"LINESTRING (13.167041 50.8599968, 13.1670999 50.8598879, 13.1673122 50.8595711)",,
