osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,junction,width,bridge
7245684,2,Gießereistraße,secondary,50,False,False,29.103,"LINESTRING (12.1277818 47.8495031, 12.1276563 47.849537, 12.1276137 47.8495456, 12.1275499 47.8495586, 12.1274088 47.8495764)",,,,,
250369542,3,Kufsteiner Straße,secondary,50,False,True,26.505000000000003,"LINESTRING (12.1277818 47.8495031, 12.1278261 47.8495626, 12.1279051 47.8496687, 12.1279391 47.8497168)",St 2363,,,,
5141371,,Rathausstraße,secondary,50,False,False,118.715,"LINESTRING (12.1266828 47.8545699, 12.1277966 47.8538075)",B 15,,,,
"[311798132, 5141366]",2,Prinzregentenstraße,secondary,50,False,False,180.304,"LINESTRING (12.1266828 47.8545699, 12.1264174 47.8547677, 12.1260424 47.8550176, 12.1255719 47.8553121, 12.1252302 47.8555208, 12.1250116 47.8556382, 12.1249263 47.8556803)",B 15,,,,
"[561059619, 387874131, 561062811, 32509455]",,Am Anger,residential,20,False,True,121.407,"LINESTRING (12.1266828 47.8545699, 12.1266489 47.8545243, 12.1265583 47.8543243, 12.1265161 47.8540367, 12.1264829 47.8537498, 12.1264704 47.8536028, 12.1264786 47.8535513, 12.1265021 47.8534975)",,yes,,,
"[327796761, 39067366, 443225487]",3,Prinzregentenstraße,secondary,50,False,False,131.447,"LINESTRING (12.1240246 47.8560791, 12.1238909 47.8561369, 12.1230337 47.8565054, 12.1226465 47.8566752, 12.1225421 47.8567177)",B 15,,,,
"[98332891, 36732671]",3,Prinzregentenstraße,secondary,50,False,True,80.597,"LINESTRING (12.1240246 47.8560791, 12.1241224 47.8560352, 12.124426 47.8558989, 12.1248429 47.8557118, 12.1249263 47.8556803)",B 15,,,,
"[551712490, 447548779, 6111965]",3,Samerstraße,residential,50,False,False,129.846,"LINESTRING (12.1240246 47.8560791, 12.1239491 47.8560351, 12.1237038 47.8558944, 12.1233598 47.855683, 12.122786 47.8553303, 12.1227324 47.8552971)",,,,,
"[6111360, 771610816, 447548775, 551712491, 783758162]","['4', '3']",Frühlingstraße,residential,50,False,False,103.107,"LINESTRING (12.1240246 47.8560791, 12.1240829 47.8561382, 12.1243394 47.8563619, 12.1244687 47.8564863, 12.124522 47.8565377, 12.1246053 47.8566256, 12.1246894 47.8567136, 12.124715 47.8567418, 12.1247971 47.8568463)",,,,,
"[17541747, 438296854, 552001399]",,Westermayerstraße,residential,50,False,False,101.96300000000001,"LINESTRING (12.12182 47.8570396, 12.1218631 47.8570854, 12.122129 47.8573679, 12.1225082 47.8577618, 12.1225583 47.8578112)",,,,,
"[438296852, 438296853]",,Prinzregentenstraße,secondary,50,False,True,64.68299999999999,"LINESTRING (12.12182 47.8570396, 12.1221563 47.8568913, 12.1225421 47.8567177)",B 15,,,,
"[5942792, 444934697, 311798123]",3,Königstraße,residential,50,False,False,116.99300000000001,"LINESTRING (12.1299282 47.8525316, 12.1300012 47.85258, 12.1300761 47.8526326, 12.1301143 47.8526882, 12.1301303 47.8527288, 12.1301316 47.8527702, 12.1301316 47.8528164, 12.1301157 47.8528648, 12.1300618 47.8529901, 12.1300415 47.8530409, 12.1300049 47.8531162, 12.1298877 47.8533563, 12.1298593 47.8534269, 12.1298287 47.8534927, 12.1298228 47.8535053)",,,,,
"[567782734, 7245677, 311798134]",,Reichenbachstraße,residential,50,True,False,215.80700000000002,"LINESTRING (12.1299282 47.8525316, 12.129789 47.8524939, 12.1296866 47.8524285, 12.1292311 47.8520966, 12.129211 47.8520917, 12.1282608 47.851864, 12.1274109 47.8516695)",,,,,
"[36732664, 443225489, 443237948]","['2', '3']",Rathausstraße,secondary,50,False,True,178.05,"LINESTRING (12.1299282 47.8525316, 12.1297652 47.852623, 12.1292734 47.8528989, 12.1286621 47.8532598, 12.1282921 47.8534719, 12.1281209 47.8535769)",B 15,,,,
443237950,,Rathausstraße,secondary,50,False,False,58.224000000000004,"LINESTRING (12.1299282 47.8525316, 12.1300377 47.8524701, 12.1305289 47.8521974)",B 15,,,,
"[437881267, 437881268]",3,Brianconstraße,secondary,50,False,False,34.95,"LINESTRING (12.1318837 47.8514333, 12.1318046 47.8513864, 12.1315166 47.8512383)",St 2363,,,,
437881272,2,Rathausstraße,secondary,50,False,True,38.927,"LINESTRING (12.1318837 47.8514333, 12.1317715 47.8514932, 12.1314755 47.8516513)",B 15,,,,
5941790,4,Kufsteiner Straße,secondary,50,False,False,10.431,"LINESTRING (12.1280921 47.85011, 12.1280905 47.8500162)",St 2363,,,,
97866894,4,Kufsteiner Straße,residential,,False,True,30.665999999999997,"LINESTRING (12.1280921 47.85011, 12.1280839 47.8502071, 12.1280783 47.8502392, 12.1280533 47.850313, 12.1280183 47.8503795)",,,,,
7245681,1,Brianconstraße,secondary,50,True,False,59.407,"LINESTRING (12.1279391 47.8497168, 12.1280803 47.8497777, 12.1282274 47.8498524, 12.1283004 47.8498894, 12.1284537 47.849975, 12.1285546 47.8500521)",St 2363,,,,
97866618,3,Kufsteiner Straße,secondary,50,False,True,35.342999999999996,"LINESTRING (12.1279391 47.8497168, 12.1280264 47.849845, 12.1280748 47.8499514, 12.1280905 47.8500162)",St 2363,,,,
97868353,,Gießereistraße,secondary,50,True,False,42.874,"LINESTRING (12.1279391 47.8497168, 12.1276975 47.849628, 12.1275587 47.8495983, 12.1274088 47.8495764)",,,,,
250369542,3,Kufsteiner Straße,secondary,50,False,False,26.505000000000003,"LINESTRING (12.1279391 47.8497168, 12.1279051 47.8496687, 12.1278261 47.8495626, 12.1277818 47.8495031)",St 2363,,,,
317421959,4,Brianconstraße,secondary,50,False,True,11.784,"LINESTRING (12.129043 47.8502837, 12.1291942 47.8503143)",St 2363,,,,
