osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,ref,access,width
32919336,2,Hauptstraße,residential,30,False,False,5.965,"LINESTRING (8.1315995 47.7607185, 8.1315289 47.7607435)",,,,,
32919337,2,Hauptstraße,residential,30,False,True,279.148,"LINESTRING (8.1315995 47.7607185, 8.132544 47.7604136, 8.1328071 47.7603218, 8.1330537 47.7602121, 8.133608 47.7599186, 8.1343935 47.7595113, 8.1346215 47.7593963, 8.1346609 47.7593762, 8.1347106 47.7593508)",,,,,
"[975506929, 31501713, 31501707, 34138247]",,Fürstabt-Gerbert-Straße,residential,30,False,False,237.579,"LINESTRING (8.1315995 47.7607185, 8.1315396 47.7606497, 8.1314087 47.7604491, 8.1313979 47.7604312, 8.131345 47.7604489, 8.1311757 47.7604793, 8.1309712 47.760459, 8.1307463 47.76039, 8.1307088 47.7603892, 8.1305918 47.7603865, 8.1305674 47.7603859, 8.1299839 47.7604503, 8.1297052 47.7604811, 8.1296768 47.7604842, 8.1295264 47.7604953, 8.1293892 47.7604765, 8.1291757 47.7603699, 8.1291299 47.7603487, 8.1289849 47.7603101, 8.1288187 47.7603028)",yes,,,,
"[721544558, 64455438, 286995279, 286995281, 286995282, 286995283]","['2', '3']",Todtmooser Straße,residential,30,False,"[False, True]",135.02800000000002,"LINESTRING (8.1268421 47.7612547, 8.1266902 47.7612477, 8.1265838 47.7612651, 8.1259492 47.761418, 8.1258696 47.7614589, 8.1258335 47.761501, 8.1258186 47.7615449, 8.1258138 47.7616338, 8.1257859 47.7617075, 8.1257454 47.7617404, 8.1256923 47.7617584, 8.1255828 47.7617613, 8.1254922 47.7617451, 8.1254349 47.7617348)",,,,,
"[939472747, 274907829, 274907830]",,Fürstabt-Gerbert-Straße,residential,,False,True,37.187,"LINESTRING (8.1268421 47.7612547, 8.1268755 47.7611733, 8.1270113 47.7610706, 8.127072 47.7610251, 8.1271223 47.7609863)",,yes,,,
"[721544553, 31501787, 1173954310]",,Todtmooser Straße,residential,30,False,True,102.902,"LINESTRING (8.1268421 47.7612547, 8.1269889 47.7612873, 8.1270282 47.7612983, 8.1271382 47.7613341, 8.1272266 47.7613567, 8.1278451 47.7614634, 8.1279841 47.7614804, 8.1281064 47.7614954, 8.1281645 47.7615004)",,,,,
"[1264972801, 1264972802, 64459803, 11272703]",2,Todtmooser Straße,"['residential', 'living_street']",,False,False,39.858000000000004,"LINESTRING (8.1254349 47.7617348, 8.1253251 47.7617096, 8.1252448 47.7616906, 8.1251674 47.7616666, 8.1251049 47.7616304, 8.1250548 47.7615743, 8.1250339 47.7615315)",,,,,
54730047,2,Umgehungsstraße,secondary,50,False,True,370.38800000000003,"LINESTRING (8.1254349 47.7617348, 8.1254965 47.7615763, 8.1255661 47.7614541, 8.1256849 47.7613203, 8.1257786 47.761236, 8.1258927 47.7611561, 8.1261943 47.7609883, 8.1265888 47.7607811, 8.1268318 47.7606064, 8.1270496 47.7604125, 8.1272074 47.7602148, 8.1272803 47.7600991, 8.1273414 47.7599823, 8.1274386 47.759766, 8.1275283 47.7595495, 8.1277105 47.7590724, 8.1277573 47.7589936, 8.127828 47.7589284)",,,L 149,,
"[721544558, 286995279, 64455438, 286995281, 286995282, 286995283]","['2', '3']",Todtmooser Straße,residential,30,False,"[False, True]",135.02800000000002,"LINESTRING (8.1254349 47.7617348, 8.1254922 47.7617451, 8.1255828 47.7617613, 8.1256923 47.7617584, 8.1257454 47.7617404, 8.1257859 47.7617075, 8.1258138 47.7616338, 8.1258186 47.7615449, 8.1258335 47.761501, 8.1258696 47.7614589, 8.1259492 47.761418, 8.1265838 47.7612651, 8.1266902 47.7612477, 8.1268421 47.7612547)",,,,,
27136713,,Friedrichstraße,residential,30,False,True,217.337,"LINESTRING (8.1347106 47.7593508, 8.1349674 47.7592951, 8.1351155 47.7592448, 8.1353175 47.7591882, 8.1354335 47.7591729, 8.1356821 47.7591934, 8.135819 47.7592125, 8.1360223 47.7592196, 8.1361552 47.7592298, 8.1363227 47.7592394, 8.1365461 47.7592474, 8.136801 47.7592536, 8.1375602 47.7592275)",,,,,
32919337,2,Hauptstraße,residential,30,False,False,279.148,"LINESTRING (8.1347106 47.7593508, 8.1346609 47.7593762, 8.1346215 47.7593963, 8.1343935 47.7595113, 8.133608 47.7599186, 8.1330537 47.7602121, 8.1328071 47.7603218, 8.132544 47.7604136, 8.1315995 47.7607185)",,,,,
1219977774,,Tuskulumweg,residential,,False,False,14.838,"LINESTRING (8.1351171 47.7580724, 8.1351029 47.7582055)",,,,,
"[207051576, 207051578, 207051580]",2,Umgehungsstraße,secondary,"['50', '70']",False,False,566.457,"LINESTRING (8.1351171 47.7580724, 8.1348695 47.7580435, 8.1343845 47.7579933, 8.1338994 47.7579498, 8.1334283 47.7579293, 8.1325422 47.7579641, 8.13164 47.7580313, 8.1311407 47.7580664, 8.1306146 47.7581229, 8.1300656 47.7582293, 8.1298327 47.7582884, 8.129504 47.7583903, 8.1291404 47.7585176, 8.1289015 47.7586008, 8.1286387 47.758677, 8.1282708 47.7587841, 8.1280183 47.7588462, 8.1279189 47.7588819, 8.127828 47.7589284)",yes,,L 149,,
