osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,geometry,bridge,junction,access
292600312,2,B 55,Kölner Straße,primary,50,False,True,19.602,,"LINESTRING (7.6460546 51.0202091, 7.6457773 51.0201836)",,,
412135662,,,Steilweg,residential,30,False,False,64.078,3,"LINESTRING (7.6460546 51.0202091, 7.6459789 51.0207834)",,,
292600312,2,B 55,Kölner Straße,primary,50,False,False,126.31200000000001,,"LINESTRING (7.6460546 51.0202091, 7.6463185 51.0202361, 7.64672 51.0202753, 7.6472388 51.0203248, 7.6477956 51.0203779, 7.6478398 51.0203794)",,,
"[25897880, 793241868]",,,Hauptstraße,residential,30,True,False,164.423,,"LINESTRING (7.6511427 51.0211518, 7.6510212 51.0211119, 7.6504294 51.0209877, 7.6500579 51.0208608, 7.6498708 51.0208069, 7.6496641 51.0207477, 7.649415 51.020692, 7.6491556 51.0206424, 7.6490934 51.0206205, 7.6490642 51.02059, 7.6490547 51.0205459)",,,
47647526,,,Hauptstraße,residential,30,False,False,12.457,2.8,"LINESTRING (7.6511427 51.0211518, 7.6510845 51.0212089, 7.6510352 51.0212404)",,,
47861334,,,In der Leie,residential,30,True,False,130.096,3,"LINESTRING (7.6511427 51.0211518, 7.6512566 51.0210932, 7.6516765 51.0209452, 7.6518334 51.0208905, 7.6523212 51.0207868, 7.6526849 51.020718, 7.6528408 51.0207043)",,,
47647526,,,Hauptstraße,residential,30,False,False,91.581,2.8,"LINESTRING (7.6510352 51.0212404, 7.6509699 51.0212483, 7.6501114 51.0212802, 7.6498749 51.0212919, 7.6498348 51.0212966, 7.6497375 51.0213211)",,,
47647526,,,Hauptstraße,residential,30,False,True,12.457,2.8,"LINESTRING (7.6510352 51.0212404, 7.6510845 51.0212089, 7.6511427 51.0211518)",,,
48491525,,,Burgstraße,residential,50,False,False,272.554,2.5,"LINESTRING (7.6510352 51.0212404, 7.6510389 51.0213078, 7.6510327 51.0213894, 7.6509945 51.0214456, 7.6508808 51.0216126, 7.6508467 51.0217117, 7.6508463 51.0217879, 7.6507672 51.0219212, 7.6507275 51.0219732, 7.650605 51.0220965, 7.6503503 51.0223015, 7.6502602 51.0223901, 7.6501744 51.0224861, 7.6500953 51.0226136, 7.6500531 51.0226955, 7.6500445 51.0227676, 7.6500391 51.0228616, 7.6500701 51.0229242, 7.6500896 51.0230306, 7.6500755 51.0230783, 7.6500529 51.0231451, 7.6500047 51.0231958, 7.6498122 51.0232399, 7.6495228 51.023307)",,,
52113385,,,Stentenbergstraße,residential,30,False,True,22.854,,"LINESTRING (7.646967 51.0239253, 7.6467426 51.0237759)",,,
25897931,2,K 23,Im Stadtgraben,tertiary,50,False,False,104.893,,"LINESTRING (7.646967 51.0239253, 7.647273 51.0237134, 7.64738 51.0235789, 7.64744 51.0234427, 7.6474742 51.023078)",,,
37742409,,K 23,Bergstraße,tertiary,50,False,False,109.308,,"LINESTRING (7.646967 51.0239253, 7.6467435 51.0240929, 7.6465523 51.0243334, 7.6464211 51.0245351, 7.6463482 51.024647, 7.6462492 51.0247906)",,,
47861342,,,Steinstraße,residential,30,False,True,119.15799999999999,,"LINESTRING (7.646967 51.0239253, 7.6473946 51.0241753, 7.6475133 51.0242438, 7.647835 51.0244294, 7.647932 51.0244842, 7.6481101 51.0245848, 7.6482365 51.0246385)",,,
26995606,,,Brückenstraße,unclassified,50,False,False,58.573,,"LINESTRING (7.655383 51.0197068, 7.655555 51.019672, 7.6562091 51.0197088)",,,
"[446349619, 51921924]",2,,Südring,secondary,50,False,False,55.48,,"LINESTRING (7.655383 51.0197068, 7.655203 51.0194098, 7.6551808 51.019364, 7.6551616 51.0193235, 7.6551155 51.0192373)",,,
"[51921922, 51921924, 24994349]",2,,Südring,secondary,50,False,True,90.34599999999999,,"LINESTRING (7.655383 51.0197068, 7.6554394 51.0198117, 7.6554886 51.0198935, 7.6555842 51.0200786, 7.6556407 51.0201878, 7.6556544 51.0202332, 7.6556595 51.0203842, 7.6556622 51.0204918)",yes,,
278819162,1,,Bahnstraße,unclassified,50,True,False,36.354,,"LINESTRING (7.6497194 51.019609, 7.649546 51.0195624, 7.6494212 51.0195124, 7.6493281 51.019474, 7.6492664 51.0194508)",,,
"[446349617, 1104638266, 345054262]",,,Bahnstraße,unclassified,30,False,True,355.90999999999997,,"LINESTRING (7.6497194 51.019609, 7.6498304 51.0196409, 7.6499383 51.0196654, 7.6500565 51.0196853, 7.6501256 51.0196934, 7.6503246 51.0197115, 7.650564 51.0197333, 7.6507871 51.0197536, 7.6509593 51.0197693, 7.6511815 51.0197889, 7.6515178 51.0198114, 7.651673 51.0198154, 7.6518209 51.0198114, 7.652022 51.019788, 7.6522657 51.0197546, 7.6525373 51.0197052, 7.6527897 51.0196703, 7.6529805 51.0196626, 7.653198 51.019661, 7.6534899 51.0196567, 7.6539027 51.0196526, 7.6540479 51.0196403, 7.6541745 51.0196221, 7.6542877 51.0195806, 7.6543969 51.0195252, 7.6546103 51.0193978)",,,
289387304,,,Stadionstraße,residential,50,False,False,29.57,,"LINESTRING (7.64299 51.0187654, 7.6427629 51.0189897)",,,
289387302,,,Stadionstraße,residential,50,True,False,39.623000000000005,,"LINESTRING (7.64299 51.0187654, 7.642991 51.0189007, 7.6430048 51.0190213, 7.6430478 51.0191177)",,,
278387352,1,B 55,Kölner Straße,primary,50,True,False,33.761,,"LINESTRING (7.6559962 51.0210252, 7.6557831 51.0209733, 7.6555522 51.0209065)",,,
27997592,1,B 55,,primary,50,True,False,13.828,,"LINESTRING (7.6554714 51.0208826, 7.6554392 51.0208591, 7.6554194 51.0208306, 7.6554139 51.0207997, 7.6554231 51.0207691)",,roundabout,
278387359,1,B 55,Kölner Straße,primary,50,True,False,42.523,,"LINESTRING (7.6554714 51.0208826, 7.655322 51.0208549, 7.6552324 51.0208398, 7.6551309 51.0208181, 7.6549254 51.0207261)",,,
27997592,1,B 55,,primary,50,True,False,18.124000000000002,,"LINESTRING (7.6554825 51.020719, 7.6555288 51.0207043, 7.65558 51.0206993, 7.6556311 51.0207044, 7.6556773 51.0207193, 7.6557138 51.0207424)",,roundabout,
278389390,1,,Südring,secondary,50,True,False,28.226,,"LINESTRING (7.6554825 51.020719, 7.6554945 51.0207064, 7.6555388 51.0206505, 7.6555893 51.020589, 7.6556622 51.0204918)",,,
27997592,1,B 55,,primary,50,True,False,19.559,,"LINESTRING (7.6557453 51.0208075, 7.655728 51.0208501, 7.6556844 51.0208844, 7.6556221 51.0209044, 7.6555522 51.0209065)",,roundabout,
278387356,1,B 55,Kölner Straße,primary,50,True,False,30.0,,"LINESTRING (7.6557453 51.0208075, 7.6558499 51.020917, 7.6559962 51.0210252)",,,
"[51921922, 51921924, 24994349]",2,,Südring,secondary,50,False,False,90.34599999999999,,"LINESTRING (7.6556622 51.0204918, 7.6556595 51.0203842, 7.6556544 51.0202332, 7.6556407 51.0201878, 7.6555842 51.0200786, 7.6554886 51.0198935, 7.6554394 51.0198117, 7.655383 51.0197068)",yes,,
278389389,1,,Südring,secondary,50,True,False,28.205999999999996,,"LINESTRING (7.6556622 51.0204918, 7.6556692 51.0206012, 7.655686 51.0206743, 7.6557138 51.0207424)",,,
27997592,1,B 55,,primary,50,True,False,7.029999999999999,,"LINESTRING (7.6554231 51.0207691, 7.6554467 51.0207412, 7.6554825 51.020719)",,roundabout,
268380452,2,,Talstraße,residential,50,False,True,2.461,,"LINESTRING (7.6528408 51.0207043, 7.6528548 51.020684)",,,
751107057,2,,Talstraße,residential,50,False,False,156.846,,"LINESTRING (7.6528408 51.0207043, 7.6527941 51.0207764, 7.6526943 51.0209248, 7.6524115 51.0212219, 7.6521963 51.0214599, 7.6520741 51.0215948, 7.6520085 51.0216683, 7.6517871 51.0219474)",,,
47647526,,,Hauptstraße,residential,30,False,True,91.581,2.8,"LINESTRING (7.6497375 51.0213211, 7.6498348 51.0212966, 7.6498749 51.0212919, 7.6501114 51.0212802, 7.6509699 51.0212483, 7.6510352 51.0212404)",,,
