osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width,bridge,tunnel
26533607,Hauptstraße,residential,20,False,False,18.161,"LINESTRING (9.1404989 49.0018138, 9.1403112 49.0017065)",,,,,
35329561,Kronenstraße,residential,30,False,False,60.39,"LINESTRING (9.1404989 49.0018138, 9.1401422 49.0023039)",,,,,
26533607,Hauptstraße,residential,20,False,True,79.793,"LINESTRING (9.1404989 49.0018138, 9.1410429 49.001999, 9.1414796 49.0021312)",,,,,
26533607,Hauptstraße,residential,20,False,True,46.312,"LINESTRING (9.1398104 49.0014519, 9.1398759 49.001496, 9.1399561 49.0015356, 9.140106 49.0016028, 9.1401311 49.0016141, 9.1403112 49.0017065)",,,,,
35329524,Vorstadt,residential,20,False,True,30.654,"LINESTRING (9.1398104 49.0014519, 9.1397345 49.0014565, 9.1397042 49.0014583, 9.1396016 49.0014513, 9.1395007 49.0014269, 9.1394087 49.0013967)",,,,,
769619132,Hauptstraße,residential,20,False,False,38.806,"LINESTRING (9.1398104 49.0014519, 9.1397777 49.0014269, 9.1397525 49.0013988, 9.1397211 49.0013573, 9.1396963 49.0013091, 9.1396777 49.0012673, 9.139664 49.0011911, 9.139663 49.0011831, 9.139669 49.0011253)",,,,,
386348800,Hauptstraße,residential,20,True,False,35.486,"LINESTRING (9.139669 49.0011253, 9.1396519 49.0010831, 9.1396686 49.0010158, 9.1396858 49.0009859, 9.1397062 49.0009503, 9.1397446 49.0008977, 9.1397491 49.0008905, 9.1397715 49.0008674, 9.1397916 49.0008568, 9.1398235 49.0008399)",,,,,
769619132,Hauptstraße,residential,20,False,True,38.806,"LINESTRING (9.139669 49.0011253, 9.139663 49.0011831, 9.139664 49.0011911, 9.1396777 49.0012673, 9.1396963 49.0013091, 9.1397211 49.0013573, 9.1397525 49.0013988, 9.1397777 49.0014269, 9.1398104 49.0014519)",,,,,
385263974,Hauptstraße,residential,20,False,True,2.469,"LINESTRING (9.1398365 49.0008194, 9.1398235 49.0008399)",,,,,
28148611,Kirchstraße,living_street,,True,False,46.214,"LINESTRING (9.1398365 49.0008194, 9.1399856 49.0008477, 9.1400255 49.0008457, 9.1400707 49.0008376, 9.1401007 49.0008301, 9.1401317 49.0008167, 9.1403336 49.0006841, 9.1403613 49.0006685)",,,,,
263067688,Hauptstraße,residential,20,False,False,37.01199999999999,"LINESTRING (9.1398365 49.0008194, 9.1398569 49.0007884, 9.1398847 49.0007463, 9.1400527 49.0005396, 9.1400689 49.0005239)",,,,,
263067688,Hauptstraße,residential,20,False,False,89.257,"LINESTRING (9.1404143 49.00014, 9.1404457 49.0001024, 9.1407459 48.9997597, 9.1409425 48.9994187)",,,,,
263067688,Hauptstraße,residential,20,False,True,49.569,"LINESTRING (9.1404143 49.00014, 9.1402569 49.0003148, 9.1400689 49.0005239)",,,,,
35332013,Hauptstraße,residential,20,False,False,45.480000000000004,"LINESTRING (9.1411329 48.9991659, 9.1411544 48.9991389, 9.1412168 48.9990608, 9.1412523 48.9990164, 9.1412811 48.9989755, 9.1413571 48.9988678, 9.1413748 48.9988339, 9.1413798 48.9988157, 9.1413825 48.9987936)",,,,,
73578117,Hauptstraße,residential,20,False,True,31.356,"LINESTRING (9.1411329 48.9991659, 9.1409858 48.9993636, 9.1409425 48.9994187)",,,,,
"[415355733, 26533613]",Bahnhofstraße,residential,20,False,True,60.626000000000005,"LINESTRING (9.1398918 48.9977218, 9.1399944 48.9977924, 9.1402387 48.9979609, 9.1404617 48.9981186)",,,,,
"[33071557, 415355735]",Bahnhofstraße,residential,20,False,False,84.825,"LINESTRING (9.1398918 48.9977218, 9.139804 48.9977587, 9.1397632 48.9977705, 9.1397147 48.9977772, 9.1396626 48.9977815, 9.1396042 48.9977763, 9.1395317 48.9977627, 9.1391442 48.9976487, 9.138828 48.9975461)",,,,,
49868874,Bahnhofstraße,residential,20,False,False,10.818999999999999,"LINESTRING (9.1398918 48.9977218, 9.1399217 48.9976824, 9.1399462 48.9976316)",,,,,
"[386961896, 390073064]",Riedstraße,secondary,50,False,"[False, True]",81.42500000000001,"LINESTRING (9.1407233 48.996972, 9.1409888 48.996868, 9.1412357 48.9966741, 9.141368 48.9965274, 9.1414472 48.9964347)",L 1115,,,,
"[390073068, 390073061]",Riedstraße,secondary,50,True,False,56.0,"LINESTRING (9.1407233 48.996972, 9.1405707 48.9970527, 9.1404787 48.9970813, 9.1402292 48.9971457, 9.1401814 48.9971556, 9.1400967 48.9971713, 9.1400354 48.9971823)",L 1115,,,,
415355732,,primary,50,False,True,10.345,"LINESTRING (9.1426794 48.9955931, 9.1426832 48.9956861)",B 27,3,,,
145264067,,primary,50,False,False,0.325,"LINESTRING (9.1455837 48.9987152, 9.1455843 48.9987123)",B 27,3,,,
178536649,Auf dem Kies,primary,50,False,True,18.399,"LINESTRING (9.1455837 48.9987152, 9.1455516 48.9987845, 9.1455129 48.998874)",B 27,3,,,
