osmid,oneway,name,highway,reversed,length,ref,geometry,maxspeed,bridge,access
23007706,True,Breite Straße,residential,False,80.691,,"LINESTRING (13.1296683 53.9699241, 13.1300134 53.9692274)",,,
95400047,False,Marktstraße,secondary,True,80.403,L 261,"LINESTRING (13.1296683 53.9699241, 13.1284883 53.9697214)",,,
23007098,False,Breite Straße,secondary,False,79.06200000000001,L 261,"LINESTRING (13.1296683 53.9699241, 13.1294958 53.9702737, 13.1293894 53.970615)",,,
23007704,True,Marktstraße,residential,False,74.274,,"LINESTRING (13.1280378 53.9696408, 13.1282587 53.9689856)",,,
95400047,False,Marktstraße,secondary,False,30.798,L 261,"LINESTRING (13.1280378 53.9696408, 13.1284883 53.9697214)",,,
95400047,False,Marktstraße,secondary,True,29.34,L 261,"LINESTRING (13.1280378 53.9696408, 13.1276088 53.9695637)",,,
206130574,True,Mühlenstraße,residential,False,148.089,,"LINESTRING (13.1318808 53.9688604, 13.1319208 53.9688979, 13.1319817 53.9689178, 13.1329466 53.9693225, 13.1330236 53.9693705, 13.133069 53.9694202, 13.1330852 53.9695077, 13.133052 53.9696092, 13.132973 53.9697061, 13.1329452 53.9697779, 13.132994 53.9698243)",,,
23007729,True,Lange Straße,residential,False,34.713,,"LINESTRING (13.1282587 53.9689856, 13.1287759 53.9690556)",,,
95400047,False,Marktstraße,secondary,False,80.403,L 261,"LINESTRING (13.1284883 53.9697214, 13.1296683 53.9699241)",,,
95400047,False,Marktstraße,secondary,True,30.798,L 261,"LINESTRING (13.1284883 53.9697214, 13.1280378 53.9696408)",,,
23007705,True,Marktstraße,residential,False,76.386,,"LINESTRING (13.1287759 53.9690556, 13.1284883 53.9697214)",,,
23007729,True,Lange Straße,residential,False,83.165,,"LINESTRING (13.1287759 53.9690556, 13.1300134 53.9692274)",,,
23007729,True,Lange Straße,residential,False,91.179,,"LINESTRING (13.1300134 53.9692274, 13.1306372 53.9693128, 13.1313582 53.9694417)",,,
23007708,True,Heilgeiststraße,residential,False,80.45,,"LINESTRING (13.1308393 53.9701455, 13.1296683 53.9699241)",,,
23007709,True,Peenestraße,secondary,False,85.302,L 261,"LINESTRING (13.1308393 53.9701455, 13.1313582 53.9694417)",,,
"[206130569, 225826797]",False,Mühlenstraße,residential,True,117.476,L 261,"LINESTRING (13.1313582 53.9694417, 13.1315123 53.969491, 13.1321465 53.9696944, 13.1327589 53.9698414, 13.132994 53.9698243)",,,
225826798,True,Peenestraße,secondary,False,74.447,L 261,"LINESTRING (13.1313582 53.9694417, 13.1317304 53.9689789, 13.1318494 53.9688588, 13.1318808 53.9688604)",,,
23007098,False,Breite Straße,secondary,False,52.372,L 261,"LINESTRING (13.1293894 53.970615, 13.1293992 53.9707684, 13.129505 53.9708925, 13.1296339 53.9709513, 13.1297258 53.9710139)",,,
23007098,False,Breite Straße,secondary,True,79.06200000000001,L 261,"LINESTRING (13.1293894 53.970615, 13.1294958 53.9702737, 13.1296683 53.9699241)",,,
23007098,False,Breite Straße,secondary,True,52.372,L 261,"LINESTRING (13.1297258 53.9710139, 13.1296339 53.9709513, 13.129505 53.9708925, 13.1293992 53.9707684, 13.1293894 53.970615)",,,
23007709,True,Peenestraße,secondary,False,124.929,L 261,"LINESTRING (13.1297258 53.9710139, 13.1297966 53.9709504, 13.1300051 53.9708771, 13.1302015 53.9708081, 13.1305529 53.9705587, 13.1308393 53.9701455)",,,
240493439,False,Greifswalder Straße,secondary,False,238.37800000000001,L 261,"LINESTRING (13.1297258 53.9710139, 13.1297441 53.9710495, 13.1296856 53.9714624, 13.1296826 53.9714829, 13.1296397 53.971966, 13.1298336 53.9728259, 13.1299052 53.9731436)",,,
38760005,False,Schlossbergstraße,residential,True,147.57799999999997,L 261,"LINESTRING (13.1345151 53.9718813, 13.13441 53.9723112, 13.1343871 53.9723664, 13.1342444 53.9727109, 13.1339623 53.9731629)",,,
38760024,False,,residential,True,113.866,,"LINESTRING (13.1345151 53.9718813, 13.1359461 53.9721492, 13.1361712 53.9721969)",,,
75284436,False,Mühlenteich,residential,False,266.307,L 261,"LINESTRING (13.1345151 53.9718813, 13.1337785 53.9717376, 13.1335884 53.9716529, 13.1334833 53.9713636, 13.1334739 53.9713377, 13.1334001 53.9711345, 13.1332162 53.970348, 13.1331616 53.9699671, 13.133113 53.9698797)",,,
1232241175,False,Brandmühlendamm,tertiary,False,37.076,K 98,"LINESTRING (13.1299052 53.9731436, 13.1296046 53.9734263)",,,
240493439,False,Greifswalder Straße,secondary,True,238.37800000000001,L 261,"LINESTRING (13.1299052 53.9731436, 13.1298336 53.9728259, 13.1296397 53.971966, 13.1296826 53.9714829, 13.1296856 53.9714624, 13.1297441 53.9710495, 13.1297258 53.9710139)",,,
244680970,False,Goethestraße,secondary,False,48.527,L 261,"LINESTRING (13.1299052 53.9731436, 13.1299894 53.9734436, 13.1300337 53.9735045, 13.1301212 53.973546)",,,
"[206138549, 38760015]",False,Kampstraße,residential,True,331.065,,"LINESTRING (13.1251654 53.9728447, 13.1273867 53.9729331, 13.1274436 53.972935, 13.1274367 53.9729773, 13.1273831 53.9732487, 13.1296046 53.9734263)",10,,
