osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,tunnel,access
"[1194311999, 1194311911]",False,,Oberes Kleinodsfeld,residential,,True,101.991,"LINESTRING (10.7338486 50.4292457, 10.7340911 50.4298578, 10.7341643 50.4301399)",,,,
26246133,False,,Oberes Kleinodsfeld,residential,,False,81.255,"LINESTRING (10.7345387 50.4308169, 10.7343172 50.4306115, 10.7341643 50.4301399)",,,,
89154555,False,,Ziegeleiweg,residential,,True,47.566,"LINESTRING (10.7341643 50.4301399, 10.7335063 50.4302253)",,,,
26246133,False,,Oberes Kleinodsfeld,residential,,True,81.255,"LINESTRING (10.7341643 50.4301399, 10.7343172 50.4306115, 10.7345387 50.4308169)",,,,
"[1194311911, 1194311999]",False,,Oberes Kleinodsfeld,residential,,False,101.991,"LINESTRING (10.7341643 50.4301399, 10.7340911 50.4298578, 10.7338486 50.4292457)",,,,
25758493,True,2,Dr.-Moritz-Mitzenheim-Straße,primary,,False,149.865,"LINESTRING (10.7328072 50.4256016, 10.73328 50.4261686, 10.733517 50.4264287, 10.7335697 50.4265352, 10.7335974 50.4266403, 10.7336002 50.426733, 10.7335863 50.4268266)",B 89,,,
61992527,False,,Weitersrodaer Straße,residential,,True,98.441,"LINESTRING (10.7328072 50.4256016, 10.7331414 50.4254917, 10.7333893 50.4255074, 10.733533 50.425533, 10.7340542 50.4257412)",,,,
232581673,True,1,Unteres Kleinodsfeld,tertiary,,False,47.838,"LINESTRING (10.7335863 50.4268266, 10.7336253 50.4269318, 10.7336221 50.4270182, 10.7336216 50.4270302, 10.7336312 50.4272538)",L 2063,,,
232581674,True,2,Dr.-Moritz-Mitzenheim-Straße,primary,50,False,42.976,"LINESTRING (10.7335863 50.4268266, 10.7335267 50.4269485, 10.7334144 50.4270766, 10.7333008 50.4271622)",B 89,,,
584880403,False,,Geschwister-Scholl-Straße,residential,,False,7.54,"LINESTRING (10.7264011 50.4277244, 10.7263212 50.4277692)",,,,
"[314989208, 174763321, 692801268]",True,2,Dr.-Wilhelm-Külz-Straße,primary,"['50', '30']",False,107.774,"LINESTRING (10.7264011 50.4277244, 10.726324 50.427652, 10.7262334 50.4274837, 10.7261215 50.4273187, 10.7257997 50.4269816, 10.725704 50.4268673)",B 89,,,
314989207,True,1,Puschkinplatz,primary,30,False,14.729,"LINESTRING (10.7256919 50.426513, 10.725718 50.4264542, 10.7257435 50.4264235, 10.7257881 50.4264004)",B 89,,,
831767148,True,1,Puschkinplatz,primary,30,False,37.4,"LINESTRING (10.7256919 50.426513, 10.7256474 50.4264555, 10.7256181 50.4264209, 10.7255717 50.4263823, 10.7254228 50.4263138, 10.7253325 50.4262789)",B 89,,,
314989211,False,2,Friedrich-Rückert-Straße,primary,50,True,3.998,"LINESTRING (10.7252815 50.4262635, 10.7253325 50.4262789)",B 89,,,
26246818,False,,Schloßparkpassage,residential,,True,219.07200000000003,"LINESTRING (10.7252815 50.4262635, 10.7253401 50.4262031, 10.7254409 50.4261604, 10.7255236 50.4261178, 10.7255746 50.4260518, 10.7256484 50.4259207, 10.7257405 50.4257546, 10.7257447 50.4257051, 10.7257551 50.4255811, 10.7257433 50.4254375, 10.7257464 50.4253211, 10.725755 50.4252155, 10.7258069 50.4251768, 10.7258967 50.4251097, 10.7260479 50.4250518, 10.7262104 50.4250174, 10.726276 50.4250035, 10.7263972 50.4249845, 10.726555 50.4249596, 10.7266754 50.4249635, 10.7268701 50.4249842, 10.726918 50.425002)",,,,
507983135,False,2,Eisfelder Straße,primary,50,False,14.826,"LINESTRING (10.7362642 50.4242046, 10.7364734 50.424201)",B 89,,,
507983135,False,2,Eisfelder Straße,primary,50,True,209.369,"LINESTRING (10.7362642 50.4242046, 10.7353762 50.4242196, 10.735115 50.424237, 10.7348475 50.4242672, 10.7345582 50.4243064, 10.7343118 50.4243538, 10.7341211 50.4244002, 10.7339043 50.4244648, 10.7337156 50.4245354, 10.7335894 50.4245901, 10.7334585 50.4246538)",B 89,,,
206155972,False,,Am Spittelbach,residential,,False,120.37999999999998,"LINESTRING (10.7334585 50.4246538, 10.7335112 50.4247042, 10.7337203 50.4248292, 10.7340001 50.4250045, 10.7341907 50.4251258, 10.7344901 50.4254119, 10.7345368 50.4254795)",,,,
