osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,width,lanes
4086116,Härtelstraße,residential,False,False,336.1599999999999,"LINESTRING (13.0194967 51.0758977, 13.0196156 51.0758127, 13.0197002 51.0757177, 13.0197324 51.0756048, 13.0197253 51.0755091, 13.0196868 51.0754105, 13.0194336 51.0751458, 13.019147 51.0748763, 13.0181393 51.0738295, 13.018086 51.0737643, 13.01784 51.0733327, 13.0177384 51.0732544)",,,,
"[4196377, 4086116]","['Niethammerberg', 'Härtelstraße']","['residential', 'unclassified']",False,"[False, True]",432.791,"LINESTRING (13.0194967 51.0758977, 13.0193742 51.0759526, 13.0190572 51.0760723, 13.0187197 51.0762074, 13.0185471 51.0762994, 13.0184185 51.0763886, 13.0181567 51.0765667, 13.0180013 51.0767009, 13.0178193 51.0768981, 13.017424 51.0774013, 13.0173522 51.0774876, 13.0172707 51.0776025, 13.0172387 51.0776851, 13.0172173 51.0777765, 13.0172152 51.0778893, 13.0172245 51.0779786, 13.0172732 51.0780604, 13.017336 51.0781237, 13.0174232 51.0781805, 13.0175299 51.078243, 13.0176475 51.0782799, 13.0177809 51.0782997, 13.0179156 51.0783027, 13.018056 51.0782928, 13.0181872 51.0782676, 13.0183506 51.0782251, 13.0185242 51.0781699, 13.0188963 51.0780638)",,,,
4086117,Industriestraße,residential,False,False,124.802,"LINESTRING (13.0194967 51.0758977, 13.019612 51.075935, 13.0212566 51.0760606)",,,,
4080553,Am Eichberg,residential,False,False,27.918,"LINESTRING (13.0211036 51.0748334, 13.021428 51.0746868)",30,,,
4086118,Andreas-Hecht-Straße,residential,False,False,210.371,"LINESTRING (13.0211036 51.0748334, 13.0205025 51.0739884, 13.019925 51.0733105, 13.0198855 51.073239, 13.0198796 51.0732282, 13.0199059 51.073158, 13.0199078 51.0731198)",,,,
949137055,Andreas-Hecht-Straße,residential,False,True,122.186,"LINESTRING (13.0211036 51.0748334, 13.0211893 51.0751915, 13.0212445 51.0759274)",10,,,
4080553,Am Eichberg,residential,False,True,109.823,"LINESTRING (13.0227726 51.074209, 13.0220036 51.0743804, 13.0215319 51.0746154, 13.021428 51.0746868)",30,,,
1061027857,An der Zschopau,residential,False,False,79.327,"LINESTRING (13.0227726 51.074209, 13.0224535 51.0739709, 13.0221287 51.0736244)",30,,,
4086071,Bahnhofstraße,residential,False,True,70.649,"LINESTRING (13.0209053 51.0730493, 13.0207921 51.0730747, 13.0207312 51.0730884, 13.0205071 51.0731086, 13.0201758 51.0731213, 13.0199078 51.0731198)",30,,,
176847079,Bahnhofstraße,tertiary,False,False,111.997,"LINESTRING (13.0209053 51.0730493, 13.0210769 51.073143, 13.0211763 51.0731973, 13.0213773 51.0733476, 13.0217573 51.0735968, 13.0218709 51.0736275, 13.0219898 51.0736321, 13.0221287 51.0736244)",,K 7532,,
