osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel
5062999,True,1,Berliner Straße,secondary,50,False,80.83300000000001,"LINESTRING (8.7560514 50.1064031, 8.7562122 50.1064131, 8.7563318 50.1064148, 8.756386 50.1064093, 8.7564408 50.1063972, 8.756535 50.1063691, 8.7565803 50.1063625, 8.75663 50.10636, 8.7566937 50.1063685, 8.7567391 50.1063829, 8.7567709 50.1063968, 8.7568412 50.1064298, 8.7569048 50.1064579, 8.7569912 50.1064846, 8.7571103 50.1065085)",,
"[232676464, 1002128812]",False,2,Berliner Straße,secondary,50,True,64.36699999999999,"LINESTRING (8.7560514 50.1064031, 8.7556175 50.1063614, 8.7551572 50.1063249)",,
5063001,False,4,Berliner Straße,secondary,50,False,29.022,"LINESTRING (8.7571103 50.1065085, 8.7575127 50.1065474)",,
5063000,True,1,Berliner Straße,secondary,50,False,81.028,"LINESTRING (8.7571103 50.1065085, 8.756999 50.1065051, 8.756942 50.1065053, 8.7568918 50.1065098, 8.7568463 50.1065208, 8.7568015 50.1065336, 8.7567326 50.1065503, 8.7566695 50.1065602, 8.7566387 50.1065615, 8.7565915 50.1065587, 8.7565456 50.1065499, 8.7565035 50.106534, 8.7564146 50.1064838, 8.7563888 50.106472, 8.7563608 50.1064614, 8.7562994 50.1064445, 8.7560514 50.1064031)",,
25521372,True,,Herrnstraße,living_street,,False,30.926000000000002,"LINESTRING (8.761899 50.106236, 8.7618829 50.1062763, 8.7618778 50.1062907, 8.7618654 50.1063211, 8.7618616 50.1063311, 8.761795 50.106506)",,
"[378617421, 147248822, 378617415]",False,"['4', '2', '3']",Berliner Straße,secondary,50,False,197.75500000000002,"LINESTRING (8.761899 50.106236, 8.7627083 50.1060639, 8.7628711 50.1060266, 8.7635508 50.105871, 8.7636076 50.1058578, 8.7642327 50.1057128, 8.7642952 50.1056983, 8.7645184 50.1056531)",,
"[378617444, 378617412, 40560261, 378617430, 378617438]",False,"['4', '2', '3']",Berliner Straße,secondary,50,True,270.54699999999997,"LINESTRING (8.761899 50.106236, 8.7616143 50.1062979, 8.7613106 50.1063667, 8.7608627 50.1064663, 8.7606452 50.1065072, 8.7605613 50.1065265, 8.7602958 50.1065716, 8.7600997 50.1065996, 8.7597815 50.1066472, 8.759547 50.1066708, 8.7592833 50.106681, 8.7591102 50.1066818, 8.7588398 50.1066812, 8.7586468 50.1066737, 8.7584365 50.1066575, 8.7583831 50.1066534, 8.7582113 50.1066327)",,
"[50438400, 38931490, 147241478, 38610953, 147241482, 5202297]",True,3,Marktplatz,tertiary,"['50', '20']",False,153.41799999999998,"LINESTRING (8.7645184 50.1056531, 8.7645347 50.105573, 8.7645353 50.1055672, 8.7645393 50.1055267, 8.764541 50.1055101, 8.7645426 50.1054733, 8.76455 50.1052172, 8.7645561 50.1048389, 8.7645558 50.104807, 8.7645553 50.1045631, 8.7645583 50.1044011, 8.7645561 50.1043422, 8.7645574 50.1042743)",,
5575753,False,2,Schloßstraße,tertiary,30,False,40.117999999999995,"LINESTRING (8.7645184 50.1056531, 8.7645016 50.1057473, 8.7644981 50.1057825, 8.7644928 50.1058321, 8.7644896 50.1058621, 8.7644859 50.106013)",,
"[286808913, 43683665, 286808911, 40553431]",False,"['4', '2', '3']",Berliner Straße,secondary,50,False,206.485,"LINESTRING (8.7645184 50.1056531, 8.7647302 50.1056087, 8.7648626 50.1055833, 8.7655519 50.105451, 8.7658052 50.1054024, 8.7661512 50.1053337, 8.7672848 50.1051054)",,
"[378617421, 147248822, 378617415]",False,"['4', '2', '3']",Berliner Straße,secondary,50,True,197.755,"LINESTRING (8.7645184 50.1056531, 8.7642952 50.1056983, 8.7642327 50.1057128, 8.7636076 50.1058578, 8.7635508 50.105871, 8.7628711 50.1060266, 8.7627083 50.1060639, 8.761899 50.106236)",,
286808912,False,3,Berliner Straße,secondary,50,True,10.566,"LINESTRING (8.7674248 50.1050743, 8.7672848 50.1051054)",,
8060268,False,2,Luisenstraße,residential,30,False,66.878,"LINESTRING (8.7551572 50.1063249, 8.7551998 50.1062562, 8.7552295 50.106212, 8.755378 50.1059907, 8.7555137 50.1057687)",,
"[232676464, 1002128812]",False,2,Berliner Straße,secondary,50,False,64.36699999999999,"LINESTRING (8.7551572 50.1063249, 8.7556175 50.1063614, 8.7560514 50.1064031)",,
40560259,False,4,Berliner Straße,secondary,50,True,13.766,"LINESTRING (8.7582113 50.1066327, 8.7581292 50.1066201, 8.7580236 50.1066038)",,
40560273,True,1,Kaiserstraße,secondary,50,False,183.05700000000002,"LINESTRING (8.7582113 50.1066327, 8.7581879 50.1067062, 8.758161 50.1067906, 8.7578598 50.1076261, 8.7576273 50.1082357)",L 3001,
"[378617444, 40560261, 378617412, 378617430, 378617438]",False,"['4', '2', '3']",Berliner Straße,secondary,50,False,270.54699999999997,"LINESTRING (8.7582113 50.1066327, 8.7583831 50.1066534, 8.7584365 50.1066575, 8.7586468 50.1066737, 8.7588398 50.1066812, 8.7591102 50.1066818, 8.7592833 50.106681, 8.759547 50.1066708, 8.7597815 50.1066472, 8.7600997 50.1065996, 8.7602958 50.1065716, 8.7605613 50.1065265, 8.7606452 50.1065072, 8.7608627 50.1064663, 8.7613106 50.1063667, 8.7616143 50.1062979, 8.761899 50.106236)",,
30687087,True,,Goethestraße,residential,50,False,16.433,"LINESTRING (8.7572403 50.1093236, 8.7571184 50.1093034, 8.757016 50.1092899)",,
"[191551061, 191551062]",False,2,Mainstraße,primary,40,True,190.67499999999998,"LINESTRING (8.7595873 50.1098431, 8.761881 50.1090936, 8.7619687 50.1090634)",,
5122618,True,,Bieberer Straße,residential,50,False,52.206,"LINESTRING (8.7646135 50.1037699, 8.764629 50.1038236, 8.7646414 50.1038665, 8.7646549 50.1039122, 8.7646744 50.1039476, 8.7646942 50.1039732, 8.7647197 50.1039958, 8.7647243 50.1039989, 8.7647517 50.1040172, 8.7648002 50.1040412, 8.7648505 50.1040582, 8.7649005 50.1040694, 8.7649909 50.1040876, 8.7650365 50.1040965)",,
5122620,False,2,Waldstraße,tertiary,40,True,132.064,"LINESTRING (8.7646135 50.1037699, 8.764646 50.1036645, 8.7646669 50.1036108, 8.764685 50.1035704, 8.7647436 50.1034403, 8.7647711 50.1033715, 8.7648426 50.103144, 8.7649945 50.1027008, 8.7650035 50.1026747, 8.7650229 50.1026121)",,
"[5210377, 413367661]",True,,Geleitsstraße,residential,30,False,148.885,"LINESTRING (8.7646135 50.1037699, 8.7634641 50.1035114, 8.7629368 50.1033863, 8.7626483 50.1033184)",,
5202114,True,,Wilhelmsplatz,living_street,,False,165.116,"LINESTRING (8.7658525 50.1042512, 8.7659274 50.1040217, 8.7659468 50.1039623, 8.7660815 50.1035497, 8.7662136 50.1031451, 8.7662159 50.1031382, 8.766241 50.1030614, 8.7663271 50.1027978)",,
"[136806697, 173017423]",True,2,Bieberer Straße,residential,50,False,58.06,"LINESTRING (8.7658525 50.1042512, 8.765975 50.1042667, 8.7660121 50.1042706, 8.7660597 50.1042756, 8.7662044 50.1042826, 8.7663683 50.1042876, 8.7665048 50.1042918, 8.7666623 50.104294)",,
"[286808921, 5122619]",True,2,Großer Biergrund,residential,50,False,86.763,"LINESTRING (8.7674071 50.1042941, 8.7674143 50.10461, 8.7674221 50.1049521, 8.7674229 50.1049896, 8.7674248 50.1050743)",,
40560256,True,2,Kaiserstraße,secondary,50,False,125.39,"LINESTRING (8.757016 50.1092899, 8.7574173 50.108192)",L 3001,
8166842,True,,Bernardstraße,residential,50,False,15.883,"LINESTRING (8.7574173 50.108192, 8.7575158 50.1082067, 8.7575809 50.1082176, 8.7576273 50.1082357)",,
