osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,bridge,junction
15065547,Böhmheide,residential,30,False,True,159.037,,"LINESTRING (9.845361 52.9840828, 9.8433695 52.983303)",,,
"[144147512, 160935773]",Böhmheide,residential,50,False,True,225.90000000000003,2,"LINESTRING (9.845361 52.9840828, 9.8448709 52.9841109, 9.8447046 52.9841204, 9.8434738 52.9841731, 9.8432952 52.9841808, 9.8430118 52.9841929, 9.8427441 52.9841831, 9.8425193 52.9841513, 9.8420549 52.9840119)",,,
249775636,Böhmheide,residential,50,False,False,30.378,3,"LINESTRING (9.845361 52.9840828, 9.8457059 52.9840731, 9.8458144 52.9840725)",,,
493353980,Winsener Straße,secondary,50,False,False,155.94299999999998,2,"LINESTRING (9.846433 52.9904454, 9.8462304 52.9902454, 9.8460959 52.9901126, 9.8453241 52.9893424, 9.8452172 52.9892493)",K 2,,
15022135,Eduard-Röders-Straße,residential,30,False,True,136.187,,"LINESTRING (9.8446192 52.9821421, 9.8464165 52.9827158)",,,
30147438,Lohengaustraße,residential,30,False,True,77.674,,"LINESTRING (9.8446192 52.9821421, 9.8440918 52.9827643)",,,
"[86251777, 30147438]","['Lohengaustraße', 'Auf den Helln']",residential,30,False,False,227.174,,"LINESTRING (9.8446192 52.9821421, 9.8447975 52.9819084, 9.8452721 52.9812703, 9.8453432 52.981243, 9.8454519 52.9812509, 9.8468499 52.981733)",,,
23431048,Rühberg,unclassified,50,False,False,60.79600000000001,,"LINESTRING (9.8364163 52.9834548, 9.8363397 52.983511, 9.8362978 52.9835411, 9.8362212 52.9835999, 9.8361587 52.983681, 9.8361044 52.9837846, 9.8360835 52.9838956, 9.8360832 52.9839459)",,,
493359661,Walsroder Straße,secondary,50,False,False,62.32299999999999,3,"LINESTRING (9.8364163 52.9834548, 9.8366743 52.9835646, 9.8368558 52.9836314, 9.8370333 52.9836872, 9.8372124 52.9837435)",L 163,,
83111427,Feldstraße,living_street,,True,False,43.82,,"LINESTRING (9.8372124 52.9837435, 9.837161 52.9838051, 9.8366322 52.9838712)",,,
"[160935017, 232301636]",Walsroder Straße,secondary,50,False,False,97.112,3,"LINESTRING (9.8372124 52.9837435, 9.8373515 52.9838012, 9.8373952 52.9838218, 9.8375836 52.9839105, 9.8377799 52.9840462, 9.8379235 52.9841902, 9.8380192 52.9843288, 9.8380688 52.9844203)",L 163,,
493359661,Walsroder Straße,secondary,50,False,True,62.32299999999999,3,"LINESTRING (9.8372124 52.9837435, 9.8370333 52.9836872, 9.8368558 52.9836314, 9.8366743 52.9835646, 9.8364163 52.9834548)",L 163,,
493359665,André-Lütjens-Straße,residential,50,False,False,51.961,3,"LINESTRING (9.8372124 52.9837435, 9.8372518 52.9836827, 9.8374535 52.9833712, 9.8375186 52.983316)",,,
