osmid,lanes,name,highway,width,oneway,reversed,length,ref,maxspeed,geometry,bridge
26149599,2,Rochlitzer Straße,unclassified,4.5,False,False,9.344,,,"LINESTRING (12.6047472 51.0201951, 12.6048785 51.0202106)",
"[30634248, 87113129, 462644070]",2,Kohrener Markt,tertiary,5.0,False,True,170.973,K 7936,50,"LINESTRING (12.6047472 51.0201951, 12.6047508 51.0201565, 12.6047286 51.020117, 12.6046549 51.0200645, 12.6044746 51.0199566, 12.6043433 51.019878, 12.6042516 51.0198034, 12.6042023 51.0197271, 12.604195 51.0196669, 12.6042023 51.0196207, 12.6043229 51.0193201, 12.6043653 51.0191659, 12.6044284 51.0188203, 12.6044334 51.018802)",
"[111842209, 228171837]",,Pestalozzistraße,residential,,False,"[False, True]",108.77499999999999,,30,"LINESTRING (12.6047472 51.0201951, 12.6046217 51.0201532, 12.6041342 51.0199001, 12.6038453 51.0197791, 12.6037211 51.0197596, 12.6035459 51.0197787, 12.6034783 51.0197787, 12.6034497 51.0197452)",
821973216,2,Friedensstraße,tertiary,5.0,False,False,11.438,K 7936,,"LINESTRING (12.6023388 51.017056, 12.6024986 51.0170342)",
"[821973216, 60442144, 30602116, 77204938, 285777012]",2,Friedensstraße,tertiary,5.0,False,True,173.268,K 7936,,"LINESTRING (12.6023388 51.017056, 12.6022534 51.017065, 12.6021607 51.0170748, 12.602013 51.0170772, 12.6019032 51.0170681, 12.6017916 51.0170483, 12.6014483 51.0169491, 12.6012718 51.0169045, 12.6010906 51.0168739, 12.6009149 51.0168655, 12.6008246 51.0168712, 12.6007699 51.0168746, 12.6007053 51.0168876, 12.6005398 51.016921, 12.6003386 51.0169616, 12.6002274 51.016984, 12.6000459 51.0170165, 12.5999599 51.0170162)",yes
"[60442144, 821973216, 30602116, 77204938, 285777012]",2,Friedensstraße,tertiary,5.0,False,False,173.26799999999997,K 7936,,"LINESTRING (12.5999599 51.0170162, 12.6000459 51.0170165, 12.6002274 51.016984, 12.6003386 51.0169616, 12.6005398 51.016921, 12.6007053 51.0168876, 12.6007699 51.0168746, 12.6008246 51.0168712, 12.6009149 51.0168655, 12.6010906 51.0168739, 12.6012718 51.0169045, 12.6014483 51.0169491, 12.6017916 51.0170483, 12.6019032 51.0170681, 12.602013 51.0170772, 12.6021607 51.0170748, 12.6022534 51.017065, 12.6023388 51.017056)",yes
821973217,2,Schulstraße,tertiary,5.0,False,True,16.432000000000002,K 7936,,"LINESTRING (12.5999599 51.0170162, 12.5998869 51.0169865, 12.5998352 51.0169536, 12.5997973 51.0169133)",
934987732,2,Gnandsteiner Straße,tertiary,4.5,False,True,112.14999999999998,K 7940,50,"LINESTRING (12.5999599 51.0170162, 12.5997598 51.0170677, 12.5994268 51.0171365, 12.5992982 51.0171631, 12.5988724 51.0172195, 12.5986181 51.0172379, 12.5984081 51.0172414)",
26149576,2,Steingasse,tertiary,4.5,False,True,176.127,K 7940,50,"LINESTRING (12.6050902 51.0171733, 12.6054258 51.0171993, 12.6055256 51.017195, 12.6058725 51.0171406, 12.6061492 51.0171092, 12.6063634 51.0170736, 12.6065475 51.0170319, 12.6073168 51.0168509, 12.6074145 51.0168257, 12.6075112 51.0168224)",
"[75411546, 75411547, 26149583]",2,Kohrener Markt,tertiary,,False,False,83.705,K 7936,50,"LINESTRING (12.6050902 51.0171733, 12.6050175 51.0172899, 12.6049384 51.0173545, 12.6048328 51.0175037, 12.6047615 51.0176113, 12.6046561 51.017869)",yes
"[817701186, 456150316, 456150317]",2,Friedensstraße,tertiary,"['4.5', '5.0']",False,True,108.20599999999999,K 7936,,"LINESTRING (12.6050902 51.0171733, 12.6049776 51.0171217, 12.6048253 51.016997, 12.6046854 51.0168818, 12.6045471 51.0167972, 12.6044693 51.0167703, 12.604374 51.0167494, 12.6042674 51.016742, 12.6041441 51.0167398, 12.6039793 51.0167548, 12.6038373 51.0167797)",
"[30634241, 462870132, 462870133, 430660078]",2,Am Bahndamm,residential,,False,True,260.55899999999997,,30,"LINESTRING (12.5992087 51.0208899, 12.5992041 51.0206413, 12.5991292 51.0195369, 12.5991198 51.0193323, 12.5991116 51.0191923, 12.5991071 51.0190884, 12.599181 51.018822, 12.599246 51.0186901, 12.5993153 51.0185655)",yes
"[493257726, 26149535]",1,"['Friedensstraße', 'An der Rodelbahn']",residential,3.5,False,False,295.243,,,"LINESTRING (12.6014989 51.0154308, 12.6026081 51.015792, 12.6026998 51.0158077, 12.6029363 51.0158123, 12.6032464 51.0158392, 12.6034047 51.0158925, 12.6034377 51.0159367, 12.6034143 51.0159625, 12.6033206 51.0160241, 12.6031197 51.0161821, 12.6029803 51.0162835, 12.6025158 51.0166756, 12.6024737 51.0168121, 12.6024986 51.0170342)",
821973216,2,Friedensstraße,tertiary,5.0,False,True,11.438,K 7936,,"LINESTRING (12.6024986 51.0170342, 12.6023388 51.017056)",
"[493257726, 26149535]",1,"['Friedensstraße', 'An der Rodelbahn']",residential,3.5,False,True,295.243,,,"LINESTRING (12.6024986 51.0170342, 12.6024737 51.0168121, 12.6025158 51.0166756, 12.6029803 51.0162835, 12.6031197 51.0161821, 12.6033206 51.0160241, 12.6034143 51.0159625, 12.6034377 51.0159367, 12.6034047 51.0158925, 12.6032464 51.0158392, 12.6029363 51.0158123, 12.6026998 51.0158077, 12.6026081 51.015792, 12.6014989 51.0154308)",
821973216,2,Friedensstraße,tertiary,5.0,False,False,98.027,K 7936,,"LINESTRING (12.6024986 51.0170342, 12.6028301 51.0169888, 12.6032024 51.0169292, 12.6038373 51.0167797)",
