osmid,highway,maxspeed,oneway,reversed,length,lanes,name,geometry,ref,junction,tunnel
33328359,unclassified,50,False,False,12.062,,,"LINESTRING (11.4629045 48.2283879, 11.4627986 48.2283055)",,,
24775293,residential,,False,True,30.964,2,Hochstraße,"LINESTRING (11.4629045 48.2283879, 11.4630257 48.2284594, 11.4630629 48.22848, 11.4632235 48.2285678)",,,
33328359,unclassified,50,False,True,12.062,,,"LINESTRING (11.4627986 48.2283055, 11.4629045 48.2283879)",,,
32851211,primary,50,True,False,131.99900000000002,2,Münchner Straße,"LINESTRING (11.4627986 48.2283055, 11.4630268 48.2282128, 11.4634752 48.2280049, 11.4637791 48.2278504, 11.464139 48.2276443, 11.464149 48.2276379, 11.4642217 48.2275945)",B 304,,
33328358,unclassified,50,False,False,31.424,,Bayernwerkstraße,"LINESTRING (11.4627986 48.2283055, 11.4626902 48.2282212, 11.4626654 48.2281998, 11.4625347 48.2280844)",,,
4346818,residential,,True,False,13.257000000000001,,,"LINESTRING (11.4644604 48.2292666, 11.4644415 48.2292419, 11.4644365 48.2292143, 11.464446 48.2291872, 11.4644777 48.2291582)",,roundabout,
4346818,residential,,True,False,11.784,,,"LINESTRING (11.4644777 48.2291582, 11.4645134 48.2291439, 11.4645544 48.2291386, 11.4645956 48.229143, 11.4646258 48.2291533)",,roundabout,
"[24775293, 967604309, 967604310]",residential,,False,False,113.81900000000002,2,Hochstraße,"LINESTRING (11.4644777 48.2291582, 11.4641129 48.2289959, 11.4639471 48.2289221, 11.4637528 48.2288357, 11.4633329 48.2286276, 11.4632235 48.2285678)",,,
4346818,residential,,True,False,14.233999999999998,,,"LINESTRING (11.4646258 48.2291533, 11.4646551 48.229173, 11.4646726 48.2291982, 11.464676 48.2292259, 11.4646651 48.2292527, 11.4646519 48.2292672)",,roundabout,
19223088,residential,30,False,False,288.783,,Rathausstraße,"LINESTRING (11.4646258 48.2291533, 11.465295 48.228746, 11.4659972 48.2283187, 11.4661373 48.228266, 11.466223 48.22821, 11.4669092 48.2277882, 11.4670619 48.2276558, 11.4670807 48.2276149, 11.4672191 48.2274394, 11.4673244 48.2273153)",,,
4346818,residential,,True,False,16.319000000000003,,,"LINESTRING (11.4646519 48.2292672, 11.4646212 48.229286, 11.4645827 48.2292967, 11.464541 48.2292979, 11.4645012 48.2292896, 11.4644604 48.2292666)",,roundabout,
4346819,residential,30,False,False,117.694,,Hochstraße,"LINESTRING (11.4646519 48.2292672, 11.4649922 48.2294106, 11.4652515 48.2295198, 11.4655864 48.2296691, 11.465889 48.229804, 11.4659786 48.2298492)",,,
290408037,tertiary,,False,True,8.693,,Allacher Straße,"LINESTRING (11.4707965 48.2236229, 11.4707154 48.2235664)",,,
"[942221055, 493188767]",primary,50,True,False,255.603,"['2', '3']",Münchner Straße,"LINESTRING (11.4707965 48.2236229, 11.4707197 48.2236701, 11.4705064 48.2237944, 11.4700126 48.2240835, 11.4696878 48.2242857, 11.469602 48.2243396, 11.4690218 48.2247039, 11.4684824 48.2250387, 11.468257 48.2251787)",B 304,,
180860176,secondary,50,True,False,24.639,,Bajuwarenstraße,"LINESTRING (11.4735667 48.2221911, 11.4738317 48.222325)",St 2063,,
32450323,secondary,50,True,False,19.194,,Bajuwarenstraße,"LINESTRING (11.4738317 48.222325, 11.4735918 48.2222598)",St 2063,,
13930104,residential,,False,True,8.065,,Krenmoosstraße,"LINESTRING (11.4716517 48.2230876, 11.4715727 48.2230377)",,,
"[32566483, 968808031]",residential,,False,False,202.26200000000003,,Krenmoosstraße,"LINESTRING (11.4716517 48.2230876, 11.4717207 48.2231316, 11.4717743 48.223173, 11.4720485 48.2233697, 11.4722887 48.223543, 11.4724719 48.2236734, 11.4725027 48.2236955, 11.4728458 48.2239428, 11.4729248 48.2239976, 11.4733535 48.224316, 11.4734993 48.2244265)",,,
"[32450769, 942221052]",primary,50,True,False,86.976,"['2', '3']",Münchner Straße,"LINESTRING (11.4716517 48.2230876, 11.4712836 48.2233012, 11.4712032 48.2233527, 11.4711145 48.2234116, 11.4709249 48.2235376, 11.4707965 48.2236229)",B 304,,
19213818,residential,30,False,False,69.718,,Seestraße,"LINESTRING (11.4691647 48.2305661, 11.4698514 48.2301373)",,,
19214004,residential,30,False,True,219.974,,Hermann-Löns-Straße,"LINESTRING (11.4691647 48.2305661, 11.4670498 48.2291773)",,,
35879497,residential,30,False,False,95.417,,Gartenstraße,"LINESTRING (11.4698945 48.2278504, 11.470838 48.2284346)",,,
28708953,residential,,False,False,41.006,,Gerhart-Hauptmann-Straße,"LINESTRING (11.4698945 48.2278504, 11.4701556 48.2276843, 11.4702954 48.2275961)",,,
35879497,residential,30,False,True,37.114999999999995,,Gartenstraße,"LINESTRING (11.4698945 48.2278504, 11.4697508 48.2277683, 11.4695315 48.2276207)",,,
19213818,residential,30,False,True,58.801,,Seestraße,"LINESTRING (11.4717091 48.2289635, 11.4711303 48.2293254)",,,
35879497,residential,30,False,True,87.306,,Gartenstraße,"LINESTRING (11.4717091 48.2289635, 11.470838 48.2284346)",,,
"[35879497, 551733961]",residential,30,False,False,65.81,,Gartenstraße,"LINESTRING (11.4717091 48.2289635, 11.4717674 48.2289842, 11.4717911 48.2289915, 11.4722156 48.2291291, 11.4725096 48.2292201)",,,
4346819,residential,30,False,False,48.225,,Hochstraße,"LINESTRING (11.4659786 48.2298492, 11.4665126 48.2300973)",,,
4346819,residential,30,False,True,117.694,,Hochstraße,"LINESTRING (11.4659786 48.2298492, 11.465889 48.229804, 11.4655864 48.2296691, 11.4652515 48.2295198, 11.4649922 48.2294106, 11.4646519 48.2292672)",,,
19213941,residential,30,False,False,108.985,,Lessingstraße,"LINESTRING (11.4659786 48.2298492, 11.466336 48.229625, 11.4665138 48.2295135, 11.4666946 48.2294001, 11.466878 48.2292851, 11.4670498 48.2291773)",,,
19213941,residential,30,False,True,76.562,,Lessingstraße,"LINESTRING (11.4695315 48.2276207, 11.468779 48.2280927)",,,
35879497,residential,30,False,False,37.114999999999995,,Gartenstraße,"LINESTRING (11.4695315 48.2276207, 11.4697508 48.2277683, 11.4698945 48.2278504)",,,
