osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,tunnel,access,bridge
"[50414552, 574627751, 209078965, 772058703]",True,"['2', '1']",K 818,Kurt-Schumacher-Straße,primary,40,False,132.06400000000002,"LINESTRING (8.6882506 50.1113899, 8.6882583 50.1114314, 8.6883035 50.1116925, 8.6882809 50.111924, 8.6882537 50.1120456, 8.6881973 50.1122652, 8.6881797 50.1123378, 8.6881699 50.1123667, 8.6881484 50.1124305, 8.6881389 50.1124588, 8.6881297 50.1124859, 8.6881083 50.1125495, 8.6881031 50.1125649)",,,,
"[48098965, 266334238]",True,1,,Kurt-Schumacher-Straße,primary,40,False,130.842,"LINESTRING (8.6881031 50.1125649, 8.6880911 50.1127235, 8.6880138 50.1137402)",6.4,,,
"[49571339, 51706790]",False,5,K 818,Battonnstraße,secondary,40,False,14.475,"LINESTRING (8.6881031 50.1125649, 8.6880861 50.1125643, 8.6880092 50.1125615, 8.6879474 50.1125588, 8.6879005 50.1125567)",,,,
"[1198775365, 1198775082, 1198775083, 902539961, 902539962, 902539963, 4834461]",True,,,"['Liebfrauenberg', 'Bleidenstraße']",residential,30,False,190.681,"LINESTRING (8.6794918 50.1124421, 8.679631 50.1124742, 8.6801195 50.1125866, 8.6803103 50.112632, 8.6804688 50.1126697, 8.6807952 50.1127473, 8.6810518 50.1127902, 8.6811455 50.1128071, 8.6812954 50.1128311, 8.6815483 50.1128715, 8.6817348 50.1129168, 8.6817953 50.1129393, 8.6818515 50.1129603, 8.6819889 50.1130292)",,,,
"[174512176, 174512175, 4834463]",True,,,Kleiner Hirschgraben,residential,,False,151.25,"LINESTRING (8.6794918 50.1124421, 8.6793341 50.1123914, 8.6787921 50.1121941, 8.678638 50.1121276, 8.6783903 50.1119755, 8.678075 50.1117471, 8.6778683 50.1115929)",,yes,,
5069579,False,,,Kornmarkt,residential,,False,81.864,"LINESTRING (8.6794918 50.1124421, 8.6794706 50.1124016, 8.6794616 50.1123486, 8.6794427 50.112116, 8.6794405 50.1119973, 8.679416 50.1118819, 8.679345 50.111781, 8.6793131 50.1117231)",,,,
5073136,False,,,Alte Mainzer Gasse,residential,30,True,105.684,"LINESTRING (8.6813572 50.1095557, 8.6803583 50.109323, 8.680247 50.1092971, 8.680133 50.1092705, 8.6799632 50.1092331)",,,,
5069792,False,,,Buchgasse,residential,30,False,79.385,"LINESTRING (8.6799632 50.1092331, 8.6797265 50.1096191, 8.6797027 50.1096781, 8.6796843 50.1097315, 8.6796317 50.1099119)",,,,
5073136,False,,,Alte Mainzer Gasse,residential,30,False,105.684,"LINESTRING (8.6799632 50.1092331, 8.680133 50.1092705, 8.680247 50.1092971, 8.6803583 50.109323, 8.6813572 50.1095557)",,,,
"[125863228, 370683167]",True,,,Alte Mainzer Gasse,residential,30,False,91.44900000000001,"LINESTRING (8.6799632 50.1092331, 8.6799055 50.109177, 8.6798545 50.1091149, 8.6797583 50.1090478, 8.6796896 50.1090253, 8.6795385 50.1089895, 8.679322 50.1089476, 8.6791165 50.1089193, 8.6788678 50.1088955)",,,,
5070123,False,,,Seckbächer Gasse,residential,30,True,97.29600000000002,"LINESTRING (8.6775151 50.1087399, 8.6772128 50.1090628, 8.6771158 50.1091717, 8.6770473 50.1092686, 8.6769707 50.1094263, 8.6769593 50.1094543, 8.6769347 50.109525)",,,,
1029849724,True,2,,Weißfrauenstraße,tertiary,40,False,25.672,"LINESTRING (8.6769347 50.109525, 8.6772776 50.1095953)",,,,
5070123,False,,,Seckbächer Gasse,residential,30,False,97.29599999999999,"LINESTRING (8.6769347 50.109525, 8.6769593 50.1094543, 8.6769707 50.1094263, 8.6770473 50.1092686, 8.6771158 50.1091717, 8.6772128 50.1090628, 8.6775151 50.1087399)",,,,
1073113987,True,,,,residential,,False,17.552,"LINESTRING (8.6769347 50.109525, 8.6769188 50.109557, 8.6769045 50.1095713, 8.6768927 50.1095771, 8.6767533 50.1096166)",,,,
4822754,True,3,,Neue Mainzer Straße,secondary,50,False,20.042,"LINESTRING (8.6758691 50.1073833, 8.6758332 50.1074507, 8.6757955 50.107557)",,,,
5069573,True,,,Domstraße,residential,,False,69.768,"LINESTRING (8.6843123 50.1122329, 8.6843492 50.1120911, 8.6844553 50.1116841, 8.6844665 50.1116288, 8.6844709 50.1116138)",,,,
