osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,maxspeed,geometry,junction
"[25971406, 25971409, 128990803, 255974966, 305382335]","['4', '3']",S 108,Südstraße,secondary,False,True,395.178,yes,60,"LINESTRING (14.2489154 51.4349708, 14.2490418 51.4349346, 14.2490561 51.4349293, 14.2490991 51.4349133, 14.2491423 51.4348972, 14.2496513 51.4346931, 14.2496877 51.4346769, 14.2499189 51.4345739, 14.25006 51.4345139, 14.2504062 51.4343636, 14.2507044 51.4342287, 14.2509671 51.4341144, 14.2515261 51.4338543, 14.2519979 51.4336193, 14.252525 51.4333551, 14.2532311 51.4329695, 14.2532766 51.4329446, 14.2534706 51.4328443)",
"[47587403, 47587404, 255974967, 285614360, 163599448]","['4', '2']",,Salomon-Gottlob-Frentzel-Straße,tertiary,False,"[False, True]",329.95899999999995,yes,50,"LINESTRING (14.2489154 51.4349708, 14.248667 51.4350363, 14.2486409 51.4350436, 14.24849 51.435086, 14.2482917 51.4351272, 14.248077 51.4351596, 14.2479456 51.4351811, 14.247785 51.4351977, 14.2476261 51.4351995, 14.2474174 51.4351916, 14.2472781 51.4351876, 14.2471218 51.4351849, 14.2465764 51.435174, 14.2463901 51.4351701, 14.2461607 51.4351609, 14.245755 51.4351519, 14.2454411 51.4351449, 14.2452188 51.4351438, 14.2448849 51.4351493, 14.2445213 51.4351623, 14.2444726 51.4351639, 14.2442215 51.4351801)",
"[285614360, 47587403, 47587404, 255974967, 163599448]","['4', '2']",,Salomon-Gottlob-Frentzel-Straße,tertiary,False,"[False, True]",329.95899999999995,yes,50,"LINESTRING (14.2442215 51.4351801, 14.2444726 51.4351639, 14.2445213 51.4351623, 14.2448849 51.4351493, 14.2452188 51.4351438, 14.2454411 51.4351449, 14.245755 51.4351519, 14.2461607 51.4351609, 14.2463901 51.4351701, 14.2465764 51.435174, 14.2471218 51.4351849, 14.2472781 51.4351876, 14.2474174 51.4351916, 14.2476261 51.4351995, 14.247785 51.4351977, 14.2479456 51.4351811, 14.248077 51.4351596, 14.2482917 51.4351272, 14.24849 51.435086, 14.2486409 51.4350436, 14.248667 51.4350363, 14.2489154 51.4349708)",
305382334,4,S 108,Südstraße,secondary,False,True,7.545,,,"LINESTRING (14.2534706 51.4328443, 14.2535544 51.432801)",
31308958,,,Dr.-Wilhelm-Külz-Straße,residential,True,False,41.102,,,"LINESTRING (14.2534706 51.4328443, 14.2531679 51.4326344, 14.2530791 51.4325668)",
"[25971406, 25971409, 128990803, 255974966, 305382335]","['4', '3']",S 108,Südstraße,secondary,False,False,395.178,yes,60,"LINESTRING (14.2534706 51.4328443, 14.2532766 51.4329446, 14.2532311 51.4329695, 14.252525 51.4333551, 14.2519979 51.4336193, 14.2515261 51.4338543, 14.2509671 51.4341144, 14.2507044 51.4342287, 14.2504062 51.4343636, 14.25006 51.4345139, 14.2499189 51.4345739, 14.2496877 51.4346769, 14.2496513 51.4346931, 14.2491423 51.4348972, 14.2490991 51.4349133, 14.2490561 51.4349293, 14.2490418 51.4349346, 14.2489154 51.4349708)",
305382334,4,S 108,Südstraße,secondary,False,False,7.545,,,"LINESTRING (14.2535544 51.432801, 14.2534706 51.4328443)",
31308956,,,Dr.-Wilhelm-Külz-Straße,tertiary,True,False,192.061,,50,"LINESTRING (14.2535544 51.432801, 14.253795 51.4328993, 14.255475 51.433537, 14.2559095 51.4337105)",
"[879269067, 19424012]",,,Am Gondelteich,residential,True,False,73.06400000000001,,,"LINESTRING (14.2530791 51.4325668, 14.2530134 51.4325807, 14.2529364 51.4325772, 14.2528824 51.4325621, 14.2528323 51.4325291, 14.2528079 51.432494, 14.2528059 51.4324436, 14.2528311 51.4324042, 14.2528631 51.4323805, 14.2529001 51.4323641, 14.2529685 51.4323511, 14.2530266 51.4323529, 14.2530789 51.4323652, 14.2531235 51.432387, 14.2531626 51.4324273, 14.2531729 51.4324752, 14.2531522 51.4325199)",roundabout
52018597,,,Albert-Schweitzer-Straße,residential,False,False,55.143,,30,"LINESTRING (14.2565669 51.433067, 14.2559795 51.4327326)",
