osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name
"[827871822, 421614246]",2,B 39,primary,100,False,True,473.6450000000001,"LINESTRING (9.3796978 49.0928109, 9.3796201 49.0927824, 9.3795316 49.0927778, 9.3794682 49.0927796, 9.3793942 49.0927951, 9.3793383 49.0928293, 9.3793018 49.0928656, 9.3792841 49.092922, 9.3792929 49.0930142, 9.3793105 49.0931474, 9.3793099 49.0932239, 9.3792971 49.0933217, 9.3792436 49.0934843, 9.3792084 49.0935522, 9.3791774 49.0936022, 9.3790976 49.0937301, 9.3789666 49.0938671, 9.378825 49.0939906, 9.3787055 49.0940705, 9.3785893 49.0941405, 9.3784167 49.0942275, 9.3782694 49.0942893, 9.3780641 49.0943678, 9.3779057 49.0944357, 9.3777227 49.0945382, 9.377608 49.0946232, 9.3775308 49.0946914, 9.3774321 49.0948109, 9.3773908 49.0948628, 9.377352 49.0949337, 9.3773164 49.0950195, 9.3772975 49.095084, 9.377279 49.0951471, 9.3772587 49.0952768, 9.3772534 49.0956422, 9.3772288 49.0958752, 9.3772024 49.0960833, 9.3771281 49.0962956)",
"[471129433, 53560427, 827871823]",2,B 39,primary,"['50', '100']",False,False,324.02599999999995,"LINESTRING (9.3796978 49.0928109, 9.3797701 49.0928625, 9.3798161 49.0929046, 9.3798565 49.0929851, 9.3798669 49.0931027, 9.3798413 49.0932545, 9.3797827 49.0934692, 9.379633 49.0938827, 9.3794789 49.0941933, 9.3793176 49.0944172, 9.379063 49.0947044, 9.3789586 49.0948261, 9.3789235 49.0948707, 9.3789016 49.0949307, 9.3789007 49.0950284, 9.3789317 49.0950951, 9.3789532 49.0951323, 9.3790184 49.0951884, 9.3791485 49.0952857, 9.3793711 49.0954626)",Maybachstraße
170331043,2,B 39,primary,30,False,False,58.814,"LINESTRING (9.3802029 49.0947298, 9.3802094 49.0946671, 9.3802402 49.0945761, 9.3802931 49.0944869, 9.380487 49.0942405)",Maybachstraße
170331043,2,B 39,primary,30,False,True,20.192999999999998,"LINESTRING (9.3802029 49.0947298, 9.3802076 49.0947731, 9.3802183 49.0948189, 9.3802542 49.0949077)",Maybachstraße
464304584,,,residential,,False,False,26.28,"LINESTRING (9.3802029 49.0947298, 9.3800281 49.0947617, 9.379957 49.0948696)",Maybachstraße
27122029,,,residential,30,False,False,226.16800000000003,"LINESTRING (9.376888 49.0966882, 9.3769898 49.0968274, 9.3771161 49.0973252, 9.377265 49.0975989, 9.3776104 49.0980723, 9.3776791 49.0981664, 9.3778281 49.0983513, 9.3779838 49.0985757)",Reisacher Straße
295790132,2,B 39,primary,70,False,False,47.059,"LINESTRING (9.376888 49.0966882, 9.3770223 49.0964902, 9.3771281 49.0962956)",
"[827871820, 827871821]",3,B 39,primary,70,False,True,108.23500000000001,"LINESTRING (9.376888 49.0966882, 9.3765202 49.0970847, 9.3763614 49.0972205, 9.3760205 49.0974749)",
"[12100959, 10622167]",,,residential,30,False,False,347.839,"LINESTRING (9.3793711 49.0954626, 9.3792373 49.0955047, 9.3791423 49.0955682, 9.3790238 49.0956978, 9.3789927 49.0957762, 9.3789841 49.095826, 9.3790078 49.0958862, 9.3790743 49.0959693, 9.3790643 49.0960229, 9.3790162 49.0960749, 9.3789507 49.0961235, 9.3784394 49.0964601, 9.3783449 49.0965668, 9.3782867 49.0966404, 9.378269 49.0968238, 9.3783175 49.0969275, 9.3783976 49.0970098, 9.3784838 49.0970812, 9.3786834 49.0971683, 9.3788287 49.0972088, 9.3789573 49.0972258, 9.3790601 49.097223, 9.3794942 49.0971742, 9.3801858 49.0970911)","['Alter Weg', 'Neue Gärten']"
"[127176774, 429443504, 170333650, 127176788, 429446617, 818722623]",2,B 39,primary,"['50', '30']",False,False,154.82099999999997,"LINESTRING (9.3793711 49.0954626, 9.3797731 49.0958292, 9.379894 49.0959227, 9.3799256 49.0959432, 9.3799937 49.0959728, 9.3800693 49.095994, 9.3801494 49.0960095, 9.3801881 49.096016, 9.3802572 49.0960226, 9.3802967 49.0960209, 9.380426 49.0959957, 9.3805311 49.095963, 9.3805816 49.0959367, 9.3806247 49.0959056, 9.3806529 49.095878, 9.3806701 49.0958443, 9.3806737 49.0958073, 9.3806588 49.0957358, 9.3806195 49.0956363)",Maybachstraße
