osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,ref,width,bridge,access,junction
1211568638,False,2,Wendischer Berg,primary,True,13.838,"LINESTRING (12.1368826 51.0532755, 12.1369384 51.0533949)",,,,,,
"[82235474, 1211568690]",False,,Wasserberg,residential,False,244.12999999999997,"LINESTRING (12.1368826 51.0532755, 12.1367101 51.0532224, 12.1363322 51.0531206, 12.1357794 51.0529965, 12.1353863 51.0529148, 12.1349949 51.0528283, 12.1348281 51.0527693, 12.1346834 51.0526818, 12.1344284 51.0524625, 12.1343614 51.0523942, 12.1343023 51.0522951, 12.1342863 51.0521986, 12.1343582 51.052082)",,,,,,
"[196896072, 1211568642]",False,2,Wendischer Berg,primary,False,374.50600000000003,"LINESTRING (12.1368826 51.0532755, 12.1368686 51.0531735, 12.1368727 51.0530484, 12.136966 51.0527, 12.1370264 51.0524023, 12.1371343 51.0521268, 12.1373533 51.0517825, 12.13751 51.051601, 12.1379164 51.0512326, 12.1386653 51.0506317, 12.1389218 51.0504318, 12.1389737 51.0503979, 12.1390203 51.0503675, 12.1391134 51.0503323)",,,,,,
196481835,False,2,Geschwister-Scholl-Straße,tertiary,False,129.22699999999998,"LINESTRING (12.1299301 51.0532601, 12.1301735 51.0532852, 12.130588 51.0533307, 12.1317456 51.053479)",50,,,,,
196481836,True,2,Geschwister-Scholl-Straße,tertiary,False,112.95600000000002,"LINESTRING (12.1299301 51.0532601, 12.1298071 51.053256, 12.1295831 51.0532256, 12.1293877 51.0531884, 12.1292673 51.0531598, 12.1291114 51.0531102, 12.128764 51.0529899, 12.1287067 51.0529788, 12.128573 51.052942, 12.1284223 51.0529235)",50,,,,,
522071095,False,2,Altenburger Straße,primary,True,107.542,"LINESTRING (12.1421312 51.0456239, 12.1414215 51.0460596, 12.1413257 51.0461184, 12.1410306 51.0462996)",50,B 180,,,,
23458413,False,2,August-Bebel-Straße,unclassified,True,125.253,"LINESTRING (12.1412189 51.0503758, 12.141214 51.0502815, 12.1412411 51.0502188, 12.1416796 51.049667, 12.1419519 51.0493614)",30,,,,,
23566530,False,2,Schützenstraße,unclassified,False,121.042,"LINESTRING (12.1412189 51.0503758, 12.1409988 51.0503699, 12.1403215 51.0503519, 12.1399281 51.0503414, 12.139489 51.0503274)",50,,,,,
350530054,False,,Pestalozzistraße,residential,False,88.551,"LINESTRING (12.1412189 51.0503758, 12.1411931 51.0507583, 12.1411125 51.0511687)",50,,,,,
88562064,False,,Lindenplatz,residential,True,28.953,"LINESTRING (12.1384565 51.0462994, 12.1380441 51.0463234)",,,2.5,,,
