osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,est_width
23898074,Gottesackerweg,residential,False,False,21.313,,,"LINESTRING (9.6353721 47.9488761, 9.6350954 47.948925)",,
26943288,Steinenbacher Weg,tertiary,False,True,42.402,K 7958,50,"LINESTRING (9.6353721 47.9488761, 9.6355402 47.9490908, 9.6356171 47.9492198)",,
8590187,Mockenstraße,secondary,False,False,22.524,L 285,50,"LINESTRING (9.6356171 47.9492198, 9.6353809 47.9493463)",2,
26943288,Steinenbacher Weg,tertiary,False,False,42.402,K 7958,50,"LINESTRING (9.6356171 47.9492198, 9.6355402 47.9490908, 9.6353721 47.9488761)",,
308599146,Eckstraße,residential,False,True,214.64800000000002,,30,"LINESTRING (9.6356171 47.9492198, 9.6356652 47.9492961, 9.6359346 47.9495712, 9.6361216 47.949762, 9.6367212 47.9503742, 9.6370074 47.9508984)",,
1017424896,Allewindenstraße,secondary,False,False,80.37,L 285,50,"LINESTRING (9.6356171 47.9492198, 9.635884 47.949098, 9.6365521 47.9488608)",2,
1017424896,Allewindenstraße,secondary,False,True,24.454,L 285,50,"LINESTRING (9.6371798 47.9486534, 9.6368855 47.9487509)",2,
"[548968974, 548968975]",Sandweg,residential,False,True,12.886,,,"LINESTRING (9.6371798 47.9486534, 9.6371569 47.9486093, 9.6371219 47.9485442)",,
1017424880,Allewindenstraße,secondary,False,False,58.239000000000004,L 285,50,"LINESTRING (9.6371798 47.9486534, 9.6375465 47.9485357, 9.637882 47.948423)",2,
8590126,Hauptstraße,residential,False,False,8.643,,20,"LINESTRING (9.6395985 47.9546674, 9.6395159 47.9546128)",,
8609846,Hauptstraße,secondary,False,True,76.415,L 284,,"LINESTRING (9.6395985 47.9546674, 9.6396924 47.9546169, 9.6398643 47.9545943, 9.6405931 47.9546278)",,
