osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,access,bridge
7765095,Am Landgericht,residential,False,True,270.46299999999997,"LINESTRING (8.0499395 52.2723062, 8.0500375 52.2722364, 8.0501383 52.2720005, 8.0507825 52.2718516, 8.0510367 52.2718041, 8.0511849 52.2717763, 8.0513951 52.2717344, 8.0514858 52.2717175, 8.0519872 52.2716267, 8.0520852 52.2716665, 8.0521064 52.2719969, 8.0521163 52.2722341, 8.0521798 52.272414, 8.0522192 52.2724907)",,,,,
37335636,Breiter Gang,residential,False,True,62.199,"LINESTRING (8.0514904 52.2759114, 8.0515274 52.2759781, 8.0515485 52.2760162, 8.0515491 52.2760846, 8.0513904 52.2764523)",30,,,,
37335640,Erich-Maria-Remarque-Ring,primary,True,False,93.49600000000001,"LINESTRING (8.0514904 52.2759114, 8.0510623 52.2761228, 8.0506999 52.2762679, 8.0503574 52.2763833)",50,2,K 6,,
7764876,Ritterstraße,residential,False,False,93.47,"LINESTRING (8.0450096 52.2699821, 8.045144 52.2699195, 8.045532 52.269516, 8.0457402 52.2693429, 8.0457926 52.2692993)",30,,,,
7764737,Kommenderiestraße,residential,True,False,47.899,"LINESTRING (8.0502964 52.2679723, 8.0496334 52.2678276)",30,,,,
608971496,Kommenderiestraße,residential,False,False,202.726,"LINESTRING (8.0502964 52.2679723, 8.0505291 52.2679316, 8.0505939 52.2679313, 8.0509053 52.267998, 8.0509515 52.2680247, 8.0509519 52.2680647, 8.050887 52.2681821, 8.0508086 52.268315, 8.0506747 52.26854, 8.0506293 52.2685665, 8.0505668 52.268566, 8.0502182 52.2684991, 8.0501107 52.2685123, 8.0493626 52.2683596)",30,,,,
"[38232929, 38233132]",Schloßstraße,residential,False,True,92.67399999999999,"LINESTRING (8.043425 52.2680147, 8.0434961 52.2680536, 8.0438192 52.2682304, 8.0439491 52.2683015, 8.0443646 52.2685211, 8.0444457 52.2685664)",30,,,,
171895303,Heinrichstraße,residential,False,True,222.117,"LINESTRING (8.043425 52.2680147, 8.0413268 52.2694953, 8.0412862 52.2695237)",30,,,,
7764655,Wiesenstraße,residential,False,False,54.495,"LINESTRING (8.0474451 52.2680388, 8.0472453 52.2676651, 8.0471961 52.267573)",30,,,,
7764655,Wiesenstraße,residential,False,True,135.072,"LINESTRING (8.0474451 52.2680388, 8.0483953 52.2682348, 8.0493274 52.2684244)",30,,,,
7764647,Blumenstraße,residential,True,False,88.781,"LINESTRING (8.0466422 52.268668, 8.0466989 52.2686249, 8.0470779 52.2683366, 8.0474451 52.2680388)",30,,,,
7764935,Süsterstraße,residential,False,True,87.82299999999998,"LINESTRING (8.0466422 52.268668, 8.0465176 52.2686106, 8.0462861 52.2684739, 8.0461177 52.2683462, 8.0459399 52.2681781, 8.0459046 52.268146, 8.0458202 52.2680669)",30,,,,
"[1150201769, 1150201821]",Süsterstraße,residential,False,False,156.45399999999998,"LINESTRING (8.0466422 52.268668, 8.0473877 52.2689336, 8.0474377 52.2689519, 8.0479891 52.2691547, 8.0484913 52.2693169, 8.0486374 52.2693666)",30,,,,
1268247961,Schloßwall,primary,True,False,8.902,"LINESTRING (8.0443831 52.2686367, 8.0444457 52.2685664)",50,2,B 68,,
