osmid,name,highway,maxspeed,width,oneway,reversed,length,geometry,junction
39394267,Kronskamper Weg,residential,50,4,False,True,140.64499999999998,"LINESTRING (11.5803369 53.3887989, 11.5804279 53.3889217, 11.5807726 53.3893866, 11.5811946 53.3899557)",
202575068,Kronskamper Weg,residential,50,4,True,False,16.399,"LINESTRING (11.5803369 53.3887989, 11.580308 53.3888046, 11.5802779 53.3888071, 11.5802248 53.3888038, 11.5801939 53.388797, 11.5801658 53.3887867, 11.5801411 53.3887731, 11.5801214 53.3887569)",roundabout
39344516,Am See,residential,,4,False,False,27.887999999999998,"LINESTRING (11.5801214 53.3887569, 11.5800093 53.38882, 11.5799115 53.3888779, 11.5798202 53.3889319)",
202575070,Schäferkamp,residential,50,4,False,False,382.20399999999995,"LINESTRING (11.5797294 53.3945052, 11.580511 53.3937951, 11.5809359 53.3934373, 11.5813678 53.3930369, 11.5818576 53.3925214, 11.5820192 53.3923322, 11.582267 53.3919882, 11.5823447 53.3917457, 11.5823385 53.3914985)",
39394267,Kronskamper Weg,residential,50,4,False,False,187.574,"LINESTRING (11.5823385 53.3914985, 11.5811946 53.3899557)",
202575070,Schäferkamp,residential,50,4,False,True,382.20399999999995,"LINESTRING (11.5823385 53.3914985, 11.5823447 53.3917457, 11.582267 53.3919882, 11.5820192 53.3923322, 11.5818576 53.3925214, 11.5813678 53.3930369, 11.5809359 53.3934373, 11.580511 53.3937951, 11.5797294 53.3945052)",
39344516,Am See,residential,,4,False,False,93.713,"LINESTRING (11.5798202 53.3889319, 11.5790879 53.3896527)",
39344516,Am See,residential,,4,False,True,27.887999999999998,"LINESTRING (11.5798202 53.3889319, 11.5799115 53.3888779, 11.5800093 53.38882, 11.5801214 53.3887569)",
202783684,Am See,residential,,,False,False,221.55900000000003,"LINESTRING (11.5798202 53.3889319, 11.5797869 53.3889481, 11.579226 53.3890937, 11.5786655 53.3894048, 11.5786139 53.3894334, 11.5771443 53.3901038)",
"[218526232, 123727945]",Am Wasserwerk,residential,,,False,"[False, True]",160.811,"LINESTRING (11.5825718 53.3890528, 11.5825221 53.3894136, 11.5825039 53.3895464, 11.5824857 53.3896786, 11.5817256 53.3898417, 11.5811946 53.3899557)",
39394267,Kronskamper Weg,residential,50,4,False,True,187.574,"LINESTRING (11.5811946 53.3899557, 11.5823385 53.3914985)",
39394267,Kronskamper Weg,residential,50,4,False,False,140.645,"LINESTRING (11.5811946 53.3899557, 11.5807726 53.3893866, 11.5804279 53.3889217, 11.5803369 53.3887989)",
"[218526232, 123727945]",Am Wasserwerk,residential,,,False,"[False, True]",160.81099999999998,"LINESTRING (11.5811946 53.3899557, 11.5817256 53.3898417, 11.5824857 53.3896786, 11.5825039 53.3895464, 11.5825221 53.3894136, 11.5825718 53.3890528)",
39344516,Am See,residential,,4,False,False,63.686,"LINESTRING (11.5785793 53.3902026, 11.5780956 53.3906974)",
123727946,Neue Heimat,residential,,,False,True,59.723,"LINESTRING (11.5785793 53.3902026, 11.5792826 53.3905381)",
39344516,Am See,residential,,4,False,True,69.83099999999999,"LINESTRING (11.5785793 53.3902026, 11.578753 53.3900129, 11.5790879 53.3896527)",
123727946,Neue Heimat,residential,,,False,False,70.76,"LINESTRING (11.5801083 53.3909412, 11.5792826 53.3905381)",
254711501,Neue Heimat,residential,,,False,True,8.743,"LINESTRING (11.5800699 53.3899651, 11.5799837 53.3900246)",
123727946,Neue Heimat,residential,,,False,False,59.723,"LINESTRING (11.5792826 53.3905381, 11.5785793 53.3902026)",
123727946,Neue Heimat,residential,,,False,True,70.76,"LINESTRING (11.5792826 53.3905381, 11.5801083 53.3909412)",
202522255,Neue Heimat,residential,,,True,False,73.632,"LINESTRING (11.5792826 53.3905381, 11.5799837 53.3900246)",
39344516,Am See,residential,,4,False,True,93.713,"LINESTRING (11.5790879 53.3896527, 11.5798202 53.3889319)",
39344516,Am See,residential,,4,False,False,69.83099999999999,"LINESTRING (11.5790879 53.3896527, 11.578753 53.3900129, 11.5785793 53.3902026)",
218526234,Neue Heimat,residential,,,True,False,72.38,"LINESTRING (11.5799837 53.3900246, 11.5790879 53.3896527)",
254711501,Neue Heimat,residential,,,False,False,8.743,"LINESTRING (11.5799837 53.3900246, 11.5800699 53.3899651)",
202783684,Am See,residential,,,False,True,221.559,"LINESTRING (11.5771443 53.3901038, 11.5786139 53.3894334, 11.5786655 53.3894048, 11.579226 53.3890937, 11.5797869 53.3889481, 11.5798202 53.3889319)",
39344516,Am See,residential,,4,False,True,63.686,"LINESTRING (11.5780956 53.3906974, 11.5785793 53.3902026)",
