osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel,access
4396682,3,L 865,Heiligengeistwall,secondary,50,False,False,63.02799999999999,"LINESTRING (8.2087333 53.1412135, 8.2087871 53.1412977, 8.2088472 53.1413989, 8.2089482 53.1415508, 8.2091044 53.1417339)",,,,
"[223347426, 223347427, 767784652]",3,L 865,Ofener Straße,secondary,50,False,True,43.677,"LINESTRING (8.2087333 53.1412135, 8.2085687 53.141243, 8.2083359 53.1412626, 8.20816 53.1412734, 8.2080892 53.1412776)",yes,,,
"[316086560, 284475085]","['2', '3']",,Theaterwall,tertiary,50,False,True,316.017,"LINESTRING (8.2087333 53.1412135, 8.2086599 53.1410961, 8.208619 53.1410195, 8.2085797 53.1409417, 8.2085372 53.1408483, 8.2085181 53.1407742, 8.2085278 53.1406708, 8.2085788 53.1405762, 8.2087508 53.1404277, 8.2093412 53.1400542, 8.2093899 53.1400227, 8.2096201 53.1398767, 8.2098296 53.1397428, 8.2101491 53.1395353, 8.2105562 53.1392753, 8.2110287 53.1389683)",,,,
4396682,3,L 865,Heiligengeistwall,secondary,50,False,True,63.028,"LINESTRING (8.2091044 53.1417339, 8.2089482 53.1415508, 8.2088472 53.1413989, 8.2087871 53.1412977, 8.2087333 53.1412135)",,,,
16267921,2,,Wallstraße,residential,50,False,False,52.232,"LINESTRING (8.2091044 53.1417339, 8.2091906 53.1416963, 8.2092833 53.1416905, 8.2098134 53.1418365)",,,,
"[316086539, 316086540, 316086541, 756041422, 28421139, 711098548, 384747508]","['4', '2']",L 865,"['Staulinie', 'Heiligengeistwall']",secondary,50,False,False,405.601,"LINESTRING (8.2091044 53.1417339, 8.2092913 53.1419487, 8.2093691 53.1420321, 8.2094441 53.1420841, 8.2095049 53.1421301, 8.2096876 53.1422225, 8.2101508 53.142363, 8.2112941 53.1427063, 8.2126716 53.1431127, 8.2129718 53.1431937, 8.2131353 53.1432305, 8.2132731 53.1432539, 8.2136074 53.143306, 8.2137461 53.1433258, 8.2139084 53.1433438, 8.2140583 53.1433584, 8.2141199 53.1433636, 8.2141738 53.1433679, 8.2142197 53.1433724, 8.2143364 53.1433856)",,,,
"[384747507, 316086548]",3,,Poststraße,tertiary,50,True,False,61.07,"LINESTRING (8.2172241 53.1401757, 8.2173394 53.1401607, 8.2176947 53.1401114, 8.2178773 53.140081, 8.2179267 53.1400706, 8.2179727 53.1400607, 8.2181058 53.1400307)",,,,
4396686,2,,Poststraße,tertiary,50,True,False,62.47200000000001,"LINESTRING (8.2181058 53.1400307, 8.2182556 53.1399885, 8.218361 53.1399692, 8.2184781 53.1399633, 8.2185586 53.1399683, 8.2186279 53.1399807, 8.2186873 53.1400022, 8.2187236 53.1400169, 8.218781 53.140045, 8.2188215 53.1400782, 8.218898 53.1401444)",,,,
"[4830866, 316086546]","['2', '3']",,Poststraße,tertiary,50,True,False,98.24799999999999,"LINESTRING (8.2181058 53.1400307, 8.2181234 53.1399138, 8.2181294 53.1398821, 8.2181321 53.1398676, 8.2181137 53.1397456, 8.2180821 53.1392979, 8.2180861 53.1392233, 8.2181025 53.1391495)",,,,
10795366,,,Stau,tertiary,50,True,False,58.959,"LINESTRING (8.218898 53.1401444, 8.2190033 53.1403012, 8.2190297 53.1403387, 8.219053 53.1403623, 8.219106 53.1404062, 8.2192144 53.1404843, 8.2193033 53.14053, 8.2194007 53.1405628)",,,,
31464608,3,,Huntestraße,tertiary,50,True,False,54.502,"LINESTRING (8.218898 53.1401444, 8.2189101 53.1402325, 8.2189053 53.1402889, 8.2188913 53.1403235, 8.2188731 53.1403563, 8.2188517 53.1403828, 8.2188281 53.1404039, 8.2188006 53.1404226, 8.2187619 53.1404441, 8.218716 53.1404627, 8.2186712 53.1404774, 8.2186144 53.1404905, 8.2185102 53.1405006)",,,,
4396693,3,,Stau,tertiary,50,True,False,14.048,"LINESTRING (8.2185102 53.1405006, 8.2183212 53.1404912, 8.2183003 53.1404902)",,,,
31464609,2,,Stau,tertiary,50,True,False,69.051,"LINESTRING (8.2185102 53.1405006, 8.2184158 53.1404864, 8.2183413 53.1404647, 8.2182671 53.140438, 8.2182193 53.1404204, 8.2181864 53.1404041, 8.2181536 53.140385, 8.2181265 53.1403663, 8.2180994 53.140342, 8.218082 53.1403233, 8.2180693 53.1403058, 8.2180587 53.1402861, 8.2180509 53.1402632, 8.2180481 53.1402377, 8.2180504 53.1402047, 8.2180579 53.1401727, 8.2180688 53.1401416, 8.2180769 53.1401181, 8.2181058 53.1400307)",,,,
"[4830868, 316086550]","['4', '3']",,Theaterwall,tertiary,50,False,False,93.348,"LINESTRING (8.2134331 53.1376875, 8.213221 53.1377805, 8.2127826 53.137957, 8.212601 53.1380305, 8.2124622 53.1380903, 8.2122933 53.1381737)",,,,
"[329042249, 23953105, 8892302]","['2', '3']",,Gartenstraße,tertiary,50,False,False,212.04900000000004,"LINESTRING (8.2134331 53.1376875, 8.2133687 53.1375894, 8.2133306 53.1375397, 8.2132956 53.1374934, 8.2132546 53.137443, 8.2132203 53.1373987, 8.2128901 53.136982, 8.2126994 53.1367299, 8.2126075 53.1366143, 8.2125137 53.1365077, 8.2124283 53.136436, 8.2123002 53.1363408, 8.2120984 53.1362254, 8.2118168 53.1360745)",,,,
10795363,3,,Schloßwall,tertiary,50,False,True,187.17499999999998,"LINESTRING (8.2134331 53.1376875, 8.213587 53.1376199, 8.2138469 53.1375267, 8.214068 53.1374615, 8.2145507 53.1373407, 8.2148051 53.1372884, 8.2149939 53.1372371, 8.2156114 53.1370494, 8.2159473 53.1369499)",,,,
676658458,2,,Kasinoplatz,residential,50,False,True,34.231,"LINESTRING (8.2134331 53.1376875, 8.2135061 53.1378107, 8.2135859 53.1378822, 8.2136722 53.1379571)",,,,
4830867,2,,Schloßwall,tertiary,50,True,False,27.571,"LINESTRING (8.2159473 53.1369499, 8.2162958 53.1368166)",,,,
10795363,3,,Schloßwall,tertiary,50,False,False,187.17499999999998,"LINESTRING (8.2159473 53.1369499, 8.2156114 53.1370494, 8.2149939 53.1372371, 8.2148051 53.1372884, 8.2145507 53.1373407, 8.214068 53.1374615, 8.2138469 53.1375267, 8.213587 53.1376199, 8.2134331 53.1376875)",,,,
32010241,2,,Paradewall,tertiary,50,True,False,15.538,"LINESTRING (8.2166014 53.1368554, 8.2163742 53.1368862)",,,,
"[316086545, 10795365]","['2', '3']",,Paradewall,tertiary,50,True,False,122.14899999999999,"LINESTRING (8.2180826 53.1377926, 8.2180707 53.1377055, 8.2180598 53.1376438, 8.218025 53.1374858, 8.21802 53.1374653, 8.2179882 53.1373772, 8.2179243 53.1372648, 8.2178384 53.1371744, 8.2177459 53.1371063, 8.2176342 53.1370383, 8.2174476 53.1369603, 8.2172444 53.1368994)",,,,
4830869,1,,Amalienstraße,tertiary,50,True,False,8.122,"LINESTRING (8.2181025 53.1391495, 8.218202 53.1391074)",,,,
31281770,2,,Poststraße,tertiary,50,True,False,7.169,"LINESTRING (8.2181025 53.1391495, 8.218083 53.1390861)",,,,
"[10866497, 893578436]",3,,Amalienstraße,tertiary,50,False,True,178.849,"LINESTRING (8.2220722 53.1388924, 8.2219263 53.1388994, 8.2217614 53.1389078, 8.2214608 53.1389197, 8.2202505 53.1389792, 8.2193985 53.1390122)",,,,
21852524,,,Nikolausstraße,residential,30,False,False,49.185,"LINESTRING (8.2220722 53.1388924, 8.2220653 53.1389723, 8.2220576 53.1393346)",,,,
82532036,,,Am Festungsgraben,residential,30,False,True,122.98199999999999,"LINESTRING (8.2220722 53.1388924, 8.2220778 53.1388262, 8.2220791 53.138588, 8.2220622 53.1384549, 8.2220441 53.1383911, 8.2220197 53.1383191, 8.2219735 53.1382481, 8.2218607 53.1381384, 8.2216988 53.138036, 8.2215964 53.138007, 8.2214839 53.1379751, 8.2214393 53.137944)",,,,
8899992,,,Am Festungsgraben,residential,30,False,True,139.517,"LINESTRING (8.2179557 53.1355593, 8.2180593 53.1355884, 8.2182341 53.1356423, 8.2188772 53.1358275, 8.2189766 53.1358561, 8.2192085 53.1359277, 8.2193492 53.1359763, 8.2194951 53.136043, 8.2196159 53.1361198, 8.2197032 53.1362103)",,,,
"[31464610, 335351443]",3,,Damm,tertiary,50,False,True,113.241,"LINESTRING (8.2179557 53.1355593, 8.2179297 53.1355862, 8.2177518 53.1357706, 8.2176761 53.135849, 8.2176026 53.1359267, 8.2171567 53.1363748, 8.2170957 53.1364373)",,,,
335351446,2,,Damm,tertiary,50,False,False,36.913999999999994,"LINESTRING (8.2179557 53.1355593, 8.2181317 53.1353604, 8.2181954 53.1352883, 8.2182152 53.1352661)",,,,
44141419,3,,Friedensplatz,tertiary,,False,True,34.896,"LINESTRING (8.2071989 53.1413296, 8.2073819 53.1416236)",,,,
"[4950114, 918983964, 918983966, 24386535]",,,Herbartstraße,residential,50,True,False,29.005999999999997,"LINESTRING (8.2071989 53.1413296, 8.2071742 53.1412831, 8.2071622 53.1412481, 8.2071572 53.141226, 8.2071232 53.1411122, 8.2071166 53.141074)",yes,5,,
"[270888632, 316692422]",3,L 865,Ofener Straße,secondary,50,False,False,59.691,"LINESTRING (8.2071989 53.1413296, 8.2077654 53.1412886, 8.2080892 53.1412776)",,,,
16905084,,,Hindenburgstraße,residential,50,False,False,3.856,"LINESTRING (8.2082878 53.1375757, 8.2082324 53.1375658)",,,,
8895520,,,Roggemannstraße,residential,30,False,False,311.574,"LINESTRING (8.2082878 53.1375757, 8.2082139 53.1371194, 8.2082084 53.1370852, 8.2080914 53.1363632, 8.2080862 53.1362972, 8.2080702 53.1360963, 8.2080638 53.1360157, 8.2080341 53.1356407, 8.2080299 53.1355876, 8.2079995 53.1352042, 8.2079898 53.1350818, 8.2079676 53.1347811)",,,,
8895563,,,Roonstraße,residential,50,False,False,67.343,"LINESTRING (8.2082878 53.1375757, 8.2083895 53.1376238, 8.2090612 53.1379649)",,4,,
21599618,,,Bismarckstraße,residential,30,True,False,281.59999999999997,"LINESTRING (8.2082878 53.1375757, 8.209584 53.1366446, 8.2103142 53.1361484, 8.2110384 53.1356549)",,,,
"[32062080, 172306175]",,,"['Mühlgraben', 'Dammbleiche']",residential,30,False,True,291.246,"LINESTRING (8.2214393 53.137944, 8.2222761 53.1377031, 8.2223281 53.13766, 8.2218408 53.1370523, 8.2208761 53.1358494)",,,,
82532036,,,Am Festungsgraben,residential,30,False,False,122.982,"LINESTRING (8.2214393 53.137944, 8.2214839 53.1379751, 8.2215964 53.138007, 8.2216988 53.138036, 8.2218607 53.1381384, 8.2219735 53.1382481, 8.2220197 53.1383191, 8.2220441 53.1383911, 8.2220622 53.1384549, 8.2220791 53.138588, 8.2220778 53.1388262, 8.2220722 53.1388924)",,,,
